date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,927,,,,,,,,114,931
07/03/1963,930,,,,,,,,114,932
07/05/1963,930,,,,,,,,114,930
07/08/1963,928,,,,,,,,113,930
07/09/1963,929,,,,,,,,114,932
07/10/1963,929,,,,,,,,114,932
07/11/1963,928,,,,,,,,114,933
07/12/1963,929,,,,,,,,114,932
07/15/1963,928,,,,,,,,114,933
07/16/1963,929,,,,,,,,114,932
07/17/1963,929,,,,,,,,114,930
07/18/1963,929,,,,,,,,114,932
07/19/1963,928,,,,,,,,114,929
07/22/1963,928,,,,,,,,114,931
07/23/1963,929,,,,,,,,114,933
07/24/1963,929,,,,,,,,114,932
07/25/1963,928,,,,,,,,114,931
07/26/1963,929,,,,,,,,114,933
07/29/1963,927,,,,,,,,114,929
07/30/1963,927,,,,,,,,114,933
07/31/1963,926,,,,,,,,114,934
08/01/1963,927,,,,,,,,118,930
08/02/1963,927,,,,,,,,118,928
08/05/1963,927,,,,,,,,118,928
08/06/1963,926,,,,,,,,118,930
08/07/1963,926,,,,,,,,118,927
08/08/1963,927,,,,,,,,118,930
08/09/1963,926,,,,,,,,118,930
08/12/1963,927,,,,,,,,118,927
08/13/1963,927,,,,,,,,117,932
08/14/1963,926,,,,,,,,118,932
08/15/1963,927,,,,,,,,118,932
08/16/1963,927,,,,,,,,118,932
08/19/1963,926,,,,,,,,118,930
08/20/1963,926,,,,,,,,118,934
08/21/1963,926,,,,,,,,118,934
08/22/1963,926,,,,,,,,118,933
08/23/1963,926,,,,,,,,118,934
08/26/1963,926,,,,,,,,118,933
08/27/1963,926,,,,,,,,118,934
08/28/1963,926,,,,,,,,118,934
08/29/1963,926,,,,,,,,118,933
08/30/1963,926,,,,,,,,118,933
09/03/1963,924,,,,,,,6,118,927
09/04/1963,924,,,,,,,6,118,930
09/05/1963,923,,,,,,,6,118,929
09/06/1963,924,,,,,,,6,118,928
09/09/1963,924,,,,,,,6,118,925
09/10/1963,924,,,,,,,6,118,928
09/11/1963,924,,,,,,,6,118,928
09/12/1963,924,,,,,,,6,118,930
09/13/1963,924,,,,,,,6,118,929
09/16/1963,924,,,,,,,6,118,929
09/17/1963,924,,,,,,,6,118,928
09/18/1963,923,,,,,,,6,118,930
09/19/1963,923,,,,,,,6,118,929
