date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,99,100,100,100,100,100,100,100,100,98
07/03/1963,100,100,100,100,100,100,100,100,100,100
07/05/1963,100,100,100,100,100,100,100,100,100,100
07/08/1963,100,99,100,99,100,100,100,99,100,100
07/09/1963,100,99,100,100,100,100,100,100,100,100
07/10/1963,100,99,100,100,100,100,100,100,100,100
07/11/1963,100,99,99,100,100,100,100,100,100,100
07/12/1963,100,99,100,100,100,100,100,100,100,100
07/15/1963,100,99,99,100,100,100,100,100,100,100
07/16/1963,100,99,100,100,100,100,100,100,100,100
07/17/1963,100,99,100,100,100,100,100,100,100,100
07/18/1963,100,99,100,100,100,100,100,100,100,100
07/19/1963,100,99,100,100,100,99,100,100,100,100
07/22/1963,100,99,100,100,100,99,100,100,100,100
07/23/1963,100,99,100,100,100,100,100,100,100,100
07/24/1963,100,99,100,100,100,100,100,100,100,100
07/25/1963,100,98,100,100,100,100,100,100,100,100
07/26/1963,100,99,100,100,100,100,100,100,100,100
07/29/1963,100,99,100,100,100,99,100,100,100,99
07/30/1963,100,99,100,100,100,99,100,100,100,99
07/31/1963,100,99,100,100,99,99,100,100,100,99
08/01/1963,101,100,101,100,101,100,101,100,102,101
08/02/1963,101,100,101,100,101,100,101,100,102,101
08/05/1963,101,100,101,100,101,100,101,100,102,101
08/06/1963,101,100,101,100,101,100,101,100,102,100
08/07/1963,101,100,101,100,101,100,101,100,102,100
08/08/1963,101,100,101,100,101,100,101,100,102,101
08/09/1963,100,100,101,100,101,100,101,100,102,101
08/12/1963,101,100,101,100,101,100,101,100,102,101
08/13/1963,101,100,101,100,101,100,101,99,102,101
08/14/1963,101,100,101,100,101,100,100,100,102,101
08/15/1963,101,100,101,100,101,100,101,100,102,101
08/16/1963,101,100,101,100,101,100,101,100,102,101
08/19/1963,101,100,101,100,101,100,101,100,102,100
08/20/1963,101,100,101,100,101,100,101,100,102,100
08/21/1963,101,100,101,100,101,100,101,100,102,100
08/22/1963,101,100,101,100,101,100,101,100,102,100
08/23/1963,101,100,101,100,101,100,101,100,102,100
08/26/1963,101,100,101,100,101,100,101,100,102,100
08/27/1963,101,100,101,100,101,100,101,100,102,100
08/28/1963,101,100,101,100,101,100,101,100,102,100
08/29/1963,101,100,101,100,101,100,101,100,102,100
08/30/1963,101,100,101,100,101,100,101,100,102,100
09/03/1963,101,101,101,101,101,101,101,101,102,101
09/04/1963,101,101,101,101,101,101,101,101,102,101
09/05/1963,101,101,101,100,101,101,101,101,102,101
09/06/1963,101,101,101,101,101,101,101,101,102,101
09/09/1963,101,101,101,101,101,101,101,101,102,101
09/10/1963,101,101,101,101,101,101,101,101,102,101
09/11/1963,101,101,101,101,101,101,101,101,102,101
09/12/1963,101,101,101,101,101,101,101,101,102,101
09/13/1963,101,101,101,101,101,101,101,101,102,101
09/16/1963,101,101,101,101,101,101,101,101,102,101
09/17/1963,101,101,101,101,101,101,101,101,102,101
09/18/1963,101,101,101,100,101,101,101,101,102,101
09/19/1963,101,101,101,101,101,101,101,101,101,101
09/20/1963,101,101,101,101,101,101,101,101,102,101
09/23/1963,101,101,101,101,101,101,101,101,102,101
09/24/1963,101,101,101,101,101,101,101,101,102,101
09/25/1963,101,101,101,101,101,101,101,101,102,101
09/26/1963,101,101,101,101,101,101,101,101,102,101
09/27/1963,101,101,101,101,101,101,101,101,102,101
09/30/1963,101,101,101,101,101,101,101,101,102,101
10/01/1963,102,101,101,102,101,101,102,101,102,102
10/02/1963,102,101,101,102,101,101,102,101,102,102
10/03/1963,102,101,101,102,101,101,102,101,102,102
10/04/1963,102,101,101,102,101,101,102,101,101,102
10/07/1963,102,101,101,102,100,101,102,101,102,102
10/08/1963,102,101,101,102,100,101,102,101,102,101
10/09/1963,102,101,101,102,100,101,102,101,102,101
10/10/1963,102,101,101,102,100,101,102,101,102,101
10/11/1963,102,101,101,102,100,101,102,101,102,101
10/14/1963,102,101,101,102,100,101,102,101,102,101
10/15/1963,102,101,101,102,100,101,102,101,102,101
