date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,19,,,,,,,,,1953
07/03/1963,19,,,,,,,,,1957
07/05/1963,19,,,,,,,,,1955
07/08/1963,18,,,,,,,,,1953
07/09/1963,19,,,,,,,,,1956
07/10/1963,19,,,,,,,,,1956
07/11/1963,19,,,,,,,,,1956
07/12/1963,19,,,,,,,,,1956
07/15/1963,19,,,,,,,,,1956
07/16/1963,19,,,,,,,,,1956
07/17/1963,19,,,,,,,,,1954
07/18/1963,19,,,,,,,,,1956
07/19/1963,19,,,,,,,,,1952
07/22/1963,19,,,,,,,,,1954
07/23/1963,19,,,,,,,,,1957
07/24/1963,19,,,,,,,,,1956
07/25/1963,19,,,,,,,,,1954
07/26/1963,19,,,,,,,,,1957
07/29/1963,19,,,,,,,,,1951
07/30/1963,19,,,,,,,,,1955
07/31/1963,19,,,,,,,,,1955
08/01/1963,22,,,,,,,,,1953
08/02/1963,22,,,,,,,,,1951
08/05/1963,22,,,,,,,,,1951
08/06/1963,22,,,,,,,,,1952
08/07/1963,22,,,,,,,,,1949
08/08/1963,22,,,,,,,,,1953
08/09/1963,22,,,,,,,,,1952
08/12/1963,22,,,,,,,,,1950
08/13/1963,22,,,,,,,,,1954
08/14/1963,22,,,,,,,,,1954
08/15/1963,22,,,,,,,,,1955
08/16/1963,22,,,,,,,,,1955
08/19/1963,22,,,,,,,,,1952
08/20/1963,22,,,,,,,,,1956
08/21/1963,22,,,,,,,,,1956
08/22/1963,22,,,,,,,,,1955
08/23/1963,22,,,,,,,,,1956
08/26/1963,22,,,,,,,,,1955
08/27/1963,22,,,,,,,,,1956
08/28/1963,22,,,,,,,,,1956
08/29/1963,22,,,,,,,,,1955
08/30/1963,22,,,,,,,,,1955
09/03/1963,17,,,,,,,,,1958
09/04/1963,17,,,,,,,,,1961
09/05/1963,17,,,,,,,,,1959
09/06/1963,17,,,,,,,,,1959
09/09/1963,17,,,,,,,,,1956
09/10/1963,17,,,,,,,,,1959
09/11/1963,17,,,,,,,,,1959
09/12/1963,17,,,,,,,,,1961
09/13/1963,17,,,,,,,,,1960
09/16/1963,17,,,,,,,,,1960
09/17/1963,16,,,,,,,,,1960
09/18/1963,17,,,,,,,,,1960
09/19/1963,17,,,,,,,,,1959
09/20/1963,17,,,,,,,,,1960
09/23/1963,17,,,,,,,,,1961
09/24/1963,17,,,,,,,,,1959
09/25/1963,17,,,,,,,,,1961
09/26/1963,17,,,,,,,,,1961
09/27/1963,17,,,,,,,,,1961
09/30/1963,17,,,,,,,,,1960
10/01/1963,15,,,,,,,,,1959
10/02/1963,15,,,,,,,,,1962
10/03/1963,15,,,,,,,,,1963
10/04/1963,15,,,,,,,,,1960
10/07/1963,15,,,,,,,,,1958
10/08/1963,15,,,,,,,,,1953
10/09/1963,15,,,,,,,,,1957
10/10/1963,15,,,,,,,,,1961
10/11/1963,15,,,,,,,,,1956
10/14/1963,15,,,,,,,,,1959
10/15/1963,15,,,,,,,,,1962
10/16/1963,15,,,,,,,,,1958
10/17/1963,15,,,,,,,,,1964
10/18/1963,15,,,,,,,,,1958
10/21/1963,15,,,,,,,,,1962
10/22/1963,15,,,,,,,,,1962
10/23/1963,15,,,,,,,,,1957
10/24/1963,15,,,,,,,,,1964
10/25/1963,15,,,,,,,,,1960
10/28/1963,15,,,,,,,,,1961
10/29/1963,15,,,,,,,,,1963
10/30/1963,15,,,,,,,,,1960
10/31/1963,15,,,,,,,,,1960
11/01/1963,20,,,,,,,,,1954
11/04/1963,20,,,,,,,,,1952
11/06/1963,20,,,,,,,,,1956
11/07/1963,20,,,,,,,,,1956
11/08/1963,20,,,,,,,,,1952
11/11/1963,20,,,,,,,,,1951
11/12/1963,20,,,,,,,,,1954
11/13/1963,20,,,,,,,,,1956
11/14/1963,20,,,,,,,,,1954
11/15/1963,20,,,,,,,,,1955
11/18/1963,20,,,,,,,,,1961
11/19/1963,20,,,,,,,,,1960
11/20/1963,20,,,,,,,,,1963
11/21/1963,20,,,,,,,,,1964
11/22/1963,20,,,,,,,,,1959
11/26/1963,20,,,,,,,,,1928
11/27/1963,20,,,,,,,,,1963
11/29/1963,20,,,,,,,,,1965
12/02/1963,21,,,,,,,,,1959
12/03/1963,20,,,,,,,,,1947
12/04/1963,20,,,,,,,,,1960
12/05/1963,20,,,,,,,,,1948
12/06/1963,21,,,,,,,,,1955
12/09/1963,21,,,,,,,,,1956
12/10/1963,21,,,,,,,,,1954
12/11/1963,21,,,,,,,,,1958
12/12/1963,21,,,,,,,,,1956
12/13/1963,21,,,,,,,,,1958
12/16/1963,21,,,,,,,,,1955
12/17/1963,21,,,,,,,,,1960
12/18/1963,21,,,,,,,,,1958
12/19/1963,21,,,,,,,,,1960
12/20/1963,21,,,,,,,,,1961
12/23/1963,21,,,,,,,,,1957
12/24/1963,21,,,,,,,,,1964
12/26/1963,21,,,,,,,,,1959
12/27/1963,21,,,,,,,,,1958
12/30/1963,21,,,,,,,,,1960
12/31/1963,21,,,,,,,,,1961
01/02/1964,16,,,,,,,,,1954
01/03/1964,17,,,,,,,,,1958
01/06/1964,17,,,,,,,,,1961
01/07/1964,17,,,,,,,,,1965
01/08/1964,17,,,,,,,,,1960
01/09/1964,17,,,,,,,,,1963
01/10/1964,17,,,,,,,,,1965
01/13/1964,17,,,,,,,,,1963
01/14/1964,17,,,,,,,,,1966
01/15/1964,17,,,,,,,,,1963
01/16/1964,17,,,,,,,,,1970
01/17/1964,17,,,,,,,,,1964
01/20/1964,17,,,,,,,,,1968
01/21/1964,17,,,,,,,,,1967
01/22/1964,17,,,,,,,,,1968
01/23/1964,17,,,,,,,,,1969
01/24/1964,17,,,,,,,,,1970
01/27/1964,17,,,,,,,,,1973
01/28/1964,17,,,,,,,,,1967
01/29/1964,17,,,,,,,,,1967
01/30/1964,17,,,,,,,,,1972
01/31/1964,17,,,,,,,,,1971
02/03/1964,23,,,,,,,,,1963
02/04/1964,23,,,,,,,,,1965
02/05/1964,23,,,,,,,,,1965
02/06/1964,23,,,,,,,,,1968
02/07/1964,23,,,,,,,,,1971
02/10/1964,23,,,,,,,,,1969
02/11/1964,23,,,,,,,,,1965
02/12/1964,23,,,,,,,,,1972
02/13/1964,23,,,,,,,,,1971
02/14/1964,23,,,,,,,,,1972
02/17/1964,23,,,,,,,,,1973
02/18/1964,23,,,,,,,,,1970
02/19/1964,23,,,,,,,,,1968
02/20/1964,23,,,,,,,,,1970
02/24/1964,23,,,,,,,,,1971
02/25/1964,23,,,,,,,,,1975
02/26/1964,23,,,,,,,,,1977
02/27/1964,23,,,,,,,,,1976
02/28/1964,22,,,,,,,,,1970
03/02/1964,26,,,,,,,,,1961
03/03/1964,26,,,,,,,,,1970
03/04/1964,26,,,,,,,,,1966
03/05/1964,26,,,,,,,,,1971
03/06/1964,26,,,,,,,,,1966
03/09/1964,26,,,,,,,,,1970
03/10/1964,26,,,,,,,,,1973
03/11/1964,26,,,,,,,,,1975
03/12/1964,26,,,,,,,,,1971
03/13/1964,26,,,,,,,,,1971
03/16/1964,26,,,,,,,,,1969
03/17/1964,26,,,,,,,,,1968
