date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,98,78,78,82,89,77,76,78,85,81
07/03/1963,98,78,78,82,89,77,76,78,85,81
07/05/1963,98,78,78,82,89,77,76,78,85,81
07/08/1963,98,78,78,82,89,77,75,78,85,81
07/09/1963,98,78,78,82,89,77,76,78,85,81
07/10/1963,98,78,78,82,89,77,76,78,85,81
07/11/1963,98,78,78,82,89,77,76,78,85,81
07/12/1963,98,78,78,82,89,77,76,78,85,81
07/15/1963,98,78,78,81,89,77,76,78,85,81
07/16/1963,98,78,78,82,89,77,76,78,85,81
07/17/1963,98,78,78,82,89,77,76,78,85,81
07/18/1963,98,78,78,82,89,77,76,78,85,81
07/19/1963,98,78,78,82,89,77,76,78,85,81
07/22/1963,98,78,77,82,89,77,76,78,85,81
07/23/1963,98,78,78,82,89,77,76,78,85,81
07/24/1963,98,77,78,82,89,77,76,78,85,81
07/25/1963,98,77,78,82,89,77,76,78,85,81
07/26/1963,98,78,78,82,89,77,76,78,85,81
07/29/1963,98,78,78,82,89,77,76,78,85,81
07/30/1963,98,78,78,82,89,77,76,78,85,81
07/31/1963,98,78,78,82,89,77,76,78,85,81
08/01/1963,98,78,78,82,89,77,76,78,85,81
08/02/1963,98,78,78,82,89,77,76,78,85,81
08/05/1963,98,78,78,82,89,77,76,78,85,81
08/06/1963,98,78,78,82,89,76,76,78,85,81
08/07/1963,98,78,78,82,89,77,76,78,85,81
08/08/1963,98,78,78,82,89,77,76,78,85,81
08/09/1963,98,78,78,82,89,77,76,77,85,81
08/12/1963,98,78,78,82,89,77,76,78,85,81
08/13/1963,98,78,78,82,89,77,76,78,85,81
08/14/1963,98,78,78,82,88,77,76,78,85,80
08/15/1963,98,78,78,82,89,77,76,78,85,81
08/16/1963,98,78,78,82,88,77,76,78,85,81
08/19/1963,98,78,78,82,88,77,76,78,84,81
08/20/1963,98,78,78,82,89,77,76,78,85,81
08/21/1963,98,78,78,82,89,77,76,78,85,81
08/22/1963,98,78,78,82,89,77,76,78,85,81
08/23/1963,98,78,78,82,89,77,76,78,85,81
08/26/1963,98,78,78,82,89,77,76,78,85,81
08/27/1963,98,78,78,82,89,77,76,78,85,81
08/28/1963,98,78,78,82,89,77,76,78,85,81
08/29/1963,98,78,78,82,89,77,76,78,85,81
08/30/1963,98,78,78,82,89,77,76,78,85,81
09/03/1963,98,78,78,82,89,77,76,78,85,81
09/04/1963,98,78,78,82,89,77,76,78,85,81
09/05/1963,98,78,78,82,89,77,75,78,85,81
09/06/1963,98,78,78,82,89,77,76,78,85,81
09/09/1963,98,78,78,82,89,77,76,78,85,81
09/10/1963,98,78,78,82,89,77,76,78,85,81
09/11/1963,98,78,78,82,89,77,76,78,85,81
09/12/1963,98,78,78,82,89,77,76,78,85,81
09/13/1963,98,78,78,82,88,77,76,78,85,81
09/16/1963,98,78,78,82,89,77,76,78,85,81
09/17/1963,98,78,78,82,89,77,76,78,85,81
09/18/1963,98,78,78,82,89,77,76,78,85,81
09/19/1963,98,78,78,82,89,77,76,78,85,81
09/20/1963,98,78,78,82,89,77,76,78,85,81
