date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,75,78,74,69,73,71,68,67,69,68
08/02/1963,75,78,74,69,73,71,68,67,69,68
08/05/1963,75,78,74,69,73,71,68,67,69,68
08/06/1963,75,77,74,69,73,71,68,67,69,68
08/07/1963,74,78,74,69,72,71,68,67,69,68
08/08/1963,75,77,74,69,73,71,68,67,69,68
08/09/1963,75,78,74,69,73,71,68,67,69,68
08/12/1963,75,78,73,69,73,71,68,67,69,68
08/13/1963,75,78,74,69,73,71,68,67,69,68
08/14/1963,75,78,74,69,73,71,68,66,69,68
08/15/1963,75,78,74,69,73,71,68,67,69,68
08/16/1963,75,78,74,69,73,71,68,67,69,68
08/19/1963,75,78,73,69,73,71,68,66,69,68
08/20/1963,75,78,73,69,73,71,68,67,69,68
08/21/1963,75,78,73,69,73,71,68,67,69,68
08/22/1963,75,78,73,69,73,71,68,67,69,68
08/23/1963,75,78,73,69,73,71,68,67,69,68
08/26/1963,75,78,73,69,73,71,68,67,69,68
08/27/1963,75,78,73,69,73,71,68,67,69,68
08/28/1963,75,78,73,69,73,71,68,67,69,68
08/29/1963,75,78,73,69,73,71,67,67,69,68
08/30/1963,75,78,73,69,73,71,68,67,69,68
09/03/1963,67,65,65,68,62,64,70,77,87,93
09/04/1963,67,65,65,68,62,64,70,78,87,93
09/05/1963,67,65,65,68,62,64,70,78,87,93
09/06/1963,67,65,65,68,62,64,70,78,87,92
09/09/1963,67,65,65,68,62,64,70,77,86,92
09/10/1963,67,65,65,67,62,64,70,77,87,92
09/11/1963,67,65,65,67,62,64,70,77,87,92
09/12/1963,67,65,65,68,62,64,70,77,87,92
09/13/1963,67,65,65,68,62,64,70,77,87,92
09/16/1963,67,65,65,68,62,64,70,77,87,92
09/17/1963,67,65,65,68,62,64,70,77,87,92
09/18/1963,67,65,65,68,62,64,70,77,87,92
09/19/1963,67,65,65,68,62,64,70,77,87,92
09/20/1963,67,65,65,68,62,64,70,77,87,92
09/23/1963,67,65,65,68,62,64,70,77,87,92
09/24/1963,67,65,65,68,62,64,70,77,87,92
09/25/1963,67,65,65,68,62,64,70,77,87,92
09/26/1963,67,65,65,68,62,64,70,76,87,92
09/27/1963,67,65,65,68,62,64,70,77,87,92
09/30/1963,67,65,64,68,61,64,70,77,87,92
10/01/1963,79,78,69,69,74,69,68,66,69,67
10/02/1963,79,78,69,69,73,69,68,66,69,67
10/03/1963,79,78,69,69,74,69,68,66,69,67
10/04/1963,79,77,69,69,74,69,68,66,69,67
10/07/1963,79,78,69,69,74,69,67,66,69,67
10/08/1963,79,78,68,68,74,69,67,65,69,67
10/09/1963,79,77,69,69,74,69,67,66,69,67
10/10/1963,79,78,69,69,74,69,67,66,69,67
10/11/1963,78,78,69,69,74,69,67,66,68,67
10/14/1963,79,78,69,69,74,69,66,66,69,66
10/15/1963,79,78,69,69,74,69,67,66,69,67
10/16/1963,78,78,69,69,74,68,67,66,69,67
10/17/1963,79,78,69,69,73,69,67,66,69,67
10/18/1963,79,78,69,69,74,67,67,66,69,66
10/21/1963,79,78,69,69,74,69,67,66,69,66
10/22/1963,79,78,69,69,74,69,67,66,68,66
10/23/1963,78,78,69,69,74,69,67,66,68,66
10/24/1963,79,78,69,69,73,69,67,66,68,66
10/25/1963,78,78,69,69,74,69,67,66,68,66
10/28/1963,78,78,69,69,74,69,67,65,68,66
10/29/1963,78,78,69,69,74,69,67,66,68,66
10/30/1963,78,78,69,69,74,69,67,65,68,66
10/31/1963,78,78,69,69,74,69,67,66,68,66
11/01/1963,69,67,66,70,71,76,70,67,71,79
11/04/1963,69,67,66,71,71,75,70,67,71,79
11/06/1963,69,67,66,71,71,75,70,67,71,79
11/07/1963,69,67,66,71,71,76,70,66,71,79
11/08/1963,69,67,66,71,71,76,70,67,71,78
11/11/1963,69,67,66,71,70,76,70,67,71,77
11/12/1963,69,66,66,70,71,76,70,67,71,79
11/13/1963,69,66,66,71,71,76,70,67,71,79
11/14/1963,69,66,66,71,71,75,69,66,70,79
11/15/1963,68,66,66,71,71,75,70,66,71,78
11/18/1963,68,66,66,71,71,76,70,67,71,79
11/19/1963,69,66,66,70,71,76,70,67,71,79
11/20/1963,69,66,66,71,71,76,69,67,71,79
11/21/1963,69,66,66,70,71,76,70,67,71,79
11/22/1963,69,66,66,71,70,76,70,67,71,78
11/26/1963,67,65,64,70,69,75,68,67,70,77
11/27/1963,69,66,65,70,71,75,70,67,71,79
11/29/1963,69,66,65,71,71,76,70,67,71,78
12/02/1963,73,69,71,73,81,70,65,68,67,72
12/03/1963,72,67,71,74,80,70,65,68,66,72
12/04/1963,73,69,71,74,81,70,65,68,67,72
12/05/1963,72,69,71,73,78,70,64,68,67,71
12/06/1963,73,69,71,74,80,70,65,68,67,72
12/09/1963,73,69,71,73,79,70,65,68,67,72
12/10/1963,72,69,70,74,79,70,64,68,67,71
12/11/1963,73,69,70,74,80,70,65,68,67,72
12/12/1963,73,69,71,73,79,70,65,67,66,72
12/13/1963,73,68,71,74,80,70,65,68,67,72
12/16/1963,73,69,71,74,79,70,65,68,67,72
12/17/1963,73,69,71,74,79,70,65,67,67,71
12/18/1963,73,69,70,74,80,70,65,68,67,72
12/19/1963,73,69,71,74,79,70,65,68,66,72
12/20/1963,73,69,71,74,80,70,65,68,66,72
12/23/1963,71,68,71,74,80,70,65,67,66,72
12/24/1963,72,69,71,73,80,69,65,68,67,72
12/26/1963,72,69,70,74,80,69,65,67,67,72
12/27/1963,72,68,71,74,80,70,65,68,67,72
12/30/1963,72,69,71,74,79,70,65,67,66,72
12/31/1963,72,69,70,74,80,70,65,66,67,72
01/02/1964,68,63,62,76,68,67,76,73,64,83
01/03/1964,68,63,62,77,68,69,76,74,63,83
01/06/1964,68,63,62,76,68,70,75,73,64,83
01/07/1964,68,63,62,76,68,70,76,73,64,83
01/08/1964,68,63,62,76,68,70,76,73,64,83
01/09/1964,67,63,62,76,68,70,76,74,64,83
01/10/1964,68,63,62,76,68,70,75,74,64,83
01/13/1964,68,63,62,75,68,70,75,74,64,83
01/14/1964,68,63,62,76,68,70,76,74,64,83
01/15/1964,68,63,62,76,68,70,76,73,64,83
01/16/1964,68,63,62,76,68,70,76,74,64,83
01/17/1964,67,63,62,76,68,69,75,74,64,83
01/20/1964,67,63,62,76,68,70,76,74,64,83
01/21/1964,67,63,62,76,68,70,76,74,64,83
01/22/1964,67,63,62,76,68,69,76,74,64,83
01/23/1964,67,63,61,76,68,70,76,74,64,83
01/24/1964,67,63,62,76,68,69,76,74,64,83
01/27/1964,67,63,62,76,68,70,76,74,64,83
01/28/1964,67,63,62,76,68,70,76,74,64,82
01/29/1964,67,63,62,76,68,70,76,71,64,83
01/30/1964,67,63,62,76,68,70,76,74,64,83
01/31/1964,67,63,62,76,68,70,76,74,64,83
02/03/1964,73,74,68,69,76,70,69,64,70,71
02/04/1964,73,74,68,69,77,70,68,64,70,71
02/05/1964,73,74,68,69,77,70,69,64,69,70
02/06/1964,73,74,68,69,77,70,69,64,70,71
02/07/1964,73,73,68,69,77,70,69,64,70,71
02/10/1964,73,74,68,69,77,70,69,64,70,71
02/11/1964,73,74,68,68,76,70,68,64,70,71
02/12/1964,73,74,68,69,77,70,69,64,70,71
02/13/1964,73,74,68,69,77,70,69,64,70,71
02/14/1964,73,74,68,69,77,70,69,64,70,71
02/17/1964,73,74,68,69,77,70,69,64,70,71
02/18/1964,73,74,67,69,77,70,68,64,70,71
02/19/1964,73,74,68,69,77,70,69,64,70,71
02/20/1964,73,74,68,69,77,70,69,64,70,71
02/24/1964,73,74,68,69,76,70,69,64,70,71
02/25/1964,73,74,68,69,77,70,69,64,70,71
02/26/1964,73,74,68,69,77,70,69,64,70,71
02/27/1964,73,74,68,69,77,70,69,64,69,71
02/28/1964,73,73,68,69,77,70,69,64,70,71
03/02/1964,71,65,65,67,68,72,76,75,71,77
03/03/1964,71,65,65,66,68,72,76,75,72,77
03/04/1964,71,65,65,67,68,72,75,75,72,76
03/05/1964,71,65,65,67,68,72,76,75,72,77
