date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,84,94,93,86,84,80,93,85,85,97
07/03/1963,84,94,93,86,84,80,93,85,85,97
07/05/1963,84,94,93,86,84,80,93,85,85,97
07/08/1963,84,94,93,86,83,80,93,85,85,97
07/09/1963,84,94,93,86,84,80,93,85,85,97
07/10/1963,84,94,93,86,84,80,93,85,85,97
07/11/1963,84,94,93,86,84,80,92,85,85,97
07/12/1963,84,94,93,86,84,80,93,85,85,97
07/15/1963,84,94,93,85,84,80,93,85,85,97
07/16/1963,84,94,93,86,84,80,93,85,85,97
07/17/1963,84,93,93,86,84,80,93,85,85,97
07/18/1963,84,94,93,86,84,80,93,85,85,97
07/19/1963,84,94,93,86,84,80,93,85,85,97
07/22/1963,84,94,93,86,84,80,93,84,85,97
07/23/1963,84,94,93,86,84,80,93,85,85,97
07/24/1963,84,94,92,86,84,80,93,85,85,97
07/25/1963,84,94,93,86,84,80,93,85,84,97
07/26/1963,84,94,93,86,84,80,93,85,85,97
07/29/1963,84,94,93,86,84,80,93,85,85,97
07/30/1963,84,94,93,86,84,80,93,85,85,97
07/31/1963,84,94,93,86,84,80,93,85,85,97
08/01/1963,84,94,93,86,84,80,93,85,85,97
08/02/1963,84,94,93,86,84,80,93,85,85,97
08/05/1963,84,94,93,86,84,80,93,85,85,97
08/06/1963,84,93,93,86,84,80,93,85,85,97
08/07/1963,84,94,93,86,84,80,93,85,85,96
08/08/1963,84,94,93,86,84,80,93,85,85,97
08/09/1963,84,94,93,86,84,80,93,85,85,96
08/12/1963,84,94,93,86,84,80,93,85,85,97
08/13/1963,84,94,93,86,84,80,93,85,85,97
08/14/1963,84,93,93,86,84,80,93,84,85,97
08/15/1963,84,94,93,86,84,80,93,85,85,97
08/16/1963,84,94,92,86,84,80,93,85,85,97
08/19/1963,84,94,93,86,84,80,92,85,85,96
08/20/1963,84,94,93,86,84,80,93,85,85,97
08/21/1963,84,94,93,86,84,80,93,85,85,97
08/22/1963,84,94,93,86,84,80,93,85,85,97
08/23/1963,84,94,93,86,84,80,93,85,85,97
08/26/1963,84,94,93,86,84,80,93,85,85,97
08/27/1963,84,94,93,86,84,80,93,85,85,97
08/28/1963,84,94,93,86,84,80,93,85,85,97
08/29/1963,84,94,93,86,84,80,93,85,85,97
08/30/1963,84,94,93,86,84,80,93,85,85,97
09/03/1963,84,94,93,86,84,80,93,85,85,97
09/04/1963,84,94,93,86,84,80,93,85,85,97
09/05/1963,84,94,92,86,84,80,93,85,85,97
09/06/1963,84,94,93,86,84,80,93,85,85,97
09/09/1963,84,94,93,86,84,80,93,85,85,97
09/10/1963,84,94,93,86,84,80,93,85,85,97
09/11/1963,84,94,93,86,84,80,93,85,85,97
09/12/1963,84,94,93,86,84,80,93,85,85,97
09/13/1963,84,94,92,86,84,80,93,85,85,97
09/16/1963,84,94,93,86,84,80,93,85,85,97
09/17/1963,84,94,93,86,84,80,93,85,85,97
09/18/1963,84,94,93,86,84,80,93,85,85,97
09/19/1963,84,94,93,86,84,80,93,85,85,97
09/20/1963,84,94,93,86,84,80,93,85,85,97
