date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,108,106,108,107,108,107,108,107,107,106
07/03/1963,108,107,108,107,108,107,108,107,108,107
07/05/1963,108,107,108,107,108,107,108,107,108,107
07/08/1963,108,107,108,107,108,106,107,107,108,106
07/09/1963,108,107,108,107,108,107,108,107,108,106
07/10/1963,108,107,108,107,108,107,108,107,108,106
07/11/1963,108,106,108,107,108,107,108,107,108,106
07/12/1963,108,107,108,107,108,107,108,107,108,106
07/15/1963,108,107,108,107,108,107,108,107,107,106
07/16/1963,108,107,108,107,108,107,108,107,108,106
07/17/1963,108,107,108,107,108,107,108,107,108,106
07/18/1963,108,107,108,107,108,107,108,107,108,106
07/19/1963,108,107,108,107,108,107,108,106,108,106
07/22/1963,107,107,108,107,108,107,108,107,108,106
07/23/1963,108,107,108,107,108,107,108,107,108,106
07/24/1963,108,107,108,107,108,107,108,107,108,106
07/25/1963,108,107,108,107,108,107,108,107,107,106
07/26/1963,108,107,108,107,108,107,108,107,108,106
07/29/1963,107,107,108,107,108,107,108,106,108,106
07/30/1963,107,107,108,107,108,107,108,106,108,106
07/31/1963,107,107,108,107,108,107,107,106,108,106
08/01/1963,108,108,108,108,107,108,108,108,108,107
08/02/1963,108,108,108,108,107,108,108,108,108,107
08/05/1963,108,108,108,108,107,108,108,108,108,107
08/06/1963,107,108,108,108,107,108,108,108,108,107
08/07/1963,108,108,108,108,107,108,107,108,108,107
08/08/1963,108,108,108,108,107,108,108,108,108,107
08/09/1963,108,108,108,108,107,107,108,108,108,107
08/12/1963,108,108,108,108,107,108,108,108,108,107
08/13/1963,108,108,108,108,107,108,107,108,108,107
08/14/1963,108,108,108,108,107,108,108,107,108,107
08/15/1963,108,108,108,108,107,108,108,108,108,107
08/16/1963,108,108,108,108,107,108,108,108,108,107
08/19/1963,107,108,108,108,107,108,108,108,108,107
08/20/1963,107,108,108,108,107,108,108,108,108,107
08/21/1963,107,108,108,108,107,108,108,108,108,107
08/22/1963,107,108,108,108,107,108,108,108,108,107
08/23/1963,107,108,108,108,107,108,108,108,108,107
08/26/1963,107,108,108,108,107,108,108,108,108,107
08/27/1963,107,108,108,108,107,108,108,108,108,107
08/28/1963,107,108,108,108,107,108,108,108,108,107
08/29/1963,107,108,108,108,107,108,108,108,108,107
08/30/1963,107,108,108,108,107,108,108,108,108,107
09/03/1963,108,108,108,108,108,108,108,108,108,107
09/04/1963,108,108,108,108,108,108,108,108,108,107
09/05/1963,108,108,108,108,108,108,108,107,108,107
09/06/1963,108,108,108,108,108,108,108,108,108,107
09/09/1963,108,108,108,108,108,108,108,108,108,107
09/10/1963,108,108,108,108,108,108,108,108,108,107
09/11/1963,108,108,108,108,108,108,108,108,108,107
09/12/1963,108,108,108,108,108,108,108,108,108,107
09/13/1963,108,108,108,108,108,108,108,108,108,107
09/16/1963,108,108,108,108,108,108,108,108,108,107
09/17/1963,108,108,108,108,108,108,108,108,108,107
09/18/1963,108,108,108,108,108,108,108,107,108,107
09/19/1963,108,108,108,108,108,108,108,108,108,107
09/20/1963,108,108,108,108,108,108,108,108,108,107
09/23/1963,108,108,108,108,108,108,108,108,108,107
09/24/1963,108,108,108,108,108,108,108,108,108,107
09/25/1963,108,108,108,108,108,108,108,108,108,107
09/26/1963,108,108,108,108,108,108,108,108,108,107
09/27/1963,108,108,108,108,108,108,108,108,108,107
09/30/1963,108,108,108,108,108,108,107,108,108,107
10/01/1963,108,108,108,108,108,108,108,108,108,107
10/02/1963,108,108,108,108,107,108,108,108,108,107
10/03/1963,108,108,108,108,108,108,108,108,108,107
10/04/1963,108,108,108,108,108,108,108,108,107,107
10/07/1963,108,108,108,108,108,107,108,108,108,107
10/08/1963,108,108,107,108,108,107,108,108,108,107
10/09/1963,108,108,107,108,108,107,108,108,108,107
10/10/1963,108,108,107,108,108,107,108,108,108,107
10/11/1963,108,108,107,108,108,107,108,108,108,107
10/14/1963,108,108,107,108,108,107,108,108,108,107
10/15/1963,108,108,107,108,108,107,108,108,108,106
10/16/1963,108,108,107,108,108,107,108,108,108,106
10/17/1963,108,108,107,108,108,107,108,108,108,106
10/18/1963,107,108,107,108,108,107,108,108,108,106
10/21/1963,107,108,107,108,108,107,108,108,108,106
10/22/1963,107,108,107,108,107,107,108,108,108,106
10/23/1963,107,108,107,108,107,107,108,108,108,106
