date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,156,109,110,109,110,360,,,80,194
07/03/1963,156,110,110,110,110,360,,,80,194
07/05/1963,156,110,110,110,110,360,,,80,194
07/08/1963,155,109,110,110,110,359,,,80,193
07/09/1963,155,110,110,110,110,360,,,80,194
07/10/1963,155,110,110,110,110,360,,,80,194
07/11/1963,155,110,109,110,110,360,,,80,194
07/12/1963,155,110,110,110,110,360,,,80,194
07/15/1963,155,110,110,110,110,360,,,80,193
07/16/1963,155,110,110,110,110,360,,,80,193
07/17/1963,155,110,110,110,110,360,,,80,194
07/18/1963,154,110,110,110,110,360,,,80,194
07/19/1963,155,110,110,110,110,359,,,80,193
07/22/1963,155,110,110,110,110,359,,,80,193
07/23/1963,155,110,110,110,110,360,,,80,193
07/24/1963,155,110,110,110,110,360,,,80,193
07/25/1963,155,110,109,110,110,360,,,80,193
07/26/1963,155,110,110,110,110,360,,,80,193
07/29/1963,155,110,110,110,110,358,,,80,191
07/30/1963,155,110,110,110,110,358,,,80,193
07/31/1963,155,110,110,110,110,357,,,80,193
08/01/1963,186,1581,,,,,,,,110
08/02/1963,186,1578,,,,,,,,110
08/05/1963,185,1578,,,,,,,,110
08/06/1963,186,1577,,,,,,,,110
08/07/1963,185,1575,,,,,,,,110
08/08/1963,186,1577,,,,,,,,110
08/09/1963,185,1577,,,,,,,,110
08/12/1963,186,1575,,,,,,,,110
08/13/1963,186,1577,,,,,,,,109
08/14/1963,186,1575,,,,,,,,110
08/15/1963,186,1576,,,,,,,,110
08/16/1963,186,1576,,,,,,,,110
08/19/1963,186,1573,,,,,,,,110
08/20/1963,186,1576,,,,,,,,110
08/21/1963,186,1576,,,,,,,,110
08/22/1963,186,1575,,,,,,,,110
08/23/1963,186,1576,,,,,,,,110
08/26/1963,186,1575,,,,,,,,110
08/27/1963,186,1576,,,,,,,,110
08/28/1963,186,1576,,,,,,,,110
08/29/1963,186,1576,,,,,,,,110
08/30/1963,186,1575,,,,,,,,110
09/03/1963,185,1581,,,,,,,,112
09/04/1963,185,1582,,,,,,,,112
09/05/1963,185,1581,,,,,,,,112
09/06/1963,185,1580,,,,,,,,112
09/09/1963,185,1578,,,,,,,,112
09/10/1963,185,1577,,,,,,,,112
09/11/1963,185,1577,,,,,,,,112
09/12/1963,185,1579,,,,,,,,112
09/13/1963,185,1578,,,,,,,,112
09/16/1963,185,1579,,,,,,,,112
09/17/1963,185,1577,,,,,,,,112
09/18/1963,185,1578,,,,,,,,112
09/19/1963,185,1577,,,,,,,,112
09/20/1963,185,1579,,,,,,,,111
