date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/01/1971,,,,,,,,,,1
12/02/1971,,,,,,,,,,1
12/03/1971,,,,,,,,,,1
12/06/1971,,,,,,,,,,1
12/07/1971,,,,,,,,,,1
12/08/1971,,,,,,,,,,1
12/09/1971,,,,,,,,,,1
12/10/1971,,,,,,,,,,1
12/13/1971,,,,,,,,,,1
12/14/1971,,,,,,,,,,1
12/15/1971,,,,,,,,,,1
12/16/1971,,,,,,,,,,1
12/17/1971,,,,,,,,,,1
12/20/1971,,,,,,,,,,1
12/21/1971,,,,,,,,,,1
12/22/1971,,,,,,,,,,1
12/23/1971,,,,,,,,,,1
12/27/1971,,,,,,,,,,1
12/28/1971,,,,,,,,,,1
12/29/1971,,,,,,,,,,1
12/30/1971,,,,,,,,,,1
12/31/1971,,,,,,,,,,1
01/03/1972,,,,,2,,,,,1
01/04/1972,,,,,2,,,,,1
01/05/1972,,,,,2,,,,,1
01/06/1972,,,,,2,,,,,1
01/07/1972,,,,,2,,,,,1
01/10/1972,,,,,2,,,,,1
01/11/1972,,,,,2,,,,,1
01/12/1972,,,,,2,,,,,1
01/13/1972,,,,,2,,,,,1
01/14/1972,,,,,2,,,,,1
01/17/1972,,,,,2,,,,,1
01/18/1972,,,,,2,,,,,1
01/19/1972,,,,,2,,,,,1
01/20/1972,,,,,2,,,,,1
01/21/1972,,,,,2,,,,,1
01/24/1972,,,,,2,,,,,1
01/25/1972,,,,,2,,,,,1
01/26/1972,,,,,2,,,,,1
01/27/1972,,,,,2,,,,,1
01/28/1972,,,,,2,,,,,1
01/31/1972,,,,,2,,,,,1
02/01/1972,6,4,3,5,3,4,3,3,5,3
02/02/1972,6,4,3,5,3,4,3,3,5,3
02/03/1972,6,4,3,5,3,4,3,3,5,3
02/04/1972,6,4,3,5,3,4,3,3,5,3
02/07/1972,6,4,3,5,3,4,3,3,5,3
02/08/1972,6,4,3,5,3,4,3,3,5,3
02/09/1972,6,4,3,5,3,4,3,3,5,3
02/10/1972,6,4,3,5,3,4,3,3,5,3
02/11/1972,6,4,3,5,3,4,3,3,5,3
02/14/1972,6,4,3,5,3,4,3,3,5,3
02/15/1972,6,4,3,5,3,4,3,3,5,3
02/16/1972,6,4,3,5,3,4,3,3,5,3
02/17/1972,6,4,3,5,3,4,3,3,5,3
02/18/1972,6,4,3,5,3,4,3,3,5,3
02/22/1972,6,4,3,5,3,4,3,3,5,3
02/23/1972,6,4,3,5,3,4,3,3,5,3
02/24/1972,6,4,3,5,3,4,3,3,5,3
02/25/1972,6,4,3,5,3,4,3,3,5,3
02/28/1972,6,4,3,5,3,4,3,3,5,3
02/29/1972,6,4,3,5,3,4,3,3,5,3
03/01/1972,12,11,8,10,11,7,14,7,11,8
03/02/1972,12,11,8,10,11,7,14,7,11,8
03/03/1972,12,11,8,10,11,7,14,7,11,8
03/06/1972,12,11,8,10,11,7,14,7,11,8
03/07/1972,12,11,8,10,11,7,14,7,11,8
03/08/1972,12,11,8,10,11,7,14,7,11,8
03/09/1972,12,11,8,10,11,7,14,7,11,8
03/10/1972,12,11,8,10,11,7,14,7,11,8
03/13/1972,12,11,8,10,11,7,14,7,11,8
03/14/1972,12,11,8,10,11,7,14,7,11,8
03/15/1972,12,11,8,10,11,7,14,7,11,8
03/16/1972,12,11,8,10,11,7,14,7,11,8
03/17/1972,12,11,8,10,11,7,14,7,11,8
03/20/1972,12,11,8,10,11,7,14,7,11,8
03/21/1972,12,11,8,10,11,7,14,7,11,8
03/22/1972,12,11,8,10,11,7,14,7,11,8
03/23/1972,12,11,8,10,11,7,14,7,11,8
03/24/1972,12,11,8,10,11,7,14,7,11,8
03/27/1972,12,11,8,10,11,7,14,7,11,8
03/28/1972,12,11,8,10,11,7,14,7,11,8
03/29/1972,12,11,8,10,11,7,14,7,11,8
03/30/1972,12,11,8,10,11,7,14,7,11,8
04/03/1972,17,21,12,11,16,13,17,13,12,15
04/04/1972,17,21,12,11,16,13,17,13,12,15
04/05/1972,17,21,12,11,16,13,17,13,12,15
04/06/1972,17,21,12,11,16,13,17,13,12,15
04/07/1972,17,21,12,11,16,13,17,13,12,15
04/10/1972,17,21,12,11,16,13,17,13,12,15
04/11/1972,17,21,12,11,16,13,17,13,12,15
04/12/1972,17,21,12,11,16,13,17,13,12,15
04/13/1972,17,21,12,11,16,13,17,13,12,15
04/14/1972,17,21,12,11,16,13,17,13,12,15
04/17/1972,17,21,12,11,16,13,17,13,12,15
04/18/1972,17,21,12,11,16,13,17,13,12,15
04/19/1972,17,21,12,11,16,13,17,13,12,15
04/20/1972,17,21,12,11,16,13,17,13,12,15
04/21/1972,17,21,12,11,16,13,17,13,12,15
04/24/1972,17,21,12,11,16,13,17,13,12,15
04/25/1972,17,21,12,11,16,13,17,13,12,15
04/26/1972,17,21,12,11,16,13,17,13,12,15
04/27/1972,17,21,12,11,16,13,17,13,12,15
04/28/1972,17,21,12,11,16,13,17,13,12,15
05/01/1972,37,34,24,33,25,27,30,26,27,33
05/02/1972,37,34,24,33,25,27,30,26,27,33
05/03/1972,37,34,24,33,25,27,30,26,27,33
05/04/1972,37,34,24,33,25,27,30,26,27,33
05/05/1972,37,34,24,33,25,27,30,26,27,33
05/08/1972,37,34,24,33,25,27,30,26,27,33
05/09/1972,37,34,24,33,25,27,30,26,27,33
05/10/1972,37,34,24,33,25,27,30,26,27,33
05/11/1972,37,34,24,33,25,27,30,26,27,33
