date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,99,93,79,82,86,87,85,84,91,93
07/03/1963,99,93,79,82,86,87,85,84,91,93
07/05/1963,99,93,79,82,86,87,85,84,91,93
07/08/1963,99,93,79,82,86,87,84,84,91,93
07/09/1963,99,93,79,82,86,87,85,84,91,93
07/10/1963,99,93,79,82,86,87,85,84,91,93
07/11/1963,99,93,79,82,86,86,85,84,91,93
07/12/1963,99,93,79,82,86,87,85,84,91,93
07/15/1963,99,93,79,82,86,87,85,84,90,93
07/16/1963,99,93,79,82,86,87,85,84,91,93
07/17/1963,99,93,79,82,86,87,85,84,90,93
07/18/1963,99,93,79,82,86,87,85,84,91,93
07/19/1963,99,93,79,82,86,87,85,84,91,93
07/22/1963,99,92,79,82,86,87,85,84,91,93
07/23/1963,99,93,79,82,86,87,85,84,91,93
07/24/1963,99,93,79,82,86,87,85,84,90,93
07/25/1963,99,93,78,82,86,87,85,84,91,93
07/26/1963,99,93,79,82,86,87,85,84,91,93
07/29/1963,99,93,79,82,86,87,85,84,91,93
07/30/1963,99,93,79,82,86,87,85,84,91,93
07/31/1963,99,93,79,82,86,87,85,84,91,93
08/01/1963,99,93,79,82,86,87,85,84,91,93
08/02/1963,99,93,79,82,86,87,85,84,91,93
08/05/1963,99,93,79,82,86,87,85,84,91,93
08/06/1963,99,93,79,82,86,87,85,84,91,92
08/07/1963,98,93,79,82,86,87,85,84,91,93
08/08/1963,99,93,79,82,86,87,85,84,91,93
08/09/1963,99,92,79,82,86,87,85,84,91,93
08/12/1963,99,93,79,82,86,87,85,84,91,93
08/13/1963,99,93,79,82,86,87,85,84,91,93
08/14/1963,99,93,79,82,85,86,85,84,91,93
08/15/1963,99,93,79,82,86,87,85,84,91,93
08/16/1963,99,93,79,82,86,87,85,84,90,93
08/19/1963,98,93,79,82,85,87,85,84,91,93
08/20/1963,99,93,79,82,86,87,85,84,91,93
08/21/1963,99,93,79,82,86,87,85,84,91,93
08/22/1963,99,93,79,82,86,87,85,84,91,93
08/23/1963,99,93,79,82,86,87,85,84,91,93
08/26/1963,99,93,79,82,86,87,85,84,91,93
08/27/1963,99,93,79,82,86,87,85,84,91,93
08/28/1963,99,93,79,82,86,87,85,84,91,93
08/29/1963,99,93,79,82,86,87,85,84,91,93
08/30/1963,99,93,79,82,86,87,85,84,91,93
09/03/1963,99,93,79,82,86,87,85,84,91,93
09/04/1963,99,93,79,82,86,87,85,84,91,93
09/05/1963,99,93,79,82,86,86,85,84,91,93
09/06/1963,99,93,79,82,86,87,85,84,91,93
09/09/1963,99,93,79,82,86,87,85,84,91,93
09/10/1963,99,93,79,82,86,87,85,84,91,93
09/11/1963,99,93,79,82,86,87,85,84,91,93
09/12/1963,99,93,79,82,86,87,85,84,91,93
09/13/1963,99,93,79,82,86,87,85,84,90,93
09/16/1963,99,93,79,82,86,87,85,84,91,93
09/17/1963,99,93,79,82,86,87,85,84,91,93
09/18/1963,99,93,79,82,86,87,85,84,91,93
09/19/1963,99,93,79,82,86,87,85,84,91,93
09/20/1963,99,93,79,82,86,87,85,84,91,93
09/23/1963,99,93,79,82,86,87,85,84,91,93
09/24/1963,99,93,79,81,86,87,85,84,90,93
09/25/1963,99,93,79,82,86,87,85,84,91,93
09/26/1963,99,92,79,82,86,87,85,84,91,93
09/27/1963,99,93,79,82,86,87,85,84,91,93
09/30/1963,99,93,79,81,86,87,84,84,91,93
10/01/1963,99,93,79,82,86,87,85,84,91,93
10/02/1963,99,93,79,82,86,87,85,84,91,93
10/03/1963,99,93,79,82,86,87,85,84,91,93
10/04/1963,99,93,79,81,86,87,85,84,91,93
10/07/1963,99,93,79,82,86,87,85,84,91,93
10/08/1963,98,93,79,82,86,87,85,83,91,93
10/09/1963,99,93,79,82,86,87,85,84,91,93
10/10/1963,99,93,79,82,86,87,85,84,91,93
10/11/1963,99,93,79,82,86,87,85,84,91,93
10/14/1963,99,93,79,82,86,87,85,84,91,93
10/15/1963,99,93,79,82,86,87,85,84,91,93
10/16/1963,99,93,79,82,86,87,85,84,91,93
10/17/1963,99,93,79,82,86,87,85,84,91,93
10/18/1963,99,93,79,82,86,87,85,84,91,93
10/21/1963,99,93,79,82,86,87,85,84,90,92
10/22/1963,99,92,79,82,86,87,85,84,91,93
10/23/1963,99,93,79,82,86,87,85,83,91,93
10/24/1963,99,93,79,82,86,87,85,84,91,93
10/25/1963,99,93,79,82,86,87,85,84,90,93
10/28/1963,99,93,79,82,86,87,85,84,91,93
10/29/1963,99,93,79,82,86,87,85,84,91,93
10/30/1963,99,93,79,82,86,87,85,84,91,93
10/31/1963,99,93,79,82,86,87,85,84,91,93
11/01/1963,99,93,79,82,86,87,84,84,90,93
11/04/1963,99,93,79,82,86,86,85,84,91,93
11/06/1963,99,93,79,82,86,87,85,84,91,93
11/07/1963,99,93,79,82,86,87,85,84,91,93
11/08/1963,99,93,79,82,86,87,85,83,91,93
11/11/1963,99,93,79,81,86,87,85,84,91,92
11/12/1963,99,93,79,82,86,87,85,84,90,93
11/13/1963,99,93,79,82,86,87,85,84,91,93
11/14/1963,99,93,79,82,86,85,85,84,91,91
11/15/1963,99,93,79,82,86,87,85,84,90,92
11/18/1963,99,93,79,82,86,87,85,84,91,92
11/19/1963,99,93,79,82,86,87,85,84,91,93
11/20/1963,99,93,79,82,86,87,85,84,91,93
11/21/1963,99,93,79,81,86,87,85,84,91,93
11/22/1963,99,93,79,82,86,87,85,84,91,93
11/26/1963,96,91,78,79,84,87,85,83,90,92
11/27/1963,98,93,79,82,86,87,85,84,91,93
11/29/1963,99,93,79,82,85,87,85,84,91,93
12/02/1963,99,93,79,82,86,86,85,84,90,93
12/03/1963,98,93,79,82,86,86,85,83,91,93
12/04/1963,99,93,79,82,86,87,85,84,91,93
12/05/1963,99,92,79,82,85,87,85,84,90,91
12/06/1963,99,93,79,82,86,87,85,84,90,93
12/09/1963,99,93,79,81,85,86,85,84,91,93
12/10/1963,98,92,79,81,86,87,85,84,90,93
12/11/1963,99,92,79,82,86,87,84,84,90,93
12/12/1963,99,93,79,82,86,87,83,84,91,93
12/13/1963,99,93,79,82,86,87,85,84,91,93
12/16/1963,99,92,79,81,86,87,85,84,91,92
12/17/1963,99,93,79,82,86,87,84,84,90,92
12/18/1963,99,93,79,82,86,87,85,84,90,92
12/19/1963,99,93,79,82,85,87,85,84,91,93
12/20/1963,99,93,79,82,86,87,85,84,91,93
12/23/1963,99,93,79,82,85,87,84,84,91,93
12/24/1963,99,93,79,82,86,87,85,84,91,93
12/26/1963,99,93,79,82,86,87,84,84,91,93
12/27/1963,99,93,79,82,86,87,85,84,91,93
12/30/1963,99,93,79,81,86,86,84,84,91,93
12/31/1963,99,93,79,82,86,87,85,84,90,93
01/02/1964,99,93,79,82,85,87,84,84,91,92
01/03/1964,99,93,79,82,86,87,85,84,90,93
01/06/1964,99,93,79,82,86,87,85,84,91,92
01/07/1964,99,93,79,82,86,87,85,84,91,92
01/08/1964,98,93,79,82,86,87,85,84,91,92
01/09/1964,99,93,79,82,86,87,85,84,91,91
01/10/1964,99,92,79,82,86,87,85,84,91,93
01/13/1964,97,93,79,82,86,86,85,84,91,93
01/14/1964,99,93,79,82,86,87,85,84,90,93
01/15/1964,99,93,79,82,86,87,85,84,91,93
01/16/1964,99,93,79,82,86,87,84,84,91,93
01/17/1964,98,93,79,81,86,87,85,84,91,93
01/20/1964,99,93,79,82,86,87,84,84,91,93
01/21/1964,98,93,79,82,86,87,84,84,91,93
01/22/1964,98,93,79,82,86,87,84,84,91,93
01/23/1964,99,93,79,82,86,87,85,84,91,92
01/24/1964,99,93,78,82,86,86,85,84,91,93
01/27/1964,99,93,79,82,86,87,85,84,91,93
01/28/1964,98,93,79,82,86,87,85,84,91,93
01/29/1964,99,93,79,82,86,87,85,84,91,92
01/30/1964,99,93,79,82,86,87,85,84,91,93
01/31/1964,99,93,79,82,86,86,85,84,90,93
02/03/1964,99,93,79,81,86,87,85,84,91,93
02/04/1964,99,93,79,82,86,87,85,84,91,93
02/05/1964,99,92,79,82,86,87,85,84,91,93
02/06/1964,99,93,79,82,86,87,85,84,91,93
02/07/1964,99,93,79,82,86,87,85,84,91,93
02/10/1964,99,93,79,82,86,87,85,84,91,93
02/11/1964,99,93,79,82,85,87,85,84,91,93
02/12/1964,99,93,79,82,86,87,85,84,91,93
02/13/1964,99,93,79,82,86,87,85,84,91,93
02/14/1964,99,93,79,82,86,87,85,84,91,92
02/17/1964,99,93,79,82,86,87,85,84,91,93
02/18/1964,99,93,79,82,86,87,84,84,91,93
02/19/1964,99,93,78,82,85,87,84,84,91,93
02/20/1964,99,93,79,82,86,87,85,84,91,93
02/24/1964,99,93,79,82,86,87,85,84,91,93
02/25/1964,99,93,79,82,86,87,85,84,91,93
02/26/1964,99,93,79,82,86,87,85,84,91,93
02/27/1964,99,93,79,82,86,87,85,84,91,93
02/28/1964,99,93,78,82,86,87,85,84,91,93
03/02/1964,99,93,79,81,86,86,85,84,91,93
03/03/1964,99,92,79,82,86,87,85,84,91,93
03/04/1964,99,92,78,82,86,86,85,84,91,93
03/05/1964,99,93,79,82,86,87,85,84,91,93
03/06/1964,98,93,79,82,86,87,85,84,91,93
03/09/1964,99,93,79,82,86,87,85,84,91,93
03/10/1964,99,93,79,82,86,87,85,84,91,92
03/11/1964,99,93,79,82,86,87,85,84,91,93
03/12/1964,99,93,79,82,86,87,85,84,91,93
03/13/1964,99,93,79,82,86,87,85,84,91,93
03/16/1964,99,93,79,82,86,87,84,84,91,93
03/17/1964,99,93,79,82,86,87,85,84,91,93
03/18/1964,99,92,79,82,86,87,85,84,90,93
03/19/1964,99,93,79,82,86,87,85,84,91,93
03/20/1964,99,93,79,82,86,87,85,84,91,93
03/23/1964,99,93,79,82,86,87,85,84,91,93
03/24/1964,99,93,79,82,86,87,85,84,91,93
03/25/1964,98,93,79,82,85,87,85,84,91,93
03/26/1964,99,93,78,81,86,86,85,84,91,92
03/30/1964,99,93,78,81,85,87,85,84,91,93
03/31/1964,99,93,79,82,86,87,85,84,90,93
