date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/02/1971,,,,,,,,,,1
08/03/1971,,,,,,,,,,1
08/04/1971,,,,,,,,,,1
08/05/1971,,,,,,,,,,1
08/06/1971,,,,,,,,,,1
08/09/1971,,,,,,,,,,1
08/10/1971,,,,,,,,,,1
08/11/1971,,,,,,,,,,1
08/12/1971,,,,,,,,,,1
08/13/1971,,,,,,,,,,1
08/16/1971,,,,,,,,,,1
08/17/1971,,,,,,,,,,1
08/18/1971,,,,,,,,,,1
08/19/1971,,,,,,,,,,1
08/20/1971,,,,,,,,,,1
08/23/1971,,,,,,,,,,1
08/24/1971,,,,,,,,,,1
08/25/1971,,,,,,,,,,1
08/26/1971,,,,,,,,,,1
08/27/1971,,,,,,,,,,1
08/30/1971,,,,,,,,,,1
08/31/1971,,,,,,,,,,1
09/01/1971,,,,,1,,,,,1
09/02/1971,,,,,1,,,,,1
09/03/1971,,,,,1,,,,,1
09/07/1971,,,,,1,,,,,1
09/08/1971,,,,,1,,,,,1
09/09/1971,,,,,1,,,,,1
09/10/1971,,,,,1,,,,,1
09/13/1971,,,,,1,,,,,1
09/14/1971,,,,,1,,,,,1
09/15/1971,,,,,1,,,,,1
09/16/1971,,,,,1,,,,,1
09/17/1971,,,,,1,,,,,1
09/20/1971,,,,,1,,,,,1
09/21/1971,,,,,1,,,,,1
09/22/1971,,,,,1,,,,,1
09/23/1971,,,,,1,,,,,1
09/24/1971,,,,,1,,,,,1
09/27/1971,,,,,1,,,,,1
09/28/1971,,,,,1,,,,,1
09/29/1971,,,,,1,,,,,1
09/30/1971,,,,,1,,,,,1
10/01/1971,6,12,5,7,5,5,6,9,4,7
10/04/1971,6,12,5,7,5,5,6,9,4,7
10/05/1971,6,11,5,7,5,5,6,9,4,7
10/06/1971,6,12,5,7,5,5,6,9,4,7
10/07/1971,6,12,5,7,5,5,6,9,4,7
10/08/1971,6,12,5,7,5,5,6,9,4,7
10/11/1971,6,12,5,7,5,5,6,9,4,7
10/12/1971,6,12,5,7,5,5,6,9,4,7
10/13/1971,6,11,5,7,5,5,6,9,4,7
10/14/1971,6,11,5,7,5,5,6,9,4,7
10/15/1971,6,11,5,7,5,5,6,9,4,7
10/18/1971,6,11,4,7,5,5,6,9,4,7
10/19/1971,6,11,5,7,5,5,6,9,4,7
10/20/1971,6,12,5,7,5,5,6,9,4,7
10/21/1971,6,11,5,7,5,5,6,9,4,7
10/22/1971,6,12,5,7,5,5,6,9,4,7
10/25/1971,6,12,5,7,5,5,6,9,4,7
10/26/1971,6,12,5,7,5,5,6,9,4,7
10/27/1971,6,12,5,7,5,5,6,9,4,7
10/28/1971,6,12,5,7,5,5,6,9,4,7
10/29/1971,6,12,5,7,5,5,6,9,4,7
11/01/1971,105,86,81,80,81,69,77,73,80,78
11/02/1971,105,86,81,80,81,69,77,73,80,78
11/03/1971,105,86,81,80,81,69,77,73,80,78
11/04/1971,105,86,81,80,81,69,77,73,80,78
11/05/1971,105,85,81,80,81,69,77,73,80,78
11/08/1971,105,86,81,80,81,69,77,73,80,78
11/09/1971,105,85,81,80,81,69,77,73,80,78
11/10/1971,105,86,81,80,81,69,77,73,80,78
11/11/1971,105,85,81,80,81,69,77,73,80,78
11/12/1971,105,86,81,80,81,69,77,73,80,78
11/15/1971,105,86,81,80,81,69,77,73,80,78
11/16/1971,105,86,81,80,81,69,77,73,80,78
11/17/1971,105,86,81,80,81,69,77,73,80,78
11/18/1971,105,86,81,80,81,69,77,73,80,78
11/19/1971,105,86,81,80,81,69,77,73,80,78
11/22/1971,105,86,81,80,81,69,77,73,80,78
11/23/1971,105,86,81,80,81,69,77,73,79,78
11/24/1971,105,86,81,80,81,69,77,73,80,78
11/26/1971,105,86,81,80,81,69,77,73,80,78
11/29/1971,105,86,81,80,81,69,77,73,80,78
11/30/1971,105,86,81,80,81,69,77,73,80,78
12/01/1971,186,126,121,114,122,100,116,110,121,121
12/02/1971,186,125,121,114,122,100,116,110,121,121
12/03/1971,186,125,121,114,122,100,116,110,121,121
12/06/1971,186,125,121,114,122,100,116,110,121,121
12/07/1971,186,124,121,114,121,100,116,110,121,121
12/08/1971,186,125,121,114,122,100,116,110,121,121
12/09/1971,186,125,121,114,122,100,116,110,121,121
12/10/1971,186,125,121,114,122,100,116,110,121,121
12/13/1971,186,125,121,114,122,100,116,110,121,121
12/14/1971,186,125,121,114,122,100,116,110,121,121
12/15/1971,186,125,121,114,122,100,116,110,121,121
12/16/1971,186,125,121,114,122,100,116,110,121,121
12/17/1971,186,124,121,114,122,100,116,110,121,121
12/20/1971,186,124,121,114,122,100,116,110,121,121
12/21/1971,186,125,121,114,122,100,116,110,121,121
12/22/1971,186,125,121,114,122,100,116,110,121,121
12/23/1971,186,125,121,114,122,100,116,110,121,121
12/27/1971,186,125,121,114,122,100,116,110,121,121
12/28/1971,186,125,121,114,122,100,116,110,121,121
12/29/1971,186,125,121,114,122,100,116,110,121,121
12/30/1971,186,125,121,114,122,100,116,110,121,121
12/31/1971,186,125,121,114,122,100,116,110,121,121
01/03/1972,203,133,128,120,127,107,122,117,126,129
01/04/1972,203,133,127,120,127,107,122,117,126,129
01/05/1972,203,133,127,120,127,107,122,117,126,129
01/06/1972,203,133,127,120,127,107,122,117,126,129
01/07/1972,202,133,127,120,127,107,122,117,126,129
01/10/1972,203,133,127,120,127,107,122,117,126,129
01/11/1972,203,133,127,120,127,107,122,117,126,129
01/12/1972,203,133,127,120,127,107,122,117,126,129
01/13/1972,203,133,127,120,127,107,122,117,126,129
01/14/1972,203,133,127,120,127,107,122,117,126,129
01/17/1972,203,133,127,120,127,107,122,117,126,129
01/18/1972,202,132,127,120,127,107,122,117,126,129
01/19/1972,202,132,127,120,127,107,122,117,126,129
01/20/1972,203,133,127,120,127,107,122,117,126,129
01/21/1972,203,133,127,120,127,107,122,116,126,129
01/24/1972,203,133,127,120,127,107,122,117,126,129
01/25/1972,203,133,127,120,127,107,122,117,126,129
01/26/1972,203,133,127,120,127,107,122,117,126,129
01/27/1972,203,133,127,120,127,107,122,117,126,129
01/28/1972,203,133,127,120,127,107,122,117,126,129
01/31/1972,203,133,127,120,127,107,122,117,126,129
02/01/1972,139,97,84,79,85,74,83,89,81,90
02/02/1972,139,97,84,79,85,74,83,89,81,89
02/03/1972,139,97,84,79,85,74,83,89,81,89
02/04/1972,139,97,84,79,85,74,83,89,81,90
02/07/1972,139,97,84,79,85,74,83,89,81,90
02/08/1972,139,97,84,79,85,74,83,89,81,90
02/09/1972,139,97,84,79,85,74,83,89,81,90
02/10/1972,139,97,84,79,85,74,83,89,81,90
02/11/1972,139,97,84,78,85,74,83,89,81,90
02/14/1972,139,97,84,78,85,74,83,89,81,90
02/15/1972,139,97,84,79,85,74,83,89,81,90
02/16/1972,139,97,84,79,85,74,83,89,81,90
02/17/1972,139,97,84,79,85,74,83,89,81,90
02/18/1972,139,97,84,79,85,74,83,89,81,90
02/22/1972,139,97,84,79,85,74,83,89,81,90
02/23/1972,139,97,84,79,85,74,83,89,81,90
02/24/1972,139,97,84,79,85,74,83,89,81,90
02/25/1972,138,97,84,79,85,74,83,89,81,90
02/28/1972,139,97,84,79,85,74,83,89,81,90
02/29/1972,139,97,84,79,85,74,83,89,81,90
03/01/1972,164,129,104,101,103,93,110,96,110,111
03/02/1972,164,129,104,101,103,93,110,96,110,111
03/03/1972,164,129,104,101,103,93,110,95,110,111
03/06/1972,164,129,104,101,103,93,110,95,110,111
