date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,94,87,81,81,82,78,75,81,80,89
07/03/1963,94,87,81,81,82,78,75,81,80,89
07/05/1963,94,87,81,81,82,78,75,81,80,89
07/08/1963,94,87,80,81,82,78,75,81,80,89
07/09/1963,94,87,81,81,82,78,75,81,80,89
07/10/1963,94,87,81,81,82,78,75,81,80,89
07/11/1963,94,87,81,81,82,78,75,81,80,89
07/12/1963,94,87,81,81,82,78,75,81,80,89
07/15/1963,94,87,81,81,82,78,74,81,80,89
07/16/1963,94,87,81,81,82,78,75,81,80,89
07/17/1963,94,87,81,81,81,78,75,81,80,89
07/18/1963,94,87,81,81,82,78,75,81,80,89
07/19/1963,94,87,81,81,82,78,75,81,80,89
07/22/1963,93,87,81,81,82,78,75,81,80,89
07/23/1963,94,87,81,81,82,78,75,81,80,89
07/24/1963,94,87,81,81,82,78,75,80,80,89
07/25/1963,94,86,81,81,82,78,75,81,80,89
07/26/1963,94,87,81,81,82,78,75,81,80,89
07/29/1963,94,87,81,81,82,78,75,81,80,89
07/30/1963,94,87,81,81,82,78,75,81,80,89
07/31/1963,94,87,81,81,82,78,75,81,80,89
08/01/1963,94,87,81,81,82,78,75,81,80,89
08/02/1963,94,87,81,81,82,78,75,81,80,89
08/05/1963,94,87,81,81,82,78,75,81,80,89
08/06/1963,94,87,81,81,82,78,75,81,79,89
08/07/1963,94,87,81,81,82,78,75,81,80,88
08/08/1963,94,87,81,81,82,78,75,81,80,89
08/09/1963,94,87,80,81,82,78,75,81,80,89
08/12/1963,94,87,81,81,82,78,75,81,80,89
08/13/1963,94,87,81,81,82,78,75,81,80,89
08/14/1963,94,87,81,80,82,78,75,80,80,89
08/15/1963,94,87,81,81,82,78,75,81,80,89
08/16/1963,94,87,81,81,82,77,75,81,80,89
08/19/1963,93,86,81,81,82,78,75,81,80,89
08/20/1963,94,87,81,81,82,78,75,81,80,89
08/21/1963,94,87,81,81,82,78,75,81,80,89
08/22/1963,94,87,81,81,82,78,75,81,80,89
08/23/1963,94,87,81,81,82,78,75,81,80,89
08/26/1963,94,87,81,81,82,78,75,81,80,89
