date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/02/1971,,,,,1,,,,,1
08/03/1971,,,,,1,,,,,1
08/04/1971,,,,,1,,,,,1
08/05/1971,,,,,1,,,,,1
08/06/1971,,,,,1,,,,,1
08/09/1971,,,,,1,,,,,1
08/10/1971,,,,,1,,,,,1
08/11/1971,,,,,1,,,,,1
08/12/1971,,,,,1,,,,,1
08/13/1971,,,,,1,,,,,1
08/16/1971,,,,,1,,,,,1
08/17/1971,,,,,1,,,,,1
08/18/1971,,,,,1,,,,,1
08/19/1971,,,,,1,,,,,1
08/20/1971,,,,,1,,,,,1
08/23/1971,,,,,1,,,,,1
08/24/1971,,,,,1,,,,,1
08/25/1971,,,,,1,,,,,1
08/26/1971,,,,,1,,,,,1
08/27/1971,,,,,1,,,,,1
08/30/1971,,,,,1,,,,,1
08/31/1971,,,,,1,,,,,1
09/01/1971,,,,1,,,1,,,1
09/02/1971,,,,1,,,1,,,1
09/03/1971,,,,1,,,1,,,1
09/07/1971,,,,1,,,1,,,1
09/08/1971,,,,1,,,1,,,1
09/09/1971,,,,1,,,1,,,1
09/10/1971,,,,1,,,1,,,1
09/13/1971,,,,1,,,1,,,1
09/14/1971,,,,1,,,1,,,1
09/15/1971,,,,1,,,1,,,1
09/16/1971,,,,1,,,1,,,1
09/17/1971,,,,1,,,1,,,1
09/20/1971,,,,1,,,1,,,1
09/21/1971,,,,1,,,1,,,1
09/22/1971,,,,1,,,1,,,1
09/23/1971,,,,1,,,1,,,1
09/24/1971,,,,1,,,1,,,1
09/27/1971,,,,1,,,1,,,1
09/28/1971,,,,1,,,1,,,1
09/29/1971,,,,1,,,1,,,1
09/30/1971,,,,1,,,1,,,1
10/01/1971,7,7,8,9,6,8,5,4,7,8
10/04/1971,7,7,8,9,6,8,5,4,7,8
10/05/1971,7,7,8,8,6,8,5,4,7,8
10/06/1971,7,7,8,9,6,8,5,4,7,8
10/07/1971,7,7,8,9,6,8,5,4,7,8
10/08/1971,7,7,8,9,6,8,5,4,7,8
10/11/1971,7,7,8,9,6,8,5,4,7,8
10/12/1971,7,7,8,9,6,8,5,4,7,8
10/13/1971,7,7,8,8,6,8,5,4,7,8
10/14/1971,7,7,8,8,6,8,5,4,7,8
10/15/1971,7,7,8,8,6,8,5,4,7,8
10/18/1971,7,7,7,8,6,8,5,4,7,8
10/19/1971,7,7,8,8,6,8,5,4,7,8
10/20/1971,7,7,8,9,6,8,5,4,7,8
10/21/1971,7,7,8,8,6,8,5,4,7,8
10/22/1971,7,7,8,9,6,8,5,4,7,8
10/25/1971,7,7,8,9,6,8,5,4,7,8
10/26/1971,7,7,8,9,6,8,5,4,7,8
10/27/1971,7,7,8,9,6,8,5,4,7,8
10/28/1971,7,7,8,9,6,8,5,4,7,8
10/29/1971,7,7,8,9,6,8,5,4,7,8
11/01/1971,110,76,76,80,77,80,80,79,80,93
11/02/1971,110,76,76,80,77,80,80,79,80,93
11/03/1971,110,76,76,80,77,80,80,79,80,93
11/04/1971,110,76,76,80,77,80,80,79,80,93
11/05/1971,110,76,76,79,77,80,80,79,80,93
11/08/1971,110,76,76,80,77,80,80,79,80,93
11/09/1971,110,76,76,79,77,80,80,79,80,93
11/10/1971,110,76,76,80,77,80,80,79,80,93
11/11/1971,110,76,76,79,77,80,80,79,80,93
11/12/1971,110,76,76,80,77,80,80,79,80,93
11/15/1971,110,76,76,80,77,80,80,79,80,93
11/16/1971,110,76,76,80,77,80,80,79,80,93
11/17/1971,110,76,76,80,77,80,80,79,80,93
11/18/1971,110,76,76,80,77,80,80,79,80,93
11/19/1971,110,76,76,80,77,80,80,79,80,93
11/22/1971,110,76,76,80,77,80,80,79,80,93
11/23/1971,110,76,76,80,77,80,80,79,80,92
11/24/1971,110,76,76,80,77,80,80,79,80,93
11/26/1971,110,76,76,80,77,80,80,79,80,93
11/29/1971,110,76,76,80,77,80,80,79,80,93
11/30/1971,110,76,76,80,77,80,80,79,80,93
12/01/1971,192,111,104,110,127,107,118,124,123,148
12/02/1971,192,111,104,110,127,107,118,124,123,148
12/03/1971,192,111,104,110,127,106,118,124,123,148
12/06/1971,192,111,104,110,127,106,118,124,123,148
12/07/1971,192,111,104,110,126,106,118,124,123,148
12/08/1971,192,111,104,110,127,106,118,124,123,148
12/09/1971,192,111,104,110,127,106,118,124,123,148
12/10/1971,192,111,104,110,127,106,118,124,123,148
12/13/1971,192,111,104,110,127,106,118,124,123,148
12/14/1971,192,111,104,110,127,106,118,124,123,148
12/15/1971,192,111,104,110,127,106,118,124,123,148
12/16/1971,192,111,104,110,127,106,118,124,123,148
12/17/1971,192,111,104,110,127,106,118,124,123,148
12/20/1971,192,111,104,110,127,106,118,124,123,148
12/21/1971,192,111,104,110,127,106,118,124,123,148
12/22/1971,192,111,104,110,127,106,118,124,123,148
12/23/1971,192,111,104,110,127,106,118,124,123,148
12/27/1971,192,111,104,110,127,106,118,124,123,148
12/28/1971,192,111,104,110,127,106,118,124,123,148
12/29/1971,192,111,104,110,127,106,118,124,123,148
12/30/1971,192,111,104,110,127,106,118,124,123,148
12/31/1971,192,111,104,110,127,106,118,124,123,148
01/03/1972,212,120,113,119,119,123,127,119,142,155
01/04/1972,212,120,113,118,119,123,127,119,142,155
01/05/1972,212,120,113,118,119,123,127,119,142,155
01/06/1972,212,120,113,118,119,123,127,119,142,155
01/07/1972,211,120,113,118,119,123,127,119,142,155
01/10/1972,212,120,113,118,119,123,127,119,142,155
01/11/1972,212,120,113,118,119,123,127,119,142,155
01/12/1972,212,120,113,118,119,123,127,119,142,155
01/13/1972,212,120,113,118,119,123,127,119,142,155
01/14/1972,212,120,113,118,119,123,127,119,142,155
01/17/1972,212,120,113,118,119,123,127,119,142,155
01/18/1972,211,120,113,118,119,123,126,119,142,155
01/19/1972,211,120,113,118,119,123,126,119,142,155
01/20/1972,212,120,113,118,119,123,127,119,142,155
01/21/1972,212,120,113,118,119,123,126,119,142,155
01/24/1972,212,120,113,118,119,123,127,119,142,155
01/25/1972,212,120,113,118,119,123,127,119,142,155
01/26/1972,212,120,113,118,119,123,127,119,142,155
01/27/1972,212,120,113,118,119,123,127,119,142,155
01/28/1972,212,120,113,118,119,123,127,119,142,155
01/31/1972,212,120,113,118,119,123,127,119,142,155
02/01/1972,143,80,82,79,77,83,83,84,89,127
02/02/1972,143,79,82,79,77,83,83,84,89,127
02/03/1972,143,79,82,79,77,83,83,84,89,127
02/04/1972,143,80,82,79,77,83,83,84,89,127
02/07/1972,143,80,82,79,77,83,83,84,89,127
02/08/1972,143,80,82,79,77,83,83,84,89,127
02/09/1972,143,80,82,79,77,83,83,84,89,127
02/10/1972,143,80,82,79,77,83,83,84,89,127
02/11/1972,143,80,82,79,76,83,83,84,89,127
02/14/1972,143,80,82,79,76,83,83,84,89,127
02/15/1972,143,80,82,79,77,83,83,84,89,127
02/16/1972,143,80,82,79,77,83,83,84,89,127
02/17/1972,143,80,82,79,77,83,83,84,89,127
02/18/1972,143,80,82,79,77,83,83,84,89,127
02/22/1972,143,80,82,79,77,83,83,84,89,127
02/23/1972,143,80,82,79,77,83,83,84,89,127
02/24/1972,143,80,82,79,77,83,83,84,89,127
02/25/1972,142,80,82,79,77,83,83,84,89,127
02/28/1972,143,80,82,79,77,83,83,84,89,127
02/29/1972,143,80,82,79,77,83,83,84,89,127
03/01/1972,167,102,104,96,112,103,104,112,104,152
03/02/1972,167,102,104,96,112,103,104,112,104,152
03/03/1972,167,102,104,96,112,102,104,112,104,152
03/06/1972,167,102,104,96,112,102,104,112,104,152
03/07/1972,167,102,104,96,112,102,104,112,104,152
03/08/1972,167,102,104,96,112,102,104,112,104,152
03/09/1972,167,102,104,96,112,102,104,112,104,152
03/10/1972,167,102,104,96,112,102,104,112,104,152
03/13/1972,167,102,104,96,112,102,104,112,104,152
03/14/1972,167,102,104,96,112,102,104,112,104,152
03/15/1972,167,102,104,96,112,102,104,112,104,152
03/16/1972,167,102,104,96,112,102,104,112,104,152
03/17/1972,167,102,104,96,112,102,104,112,104,152
03/20/1972,167,101,104,96,112,102,104,112,104,152
03/21/1972,167,102,104,96,112,102,104,112,104,152
03/22/1972,167,102,104,96,112,102,104,112,104,152
03/23/1972,167,102,104,96,112,102,104,112,104,152
03/24/1972,167,102,104,96,112,102,104,111,104,152
03/27/1972,167,102,104,96,112,102,104,112,104,152
03/28/1972,167,102,104,96,112,102,104,112,104,152
03/29/1972,167,102,104,96,112,102,104,112,104,152
03/30/1972,167,102,104,96,112,102,104,112,104,152
04/03/1972,192,123,116,133,122,119,126,126,130,179
04/04/1972,192,123,116,133,122,119,126,126,130,179
04/05/1972,192,123,116,133,122,119,126,126,130,179
04/06/1972,192,123,115,133,122,119,126,126,130,179
04/07/1972,192,123,115,133,122,119,126,126,130,179
04/10/1972,192,122,116,133,122,119,126,126,130,179
04/11/1972,192,123,116,133,122,119,126,126,130,179
04/12/1972,192,123,116,133,122,119,126,126,130,179
04/13/1972,192,123,116,133,122,119,126,126,130,179
04/14/1972,192,123,116,133,122,119,126,126,130,179
04/17/1972,192,123,116,133,122,119,126,126,130,179
04/18/1972,192,123,116,133,122,119,126,126,130,179
04/19/1972,192,123,116,133,122,119,126,126,130,179
04/20/1972,192,123,116,133,122,119,126,126,130,179
04/21/1972,192,123,116,133,122,119,126,126,130,179
04/24/1972,191,123,116,133,122,119,126,125,130,179
04/25/1972,191,123,116,133,122,119,126,125,130,179
04/26/1972,191,123,116,133,122,119,126,125,130,179
04/27/1972,191,123,116,133,122,119,126,125,130,179
04/28/1972,191,123,116,133,122,119,126,125,130,179
05/01/1972,205,124,136,132,144,125,132,126,128,167
05/02/1972,204,124,136,132,144,125,132,126,128,167
05/03/1972,204,124,136,132,144,125,132,126,128,167
05/04/1972,204,124,136,132,144,125,132,126,128,167
05/05/1972,204,124,136,132,144,125,132,126,128,167
05/08/1972,204,124,136,132,144,125,132,126,128,167
05/09/1972,204,124,136,132,144,125,132,126,128,167
05/10/1972,204,124,136,132,144,125,132,126,128,167
05/11/1972,204,124,136,132,144,125,132,126,128,167
05/12/1972,204,124,136,132,144,125,132,126,128,167
05/15/1972,204,124,136,132,144,125,132,126,128,167
05/16/1972,204,124,136,132,144,125,132,126,128,167
05/17/1972,204,124,136,132,144,125,132,126,128,167
05/18/1972,204,124,135,132,144,125,132,126,128,167
05/19/1972,204,124,136,132,144,125,132,126,128,167
05/22/1972,204,124,136,132,144,125,132,126,128,167
05/23/1972,204,124,136,132,144,125,132,126,128,167
05/24/1972,204,124,136,132,144,125,132,126,128,167
05/25/1972,204,124,136,132,144,125,132,126,128,167
05/26/1972,204,123,136,132,144,125,132,126,128,167
05/30/1972,204,123,136,132,144,125,132,126,128,167
05/31/1972,204,123,136,132,144,125,132,126,128,167
06/01/1972,205,134,127,150,142,137,130,139,139,170
06/02/1972,205,134,127,150,142,137,130,139,139,170
06/05/1972,205,134,127,150,142,137,129,139,139,170
06/06/1972,206,134,127,150,142,137,129,139,139,170
06/07/1972,206,134,127,150,142,137,129,139,139,170
06/08/1972,206,134,127,150,142,137,129,139,139,170
06/09/1972,206,134,127,150,142,137,129,139,139,170
06/12/1972,206,134,127,150,142,137,129,139,139,170
06/13/1972,206,134,127,150,142,137,129,139,139,170
06/14/1972,206,134,127,150,142,137,129,139,139,170
06/15/1972,206,134,127,150,142,137,129,139,139,170
06/16/1972,206,134,127,150,142,137,129,139,139,170
06/19/1972,206,134,127,150,142,137,129,138,139,170
06/20/1972,206,134,127,150,142,137,129,139,139,170
06/21/1972,206,134,127,150,142,137,129,139,139,170
06/22/1972,206,134,127,150,142,137,129,139,139,170
06/23/1972,206,134,127,150,142,137,129,139,139,170
06/26/1972,206,134,127,150,142,137,129,139,139,170
06/27/1972,206,134,127,150,142,137,129,139,139,170
06/28/1972,206,134,127,150,142,137,129,139,139,170
06/29/1972,206,134,127,150,142,137,129,139,139,170
06/30/1972,206,134,127,150,142,137,129,139,139,170
07/03/1972,209,130,130,143,150,141,137,133,147,163
07/05/1972,209,130,130,143,150,141,137,133,147,163
07/06/1972,209,130,130,143,150,141,137,133,147,163
07/07/1972,209,130,130,142,150,141,137,133,147,163
07/10/1972,209,130,130,142,150,142,136,133,147,163
07/11/1972,208,130,130,143,150,142,137,133,147,163
07/12/1972,208,130,130,143,150,142,137,132,147,163
07/13/1972,209,130,130,143,150,142,137,133,147,163
07/14/1972,209,130,130,142,150,142,137,133,147,163
07/17/1972,209,130,130,143,150,142,137,133,147,163
07/18/1972,209,130,130,143,150,142,137,133,147,163
07/19/1972,209,130,130,143,150,142,137,133,147,163
07/20/1972,209,130,130,143,150,142,137,133,147,163
07/21/1972,209,130,130,143,150,142,137,133,147,163
07/24/1972,209,130,130,143,150,142,137,133,147,163
07/25/1972,209,130,130,143,150,142,137,133,147,163
07/26/1972,209,130,130,143,150,142,137,133,147,163
07/27/1972,209,130,130,143,150,142,137,133,147,163
07/28/1972,209,130,130,143,150,142,137,133,147,163
07/31/1972,209,130,130,143,150,142,137,133,147,163
08/01/1972,199,128,141,136,121,135,136,115,139,165
08/02/1972,198,128,141,136,121,135,136,115,139,165
08/03/1972,198,128,141,136,121,135,136,115,139,165
08/04/1972,198,128,141,136,121,135,135,115,139,165
08/07/1972,198,128,141,136,121,135,135,115,139,165
08/08/1972,198,128,141,136,121,135,135,115,139,165
08/09/1972,198,128,141,136,121,135,135,115,139,165
08/10/1972,198,128,141,136,121,135,135,115,139,165
08/11/1972,198,128,141,136,121,135,135,115,139,165
08/14/1972,198,128,141,136,121,135,135,115,139,165
08/15/1972,198,128,141,136,121,135,135,115,139,165
08/16/1972,198,128,141,136,121,135,135,115,139,165
08/17/1972,198,128,140,136,121,135,135,115,139,165
08/18/1972,198,128,140,136,121,135,135,115,139,164
08/21/1972,198,128,140,136,121,135,135,115,139,164
08/22/1972,198,128,140,136,121,135,135,115,139,164
08/23/1972,198,128,140,136,121,135,135,115,139,164
08/24/1972,198,128,140,136,121,135,135,115,139,164
08/25/1972,198,128,140,136,121,135,135,115,139,164
08/28/1972,198,128,140,136,121,135,135,115,139,164
08/29/1972,198,128,140,136,121,135,135,115,139,164
08/30/1972,198,128,140,136,121,135,135,115,139,164
08/31/1972,198,128,140,136,121,135,135,115,139,164
09/01/1972,197,136,145,130,137,149,132,150,140,173
09/05/1972,197,136,145,130,137,149,132,150,140,173
09/06/1972,197,136,145,130,137,149,132,150,140,173
09/07/1972,197,136,145,130,137,149,132,150,140,173
09/08/1972,197,136,145,130,137,149,132,150,140,173
09/11/1972,197,136,145,130,137,149,132,150,140,173
09/12/1972,197,136,145,130,137,149,132,150,140,173
09/13/1972,197,136,145,129,137,149,132,150,140,173
09/14/1972,197,136,145,130,137,149,132,150,140,173
09/15/1972,197,136,145,130,137,149,132,150,140,173
09/18/1972,197,136,145,130,137,149,132,150,140,173
09/19/1972,197,136,145,130,137,149,132,150,140,173
09/20/1972,197,136,145,130,137,149,132,150,140,173
09/21/1972,197,136,145,130,137,149,132,150,140,173
09/22/1972,197,136,145,130,137,149,132,150,140,173
09/25/1972,197,136,145,130,137,149,132,150,140,173
09/26/1972,196,136,145,130,137,149,132,150,140,173
09/27/1972,197,136,145,130,137,149,132,150,140,173
09/28/1972,197,136,145,130,137,149,132,150,140,173
09/29/1972,197,136,145,130,137,149,132,150,140,173
10/02/1972,196,140,141,141,145,141,133,148,154,179
10/03/1972,197,140,141,141,145,141,133,148,154,179
10/04/1972,197,140,141,141,145,141,133,148,154,179
10/05/1972,197,140,140,141,145,141,133,148,154,179
10/06/1972,197,140,140,141,145,141,133,148,154,179
10/09/1972,197,140,140,141,145,141,133,148,154,179
