date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/02/1973,9,8,9,9,11,9,8,10,18,22
01/03/1973,9,8,9,9,11,9,8,10,18,22
01/04/1973,9,8,9,9,11,9,8,10,18,22
01/05/1973,9,8,9,9,11,9,8,10,18,22
01/08/1973,9,8,9,9,11,9,8,10,18,22
01/09/1973,9,8,9,9,11,9,8,10,18,22
01/10/1973,9,8,9,9,11,9,8,10,18,22
01/11/1973,8,8,9,9,11,9,8,10,18,22
01/12/1973,9,8,9,9,11,9,8,10,18,22
01/15/1973,8,8,9,9,11,9,8,10,18,22
01/16/1973,9,8,9,9,11,9,8,10,18,22
01/17/1973,9,8,9,9,11,9,8,10,18,22
01/18/1973,9,8,9,9,11,9,8,10,18,22
01/19/1973,9,8,9,9,11,9,8,10,18,22
01/22/1973,9,8,9,9,11,9,8,10,18,22
01/23/1973,9,8,9,9,11,9,8,10,18,22
01/24/1973,9,8,9,9,11,9,8,10,18,22
01/26/1973,9,8,9,9,11,9,8,10,18,22
01/29/1973,9,8,9,9,11,9,8,10,18,22
01/30/1973,9,8,9,9,11,9,8,10,18,22
01/31/1973,9,8,9,9,11,9,8,10,18,22
02/01/1973,34,30,28,30,42,39,33,52,56,128
02/02/1973,33,30,28,30,42,39,34,52,56,128
02/05/1973,34,30,28,30,42,39,34,52,56,128
02/06/1973,34,30,28,30,42,39,34,52,56,128
02/07/1973,34,30,28,30,42,39,34,52,56,128
02/08/1973,34,30,28,30,42,39,34,52,56,128
02/09/1973,34,30,28,30,42,39,34,52,56,128
02/12/1973,34,30,28,30,42,39,34,52,56,128
02/13/1973,34,30,28,30,42,39,34,52,56,127
02/14/1973,34,30,28,30,42,39,34,52,56,128
02/15/1973,34,30,28,30,42,39,34,52,56,128
02/16/1973,34,30,28,30,42,39,34,52,56,128
02/20/1973,34,30,28,30,42,39,34,52,56,128
02/21/1973,34,30,28,30,42,39,34,52,56,128
02/22/1973,34,30,28,30,42,39,34,52,56,128
