date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,121,117,125,121,127,136,143,162,217,699
07/03/1963,121,117,125,122,126,136,143,162,218,701
07/05/1963,121,117,124,122,126,136,143,162,218,700
07/08/1963,121,117,125,121,125,135,143,162,218,699
07/09/1963,121,117,125,122,126,136,143,162,218,699
07/10/1963,121,117,125,122,126,136,143,162,218,699
07/11/1963,121,117,125,122,126,136,143,161,218,699
07/12/1963,121,117,125,122,126,136,142,162,218,699
07/15/1963,121,117,125,122,126,136,142,162,218,699
07/16/1963,121,117,125,122,126,136,143,162,218,698
07/17/1963,121,117,125,122,126,136,143,162,217,697
07/18/1963,121,117,125,122,126,136,143,162,218,698
07/19/1963,121,117,125,122,126,136,142,162,218,695
07/22/1963,121,117,125,122,126,136,143,162,218,696
07/23/1963,121,117,125,122,126,136,143,162,218,698
07/24/1963,121,117,125,122,126,136,143,162,218,697
07/25/1963,121,117,125,122,126,136,143,162,217,696
07/26/1963,121,117,125,122,126,136,143,162,218,698
07/29/1963,121,117,125,122,126,136,143,162,218,692
07/30/1963,121,117,125,122,126,135,143,162,218,695
07/31/1963,121,117,125,122,126,136,143,162,218,693
08/01/1963,121,117,125,122,126,136,143,162,218,694
08/02/1963,121,117,125,122,126,136,143,162,218,691
08/05/1963,121,117,125,122,126,136,143,162,218,690
08/06/1963,121,117,125,122,125,136,143,162,218,691
08/07/1963,121,117,125,122,126,135,143,162,216,690
08/08/1963,121,117,125,122,126,136,143,162,218,690
08/09/1963,121,117,125,122,126,136,143,162,217,690
08/12/1963,121,117,125,122,126,136,143,162,218,688
08/13/1963,121,117,125,121,126,136,143,162,218,690
08/14/1963,120,117,125,122,126,136,143,162,218,689
08/15/1963,121,117,125,122,126,136,143,162,218,689
08/16/1963,121,117,125,122,126,136,143,162,218,689
08/19/1963,121,117,125,122,126,136,143,162,216,688
08/20/1963,121,117,125,122,126,136,143,162,217,690
08/21/1963,121,117,125,122,126,136,143,162,217,690
08/22/1963,121,117,125,122,126,136,143,162,216,690
08/23/1963,121,117,125,122,126,136,143,162,217,690
08/26/1963,121,117,125,122,126,136,143,162,217,689
08/27/1963,121,117,125,122,126,136,143,162,217,690
08/28/1963,121,117,125,122,126,136,143,162,217,690
08/29/1963,121,117,125,122,126,136,143,162,217,689
08/30/1963,121,117,125,122,126,136,143,162,217,689
09/03/1963,121,117,125,122,126,136,143,162,216,688
09/04/1963,121,117,125,122,126,136,143,162,216,689
09/05/1963,121,117,125,121,126,136,143,162,216,689
09/06/1963,121,117,124,122,126,136,143,160,216,689
09/09/1963,121,117,124,122,126,135,143,160,216,688
09/10/1963,121,117,124,122,126,134,143,161,216,688
09/11/1963,121,117,124,122,126,134,143,161,216,688
09/12/1963,121,117,124,122,126,135,143,161,216,689
09/13/1963,121,117,124,122,126,135,143,161,216,688
09/16/1963,121,117,124,122,126,135,143,160,216,689
09/17/1963,121,117,124,122,126,135,142,160,216,688
09/18/1963,121,117,124,122,126,135,143,160,216,688
09/19/1963,121,117,124,122,126,135,143,160,216,687
09/20/1963,121,117,124,122,126,135,143,160,215,689
09/23/1963,121,117,124,122,126,135,143,160,216,689
09/24/1963,121,117,124,122,126,135,143,160,215,688
09/25/1963,121,117,124,122,126,135,143,160,216,689
09/26/1963,121,117,124,122,126,135,143,160,216,688
09/27/1963,121,117,124,122,126,135,143,160,216,687
09/30/1963,121,117,124,122,126,135,142,160,216,687
10/01/1963,121,117,124,122,126,135,142,160,216,683
10/02/1963,121,117,124,122,125,135,142,160,216,687
10/03/1963,121,117,124,122,126,135,142,160,215,687
10/04/1963,121,117,124,122,126,135,142,160,216,683
10/07/1963,121,117,124,122,126,135,141,160,216,682
10/08/1963,121,117,124,122,125,135,140,160,215,680
10/09/1963,121,117,124,122,126,135,141,160,214,683
10/10/1963,121,117,124,122,126,135,141,160,215,686
10/11/1963,121,117,124,122,126,135,141,160,214,682
10/14/1963,121,117,124,122,126,135,141,159,215,685
10/15/1963,121,117,124,121,126,135,141,160,215,686
10/16/1963,121,117,124,121,126,135,141,159,215,683
10/17/1963,121,117,124,121,126,135,141,160,215,687
10/18/1963,121,117,124,120,126,135,140,159,214,684
10/21/1963,121,117,124,121,126,135,140,160,215,685
10/22/1963,121,117,124,121,125,135,140,160,215,686
10/23/1963,121,117,124,120,125,135,140,159,215,683
10/24/1963,121,117,124,121,125,135,140,160,215,687
10/25/1963,121,117,124,121,125,135,140,159,215,684
10/28/1963,121,117,124,121,125,135,140,159,215,685
10/29/1963,121,117,124,121,125,135,140,159,214,687
10/30/1963,121,117,124,121,125,134,140,159,215,684
10/31/1963,121,117,124,121,125,135,140,159,215,682
11/01/1963,121,117,124,121,124,134,140,159,214,684
11/04/1963,121,117,124,121,125,134,139,159,215,682
11/06/1963,121,117,124,121,125,134,140,159,215,683
11/07/1963,121,117,124,121,125,134,140,158,215,684
11/08/1963,121,117,124,121,125,134,140,159,215,679
11/11/1963,121,117,124,121,125,134,139,159,215,679
11/12/1963,121,117,123,121,124,134,140,159,215,683
11/13/1963,121,117,123,121,125,134,139,159,214,685
11/14/1963,121,117,123,121,125,134,140,158,214,682
11/15/1963,121,117,123,120,125,134,140,159,214,682
11/18/1963,121,117,123,121,125,134,140,159,214,686
11/19/1963,121,117,123,121,125,134,139,159,215,684
11/20/1963,121,117,123,121,125,134,140,159,215,685
11/21/1963,121,117,123,121,125,134,140,159,214,686
11/22/1963,121,117,123,121,124,134,139,159,214,682
11/26/1963,120,117,123,120,125,133,134,157,211,664
11/27/1963,121,117,123,121,125,134,140,158,214,684
11/29/1963,121,117,123,121,125,133,140,158,215,685
12/02/1963,121,117,123,121,124,134,139,158,213,683
12/03/1963,121,117,123,120,124,133,138,157,214,674
12/04/1963,121,117,123,121,124,134,139,158,215,680
12/05/1963,121,117,123,121,123,131,139,158,212,676
12/06/1963,121,117,123,121,123,134,139,158,215,677
12/09/1963,121,117,123,121,123,134,139,157,214,678
12/10/1963,121,117,123,121,123,134,139,158,213,676
12/11/1963,121,117,123,121,123,134,139,158,213,679
12/12/1963,121,117,123,121,123,134,138,157,214,677
12/13/1963,121,117,123,121,123,134,139,157,215,677
12/16/1963,121,117,123,121,123,134,139,158,214,674
12/17/1963,121,117,123,121,123,134,139,158,213,678
12/18/1963,121,117,123,121,123,134,139,158,215,673
12/19/1963,121,117,123,121,123,134,138,158,214,677
12/20/1963,121,117,123,121,123,134,139,158,215,676
12/23/1963,121,117,123,121,123,133,139,158,211,676
12/24/1963,121,117,123,121,123,134,138,158,215,678
12/26/1963,121,117,123,121,122,134,139,157,214,675
12/27/1963,121,117,123,121,122,134,139,157,215,673
12/30/1963,121,117,123,121,122,134,138,158,214,676
12/31/1963,121,117,123,121,122,134,139,158,213,676
01/02/1964,120,117,123,120,121,133,138,156,213,671
01/03/1964,121,117,123,120,122,133,139,157,214,670
01/06/1964,121,117,123,120,122,134,139,157,212,675
01/07/1964,121,117,123,120,122,134,139,157,213,675
01/08/1964,121,117,123,120,122,134,139,157,214,668
01/09/1964,121,117,123,120,122,134,139,156,214,672
01/10/1964,121,117,123,120,122,134,139,157,213,673
01/13/1964,121,117,123,119,122,134,139,156,214,671
01/14/1964,121,117,123,120,122,134,139,157,213,672
01/15/1964,121,117,123,120,122,134,139,157,214,668
01/16/1964,121,117,123,120,122,134,139,157,214,674
01/17/1964,121,117,123,120,122,134,138,156,213,671
01/20/1964,121,117,123,120,122,134,139,156,213,674
01/21/1964,121,117,123,120,122,133,139,156,213,673
01/22/1964,121,117,123,120,122,133,138,156,213,674
01/23/1964,121,117,123,120,122,133,139,157,211,674
01/24/1964,121,117,123,120,122,133,139,157,212,672
01/27/1964,121,117,123,120,122,133,139,157,213,675
01/28/1964,121,117,123,120,122,133,139,157,213,668
01/29/1964,121,117,123,120,122,132,139,157,211,671
01/30/1964,121,117,123,120,122,133,139,157,213,673
01/31/1964,121,117,123,120,122,133,139,156,213,673
02/03/1964,121,117,123,120,122,133,139,157,211,673
02/04/1964,121,117,123,120,122,133,139,156,213,672
02/05/1964,121,117,123,120,122,133,139,157,213,671
02/06/1964,121,117,123,120,121,133,139,157,212,674
02/07/1964,121,117,123,120,122,133,139,157,213,674
02/10/1964,121,117,123,120,122,133,139,157,213,672
02/11/1964,121,117,123,120,122,132,139,156,213,670
02/12/1964,121,117,123,120,122,133,139,157,212,675
02/13/1964,121,117,123,120,122,133,139,157,213,673
02/14/1964,121,117,123,120,122,133,139,157,213,674
02/17/1964,121,117,123,120,122,133,139,157,213,675
02/18/1964,121,117,123,120,122,132,139,157,213,671
02/19/1964,121,117,123,120,122,133,139,156,212,670
02/20/1964,121,117,123,120,122,133,139,157,213,671
02/24/1964,121,117,123,120,122,133,139,156,212,673
02/25/1964,121,117,123,120,122,133,139,156,213,675
02/26/1964,121,117,123,120,122,133,139,157,213,675
02/27/1964,121,117,123,120,122,133,139,157,213,674
02/28/1964,121,117,123,120,122,133,139,156,212,668
03/02/1964,121,117,123,120,122,133,138,156,210,666
03/03/1964,121,117,123,120,122,133,139,157,211,671
03/04/1964,121,117,123,120,122,133,139,157,211,668
03/05/1964,121,117,123,120,122,133,139,157,212,671
03/06/1964,121,117,123,120,122,133,139,157,211,667
03/09/1964,121,117,123,120,122,133,139,157,212,669
03/10/1964,121,117,123,120,122,133,139,157,212,671
03/11/1964,121,117,123,120,122,133,139,157,212,673
03/12/1964,121,117,123,120,122,133,139,157,212,669
03/13/1964,121,117,123,120,121,133,139,157,210,672
