date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,90,78,79,91,89,82,85,94,95,96
07/03/1963,90,78,79,91,89,82,85,94,95,96
07/05/1963,90,78,79,91,89,82,85,94,95,96
07/08/1963,90,78,79,91,88,82,85,94,95,96
07/09/1963,90,78,79,91,89,82,85,94,95,96
07/10/1963,90,78,79,91,89,82,85,94,95,96
07/11/1963,90,78,79,91,89,82,84,94,95,96
07/12/1963,90,78,79,91,89,82,85,94,95,96
07/15/1963,90,78,79,91,88,82,85,94,95,96
07/16/1963,90,78,79,91,89,82,85,94,95,96
07/17/1963,90,78,79,90,89,82,85,94,95,96
07/18/1963,90,78,79,91,89,82,85,94,95,96
07/19/1963,90,78,79,91,89,82,85,94,95,96
07/22/1963,90,78,79,91,89,82,84,94,95,96
07/23/1963,90,78,79,91,89,82,85,94,95,96
07/24/1963,90,78,79,91,88,82,85,94,95,96
07/25/1963,90,78,79,91,89,82,85,94,95,95
07/26/1963,90,78,79,91,89,82,85,94,95,96
07/29/1963,90,78,79,91,89,82,85,94,95,96
07/30/1963,90,78,79,91,89,82,85,94,95,96
07/31/1963,90,78,79,91,89,82,85,94,95,96
08/01/1963,90,78,79,91,89,82,85,94,95,96
08/02/1963,90,78,79,91,89,82,85,94,95,96
08/05/1963,90,78,79,91,89,82,85,94,95,96
08/06/1963,89,78,79,91,89,82,85,94,95,96
08/07/1963,90,78,79,91,89,81,85,94,95,96
08/08/1963,90,78,79,91,89,82,85,94,95,96
08/09/1963,90,78,79,91,89,82,85,94,94,96
08/12/1963,90,78,79,91,89,82,85,94,95,96
08/13/1963,90,78,79,91,89,82,85,94,95,96
08/14/1963,89,78,79,91,89,82,85,94,94,96
08/15/1963,90,78,79,91,89,82,85,94,95,96
08/16/1963,90,78,79,90,89,82,85,94,95,96
08/19/1963,90,78,79,91,89,82,84,94,95,95
08/20/1963,90,78,79,91,89,82,85,94,95,96
08/21/1963,90,78,79,91,89,82,85,94,95,96
08/22/1963,90,78,79,91,89,82,85,94,95,96
08/23/1963,90,78,79,91,89,82,85,94,95,96
08/26/1963,90,78,79,91,89,82,85,94,95,96
08/27/1963,90,78,79,91,89,82,85,94,95,96
08/28/1963,90,78,79,91,89,82,85,94,95,96
08/29/1963,90,78,79,91,89,82,85,94,95,96
08/30/1963,90,78,79,91,89,82,85,94,95,96
09/03/1963,90,78,79,91,89,82,85,94,95,96
09/04/1963,90,78,79,91,89,82,85,94,95,96
09/05/1963,90,78,79,90,89,82,85,94,95,96
09/06/1963,90,78,79,91,89,82,85,94,95,96
09/09/1963,90,78,79,91,89,82,85,94,95,96
09/10/1963,90,78,79,91,89,82,85,94,95,96
09/11/1963,90,78,79,91,89,82,85,94,95,96
09/12/1963,90,78,79,91,89,82,85,94,95,96
09/13/1963,90,78,79,90,89,82,85,94,95,96
09/16/1963,90,78,79,91,89,82,85,94,95,96
09/17/1963,90,78,79,91,89,82,85,94,95,96
09/18/1963,90,78,79,91,89,82,85,94,95,96
09/19/1963,90,78,79,91,89,82,85,94,95,96
09/20/1963,90,78,79,91,89,82,85,94,95,96
09/23/1963,90,78,79,91,89,82,85,94,95,96
09/24/1963,90,78,79,90,89,81,85,94,95,96
09/25/1963,90,78,79,91,89,82,85,94,95,96
09/26/1963,90,78,79,91,89,82,85,94,95,95
09/27/1963,90,78,79,91,89,82,85,94,95,96
09/30/1963,90,78,79,91,88,81,85,94,95,96
10/01/1963,90,78,79,91,89,82,85,94,95,96
10/02/1963,90,78,79,91,89,82,85,94,95,96
10/03/1963,90,78,79,91,89,82,85,94,95,96
10/04/1963,90,78,79,91,89,82,84,94,95,96
10/07/1963,90,78,79,91,89,82,85,94,95,96
10/08/1963,90,78,79,91,89,82,85,93,95,96
10/09/1963,90,78,79,91,89,82,85,94,95,96
10/10/1963,90,78,79,91,89,82,85,94,95,96
10/11/1963,90,78,79,91,89,82,85,94,95,96
10/14/1963,90,78,79,91,89,82,85,94,95,96
10/15/1963,90,78,79,91,89,82,85,94,95,96
10/16/1963,90,78,79,91,89,82,85,94,95,96
10/17/1963,90,78,79,91,89,82,85,94,95,96
10/18/1963,90,78,79,91,89,82,85,94,95,96
10/21/1963,90,78,79,91,89,82,84,94,94,96
10/22/1963,90,78,79,91,89,82,85,93,95,96
10/23/1963,89,78,79,91,89,82,85,94,95,96
10/24/1963,90,78,79,91,89,82,85,94,95,96
10/25/1963,90,78,79,91,89,81,85,94,95,96
10/28/1963,90,78,79,91,89,82,85,94,95,96
10/29/1963,90,78,79,91,89,82,85,94,95,96
10/30/1963,90,78,79,91,89,82,85,94,95,96
10/31/1963,90,78,79,91,89,82,85,94,95,96
11/01/1963,90,78,79,91,88,82,85,93,95,96
11/04/1963,90,78,79,91,89,82,85,94,95,95
11/06/1963,90,78,79,91,89,82,85,94,95,96
11/07/1963,90,78,79,91,89,82,85,94,95,96
11/08/1963,90,78,79,90,89,82,85,94,95,96
11/11/1963,90,78,79,91,89,81,85,93,95,96
11/12/1963,90,78,79,91,89,81,85,94,95,96
11/13/1963,90,78,79,91,89,82,85,94,95,96
11/14/1963,90,78,78,91,89,82,85,93,94,95
11/15/1963,90,78,79,90,88,82,85,94,95,96
11/18/1963,90,78,79,91,88,82,85,94,95,96
11/19/1963,90,78,79,91,89,82,85,94,95,96
11/20/1963,90,78,79,91,89,82,85,94,95,96
11/21/1963,90,78,79,91,89,81,85,94,95,96
11/22/1963,90,78,79,91,89,82,85,94,95,96
11/26/1963,87,76,79,90,88,81,84,94,94,92
11/27/1963,90,78,79,91,89,82,85,94,95,95
11/29/1963,90,77,79,91,89,82,85,94,95,96
12/02/1963,90,78,79,91,88,82,85,94,94,96
12/03/1963,89,78,79,91,89,82,84,94,94,96
12/04/1963,90,78,79,91,89,82,85,94,95,96
12/05/1963,89,78,79,91,86,82,84,94,95,96
12/06/1963,90,78,79,91,89,82,85,93,95,96
12/09/1963,89,78,79,91,89,81,85,94,94,96
12/10/1963,89,78,79,91,89,82,85,93,94,95
12/11/1963,90,78,79,90,89,81,85,93,95,96
12/12/1963,90,78,79,91,89,82,85,92,95,96
12/13/1963,90,78,79,91,89,82,85,94,95,96
12/16/1963,89,78,79,91,89,82,85,94,94,95
12/17/1963,89,78,79,91,88,82,85,93,95,96
12/18/1963,89,78,79,91,89,82,85,93,95,96
12/19/1963,90,78,79,91,89,82,85,94,94,96
