date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/01/1973,,1,1,,1,1,,1,1,1
10/02/1973,,1,1,,1,1,,1,1,1
10/03/1973,,1,1,,1,1,,1,1,1
10/04/1973,,1,1,,1,1,,1,1,1
10/05/1973,,1,1,,1,1,,1,1,1
10/08/1973,,1,1,,1,1,,1,1,1
10/09/1973,,1,1,,1,1,,1,1,1
10/10/1973,,1,1,,1,1,,1,1,1
10/11/1973,,1,1,,1,1,,1,1,1
10/12/1973,,1,1,,1,1,,1,1,1
10/15/1973,,1,1,,1,1,,1,1,1
10/16/1973,,1,1,,1,1,,1,1,1
10/17/1973,,1,1,,1,1,,1,1,1
10/18/1973,,1,1,,1,1,,1,1,1
10/19/1973,,1,1,,1,1,,1,1,1
10/22/1973,,1,1,,1,1,,1,1,1
10/23/1973,,1,1,,1,1,,1,1,1
10/24/1973,,1,1,,1,1,,1,1,1
10/25/1973,,1,1,,1,1,,1,1,1
10/26/1973,,1,1,,1,1,,1,1,1
10/29/1973,,1,1,,1,1,,1,1,1
10/30/1973,,1,1,,1,1,,1,1,1
10/31/1973,,1,1,,1,1,,1,1,1
11/01/1973,14,14,13,15,15,13,14,13,13,15
11/02/1973,14,14,13,15,15,13,14,13,13,15
11/05/1973,14,14,13,15,15,13,14,13,13,15
11/06/1973,14,14,13,15,15,13,14,13,13,15
11/07/1973,14,14,13,15,15,13,14,13,13,15
11/08/1973,14,14,13,15,15,13,14,13,13,15
11/09/1973,14,14,13,15,15,13,14,13,13,15
11/12/1973,14,14,13,15,15,13,14,13,13,15
11/13/1973,14,14,13,15,15,13,14,13,13,15
11/14/1973,14,14,13,15,15,13,14,13,13,15
11/15/1973,14,14,13,15,15,13,14,13,13,15
11/16/1973,14,14,13,15,15,13,14,13,13,15
11/19/1973,14,14,13,15,15,13,14,13,13,15
11/20/1973,14,14,13,15,15,13,14,13,13,15
11/21/1973,14,14,13,15,15,13,14,13,13,15
11/23/1973,14,14,13,15,15,13,14,13,13,15
11/26/1973,14,14,13,15,15,13,14,13,13,15
11/27/1973,14,14,13,15,15,13,14,13,13,15
11/28/1973,14,14,13,15,15,13,14,13,13,15
11/29/1973,14,14,13,15,15,13,14,13,13,15
11/30/1973,14,14,13,15,15,13,14,13,13,15
12/03/1973,17,20,19,21,19,20,18,18,17,21
12/04/1973,17,20,19,21,19,20,18,18,17,21
12/05/1973,17,20,19,21,19,20,18,18,17,21
12/06/1973,17,20,19,21,19,20,18,18,17,21
12/07/1973,17,20,19,21,19,20,18,18,17,21
12/10/1973,17,20,19,21,19,20,18,18,17,21
12/11/1973,17,20,19,21,19,19,18,18,17,21
12/12/1973,17,20,19,21,19,20,18,18,17,21
12/13/1973,17,20,19,21,19,20,18,18,17,21
12/14/1973,17,20,19,21,19,20,18,18,17,21
12/17/1973,17,20,19,21,19,20,18,18,17,21
12/18/1973,17,20,19,21,19,20,18,18,17,21
12/19/1973,17,20,19,21,19,20,18,18,17,21
12/20/1973,17,20,19,21,19,20,18,18,17,21
12/21/1973,17,20,19,21,19,20,18,18,17,21
12/24/1973,17,20,19,21,19,20,18,18,17,21
12/26/1973,17,20,19,21,19,20,18,18,17,21
12/27/1973,17,20,19,21,19,20,18,18,17,21
12/28/1973,17,20,19,21,19,20,18,18,17,21
12/31/1973,17,20,19,21,19,20,18,18,17,21
01/02/1974,19,21,24,21,21,20,22,19,19,23
01/03/1974,19,21,24,21,21,20,22,19,19,23
01/04/1974,19,21,24,21,21,20,22,19,19,23
01/07/1974,19,21,24,21,21,20,22,19,19,23
01/08/1974,19,21,24,21,21,20,22,19,19,23
01/09/1974,19,21,24,21,21,20,22,19,19,23
01/10/1974,19,21,24,21,21,20,22,19,19,23
01/11/1974,19,21,24,21,21,20,22,19,19,23
