date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,70,80,73,75,71,73,80,76,79,98
07/03/1963,70,80,73,75,71,73,80,76,79,98
07/05/1963,70,80,73,75,71,73,80,76,79,98
07/08/1963,70,80,73,75,71,73,80,76,78,98
07/09/1963,70,80,73,75,71,73,80,76,79,98
07/10/1963,70,80,73,75,71,73,80,76,79,98
07/11/1963,70,80,73,75,71,73,80,76,79,98
07/12/1963,70,80,73,75,71,73,80,76,79,98
07/15/1963,70,80,73,75,70,73,80,76,79,98
07/16/1963,70,80,73,75,71,73,80,76,79,98
07/17/1963,70,80,73,75,71,73,80,76,79,98
07/18/1963,70,80,73,75,71,73,80,76,79,98
07/19/1963,70,80,73,75,71,73,80,76,79,98
07/22/1963,70,80,73,75,71,73,79,76,79,98
07/23/1963,70,80,73,75,71,73,80,76,79,98
07/24/1963,70,80,72,75,71,73,80,76,79,98
07/25/1963,70,80,73,75,71,73,80,76,79,97
07/26/1963,70,80,73,75,71,73,80,76,79,98
07/29/1963,70,80,73,75,71,73,80,76,79,98
07/30/1963,70,80,73,75,71,73,80,76,79,98
07/31/1963,70,80,73,75,71,73,80,76,79,98
08/01/1963,70,80,73,75,71,73,80,76,79,98
08/02/1963,70,80,73,75,71,73,80,76,79,98
08/05/1963,70,80,73,75,71,73,80,76,79,98
08/06/1963,69,80,73,75,71,73,80,76,79,98
08/07/1963,70,80,73,75,71,73,80,76,79,98
08/08/1963,70,80,73,75,71,73,80,76,79,98
08/09/1963,70,80,73,75,71,73,80,76,79,97
08/12/1963,70,80,73,75,71,73,80,76,79,98
08/13/1963,70,80,73,75,71,73,80,76,79,98
08/14/1963,69,80,73,75,71,73,80,76,79,97
08/15/1963,70,80,73,75,71,73,80,76,79,98
08/16/1963,70,80,73,74,71,73,80,76,79,98
08/19/1963,70,80,73,75,71,73,80,76,79,96
08/20/1963,70,80,73,75,71,73,80,76,79,98
08/21/1963,70,80,73,75,71,73,80,76,79,98
08/22/1963,70,80,73,75,71,73,80,76,79,98
08/23/1963,70,80,73,75,71,73,80,76,79,98
08/26/1963,70,80,73,75,71,73,80,76,79,98
08/27/1963,70,80,73,75,71,73,80,76,79,98
08/28/1963,70,80,73,75,71,73,80,76,79,98
08/29/1963,70,80,73,75,71,73,80,76,79,98
08/30/1963,70,80,73,75,71,73,80,76,79,98
09/03/1963,70,80,73,75,71,73,80,76,79,98
09/04/1963,70,80,73,75,71,73,80,76,79,98
09/05/1963,70,80,73,74,71,73,80,76,79,98
09/06/1963,70,80,73,75,71,73,80,76,79,98
09/09/1963,70,80,73,75,71,73,80,76,79,98
09/10/1963,70,80,73,75,71,73,80,76,79,98
09/11/1963,70,80,73,75,71,73,80,76,79,98
09/12/1963,70,80,73,75,71,73,80,76,79,98
09/13/1963,70,80,73,74,71,73,80,76,79,98
09/16/1963,70,80,73,75,71,73,80,76,79,98
09/17/1963,70,80,73,75,71,73,80,76,79,98
09/18/1963,70,80,73,75,71,73,80,76,79,98
09/19/1963,70,80,73,75,71,73,80,76,79,98
09/20/1963,70,80,73,75,71,73,80,76,79,98
09/23/1963,70,80,73,75,71,73,80,76,79,98
09/24/1963,70,80,73,75,71,73,80,76,79,98
09/25/1963,70,80,73,75,71,73,80,76,79,98
09/26/1963,70,80,73,75,71,73,80,76,79,98
09/27/1963,70,80,73,75,71,73,80,76,79,98
09/30/1963,70,80,73,75,71,73,79,76,79,98
10/01/1963,70,80,73,75,71,73,80,76,79,98
10/02/1963,70,80,73,75,71,73,80,76,79,98
10/03/1963,70,80,73,75,71,73,80,76,79,98
10/04/1963,70,80,73,75,71,73,79,76,79,98
10/07/1963,70,80,73,75,71,73,80,76,79,98
10/08/1963,70,80,73,75,71,73,80,76,78,98
10/09/1963,70,80,73,75,71,73,80,76,79,98
10/10/1963,70,80,73,75,71,73,80,76,79,98
10/11/1963,70,80,73,75,71,73,80,76,79,98
10/14/1963,70,80,73,75,71,73,80,76,79,98
10/15/1963,70,80,73,75,71,73,80,76,79,98
10/16/1963,70,80,73,75,71,73,80,76,79,98
10/17/1963,70,80,73,75,71,73,80,76,79,98
10/18/1963,70,80,73,75,71,73,80,76,79,98
10/21/1963,70,80,73,75,71,73,80,75,78,98
10/22/1963,70,80,73,74,71,73,80,76,79,98
10/23/1963,70,80,73,75,71,73,80,76,79,98
10/24/1963,70,80,73,75,71,73,80,76,79,98
10/25/1963,70,80,73,75,71,73,79,76,79,98
10/28/1963,70,80,73,75,71,73,80,76,79,98
10/29/1963,70,80,73,75,71,73,80,76,79,98
10/30/1963,70,80,73,75,71,73,80,76,79,98
10/31/1963,70,80,73,75,71,73,80,76,79,98
11/01/1963,70,80,72,75,71,73,80,76,78,98
11/04/1963,70,80,72,75,71,73,80,76,79,98
11/06/1963,70,80,73,75,71,73,80,76,79,98
11/07/1963,70,80,73,75,71,73,80,76,79,98
11/08/1963,70,80,73,75,71,73,79,76,79,98
11/11/1963,70,80,73,75,71,73,80,76,77,98
11/12/1963,70,80,73,75,71,73,79,76,79,98
11/13/1963,70,80,73,75,71,73,80,76,79,98
11/14/1963,70,80,72,75,71,72,80,75,79,97
11/15/1963,70,80,73,75,71,73,79,76,79,98
11/18/1963,70,80,73,75,71,73,80,76,79,98
11/19/1963,70,80,73,75,71,73,80,76,79,98
11/20/1963,70,80,73,75,71,73,80,76,79,98
11/21/1963,70,80,73,75,71,73,80,76,78,98
11/22/1963,70,80,73,75,71,73,80,76,79,98
11/26/1963,69,78,72,75,70,73,77,75,78,97
11/27/1963,70,80,73,75,70,73,80,76,79,98
11/29/1963,69,80,73,75,71,73,80,76,79,98
12/02/1963,70,80,73,75,71,73,80,75,79,97
12/03/1963,70,80,73,75,71,72,80,76,79,97
12/04/1963,70,80,73,75,71,73,80,76,79,98
12/05/1963,70,80,72,75,71,72,79,75,79,98
12/06/1963,70,80,73,75,71,73,80,76,79,97
12/09/1963,70,80,73,75,71,73,80,76,79,97
12/10/1963,70,80,73,75,70,73,80,76,79,96
12/11/1963,70,80,73,75,71,73,79,76,79,98
12/12/1963,70,79,73,75,71,73,80,76,79,98
12/13/1963,70,80,73,75,71,73,80,76,79,98
12/16/1963,70,80,73,75,71,73,80,74,79,98
12/17/1963,70,79,72,75,71,73,80,76,79,98
12/18/1963,70,80,73,75,71,73,80,76,79,97
12/19/1963,70,80,73,75,71,73,80,76,79,97
12/20/1963,70,80,73,75,71,73,80,76,79,98
12/23/1963,69,80,73,75,71,73,80,76,79,98
12/24/1963,70,80,73,75,71,73,80,76,79,98
12/26/1963,70,80,73,75,71,73,80,76,79,98
12/27/1963,70,80,73,75,71,73,80,76,79,98
