date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0042897861,0.0045852307,0.0010247659,0.0078374955,0.0126082899,0.0085181446,0.0097561904,0.0119996275,0.0141569183,0.0047932019
07/03/1963,0.0089203378,0.0053585963,0.0098326844,0.010000552,0.0094104851,0.0093986635,0.0080904764,0.0059722172,0.0073510001,0.0005826966
07/05/1963,-0.000192235,0.0034529754,0.0076061065,0.0033794428,0.0022879188,0.0097858337,0.0056180648,0.0022173599,0.0049383183,0.0046851503
07/08/1963,-0.001745067,-0.007558322,-0.000986216,-0.003092998,-0.004648358,-0.009510726,-0.006644706,-0.010363109,-0.012780731,-0.00970813
07/09/1963,0.0040314841,0.0060016579,0.0048292936,0.0039811712,0.0073574195,0.0039218947,0.0022580415,0.0067781247,0.0075885974,0.0034320919
07/10/1963,-0.004574683,-0.005751937,0.002388311,-0.004685005,-0.001485047,-0.000319699,-0.001688765,-0.00630844,-0.004485904,-0.000900127
07/11/1963,-0.000631464,-0.001614154,-0.007984388,-0.002839547,-0.000638177,-0.002814145,-0.000011955,-0.002701051,-0.003941605,-0.004085254
07/12/1963,-0.003668269,-0.001604047,-0.001256267,-0.002661261,-0.003356181,-0.000352123,0.000661214,-0.00022798,-0.003016392,-0.004897988
07/15/1963,-0.006088734,-0.01383949,-0.007097811,-0.006693111,-0.00524407,-0.009043753,-0.007597954,-0.007343926,-0.001814977,-0.008780894
07/16/1963,-0.002402785,0.0010779489,-0.003599467,0.001359385,-0.000399612,-0.002586183,0.0001397269,0.0013782902,0.0028498895,0.0015160696
07/17/1963,-0.004331611,-0.008428203,0.0021140836,-0.001108872,-0.000212485,-0.001636435,-0.003306644,-0.004758853,-0.005437164,-0.001726532
07/18/1963,-0.013460484,-0.00650428,-0.00424127,-0.003301401,-0.004645157,-0.006196457,-0.00237183,-0.008483979,-0.006073232,-0.012232611
07/19/1963,0.0015397645,-0.002949268,0.0018192012,-0.005491258,-0.003399803,-0.001059622,-0.002081107,-0.002143173,0.0004125554,0.0010508491
07/22/1963,-0.006497077,-0.006075795,-0.007252245,-0.007958056,-0.007094876,-0.005332771,-0.007182748,-0.005789055,-0.005684867,-0.010517065
07/23/1963,0.0039662372,-0.002830348,-0.001037814,-0.001955147,0.0025183176,-0.00118833,0.003848071,-0.000700607,-0.001017955,0.0033929608
07/24/1963,0.0035833619,0.0085280277,0.0065045508,0.0081344533,0.0078122362,0.0072983502,0.0027672417,0.009325386,0.002179722,0.0078389319
07/25/1963,0.0019462691,-0.001438041,-0.000794143,-0.004800752,-0.000253599,-0.002756429,-0.001149981,0.0024025774,0.0015354918,-0.003556497
07/26/1963,0.0026379212,0.00164602,-0.000306862,0.0017602919,0.0062369315,0.0043213377,0.0029475955,0.0068357009,0.0034165925,0.0134505701
07/29/1963,-0.000375892,-0.001967098,0.0024441284,-0.000260785,-0.000690822,0.0041632805,0.0003521997,0.0042606623,0.0035211513,0.0046627652
07/30/1963,0.0092987007,0.0033447277,0.0054191291,0.0082014047,0.0077560596,0.0082372038,0.0066639438,0.0072924098,0.0124438566,0.0257516818
07/31/1963,-0.003328359,-7.256715E-6,-0.004563612,0.0024413405,-0.001556917,-0.001644349,-0.001002095,-0.005160097,-0.00821536,-0.003192146
08/01/1963,0.0017243964,-0.001606054,-0.003529884,0.0034408615,-0.002316068,-0.00351558,0.0015438202,-0.002341754,-0.001122719,-0.002450855
08/02/1963,-0.000383923,0.0048955825,0.0078630879,0.0022602739,0.0036680613,0.0039580603,0.002561641,0.0035370134,0.0005237536,0.0036503599
08/05/1963,0.0090432953,0.0019493623,0.0072445381,0.0059718651,0.0084279775,0.0076627626,0.0023923001,0.0075028595,0.0089175524,0.0066081325
08/06/1963,0.0065550524,0.0069700481,0.0021263785,0.0054973982,0.0090365505,0.0044445964,0.0116268589,0.0099877973,0.0093347177,0.001250715
