date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0051509961,0.0077225547,0.0089956921,0.013070984,0.0087752042,0.0065473989,0.0070264279,0.0085792965,0.0075400851,0.0048129852
07/03/1963,0.0013221261,0.0064623282,0.0094073864,0.0059803983,0.0065407296,0.0052774954,0.0033888501,0.0087050127,0.0089964013,0.0100081772
07/05/1963,0.0023057043,0.0027388076,0.0070750836,0.0043623643,0.0025238702,0.0082298295,0.0051942265,0.0026092223,-0.000326828,0.0044600293
07/08/1963,0.0001031542,-0.006590469,-0.007446302,-0.010483767,-0.008011063,-0.003062469,-0.0081911,-0.004225229,-0.005194065,-0.00268042
07/09/1963,0.0027536109,0.0034856125,0.005839537,0.0064246699,0.0048260669,0.0067981964,0.0031196628,0.0051851415,0.0014560462,0.0024294841
07/10/1963,-0.001412297,-0.00250219,-0.000233634,-0.002278595,-0.00136175,-0.003113064,-0.001063602,-0.003888615,-0.003129427,-0.004443532
07/11/1963,0.0009916329,-0.001193298,0.0006723774,-0.003037511,-0.003572714,-0.004386003,-0.002922827,-0.002153279,-0.003576169,-0.002862896
07/12/1963,0.0001270005,-0.001003324,0.0017472463,-0.001941507,-0.003927074,-0.000475765,-0.003706865,-0.004035658,-0.003139175,0.0003745254
07/15/1963,-0.003276842,-0.006132831,-0.008328027,-0.004702917,-0.006142129,-0.007424783,-0.008196967,-0.004541456,-0.004757565,-0.008326566
07/16/1963,-0.00045756,0.000750841,-0.002985405,0.0003316775,-0.000838646,-0.001057581,0.0004151675,0.0036056981,-0.002539206,-0.000869125
07/17/1963,-0.002426994,-0.002906547,-0.003556723,-0.001895181,-0.003601431,-0.000493469,-0.003670458,-0.002211429,-0.005110598,-0.004327998
07/18/1963,-0.002033152,-0.001953058,-0.006894497,-0.004626909,0.0014982765,-0.004309723,-0.009533932,-0.004042824,-0.010917727,-0.00746256
07/19/1963,0.0008884693,-0.001091028,-0.002951375,-0.003224931,-0.005199379,-0.001102031,-0.000190893,-0.003941497,-0.001152563,-0.002466261
07/22/1963,-0.004267465,-0.007544648,-0.007895676,-0.005360392,-0.007220624,-0.004806115,-0.009591031,-0.005075831,-0.007779535,-0.007293431
07/23/1963,0.0001784536,0.0028616879,0.0011082444,0.0011718145,-0.001912116,-0.002787154,0.0015779045,-0.004642103,0.0025194873,0.0012544468
07/24/1963,-0.00014188,0.002638496,0.0080713057,0.0041321091,0.0030874686,0.0048853758,0.0076736471,0.0067104671,0.0063339142,0.002672386
07/25/1963,0.0054044118,-0.002082027,0.0008185118,0.0002758319,0.0020317577,-0.000725086,-0.003869324,-0.005721566,0.0030610492,-0.001089831
07/26/1963,0.0006447314,0.0033365034,0.0061436135,0.0041940987,-0.001822835,0.0012020613,0.0085440357,0.0025582737,0.0001556879,0.0016174976
07/29/1963,0.001398788,0.0005269555,0.0013499922,0.0042500623,-0.00128487,0.0007665072,0.0021472559,0.0000302947,0.0001238621,0.0001872091
07/30/1963,0.0048034857,0.0042797487,0.0094884809,0.0108860835,0.0088276991,0.0104648747,0.0175792126,0.0111657569,0.0097616247,0.0022391933
