date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0095205206,0.0053734975,0.0076834243,0.0066220116,0.0129940292,0.0050574678,0.0099618699,0.0043680498,0.0068733134,0.012539026
07/03/1963,0.0077761357,0.0075424455,0.0062978288,0.007658969,0.0058106461,0.0018752631,0.0088477574,0.0100914938,0.0038195964,0.0058896474
07/05/1963,0.0038677779,0.0049764387,0.0024424515,0.0088277586,0.0041097524,0.0047527666,0.0091669747,0.0013380931,0.0004212455,0.0030789428
07/08/1963,-0.007141994,-0.005360077,-0.005636053,-0.005620765,-0.002936537,-0.007847833,-0.006095135,-0.005653114,-0.010178164,-0.007186126
07/09/1963,0.0044991389,0.0048963887,0.0016766362,0.0045850789,0.0059094658,0.005722335,0.0037520146,0.0071599084,0.0040227996,0.0043909421
07/10/1963,-0.002511567,-0.004141443,-0.00191008,-0.000050558,-0.002165082,0.0000142297,-0.001740138,-0.001060015,-0.004279516,-0.002941394
07/11/1963,-0.003126143,0.0012598049,-0.000037396,-0.001079827,-0.001575647,-0.001322225,0.0009021454,-0.004433926,0.0006688126,-0.004569612
07/12/1963,-0.002038524,-0.002972832,-0.001582256,0.0001877942,-0.002174342,0.0003677815,0.0038841099,0.0003290957,-0.003317135,-0.000858454
07/15/1963,-0.003786996,-0.004458399,-0.00645184,-0.008851854,-0.004861366,-0.008379017,-0.008865346,-0.011495627,-0.003701231,-0.00727679
07/16/1963,-0.000771416,0.0002651627,0.0006279492,-0.002053857,0.0001645044,-0.000254009,-0.002205144,-0.002295018,0.0013687594,-0.000997969
07/17/1963,-0.003112064,-0.002481465,-0.002844813,-0.004201068,-0.001468696,-0.003846925,-0.005769667,-0.001023983,-0.002917167,-0.000170566
07/18/1963,-0.006665732,-0.002522968,-0.000828982,-0.006944667,-0.004296383,-0.008904268,-0.003599511,-0.002770764,-0.007794259,-0.007934542
07/19/1963,-0.001552988,-0.003338628,0.0010915369,0.000543896,-0.001989904,-0.002999427,-0.006871943,-0.009868924,0.0017794327,-0.001831673
