date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0076558064,0.0075561563,0.012500495,0.0072592881,0.0102540954,0.0045805328,0.0045111832,0.0103837999,0.0045205789,0.0067088746
07/03/1963,0.010167605,0.0083487367,0.0071952151,0.0080226272,0.0065767284,0.0047153723,0.0071505924,0.0036151236,0.0045754095,0.0056327271
07/05/1963,0.0023038124,0.0029760497,0.0068486665,0.0068997116,0.0027334092,0.0060462482,0.0016188992,0.0046500358,0.0024909653,-0.000038355
07/08/1963,-0.00702217,-0.006316828,-0.00662208,-0.007002335,-0.005848102,-0.002837764,-0.00639375,-0.00563216,-0.008368703,-0.009562024
07/09/1963,0.0051628224,0.0030462507,0.0045774727,0.00301485,0.0061400981,0.0012444286,0.0044481114,0.0042612944,0.0042619843,0.0080393961
07/10/1963,-0.004042258,-0.001724492,-0.003814406,-0.001554108,-0.003826621,-0.00079259,0.0007934254,-0.000817418,-0.000102537,-0.001604378
07/11/1963,-0.000711065,-0.002091013,-0.000508771,-0.00079186,-0.00109448,-0.004531361,-0.001383173,-0.00173041,-0.002956398,-0.001949107
07/12/1963,-0.001158794,-0.001442049,-0.000189085,-0.000392524,-0.003155405,-0.002087864,0.0009232151,-0.001104075,-0.002592681,-0.002118211
07/15/1963,-0.006068662,-0.006786253,-0.00277053,-0.009073092,-0.006074787,-0.004173814,-0.008877276,-0.005940084,-0.006798075,-0.005037034
07/16/1963,-0.001482907,0.0013166171,-0.000320477,-0.001854821,-0.000530597,0.000684766,-0.004609856,0.0003577709,-0.002348057,0.0023316224
07/17/1963,-0.006942753,-0.002678151,-0.005002402,-0.001554715,-0.001893575,-0.003608375,-0.001332314,-0.002661628,-0.002834403,-0.004081324
07/18/1963,-0.00540239,-0.002631756,-0.004589449,-0.005406531,-0.004788478,-0.003396764,-0.003729186,-0.008463311,-0.008546142,-0.004434338
07/19/1963,-0.00295513,-0.000614096,-0.003489472,-0.000572917,-0.00262919,0.0011234968,-0.004062324,-0.000777598,-0.00224359,-0.002376008
