date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0131241982,0.0141669667,0.0063226388,0.0104178095,0.0095585783,0.0050348965,0.0051010561,0.0080944737,0.0104253124,0.0042720509
07/03/1963,0.0084706281,0.0048501985,0.003286539,0.0071136518,0.0098694072,0.0027095267,0.0028364358,0.0027922187,0.0101004012,0.0021049333
07/05/1963,0.00582177,0.0083996149,0.0028620626,0.0007926593,0.0016672138,0.0029319977,0.0032810957,-0.000187078,0.0083034741,0.0060433788
07/08/1963,-0.011149255,-0.006800695,-0.007088859,-0.004679857,-0.005138155,-0.003449083,-0.003648265,-0.000744285,-0.008743287,-0.009392903
07/09/1963,0.0032575372,0.0014898434,0.0052372681,0.0030456083,0.0087075505,0.0041310194,0.0041609166,0.0039579911,0.0032246782,0.0035240341
07/10/1963,-0.001616545,-0.00332684,0.0014015774,-0.004742838,-0.004008987,-0.002421572,-0.002282901,-0.00088677,-0.00188878,-0.000479418
07/11/1963,-0.008655336,-0.00369827,0.0004129548,-0.001090117,-0.001420264,0.0002105572,-0.00174398,-0.00241205,-0.002084568,-0.00200082
07/12/1963,-0.005991365,0.0027561333,-0.001784579,-0.000167657,-0.003317062,-0.00116451,0.0007925884,-0.004255723,-0.00055027,-0.004842788
07/15/1963,-0.005839479,-0.001807382,-0.005317651,-0.005700438,-0.007759786,-0.005050912,-0.006677747,-0.000038097,-0.007456703,-0.008948898
07/16/1963,0.0045233972,-0.000956103,-0.004069943,-0.001128272,0.0009772442,0.0001742801,0.0022129024,-0.000480013,-0.000065644,0.0005358836
07/17/1963,-0.008538748,-0.00029006,-0.001429973,-0.004195201,0.0008051576,-0.005267673,-0.001018923,-0.00262022,-0.003441454,-0.003213695
07/18/1963,-0.007495015,-0.004250274,-0.002822872,-0.010025356,-0.004931008,-0.005373166,-0.001216003,-0.001811471,-0.004274306,-0.012901618
07/19/1963,-0.002637069,-0.001429161,-0.003364492,-0.001125716,-0.004261775,0.0002350173,-0.001554151,-0.001042549,0.000183224,-0.000183098
07/22/1963,-0.006438249,-0.006327794,-0.006837109,-0.006675022,-0.008461033,-0.003404902,-0.003871974,-0.0064654,-0.005750275,-0.009516679
07/23/1963,-0.00061832,-0.001949672,0.004321249,0.0022255307,-0.000756459,0.0003901457,-0.001350337,-0.000758822,0.0018120704,0.0029084922
07/24/1963,0.0094072605,0.0061594229,0.0018886877,0.0036158212,0.0065237483,0.0057897538,0.0033194715,0.0007092684,0.0056619689,0.0086625248
07/25/1963,-0.007847555,-0.007887387,0.0004095545,0.0029113932,0.0005596014,8.5416836E-6,0.0035652507,0.0023795676,-0.001826608,-0.004126435
07/26/1963,0.0081468356,0.0096930056,-0.000240767,0.0013899356,0.0072737606,0.0016137812,0.0016330232,-0.000125987,0.0034107266,0.0119044883
07/29/1963,0.0041515907,0.0074010052,-0.00065943,0.0011568991,-0.000830253,0.0025158731,0.0048547812,0.0020184172,0.0016180957,0.003216617
07/30/1963,0.0109914513,0.0049215439,0.0073983695,0.0068703168,0.0107026091,0.0078385575,0.003657685,0.0037906804,0.0083625813,0.0216271527
07/31/1963,-0.008896875,0.0002953581,-0.001594237,-0.000617867,-0.00016603,0.00040955,-0.003217936,0.0032000771,-0.003816962,-0.00386662
08/01/1963,-0.00323173,-0.001164723,0.0013731681,-0.000451467,-0.00074043,0.0024053074,0.000289436,-0.001468675,-0.002411728,0.0003929796
08/02/1963,-0.002959841,0.0025112733,0.0034582155,0.0006577999,0.0037892575,0.0024309905,0.0053530932,0.0049912155,0.0021380151,0.0037571737
08/05/1963,0.0076343284,0.0044504866,0.0061762928,0.0089498526,0.0067490779,0.000558881,0.0043439191,0.0029932595,0.0057427234,0.006711332
08/06/1963,0.0114125859,0.0109475624,0.0040651681,0.0058193781,0.0091595445,0.0075483558,0.0032918308,0.0039352752,0.0095613495,0.0007591425
08/07/1963,-0.005345438,0.0011706528,-0.003255255,-0.001946638,-0.000312806,0.003708925,-0.000096981,-0.001578027,-0.003110345,-0.008807651
08/08/1963,0.0021096216,-0.004480505,-0.000274305,0.0024707045,-0.002112282,0.0038228093,0.0013645747,0.0016245618,0.0035404401,0.0033081362
08/09/1963,0.0151636241,0.0044049836,0.0077942633,0.0073833311,0.0019306748,0.0057631773,0.0071121976,0.0054731221,0.0081610726,0.00759504
08/12/1963,0.0188638171,0.001893302,0.0044284267,0.0029261975,0.0001934046,0.00157668,0.0044746831,6.4974369E-6,0.0018587335,0.0003584199
08/13/1963,-0.004168352,-0.000448712,0.0017343544,0.0044027797,0.0069397379,0.0006176391,-0.00028617,0.0036533644,0.0042156448,0.0008531162
08/14/1963,0.0006629796,0.0005724051,0.0036502406,0.013497872,0.0046743469,0.0034005348,0.0024493428,-0.000050321,0.0041060897,-0.001307475
08/15/1963,-0.000982452,0.0033413353,0.0049022259,0.0034961681,0.0032394222,0.0083149003,0.0052230705,0.006587294,0.002331003,0.01370334
