date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0123490806,0.0061337584,0.0089375546,0.0045532204,0.0099505324,0.0094665834,0.0058221598,0.0054612807,0.0040108416,0.0104117578
07/03/1963,0.0080455189,0.0096962241,0.0080812302,0.00763223,0.0020981033,0.008027767,0.0019998157,0.0058750769,0.0030518563,0.0015768071
07/05/1963,0.0055449505,0.0113350124,0.0032110835,0.0031268103,0.0055782756,0.0023279322,0.0040345475,0.0032544894,0.0005630309,-0.000748497
07/08/1963,-0.009750662,-0.009232775,-0.005490565,-0.002266103,-0.001859248,-0.004282141,-0.008341454,-0.001812532,-0.004338782,-0.011737719
07/09/1963,0.0049924289,0.0062930061,0.0036848805,0.004321932,-0.00062643,0.008096182,0.002203618,0.0031078843,0.006104942,0.0053335488
07/10/1963,-0.004375889,-0.00108097,-0.001503308,-0.004363637,-0.001598783,-0.001904409,0.0000949996,-0.000164295,-0.001963843,-0.006610688
07/11/1963,-0.005511642,-0.003230175,-0.000331301,0.0007935305,0.0006530696,0.0002351234,-0.002305941,-0.002627023,-0.001020581,-0.003192333
07/12/1963,-0.004524374,-0.000382393,0.0004762819,0.002287816,-0.001787786,-0.005131309,-0.003134571,-0.00100555,-0.000131384,-0.000459388
07/15/1963,-0.002468844,-0.009730824,-0.008246273,-0.004951797,-0.004944214,-0.004661814,-0.007952671,-0.005368468,-0.003235391,-0.00713256
07/16/1963,0.0006827897,-0.000679678,0.0002846376,-0.002113945,-0.002218328,-0.000356395,0.0015911602,0.0009091587,-0.00132604,0.0014485039
07/17/1963,-0.005565398,-0.002030973,-0.00001802,-0.006158446,-0.006823526,-0.00057429,-0.002445755,-0.000164545,-0.004711953,-0.001839043
07/18/1963,-0.00856831,-0.005282877,-0.001610089,-0.006544774,-0.006869469,-0.00462059,-0.009576273,-0.003183997,-0.002864273,-0.006901574
07/19/1963,-0.001197011,0.0015447483,-0.002475425,-0.002901422,0.0008948358,-0.003277615,-0.000221248,-0.001529842,-0.003174068,0.0002707461
07/22/1963,-0.003605551,-0.007510344,-0.006420419,-0.004691996,-0.006829643,-0.006313953,-0.009445655,-0.00577363,-0.006697955,-0.009061387
07/23/1963,0.0001952891,-0.001407357,0.0008729739,0.0002388174,0.0040795615,0.001973751,0.0029354205,-0.001406391,0.0000315708,0.0017738464
07/24/1963,0.0041510541,0.0072471949,0.004181496,0.0087731481,0.0034416456,0.0074339258,0.0062448495,0.0002018712,0.0034664197,0.0026881429
07/25/1963,-0.000516585,0.0026880587,-0.004286471,0.0023875536,0.0021233347,0.0002253648,-0.002789947,-0.000723378,0.003317281,0.0057711541
07/26/1963,0.0022211698,0.0035570489,0.0049335184,-0.001959029,-0.000178333,0.0058342558,0.0106603487,0.0043671747,0.0002833933,0.0036953018
07/29/1963,0.0010981938,0.0050784702,0.0008309308,0.0045535482,0.0009357169,-0.00102511,0.0044386598,0.000691929,-0.00085228,0.0013588595
07/30/1963,0.0140039562,0.0044286216,0.0055854351,0.0065910079,0.0088689104,0.007220183,0.0201722896,0.0074762353,0.0057942716,0.0049498357
07/31/1963,-0.007470209,-0.000741953,-0.000663701,0.0022265344,-0.000694268,0.0001414216,-0.003068237,0.0010594086,-0.002550132,-0.004250441
08/01/1963,-0.001801317,-0.005049856,0.0017961637,0.0013106072,0.0009208302,-0.002045153,-0.001400802,0.0007561913,0.0027576775,-0.004300244
08/02/1963,0.0002638373,0.0043837695,0.0023943491,0.0038218809,0.0062083286,0.0045677847,0.0027219323,0.0017286858,-0.000626212,0.0023170336
08/05/1963,0.0084255938,0.0088886012,0.0007180956,0.0010948108,0.0084713689,0.0080586966,0.0043296532,0.0074384,0.0108328606,0.0078035272
08/06/1963,0.0077737758,0.0041353493,0.0106457105,0.0024936105,0.0069287143,0.008033563,0.0022961001,0.0055521739,0.0080294848,0.0040876091
08/07/1963,-0.002287649,0.0006037473,-0.003530848,0.000407362,0.0002258393,0.0002199884,-0.007209241,-0.001068137,-0.002913376,-0.005037071
08/08/1963,0.0033279622,0.0049106649,0.0017195256,0.0007438415,-0.000984823,0.0003107103,0.0019251395,0.0027303477,0.0006841803,-0.003157307
08/09/1963,0.0084129571,0.0071390268,0.0096370494,0.0039255925,0.0044111075,-0.001236515,0.0068843408,0.0064290212,0.004945675,0.0123833213
08/12/1963,0.0049941199,-0.001855623,0.0018527796,0.005076089,0.002304663,-0.00260326,0.0017607799,0.0079429257,0.0056764873,0.0083169329
08/13/1963,0.0098792224,-0.001520582,0.001899421,0.0039618784,0.0034331087,0.0025721819,0.0030026407,-0.001968553,0.0057602459,0.0002692052
08/14/1963,0.0103509722,0.0006797863,0.0032772795,0.0006072617,0.001693118,0.0029914358,0.000326534,0.0047995776,0.0078141777,0.0116365647
08/15/1963,-0.001295861,0.0043901455,0.0049194359,0.0086855426,0.0025608908,0.0042773961,0.0134969226,0.0061341862,0.0017799275,0.0073368761
08/16/1963,0.0009865807,0.0027097766,-0.000197474,0.0052342696,0.0037707943,-0.000726891,0.0030720263,-0.002902541,0.0008156235,0.0045856836
08/19/1963,0.000766249,0.0054829632,0.0002643081,-0.000522665,-0.000511295,-0.001383343,-0.004935807,-0.000926228,0.002210374,-0.006532314
08/20/1963,-0.002321264,0.0011028241,-0.00116346,-0.000120521,0.0016868125,0.0004147058,0.0010618886,0.0003110348,-0.000632015,-0.004998221
08/21/1963,0.0029026914,-0.000462777,-0.004108908,-0.002183222,-0.000724461,-0.001827955,-0.006071607,-0.000135517,-0.000992365,0.0025732532
08/22/1963,0.0052524294,0.000113548,-0.000605287,0.0027843756,0.0001223575,0.0058602479,0.0134119298,0.0027851764,0.009276286,0.0118817463
08/23/1963,-0.001184059,0.0027782975,0.0021740735,0.001630368,0.0036306925,0.0032950727,0.0134091545,0.0052155948,0.0042867624,0.0099381826
08/26/1963,0.0021796908,0.0036137108,0.0007783541,0.0046086817,-0.000176843,0.0028020743,0.002730752,-0.001622963,0.0038686263,0.0060932279
08/27/1963,-0.008015745,-0.003433662,-0.00325518,-0.00162211,-0.002478317,-0.001874524,-0.00363235,0.0024577769,-0.003010123,-0.011850561
08/28/1963,0.0062136947,0.005140469,0.008181626,0.0087787368,0.0067498512,0.0042962273,0.0083714697,0.0091704848,0.0055484577,0.0135952115
08/29/1963,0.0035700651,0.0000855037,0.0001438798,0.003588768,0.0054421232,0.0077429847,-0.001936446,-0.001597003,0.0010833398,-0.000464261
08/30/1963,0.0056136147,0.0000976229,0.006544059,0.0054446089,0.0083531625,0.002547157,0.0087669519,0.00439079,0.0021435075,0.0030025216
09/03/1963,0.0050259128,0.0005307263,0.0001867917,-0.000141415,0.0019958847,0.0025415188,0.0042841091,-0.000271062,0.0041505558,0.0065728305
09/04/1963,0.0020178592,0.0009836267,-0.003113391,0.0026130959,-0.001638053,-0.002681266,0.0026774075,-0.000472638,0.0010028579,0.0054703957
09/05/1963,0.0073836192,0.0056379318,0.0053909586,0.0007585395,0.0054346382,0.0026066637,0.0027577482,0.0042357151,0.0039845084,0.0132218048
09/06/1963,0.0019369331,-0.006384979,-0.002202308,-0.006273994,-0.004049766,-0.004981143,0.0008492779,-0.00806624,-0.000582088,0.0091454768
09/09/1963,-0.006184655,-0.001578568,-0.003068354,-0.003040985,-0.0049191,-0.004468894,-0.002246588,0.0022387824,-0.001759425,0.0031144833
09/10/1963,0.0070476733,0.0000376455,0.0053664668,0.0031299344,0.0020974317,0.0004611458,0.0173670954,0.0046990555,0.0074070335,0.0184870033
09/11/1963,0.0021475205,0.0042143833,0.0022878929,-0.000652882,0.0005262102,0.0060187803,0.0031500176,0.0041386249,-0.001458791,0.0037359193
09/12/1963,-0.000901824,-0.002174993,0.0028860867,0.0015451279,-0.002114414,0.0028276122,-0.006439699,-0.005147375,-0.004265512,-0.006878422
09/13/1963,0.0023443458,-0.000627924,-0.000274421,0.0004434828,0.0007763965,0.0033714369,-0.004489047,0.0044634707,-0.002163689,-0.006110617
09/16/1963,-0.00329836,0.0003562754,-0.003222171,-0.002974288,-0.004282918,0.0016970049,0.0032020475,-0.003337036,0.0019377115,-0.008318521
09/17/1963,-0.000336409,-0.000041063,-0.000255135,-0.002054597,0.0005881413,0.0056049844,0.0030444316,-0.000969629,-0.000948318,-0.001709842
09/18/1963,-0.006874228,-0.00277861,-0.002172543,-0.005242802,-0.001162557,-0.00083779,-0.006533993,-0.000810541,-0.006951552,-0.011745369
09/19/1963,0.0071393745,0.0035165293,0.0039144827,0.0034486801,0.0043112555,0.0048566341,0.0085095993,0.0043778815,0.0065632958,0.0207434083
09/20/1963,0.0021842391,-0.002911163,-0.001718541,-0.000068566,-0.000275444,0.00239798,0.0078631653,-0.000773717,0.0001710076,0.0006907504
09/23/1963,-0.00316402,-0.00435119,-0.00156215,-0.005922084,-0.004241844,-0.004945113,-0.007217432,-0.005151183,-0.005469443,-0.013870907
09/24/1963,0.0073459951,0.000873321,0.0124182017,0.001328464,-0.000512769,0.0006392052,0.0001416825,0.0030121649,0.0029600736,0.0084043822
09/25/1963,-0.010804459,-0.003591999,-0.003889953,-0.006749173,-0.002949978,-0.003493542,-0.002973625,-0.007146954,-0.008730822,-0.011511058
