date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0113417193,0.0078876171,0.0104016931,0.0022253284,0.0088574809,0.0040075156,0.0099112491,0.006557414,0.0153107241,0.0032695608
07/03/1963,0.0083497645,0.0067002873,0.008586559,0.0060433067,0.0097716964,0.0077918934,0.0068942062,0.004545342,0.0033595913,0.0075232896
07/05/1963,0.0050038123,0.0082804662,0.0036023741,0.0001963448,0.010082337,0.0045238566,0.0026685107,0.0005986958,0.0041295556,0.0067731753
07/08/1963,-0.008056755,-0.009910952,-0.006350121,-0.006673885,-0.003649321,-0.00495902,-0.007977865,-0.00885847,-0.008554937,-0.000325434
07/09/1963,0.004829111,0.0029422938,0.0054896688,0.0087263734,0.0011170146,0.0059104083,0.0054139691,0.0043489894,0.0053153699,0.0045961702
07/10/1963,-0.004436314,-0.000394637,-0.002301859,-0.000275687,-0.000594056,-0.003659027,-0.002775148,-0.003119768,-0.004979524,-0.004190454
07/11/1963,-0.003668987,-0.002351662,-0.001030482,-0.00295038,0.0028036537,-0.001439745,-0.005041876,0.0007515902,-0.003818635,-0.002457213
07/12/1963,-0.003097846,-0.002295011,-0.00322385,0.001470259,0.0060535408,-0.000748704,-0.003293547,-0.001805364,0.0031207706,0.0002893246
07/15/1963,-0.003420346,-0.010284187,-0.006000532,-0.012017206,-0.010793537,-0.005907132,-0.007408411,-0.003223376,-0.009426389,-0.00896644
07/16/1963,0.0012717411,-0.000843262,0.0012901021,-0.003498276,0.0000889683,-0.003217442,0.0010654606,-0.000819106,0.0005286515,-0.000336935
07/17/1963,-0.002183638,-0.00361786,-0.001470422,-0.002797769,-0.004212559,-0.005141205,-0.003570184,0.000531481,-0.003469197,-0.007289424
07/18/1963,-0.007602237,-0.009763636,-0.002543002,-0.004110395,-0.00166373,-0.002853281,-0.003829743,-0.007397005,-0.010891407,-0.002067276
07/19/1963,-0.00112858,0.0006873646,-0.001241192,-0.005078302,-0.005777256,-0.00355569,-0.002570814,-0.002402031,-0.000987043,0.0008063094
07/22/1963,-0.004163257,-0.00785145,-0.00643665,-0.007700822,-0.008797104,-0.007311782,-0.006923678,-0.006837981,-0.013148327,-0.011658184
07/23/1963,-0.001798266,0.0004970426,0.0039307483,0.0010501396,0.0019345592,-0.005006883,0.0062472217,0.0006407961,0.0016513217,-0.002572337
07/24/1963,0.0044314892,0.0079322692,0.0035683463,0.0070125751,0.0103018695,0.0034419497,0.0108459166,-0.000805426,0.0090681391,0.0085758933
07/25/1963,-0.001613521,-0.000122441,-0.002748017,-0.003397574,0.0022815833,0.0008116281,-0.005239287,0.0025325997,0.0063907779,-0.001219627
07/26/1963,0.0026517297,0.0074446177,0.0057630049,0.0043436925,0.0033552827,-0.000435201,0.0011383843,0.0042834895,0.0118210818,0.0033848798
07/29/1963,0.0012749446,0.0046971748,-0.000112881,0.0012808748,0.0015767998,0.0018404249,0.0022646381,0.0028190156,0.0007482121,0.0005159831
07/30/1963,0.0117869854,0.0181110104,0.0047910077,0.0038776888,0.0073192273,0.0112790583,0.0054752837,0.0064984256,0.0100355278,0.0052793482
07/31/1963,-0.005016998,-0.002675744,-0.002065115,-0.000183942,0.0005394037,-0.001594769,-0.001514291,-0.002088796,-0.002796878,-0.001863272
08/01/1963,-0.00101437,-0.002731855,0.0007634818,0.0062623318,-0.0046463,-0.00279139,-0.003913845,0.0015301357,-0.006357095,0.0021262057
08/02/1963,0.0013579797,0.0033787192,0.0024840008,0.0064138533,0.0059460399,0.0027795651,0.0000679356,0.002217309,0.0083844146,0.0042679973
08/05/1963,0.0072735146,0.0092266078,0.0026233003,0.0002543488,0.0072488695,0.0064201667,0.0124644934,0.0130797741,0.0053657763,0.0054527496
08/06/1963,0.0084863181,0.002718931,0.0102306143,0.0054021541,0.0072078207,0.0077886701,0.0113304424,0.0043876692,0.0070124593,0.008258363
08/07/1963,-0.002077456,-0.005733428,-0.003323012,0.0019740934,-0.003421964,0.0019317395,-0.002401862,-0.003467707,-0.000815428,0.001110706
08/08/1963,0.0031557142,0.0028674794,0.0017598525,0.0011894868,0.0009000665,-0.000204125,-0.001398608,-0.004201494,-0.000820142,-0.002208106
08/09/1963,0.0086325011,0.0091250285,0.0047923243,0.0064211604,0.0057058178,0.0058582579,0.0004895027,0.0104959898,0.0129875595,0.0036151414
08/12/1963,0.0024000043,-0.000756794,0.0003852003,0.0043357734,0.0050710696,0.0055654772,0.0008806757,0.0084630684,0.0028500366,0.0066027032
08/13/1963,0.0082656145,0.0022098976,-0.000364361,0.0050056128,0.0008211849,0.0071657005,0.0059907944,0.0023856904,0.0030637495,-0.000642404
08/14/1963,0.0100370473,-0.002840727,0.0038907929,0.0052071349,0.0014984334,0.0095626033,0.0020727479,0.0139361011,0.0017654832,0.0021068069
08/15/1963,-0.001369396,0.0094942425,0.005482572,0.0070877921,0.0014192079,0.0036017514,0.0075705185,0.0079688289,0.0084980318,0.0053039563
08/16/1963,-0.000975217,0.0053668727,-0.000708913,-0.000608459,0.0054730185,-0.000488194,0.0026506,-0.000010336,0.0037512019,0.0004162177
08/19/1963,0.0019440919,-0.001564566,-0.000938495,-0.002159178,-0.000223495,-0.00220991,0.000950751,-0.008601291,-0.002128483,-0.000714359
08/20/1963,-0.002362945,0.0016060198,-0.001730871,0.0023883344,0.0004776094,0.00062586,0.0013111342,-0.004863966,-0.005845089,-0.0045642
08/21/1963,0.0027304416,-0.005359306,-0.004110032,-0.000271637,-0.004484027,0.0002921264,0.0036692915,-0.001677428,-0.00296659,0.0052788204
08/22/1963,0.0019772427,0.0082802693,-0.000430076,0.0028112144,0.0060605714,0.0072400477,0.0091768967,0.0139274364,-0.001271972,0.0103488427
08/23/1963,-0.001400698,0.0094439408,0.0041214603,0.0027411648,0.0021847515,0.0037672296,0.0060580341,0.004657523,0.0092959235,0.0067715095
08/26/1963,0.0024687931,0.000721691,0.0016570705,0.0083529202,0.0021314154,0.0015335495,0.0031804208,0.0051598707,0.0041565255,-0.000416607
08/27/1963,-0.006759466,-0.004861504,-0.002412954,-0.004759756,0.0000189994,-0.000636831,-0.005024269,-0.007612929,-0.005411931,-0.004834218
08/28/1963,0.0056856926,0.0097369066,0.0069712124,0.0088654339,0.0050131911,0.0049112716,0.011392258,0.0151316042,0.0107441854,0.0094814067
08/29/1963,0.0035314988,0.0007999744,0.0010757523,0.0027691622,-0.001968918,0.0062482617,0.0057346742,0.0001855829,-0.000321254,0.0013114856
08/30/1963,0.0060004855,0.007009541,0.0070857005,0.0049520197,0.0019879539,0.0065849993,0.0025093459,0.0045434896,0.0061246323,0.0030598253
09/03/1963,0.0026580978,0.0027676468,0.0001829082,0.0034815932,0.0046220072,0.006829316,0.0027364174,0.0052738793,-0.000960762,0.0016902402
