date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0125008258,0.006561397,0.008291774,0.0042711112,0.0094022951,0.0074346525,0.0041584069,0.007272943,0.00671723,0.0159250652
07/03/1963,0.0078878257,0.0078275722,0.005992325,0.004720845,0.0094737708,0.0027936907,0.0039425741,0.0089466828,0.0017171167,0.0063149768
07/05/1963,0.0072431814,0.0014864327,0.0035064364,0.0033215189,0.0060541493,0.0026013227,0.00239731,0.0081224361,0.0042582792,0.0055876979
07/08/1963,-0.009517133,-0.004721229,-0.006453486,-0.000910197,-0.006072919,-0.006727502,-0.001297888,-0.004833602,-0.008955264,-0.009341148
07/09/1963,0.0061125366,0.0037824866,0.0029237144,0.0004508419,0.0063112957,0.006059301,0.0027927775,0.006617322,0.0035886145,0.0062254204
07/10/1963,-0.002950369,-0.002468751,-0.002689275,-0.003388116,-0.000433766,0.0002649529,-0.001436485,0.0008889951,-0.001047418,-0.006339617
07/11/1963,-0.004740134,-0.001677644,0.0000854104,-0.001185395,-0.000570583,-0.00221913,0.0014852047,0.0036656282,-0.004079591,-0.004488007
07/12/1963,-0.001659815,-0.002112545,-0.00217656,-0.000440423,-0.001509741,-0.00074638,-0.000617717,0.0100994996,-0.004389466,-0.000287235
07/15/1963,-0.003172807,-0.005901265,-0.006310872,-0.004341757,-0.008218638,-0.005005704,-0.005929628,-0.009994231,-0.008258974,-0.006702222
07/16/1963,0.0004127258,-0.003150315,0.000590528,0.0026326726,-0.000936513,-0.002195554,-0.000975639,-0.004627141,0.0019070233,0.001246747
07/17/1963,-0.003248498,-0.003247535,-0.003477755,-0.004979568,-0.000615119,-0.000249998,-0.004912992,-0.006549969,-0.002127043,-0.00214336
07/18/1963,-0.008765796,-0.002266685,-0.002716832,-0.001910893,-0.007484844,-0.002296468,-0.004663479,-0.004900486,-0.011697806,-0.007498535
07/19/1963,0.0002579887,-0.006504463,-0.000391766,-0.001579117,0.0007514139,-0.003941009,-0.000472835,-0.0085817,0.0014411239,-0.003944939
07/22/1963,-0.003614902,-0.007851485,-0.006377616,-0.006630932,-0.006537386,-0.005748213,-0.008073516,-0.010780124,-0.008405693,-0.008843892
07/23/1963,0.000365275,-0.003680883,0.002611398,-0.000416245,0.0008123225,0.0000467523,0.0007530227,0.0044497859,0.0029021504,0.0013765093
07/24/1963,0.002701691,0.0064378183,0.0031436041,0.0040620727,0.0064545412,0.001919267,0.0014781,0.0120929872,0.0063489188,0.0093666234
07/25/1963,0.0006558285,-0.003129151,0.0004477795,-0.000710274,0.0036552236,-0.002695771,0.0015217825,-0.001110618,-0.003119628,0.0008647595
07/26/1963,0.0025643123,0.0025725764,0.0026036156,-0.000400861,0.0038170349,0.0064486331,0.0007783307,0.0038123621,0.0123980251,0.0052311407
07/29/1963,0.0027409103,0.0000535644,0.0001549057,0.0030278683,0.0008514989,0.0024557984,0.000899647,-0.002230508,0.00422931,0.002269617
07/30/1963,0.0130570238,0.0080825123,0.0064485853,0.0047806648,0.0075354334,0.004094716,0.0056247984,0.006686695,0.0230515241,0.009087058
07/31/1963,-0.007646912,0.0037015831,-0.00081823,-0.000112905,-0.000806551,-0.00092806,0.0008570394,0.0010990807,-0.003192365,-0.00508205
08/01/1963,-0.002514754,0.0026196698,0.0005548386,0.0019569685,-0.003096384,-0.000059213,-0.003024462,-0.003576057,-0.001123866,-0.004982859
08/02/1963,0.0012803807,0.0019862903,0.0022789093,0.0041241221,0.0051699829,0.0027430863,0.0035083557,0.0068204574,0.003500404,0.0035324145
08/05/1963,0.0075964892,0.0059820883,0.0020921711,0.0011930584,0.0078534175,0.0055810866,0.0080538924,0.0085581594,0.0063603286,0.0073744459
08/06/1963,0.0075246013,0.0078342674,0.0081624731,0.0020304938,0.0044884795,0.0073213949,0.0065617326,0.0102068813,0.0029697749,0.0066249855
08/07/1963,-0.001704873,-0.002322313,-0.001526529,-0.001162184,-0.000209285,-0.002327272,0.001056655,-0.002585339,-0.008079491,-0.003497616
08/08/1963,0.0040061477,0.0028513668,0.0015499217,0.0017079273,0.0024218505,-0.002339439,-0.003067119,0.0026089266,0.0011431724,0.0016690495
08/09/1963,0.0085458204,0.0075472837,0.0091162987,0.004722735,0.0026325105,0.0050884628,0.0019663786,0.0013537638,0.0077680978,0.0079027785
08/12/1963,0.0039706157,0.0012625386,0.0041990961,0.0022462345,-0.001841256,0.0057402539,0.0056436862,-0.003399458,0.0016985383,0.0049440294
08/13/1963,0.007110459,0.0027725201,0.0001382328,0.0044928907,0.0015247063,0.0014337553,0.0049205224,0.00253089,0.0029204622,0.0006687953
08/14/1963,0.0113440148,0.0018017133,0.0045698012,0.0037955089,-0.000033421,0.0051543396,0.0012935859,0.0024584973,-0.000012205,-0.000746871
08/15/1963,-0.001204725,0.0021381264,0.0045145846,0.0054043695,0.0051470688,0.0071761023,0.0020088962,0.0054736557,0.013358064,0.0095110474
08/16/1963,-0.00056895,0.0024090854,0.0014995453,0.0044670748,0.0018053876,-0.00029056,0.0035996318,-0.001487581,0.0032068344,0.0030051998
08/19/1963,0.0037813926,-0.00167438,0.0000651971,0.0015452285,0.0007857309,-0.001855883,0.0003113393,-0.003303732,-0.00423988,-0.002796695
08/20/1963,-0.00337328,0.0009178914,0.0008097328,-0.002407685,0.001031261,-0.000608914,-0.002120079,0.0009948776,0.0001842284,-0.003684543
08/21/1963,0.0028399374,-0.00016018,-0.003791399,-0.000370294,-0.002539401,0.0021485621,0.00094636,-0.002144905,-0.006323628,-0.000138721
08/22/1963,0.0049595122,0.0020245649,-0.000706802,0.0018070774,0.0035077705,0.0057197373,0.0029009168,0.0070714637,0.0135831528,0.0016326585
08/23/1963,-0.002095371,0.0023613906,0.0052795318,0.004737016,0.0014605473,0.0017696784,0.0042925756,0.0033010658,0.0140841635,0.0098056201
08/26/1963,0.0018342685,-0.000757439,0.0014924803,0.0029164908,0.0023057428,0.0015938208,0.0026108302,-0.000229442,0.0059413668,0.0030797866
08/27/1963,-0.006961418,-0.006840763,-0.003257553,-0.005556935,-0.002263661,-0.004797647,-0.002851871,0.0038003242,-0.006485543,-0.003655803
08/28/1963,0.0053426464,0.0076648137,0.0055645827,0.0056353389,0.0055012155,0.0091886451,0.0074196417,0.013460617,0.0113077849,0.0090017961
08/29/1963,0.0024306207,0.0047741062,0.0018614553,0.0019286786,0.0031924833,0.0000253641,0.0076149768,-0.001889926,-0.002912626,0.0042772349
08/30/1963,0.0054630113,0.0042859848,0.0075072419,0.0048242283,0.0002029577,0.0019702562,0.0069513542,-0.003237324,0.0092246596,0.0059846259
09/03/1963,0.0042118187,0.0028927407,0.000652575,-0.000195856,0.0012945745,0.0035171726,0.004017416,0.0035662531,0.0033978321,0.0022435176
09/04/1963,0.0031490989,-0.003644339,-0.00288575,0.0013922078,-0.00184066,0.0060967594,0.0022410529,-0.002816688,0.0014195079,-0.000909248
09/05/1963,0.0083184793,0.0054037767,0.0041037967,0.0062608382,0.0036131277,0.0063699711,0.0054148919,0.0009917682,0.0046028413,0.0038671211
09/06/1963,0.0016409928,-0.003203648,-0.002605905,-0.004969495,-0.006517265,0.0014188562,-0.002566397,-0.00414276,-0.000749772,0.0042426763
