date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0153845917,,,,,,,,,0.0080519841
07/03/1963,0.0029414272,,,,,,,,,0.0063851173
07/05/1963,0.0050573404,,,,,,,,,0.0041340467
07/08/1963,-0.014895815,,,,,,,,,-0.006131048
07/09/1963,0.0110713737,,,,,,,,,0.0046140706
07/10/1963,-0.003566208,,,,,,,,,-0.001683972
07/11/1963,0.0087971324,,,,,,,,,-0.001537088
07/12/1963,0.0000359717,,,,,,,,,-0.001051019
07/15/1963,-0.010141021,,,,,,,,,-0.006108028
07/16/1963,-0.004478155,,,,,,,,,-0.000571085
07/17/1963,-0.003330778,,,,,,,,,-0.003162541
07/18/1963,-0.016351172,,,,,,,,,-0.005252666
07/19/1963,-0.003922893,,,,,,,,,-0.002128132
07/22/1963,-0.009200068,,,,,,,,,-0.006856684
07/23/1963,0.0061673189,,,,,,,,,0.000176024
07/24/1963,0.0033250997,,,,,,,,,0.0047285901
07/25/1963,-0.004382844,,,,,,,,,-0.000276036
07/26/1963,0.0082376653,,,,,,,,,0.0036507701
07/29/1963,-0.012705088,,,,,,,,,0.0012468733
07/30/1963,0.0059749272,,,,,,,,,0.0085393649
07/31/1963,-0.002249011,,,,,,,,,-0.001199808
08/01/1963,-0.010822147,,,,,,,,,-0.000640683
08/02/1963,-0.000038282,,,,,,,,,0.0030382347
08/05/1963,0.0051474674,,,,,,,,,0.0058123579
08/06/1963,-0.001297416,,,,,,,,,0.0060888785
08/07/1963,-0.00650688,,,,,,,,,-0.001760063
08/08/1963,-0.001711765,,,,,,,,,0.0015451615
08/09/1963,0.0003146913,,,,,,,,,0.0061227635
08/12/1963,0.0001401011,,,,,,,,,0.002527045
08/13/1963,-0.001248996,,,,,,,,,0.0027923584
08/14/1963,0.0066695744,,,,,,,,,0.0031137392
08/15/1963,0.0086578173,,,,,,,,,0.0044090601
08/16/1963,0.0088060292,,,,,,,,,0.0016212531
08/19/1963,-0.009747146,,,,,,,,,-0.000363726
08/20/1963,0.0008418352,,,,,,,,,-0.000423325
08/21/1963,-0.002346978,,,,,,,,,-0.000951483
08/22/1963,0.0105712533,,,,,,,,,0.0039559727
08/23/1963,0.0013212554,,,,,,,,,0.0034730939
08/26/1963,0.0004928305,,,,,,,,,0.0019247914
08/27/1963,-0.00226952,,,,,,,,,-0.004283718
08/28/1963,0.0094886301,,,,,,,,,0.0077954911
08/29/1963,0.0010915057,,,,,,,,,0.0018975757
08/30/1963,0.0163946491,,,,,,,,,0.0044809491
09/03/1963,0.0068648917,,,,,,,,,0.0024062813
09/04/1963,0.0023049138,,,,,,,,,0.0000578853
09/05/1963,0.00719029,,,,,,,,,0.0049267982
09/06/1963,-0.006879213,,,,,,,,,-0.002563462
09/09/1963,-0.012690231,,,,,,,,,-0.003456453
09/10/1963,0.0070020425,,,,,,,,,0.0052911152
09/11/1963,0.0022783612,,,,,,,,,0.0025528304
09/12/1963,0.0007838559,,,,,,,,,-0.000769598
