date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0074539287,,,,,,,,,0.0102349992
07/03/1963,0.0061918231,,,,,,,,,0.0070355834
07/05/1963,0.0034781061,,,,,,,,,0.0064534129
07/08/1963,-0.005184966,,,,,,,,,-0.009527625
07/09/1963,0.0045284603,,,,,,,,,0.0049751159
07/10/1963,-0.00139897,,,,,,,,,-0.002707113
07/11/1963,-0.000985323,,,,,,,,,-0.003392215
07/12/1963,-0.000404963,,,,,,,,,-0.003329133
07/15/1963,-0.006007594,,,,,,,,,-0.006502241
07/16/1963,-0.001204459,,,,,,,,,0.0016439562
07/17/1963,-0.00312312,,,,,,,,,-0.003303794
07/18/1963,-0.004729175,,,,,,,,,-0.007210478
07/19/1963,-0.002450585,,,,,,,,,-0.000998795
07/22/1963,-0.007133987,,,,,,,,,-0.005893931
07/23/1963,0.0005285211,,,,,,,,,-0.001019209
07/24/1963,0.004375135,,,,,,,,,0.0059707248
07/25/1963,-0.000195819,,,,,,,,,-0.000597812
07/26/1963,0.0030117299,,,,,,,,,0.005958587
07/29/1963,0.0006491175,,,,,,,,,0.0032335864
07/30/1963,0.0064532502,,,,,,,,,0.0158737926
07/31/1963,-0.000508718,,,,,,,,,-0.003623551
08/01/1963,-0.000445886,,,,,,,,,-0.001433229
08/02/1963,0.0033735062,,,,,,,,,0.001828856
08/05/1963,0.0053733606,,,,,,,,,0.0073481098
08/06/1963,0.0063587689,,,,,,,,,0.0050638428
08/07/1963,-0.000841143,,,,,,,,,-0.005038797
08/08/1963,0.0014569539,,,,,,,,,0.0018218267
08/09/1963,0.0055914821,,,,,,,,,0.0079353296
08/12/1963,0.002865286,,,,,,,,,0.0013123452
08/13/1963,0.0017620273,,,,,,,,,0.0063863931
08/14/1963,0.0036756451,,,,,,,,,0.0011819796
08/15/1963,0.00415988,,,,,,,,,0.0053311629
08/16/1963,0.0014433557,,,,,,,,,0.0023225147
08/19/1963,-0.000091365,,,,,,,,,-0.001420002
08/20/1963,-0.000316375,,,,,,,,,-0.000786548
08/21/1963,-0.000773012,,,,,,,,,-0.0015945
08/22/1963,0.003317895,,,,,,,,,0.0062729036
08/23/1963,0.0030353152,,,,,,,,,0.0049883429
08/26/1963,0.0020242211,,,,,,,,,0.0015611567
08/27/1963,-0.003598952,,,,,,,,,-0.006664509
08/28/1963,0.0078038039,,,,,,,,,0.0077840869
08/29/1963,0.0024518436,,,,,,,,,-0.000059545
08/30/1963,0.0042344365,,,,,,,,,0.0054755453
09/03/1963,0.0020113796,,,,,,,,,0.003836333
09/04/1963,0.0002052621,,,,,,,,,-0.000439747
09/05/1963,0.0051155193,,,,,,,,,0.0042840855
09/06/1963,-0.00338207,,,,,,,,,0.0002756945
09/09/1963,-0.003449136,,,,,,,,,-0.003565335
09/10/1963,0.0045906424,,,,,,,,,0.007760372
09/11/1963,0.0024488569,,,,,,,,,0.0029134262
09/12/1963,-0.000156071,,,,,,,,,-0.002897526
09/13/1963,0.0012615385,,,,,,,,,-0.002674768
09/16/1963,-0.001820758,,,,,,,,,-0.000096312
09/17/1963,0.0004033844,,,,,,,,,0.0006978857
09/18/1963,-0.003511066,,,,,,,,,-0.006348056
09/19/1963,0.004810949,,,,,,,,,0.0073595352
09/20/1963,-0.000203176,,,,,,,,,0.0031173607
09/23/1963,-0.004468173,,,,,,,,,-0.006117826
09/24/1963,0.0036693412,,,,,,,,,0.0034642897
09/25/1963,-0.005861622,,,,,,,,,-0.004839128
09/26/1963,-0.006473972,,,,,,,,,-0.013391058
09/27/1963,-0.001784991,,,,,,,,,-0.001403501
09/30/1963,-0.005923681,,,,,,,,,-0.005767713
10/01/1963,0.0067635794,,,,,,,,,0.0060677428
10/02/1963,0.0000264948,,,,,,,,,0.0051449131
10/03/1963,0.0062343722,,,,,,,,,0.0087054216
10/04/1963,-0.000507887,,,,,,,,,0.0025443437
10/07/1963,-0.002311102,,,,,,,,,-0.00159593
10/08/1963,-0.001590318,,,,,,,,,-0.000041891
10/09/1963,-0.00614649,,,,,,,,,-0.005272869
10/10/1963,0.0004495183,,,,,,,,,0.0027297166
10/11/1963,0.0018298551,,,,,,,,,0.000191619
10/14/1963,0.0004271256,,,,,,,,,0.0013114723
10/15/1963,0.0019453878,,,,,,,,,0.0012499471
10/16/1963,0.0077771047,,,,,,,,,0.0132982345
10/17/1963,0.0011195826,,,,,,,,,0.0029776214
10/18/1963,0.0010481636,,,,,,,,,0.0008011519
10/21/1963,0.0005612274,,,,,,,,,0.0001013043
10/22/1963,-0.005271595,,,,,,,,,-0.005419505
10/23/1963,0.0013880626,,,,,,,,,-0.002739351
10/24/1963,0.0021267876,,,,,,,,,0.0087411792
10/25/1963,0.0058694187,,,,,,,,,0.0180024707
10/28/1963,0.0020050736,,,,,,,,,0.0119387436
10/29/1963,-0.001735257,,,,,,,,,0.004724144
10/30/1963,-0.006350792,,,,,,,,,-0.012603455
10/31/1963,0.0014707235,,,,,,,,,0.0049790728
11/01/1963,-0.000591854,,,,,,,,,-0.005113764
11/04/1963,-0.002708063,,,,,,,,,-0.008916901
11/06/1963,-0.006727292,,,,,,,,,-0.010212365
11/07/1963,0.0029598811,,,,,,,,,0.004971608
11/08/1963,0.0058672391,,,,,,,,,0.0045619626
11/11/1963,0.0021637079,,,,,,,,,0.0018946807
11/12/1963,-0.003926804,,,,,,,,,-0.002240911
11/13/1963,0.000732629,,,,,,,,,0.0005393857
11/14/1963,-0.002774914,,,,,,,,,-0.007899781
11/15/1963,-0.006194863,,,,,,,,,-0.011471911
11/18/1963,-0.007610646,,,,,,,,,-0.005906322
11/19/1963,0.0008203581,,,,,,,,,0.0023064271
11/20/1963,0.0089922713,,,,,,,,,0.0034596708
11/21/1963,-0.011001696,,,,,,,,,-0.016945396
11/22/1963,-0.029650803,,,,,,,,,-0.025752727
11/26/1963,0.0394880875,,,,,,,,,0.0397535097
11/27/1963,-0.001547677,,,,,,,,,-0.001296773
11/29/1963,0.0134317057,,,,,,,,,0.0139610108
12/02/1963,0.004889318,,,,,,,,,0.0074643133
12/03/1963,0.0003534502,,,,,,,,,-0.002999386
12/04/1963,0.0030442463,,,,,,,,,0.0013222542
12/05/1963,0.0061649325,,,,,,,,,0.0045295003
12/06/1963,-0.002142915,,,,,,,,,-0.006082224
12/09/1963,-0.001591483,,,,,,,,,0.0013880352
12/10/1963,0.0004444038,,,,,,,,,0.0019254598
12/11/1963,-0.000711197,,,,,,,,,-0.003055604
12/12/1963,-0.00007483,,,,,,,,,-0.000573644
12/13/1963,0.0018635937,,,,,,,,,0.0011656136
12/16/1963,0.0018730365,,,,,,,,,0.0052366348
12/17/1963,0.0023888574,,,,,,,,,0.0119979309
12/18/1963,-0.000714573,,,,,,,,,-0.005096485
12/19/1963,-0.002990298,,,,,,,,,-0.003882927
12/20/1963,-0.000566899,,,,,,,,,-0.006272024
12/23/1963,-0.005434323,,,,,,,,,-0.00740291
12/24/1963,0.0001038088,,,,,,,,,0.0105115383
12/26/1963,0.0050123013,,,,,,,,,0.0043655332
12/27/1963,0.0021251801,,,,,,,,,0.0005639001
12/30/1963,-0.00031018,,,,,,,,,0.0061746499
12/31/1963,0.0056231092,,,,,,,,,0.0059838707
01/02/1964,0.005033321,,,,,,,,,0.0097146359
01/03/1964,0.0031905025,,,,,,,,,-0.002978514
01/06/1964,0.0035666664,,,,,,,,,-0.001676853
01/07/1964,0.0014281151,,,,,,,,,-0.002494465
01/08/1964,0.0024751854,,,,,,,,,0.0072659316
01/09/1964,0.0013624942,,,,,,,,,0.0090635178
01/10/1964,1.8576433E-6,,,,,,,,,-0.001355856
01/13/1964,0.00025068,,,,,,,,,-0.004486708
01/14/1964,0.0015155813,,,,,,,,,0.0018298897
01/15/1964,0.0010327346,,,,,,,,,0.0079287511
01/16/1964,0.0002352055,,,,,,,,,-0.004477208
01/17/1964,0.0001913693,,,,,,,,,-0.000918272
01/20/1964,-0.001458974,,,,,,,,,-0.00386924
01/21/1964,0.0035918215,,,,,,,,,-0.000354828
01/22/1964,0.0049661568,,,,,,,,,0.0046450172
01/23/1964,0.0002522158,,,,,,,,,0.0038451823
01/24/1964,-0.000121878,,,,,,,,,0.0026499672
01/27/1964,-0.000718575,,,,,,,,,-0.001824758
01/28/1964,0.0003661905,,,,,,,,,-0.001162433
01/29/1964,-0.005252529,,,,,,,,,-0.00703231
01/30/1964,-0.000538667,,,,,,,,,0.0042076383
01/31/1964,0.0025733607,,,,,,,,,0.0086610293
02/03/1964,0.0000525529,,,,,,,,,0.0002619819
02/04/1964,-0.001875101,,,,,,,,,0.0011416109
02/05/1964,-0.000020135,,,,,,,,,-0.003060897
02/06/1964,0.0027570437,,,,,,,,,0.0017394819
02/07/1964,0.0046977983,,,,,,,,,0.0007407071
02/10/1964,-0.001765248,,,,,,,,,0.0007404439
02/11/1964,0.0036364444,,,,,,,,,0.0026857211
02/12/1964,0.00278038,,,,,,,,,0.0043210935
02/13/1964,0.00051539,,,,,,,,,0.0024148879
02/14/1964,1.9609232E-6,,,,,,,,,-0.001019636
02/17/1964,0.0012075132,,,,,,,,,-0.002128024
02/18/1964,0.0001498205,,,,,,,,,0.0003985864
02/19/1964,0.0006404821,,,,,,,,,0.0035380352
02/20/1964,0.0005862292,,,,,,,,,0.0028070358
02/24/1964,0.0015193186,,,,,,,,,-0.000222573
02/25/1964,-0.000399323,,,,,,,,,0.0038507331
02/26/1964,0.0025096176,,,,,,,,,0.0043036692
02/27/1964,-0.001878035,,,,,,,,,-0.005093388
02/28/1964,0.002015345,,,,,,,,,0.0030562478
03/02/1964,0.0026700058,,,,,,,,,0.0013457253
03/03/1964,0.0019814081,,,,,,,,,0.0052871574
03/04/1964,-0.002044141,,,,,,,,,-0.001384473
03/05/1964,-0.000017611,,,,,,,,,0.00052776
03/06/1964,0.0024809296,,,,,,,,,0.0064141002
03/09/1964,-0.000997593,,,,,,,,,0.0043612641
03/10/1964,0.0014543206,,,,,,,,,0.0079253567
03/11/1964,0.0031543326,,,,,,,,,0.0074753957
03/12/1964,0.0022713108,,,,,,,,,0.0009121063
03/13/1964,0.0012102417,,,,,,,,,0.00045175
03/16/1964,0.0015335525,,,,,,,,,-0.002998025
03/17/1964,0.0022080908,,,,,,,,,0.0014810585
03/18/1964,0.0020981483,,,,,,,,,-0.001908794
03/19/1964,-0.000017645,,,,,,,,,-0.003260034
03/20/1964,-0.00306965,,,,,,,,,-0.007438282
03/23/1964,-0.000072925,,,,,,,,,0.0014490132
03/24/1964,-0.001398746,,,,,,,,,-0.002325368
03/25/1964,0.0024439443,,,,,,,,,0.0030632165
03/26/1964,0.0023352716,,,,,,,,,0.0041118677
03/30/1964,-0.000419437,,,,,,,,,-0.002469711
03/31/1964,-0.001286368,,,,,,,,,-0.003393927
