date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0059953422,0.0082319461,0.0112695685,0.0067424465,0.0088314057,0.0068084228,0.0088094973,0.0068702032,0.0042740305,0.0109414871
07/03/1963,0.0117861654,0.0065656724,0.0046704866,0.0027913773,0.0058039696,0.0095307756,0.0065892401,0.0064828744,0.0060867646,0.0064874427
07/05/1963,0.0010665543,0.0051245344,0.0023247541,0.0021465122,0.0023267927,0.0093305042,0.0037068246,0.0055179532,0.0025385228,0.0058291829
07/08/1963,-0.004366865,-0.009514445,-0.008840143,-0.003088341,-0.006130558,-0.010066067,-0.004263543,-0.002056121,-0.003040372,-0.008576031
07/09/1963,0.004901212,0.0025833905,0.0051434955,0.0056685074,0.005930858,0.0049638061,0.0041747478,0.0015908858,0.0027889696,0.0053167999
07/10/1963,-0.00299532,-0.003880679,-0.004117254,-0.00403005,-0.00183368,-0.000548506,-0.002105626,-0.002689626,-0.000176733,-0.00177269
07/11/1963,-0.000913718,-0.004099675,-0.004013855,0.0002211884,-0.001334974,-0.00482412,-0.002280078,0.003007083,-0.002463173,-0.000522015
07/12/1963,-0.001768411,-0.002396766,-0.000967767,-0.0021813,-0.004482322,0.0011655836,-0.002388104,0.0030934272,0.0004891181,-0.000620271
07/15/1963,-0.013535682,-0.006777271,-0.006683713,-0.005440123,-0.007761872,-0.009847712,-0.004840997,-0.006187108,-0.003667378,-0.005166499
07/16/1963,-0.002862755,0.0017230485,0.0003474387,-0.00066172,0.0015576512,-0.003256569,-0.002368291,-0.003521344,-0.001709065,0.0013365241
07/17/1963,-0.004674477,-0.005443171,-0.002423159,-0.006445651,-0.00093589,-0.000983286,-0.004702664,-0.005781418,-0.002463758,-0.0029452
07/18/1963,-0.005728468,-0.005326002,-0.00694361,-0.005244762,-0.007576309,-0.004786199,-0.007946449,0.0003603802,-0.004803263,-0.004325364
07/19/1963,-0.005919807,-0.001214091,-0.003349318,-0.002189404,-0.001887881,-0.002481977,-0.001643642,-0.00484,0.0010347168,-0.001377982
07/22/1963,-0.009659059,-0.004729902,-0.009933658,-0.009688222,-0.008217688,-0.006468525,-0.006879646,-0.005551593,-0.006953271,-0.005405406
07/23/1963,-0.000424531,0.0020380696,-0.000211536,-0.001681006,0.000550595,-0.002372682,0.0043542718,-0.000200401,-0.002008449,0.0031535783
07/24/1963,0.0045377147,0.0040652608,0.0039360541,0.004129407,0.0092034149,0.0092531929,0.0048452675,0.0035788285,0.0019919892,0.0023662311
07/25/1963,0.0002323777,-0.001694786,0.0035217349,-0.000426247,-0.002363723,-0.002023582,0.0033966759,0.0011963731,0.0016406538,-0.001352658
07/26/1963,0.005991457,0.0029493833,0.0038114998,-0.00001536,0.0083847242,0.0053495685,0.0014329808,0.0027820788,-0.000323376,0.0036178726
07/29/1963,0.0000751642,0.0014406319,0.0012432238,0.0010490233,0.0004398621,0.0036409133,0.0010261049,0.0028928839,0.0039857248,-0.000535902
07/30/1963,0.004383805,0.0040871792,0.0075979698,0.007964049,0.0155687666,0.0084198992,0.0105961528,0.0029634808,0.005453979,0.0099034492
07/31/1963,-0.002682253,-0.004143584,-0.005241325,-0.001720616,-0.001310594,-0.000447099,-0.000078009,0.0025361366,0.0046395661,-0.005292947
08/01/1963,-0.001397369,-0.001582957,-0.002936082,-0.00225965,-0.000479436,-0.002816025,0.0010583815,-0.002465939,-0.001608269,0.0010060963
08/02/1963,0.0040265402,0.0030398603,0.0036540886,0.0038773355,0.0034132056,0.0050671958,0.0028816661,0.0053566584,0.0041026333,0.0006609011
08/05/1963,0.0037669863,0.0057995178,0.0056948211,0.010782628,0.0061990176,0.0060083351,0.0081028588,0.0035981908,0.005211047,0.0043219794
08/06/1963,0.0025772022,0.0079582263,0.0072717855,0.008900662,0.0054994171,0.0053691826,0.007173608,0.0057867202,0.0034758172,0.0092234278
08/07/1963,-0.003022106,-0.004495671,-0.00403532,-0.001082833,-0.003760971,-0.001858429,-0.000429723,0.0019466051,0.0005641076,-0.00418203
08/08/1963,0.001892857,-0.002960235,-0.001042946,0.0008995563,0.0012464549,-0.000173226,0.0004216095,-0.000142244,0.0043759645,0.0048217551
08/09/1963,0.0020816532,0.0046810521,0.0117308669,0.002854761,0.0035508057,0.007060683,0.0058369603,0.0052289808,0.0050672335,0.0095528475
08/12/1963,0.0071315952,0.0084562134,0.0072658844,0.0042928841,-0.001291266,0.0006952349,0.0004294949,0.0052599359,0.0015258312,0.0028353891
08/13/1963,-0.003130891,0.0050690614,0.0034965373,0.0039950348,0.0047528693,0.0026214278,0.002380413,0.0020712519,0.0034999506,0.0013820501
08/14/1963,0.0005890212,0.0027273578,0.0082634207,0.0061852775,0.0016675917,-0.002755836,0.010072001,0.0028072685,0.001755792,0.0054901529
08/15/1963,0.0012366255,0.0032350382,0.0103974033,0.0031643863,0.0091914341,0.0055655599,-0.000050536,0.0035937681,0.003221708,0.0034745046
08/16/1963,0.0019287859,0.0052303648,0.0035349691,0.0011475425,0.0005130355,0.0020344866,0.0003184222,0.0032199918,0.0055328013,-0.001135454
08/19/1963,0.0020037226,-0.001444718,-0.006300269,-0.000650519,-0.003925976,0.0024018587,0.0003990851,0.0011190312,-0.000059239,0.0012087702
08/20/1963,0.0018756498,0.001425265,-0.003119538,-0.000546364,0.000175572,-0.000756016,0.000878848,-7.552781E-6,-0.000709018,-0.00055664
08/21/1963,0.0054936343,0.0010293356,0.0003254856,-0.002238483,-0.00402598,-0.000549283,0.0002089336,-0.002816135,8.380698E-6,-0.00131865
08/22/1963,0.007051777,0.0091783089,0.0090193624,0.0065688738,0.0076915228,0.0015177792,0.0021910022,0.005276776,0.0007829069,0.0010811532
08/23/1963,0.0034185587,0.0070601109,0.0084024174,0.0044291961,0.0091238173,0.0005177177,0.0061313353,0.0007229059,-0.000192116,0.0016867687
08/26/1963,0.0033390764,0.0054924032,0.0046707098,0.0020025116,0.0024980532,0.001249763,0.0010017694,-0.000353388,0.0003399254,0.0024639358
08/27/1963,-0.004021056,-0.006838527,-0.009864205,-0.004299598,-0.005028079,-0.003042296,-0.004257304,-0.000345467,-0.004710504,-0.004361588
08/28/1963,0.0052074977,0.0125092749,0.0102861821,0.0038607561,0.0086792908,0.0066370758,0.0065554002,0.0061683001,0.0042728419,0.0085414503
08/29/1963,0.0073684706,0.0024000897,0.0022577599,0.0076993541,0.0017748367,0.0006481203,0.0026467624,0.003184119,0.0008050448,0.001581114
08/30/1963,0.0037377817,0.0027289531,0.005336796,0.0057669829,0.0068394058,0.0016932542,0.0047406478,0.0021702318,0.0042484219,0.0051367329
09/03/1963,-0.002048545,0.0081268031,0.0077326434,0.0066068723,0.0047770802,0.0016712494,0.0022828802,-0.000154369,0.0001039128,0.0004237019
09/04/1963,0.0018090582,-0.000267742,0.0018692117,-0.0009556,-0.001876118,0.0036442966,0.0031180046,0.0015435372,-0.001571862,-0.003348771
09/05/1963,0.0029290274,0.0050418799,0.0090864144,0.0051966556,0.0045484873,0.0043477006,0.0016369984,0.005367354,0.0078260258,0.0051313381
09/06/1963,-0.001627393,-0.005013174,0.001594353,-0.001957331,-0.002315895,-0.00624568,-0.003210504,-0.000886711,-0.002043909,-0.001032474
09/09/1963,-0.000549826,-0.004398846,0.0010636888,-0.005758489,-0.00383378,-0.004005681,-0.00290455,-0.005576635,-0.000370847,-0.003573797
09/10/1963,0.0067529795,0.010795533,0.0115539615,0.005509149,0.0095835113,0.0030039129,0.0043377962,0.0033987423,0.0023481792,0.0045092895
09/11/1963,0.0045491488,0.0011403742,0.0022915718,0.0015859845,0.0046677772,0.001815611,0.0043397099,-0.001615968,0.0006427122,0.0046969288
09/12/1963,-0.007001479,-0.005969038,-0.006222775,-0.001731228,0.001432835,-0.00102653,0.0001310596,-0.00019572,0.0010504533,-0.001813079
09/13/1963,0.0011923653,0.0032148453,-0.003491228,0.0032775109,-0.001335076,-0.000275331,0.0036286158,-0.000467973,0.0003519147,-0.000587662
09/16/1963,0.0012584711,0.00357591,-0.005007608,-0.001040427,-0.00005312,0.0008256155,-0.003019815,-0.00513976,0.0006458821,-0.002070591
