date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0081290998,0.0101079406,0.0098197228,0.0069376211,0.0106783677,0.0076253527,0.0061452466,0.0110600738,0.0044107489,0.0028868798
07/03/1963,0.0025711565,0.0064074121,0.0082161455,0.0088227326,0.0059314205,0.0086730517,0.0007869705,0.0035252648,0.0047812664,0.00927042
07/05/1963,0.0053566722,0.0063732115,0.0021539105,0.0098284508,0.0018700101,0.0072159555,0.0038567666,0.0050685952,0.000859244,-0.003705235
07/08/1963,-0.001896502,-0.009960889,-0.006623044,-0.008693012,-0.005004198,-0.002586376,-0.002689087,-0.00390206,-0.00885139,-0.007199233
07/09/1963,0.0087143937,0.0054023463,0.0049237357,0.0035121825,0.0028629001,0.0018123311,0.0006845434,0.0073291988,0.0092521486,0.0097113959
07/10/1963,-0.007027944,-0.001671544,-0.002232644,-0.001984344,-0.003728993,-0.001410571,-0.000105655,-0.005119722,-0.003773459,0.0025241796
07/11/1963,0.0012511129,-0.005196014,-0.001795073,-0.002294639,-0.00172181,0.0003252302,-0.001191349,0.0032453495,0.0013329534,-0.001971979
07/12/1963,-0.005466831,-0.004132988,-0.00315936,0.0013685533,-0.002468034,0.0042722301,-0.001943596,-0.001674474,-0.000055913,-0.000372276
07/15/1963,-0.009801697,-0.005642254,-0.005726349,-0.007497744,-0.005979783,-0.007888262,-0.006541164,-0.007203601,-0.005414265,-0.006787704
07/16/1963,-0.003104517,0.0013438235,0.0004850809,-0.000904268,0.0014632459,-0.002844325,-0.000490714,0.0020274283,0.0007989381,-0.005710975
07/17/1963,-0.006539293,-0.002760361,-0.002282692,-0.003029999,0.0002602739,-0.00394995,-0.005131402,-0.003650372,-0.004265561,0.0019882424
07/18/1963,-0.006185886,-0.008961732,-0.004670851,-0.005732423,-0.005414999,-0.003110957,-0.004187301,-0.003817442,-0.006655934,0.0003058199
07/19/1963,-0.003461042,-0.00052926,0.0000953707,0.0011536227,-0.001307739,-0.005978148,-0.000013614,-0.004693585,-0.001789621,-0.008861981
07/22/1963,-0.010043637,-0.007418494,-0.006082242,-0.005231322,-0.005662516,-0.006256191,-0.007329267,-0.004892417,-0.011453663,-0.00708957
07/23/1963,0.0008248815,0.0019038565,0.0047146612,-0.002127127,-0.003832477,0.0011682501,0.0019457471,-0.002509177,-0.001706005,0.0031950438
07/24/1963,0.0077697894,0.0088774087,0.0033134312,0.0067147919,0.005064626,0.0065992573,0.0013669634,0.0010527461,0.0034041993,0.0034909928
07/25/1963,-0.003630803,-0.001481482,-0.002474623,-0.001031502,0.0016284428,0.0021530118,0.0038267165,-0.000904005,0.0019067367,-0.003392328
07/26/1963,0.0021021273,0.0074348974,0.0053584831,0.0038430923,0.0014948047,0.0029183215,0.0016371123,-0.002471648,0.0031645561,0.0074023556
07/29/1963,0.0045220541,0.0029604242,-0.001268258,0.0052474184,0.0019454043,0.0036400201,0.0000344207,0.0008599079,0.0031482168,0.0003831342
07/30/1963,0.0084703085,0.0185457987,0.0058055043,0.0064790504,0.0088728382,0.0063901493,0.0095522929,0.0075931437,0.0092075704,0.0035186216
07/31/1963,-0.003966878,-0.005777168,-0.003284004,-0.000390922,0.0002302791,0.001248077,0.0010951329,-0.000379814,-0.000990993,-0.002980819
08/01/1963,-0.002699769,-0.002218914,0.0010657763,-0.004569201,0.0006742237,-0.000254695,-0.000510398,-0.000306511,-0.002054641,0.0023517623
08/02/1963,0.0042613899,0.0010553459,0.0007799295,0.0064166207,0.004704557,0.0033410518,0.0038462826,0.002994624,0.0030052002,0.0044029715
08/05/1963,0.0044279828,0.0069731412,0.0032816925,0.0055734387,0.0056268101,0.0038684094,0.0089968978,0.0096124318,0.0096107978,0.0023655401
08/06/1963,0.0059867239,0.0048245353,0.0104876058,0.00449251,0.005114258,0.0086681396,0.0081233834,0.0016557611,0.0073146296,0.0076735076
08/07/1963,-0.000771152,-0.006554738,-0.002717906,-0.000578153,-0.003107563,0.0020514736,0.0004047458,0.0005821645,0.0002187847,-0.004326017
08/08/1963,0.004717998,0.0037216327,0.0033970429,0.0022904984,0.0015419121,-0.000840133,-0.004396362,0.0038239591,-0.001336829,-0.000016212
08/09/1963,0.0088100874,0.0072418631,0.0050865451,0.0058221837,0.0082790015,0.0070511648,0.0046664376,0.0046939428,0.0150107041,0.010524849
08/12/1963,0.0055744207,-0.0006527,0.001424088,0.0021370904,-0.000106688,0.0024104388,0.0033531062,0.0067820685,0.0147286453,0.0086570871
08/13/1963,0.0010296672,0.0064070878,0.0007311919,0.0011502907,0.0055396998,0.0047577797,0.0030499345,0.0024385285,0.0003989477,0.0056991062
08/14/1963,0.0065605943,0.0016635713,0.0080665463,-1.403101E-6,0.0031403747,0.0021429887,0.0009736489,0.0013679003,0.0135858166,0.0098056138
08/15/1963,-0.000925247,0.0090843508,0.0030328952,0.0050157463,0.006085384,0.0014167348,0.0038622317,0.0077025381,0.0008306624,0.0070462098
08/16/1963,0.0045263317,0.0030119878,-0.000820316,0.0025772196,0.001646389,0.0011536793,0.0039857072,0.0025471474,-0.003586862,-0.002993662
08/19/1963,0.0024917782,-0.002159529,-0.000446917,0.0020017532,-0.000227122,-0.000845763,0.0012192331,0.00193842,-0.006647322,0.0007886277
08/20/1963,0.0025173778,-0.003052182,-0.000041357,-0.001051153,-0.000597805,0.0034715734,-0.000679299,0.0011471443,-0.001091977,0.0026484782
08/21/1963,-0.001378323,-0.001900158,-0.00319814,-0.000791688,0.0011993615,-0.004291462,-0.001497873,-0.00167302,-0.000816437,0.0048132932
08/22/1963,0.0033905165,0.0103348236,0.0006824568,0.0004510531,0.0025501813,0.0043737589,-0.000215959,0.0034864989,0.0143841773,0.0070062546
08/23/1963,0.0047045061,0.0046015957,0.0043422861,0.0003420906,0.0048034772,0.0060184665,0.0036205657,0.0038407281,0.0043557277,-0.005290701
08/26/1963,0.0049358046,0.0039205335,0.0011757173,-0.000054575,0.004941624,0.0023298003,-0.000524593,0.0009721867,0.0030076015,0.0022304395
08/27/1963,-0.001939062,-0.008120669,-0.003606043,0.0011361998,-0.0059003,-0.001254077,-0.002662062,-0.005790768,-0.00620535,-0.004001819
08/28/1963,0.0079825068,0.007569923,0.0089527519,0.0059883506,0.0054983527,0.0055022162,0.0074760128,0.0027342946,0.0097610607,0.0132676562
08/29/1963,0.0053931257,-0.00086991,0.0030815639,0.0016461016,0.0021737522,0.0011838702,0.0066096612,-0.001112822,0.006506628,0.001640455
08/30/1963,0.0043597463,0.0084414028,0.0078235877,0.0012028727,0.0035333491,0.0029607827,0.0037583141,0.0021850314,0.0086799441,0.0077992704
09/03/1963,0.0022468208,0.0039355285,0.0010338888,0.0019054394,-0.000776732,0.0015358591,0.0045430917,0.0008897518,0.0061059061,0.0060126102
09/04/1963,-0.004403751,0.0005240432,-0.003032943,0.0027308102,-0.002380698,-0.00187986,0.0026324379,0.0009040262,0.005452503,0.0050807484
09/05/1963,0.0046973259,0.0045819816,0.0051018292,0.0059438991,0.0071127863,0.0045158006,0.0037856649,-0.00020284,0.0106942477,0.0018495937
09/06/1963,-0.005647202,0.0043177624,-0.003599348,-0.00607513,-0.00371684,-0.002799201,-0.004104401,-0.002932382,0.0032341359,-0.000331396
09/09/1963,-0.004437307,-0.002339335,-0.003375213,-0.005636289,-0.001846272,-0.004188165,-0.002109233,-0.00431536,0.0015646347,-0.003291415
09/10/1963,0.0037081629,0.0142750773,0.0034249764,0.0000357571,0.0069929085,0.003982241,0.0052143007,0.0014248776,0.0084813564,0.0158058916
09/11/1963,0.005084261,0.0023771503,0.0046297286,-0.000539115,0.0053982412,0.0022026456,0.0025982756,0.0009324143,0.0049645762,-0.001785883
09/12/1963,0.000748326,-0.004208389,0.0012509655,-0.002178243,0.0044521134,0.0006425616,0.0005920794,-0.00032473,-0.006447288,-0.012340441
09/13/1963,0.006875865,-0.00088033,0.0021571985,-0.000984731,-0.00235493,-0.002149568,-0.000828864,0.0013388733,0.0019884846,0.0018767134
09/16/1963,-0.00068786,0.0016037476,-0.001551889,0.0009533482,-0.007120265,-0.00038095,-0.001698787,-0.00312898,-0.005309264,-0.006232676
09/17/1963,-0.001022424,0.0018642978,0.0024814804,-0.0019471,0.0002382728,0.0010066128,0.0000270754,0.0017630882,-0.000999097,-0.005582184
09/18/1963,-0.004550138,-0.007985403,0.0006301881,-0.00187733,-0.007518576,-0.004335359,-0.000224872,-0.004975568,-0.008833599,-0.013849771
09/19/1963,0.0075424186,0.00642723,0.0049460723,0.0023440902,0.0089593537,0.0034979913,0.0079209171,0.0053371955,0.0156047398,0.0027074168
09/20/1963,-0.000159031,0.0068666351,-0.000551413,-0.003294962,-0.000021915,0.0008734585,0.0003563247,0.0006633366,0.0008052273,-0.002129376
09/23/1963,-0.004990101,-0.007461253,-0.001933837,-0.004002444,-0.006671523,-0.003645835,-0.002592217,-0.002151158,-0.010333383,-0.00476009
09/24/1963,-0.005407894,0.0026311153,0.0172315181,0.0018270636,-0.001345676,-0.000724016,0.0008109965,-0.000309938,0.0078431815,0.0025846805
09/25/1963,-0.013361016,-0.00649599,-0.003675925,-0.00383496,-0.00723142,-0.004114561,-0.005038354,-0.006761979,-0.012516867,-0.005862739
09/26/1963,-0.011451845,-0.01555281,-0.006485025,-0.006241798,-0.010965744,-0.006611275,-0.009524781,-0.009385751,-0.015428344,0.000535361
09/27/1963,-0.000303417,-0.003194374,-0.004279161,-0.000431094,0.0000135136,-0.004029361,0.0003883063,-0.000797193,0.0044463446,0.0016017715
09/30/1963,-0.006053958,-0.006447086,-0.007161833,-0.005691088,-0.00574696,-0.008068667,-0.001032758,-0.003111682,-0.005574823,0.0012112599
10/01/1963,0.0064597522,0.0094732919,0.0129978417,0.0012808543,0.010339045,0.0073407281,0.0029136372,0.0031892947,0.0077179262,0.0042710027
10/02/1963,0.0026836401,0.0058037723,-0.000812254,0.0033405593,-0.002432201,0.0028338152,0.0003358857,0.0023553146,0.0023590099,-0.006280566
10/03/1963,0.0080762539,0.0102880371,0.0047382023,0.0033449381,0.0027357652,0.0030780144,0.0083470892,0.0080284482,0.0323390003,0.0129982548
10/04/1963,0.0018292667,0.0015584375,-0.001988493,0.0047507734,-0.004045948,0.0013106415,0.0022926427,0.0010791157,0.0025322268,-0.003680429
10/07/1963,-0.003291133,0.0023982701,-0.001816523,-0.005806751,-0.005593598,-0.003942058,-0.003690675,-0.001458747,-0.001745279,0.0011746661
10/08/1963,0.0034876594,-0.001003448,-0.001127384,-0.004350572,-0.000661459,-0.002076188,-0.002545318,0.0012587608,0.0012192912,-0.005331458
10/09/1963,-0.003735461,-0.00527045,-0.004447928,-0.006719815,-0.006808426,-0.005981321,-0.005266254,-0.003444879,-0.012866303,-0.007853719
10/10/1963,0.0024767053,0.001710911,0.0008935099,0.0027052582,-0.001226402,-0.000536416,0.0004221324,0.0014809167,0.001662092,-0.005827052
10/11/1963,0.0041049041,0.0008922067,0.0006238066,-0.002372416,0.0036713954,0.001882889,0.0033951913,0.0014094812,0.0050134335,0.0028964879
10/14/1963,-0.000926739,0.0022272426,-0.001078362,0.0005327558,-0.000593574,0.0011313403,0.0004006064,-0.001342917,0.0029475382,0.0048464204
10/15/1963,-0.000757791,0.0015126496,0.0001269001,0.002665187,0.0027484212,0.0035061428,0.0016950503,0.0001246666,-0.002281819,-0.000737074
10/16/1963,0.0085295256,0.0175231368,0.0115784971,0.0068079698,0.0083839667,0.0086694752,0.0048460676,0.0015601231,0.015172997,0.0121376251
10/17/1963,0.00653155,0.003113432,-0.001416435,0.0027769926,0.0046320237,0.0010238678,-0.001950814,0.0069129295,0.0008930706,0.0040156593
10/18/1963,-0.000384013,0.0017452028,-0.000521253,-0.000639445,-0.000495239,0.0015722682,0.0021121987,0.0020389781,-0.00525705,-0.000933999
10/21/1963,0.0032532352,-0.000847125,0.0006147523,0.0004719401,0.0009055022,-0.00085581,-0.000610208,0.0000337125,-0.000195997,0.0008889802
10/22/1963,-0.006315661,-0.006107044,-0.005505474,-0.001812002,-0.006986631,-0.005498202,-0.00450846,-0.005705421,-0.021800763,-0.015241558
10/23/1963,0.0021560026,0.0016204914,0.0015532486,-0.001751029,0.0013416155,-0.003069141,-0.002908212,0.0010068607,0.0013544288,-0.000974213
10/24/1963,0.0057748265,0.0108363417,0.0020203604,0.0030623715,0.0025551233,0.0015417919,0.0003159078,0.0052059683,0.0038118993,0.0097622882
10/25/1963,0.003837647,0.0301838951,0.0176543035,0.0006831002,-0.000494721,0.0026112659,0.0003914985,-0.000400414,-0.000605366,0.0093075849
10/28/1963,0.0006599176,0.0143699336,0.0095193685,0.0002691701,0.0099453096,0.0027379662,0.0002977019,0.0018798295,0.0011352563,0.0019840408
