date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0106010203,0.0078645257,0.013424347,0.0071064595,0.0079710003,0.015796296,0.0071331942,0.0095429342,0.0053040562,0.0071120082
07/03/1963,0.0060050414,0.0056697657,0.0100429253,0.0051339142,0.0098735544,0.0074375711,0.0082590439,0.0080744943,0.0038884214,0.0108343423
07/05/1963,0.0037097193,0.0047327737,0.0107848081,0.0041098784,0.0072775696,0.0039014905,0.0067997114,0.001212708,0.0012285408,0.0033936869
07/08/1963,-0.005345391,-0.001039107,-0.006175311,-0.006388559,-0.010192066,-0.013879707,-0.002679179,-0.004638822,-0.003702131,-0.005839294
07/09/1963,0.0137368329,0.0036503589,0.0026785582,0.0051450894,0.0026765667,0.0090341409,0.0029529133,0.0030944393,0.005394965,0.0055185285
07/10/1963,-0.002132137,-0.006577512,-0.001017969,-0.001404002,-0.001478799,-0.004453354,-0.000474984,-0.004257683,-0.005060634,-0.000761578
07/11/1963,-0.002154114,-0.001220758,0.0033087003,-0.000612917,-0.001721051,-0.005331763,-0.007118109,-0.003256877,-0.000575104,-0.001694165
07/12/1963,-0.00360996,0.0004247289,0.0037423207,-0.005058967,-0.000929576,-0.001855465,-0.000177382,-0.00167175,-0.002571351,0.0049800858
07/15/1963,-0.011637807,-0.007293111,-0.009471558,-0.006849976,-0.010230404,-0.003747244,-0.00419031,-0.00484601,-0.005745879,-0.006876907
07/16/1963,0.0015839235,-0.001462834,-0.001869664,0.0005853885,-0.000398399,0.0018891886,-0.002335395,0.0007934204,-0.000952451,0.0021522047
07/17/1963,-0.002012669,-0.003440006,-0.009111009,-0.002192024,-0.002086623,-0.002201622,-0.0029216,-0.002075667,-0.002161616,-0.005934589
07/18/1963,-0.00488914,-0.003240873,-0.005398222,-0.008145691,-0.004943249,-0.004992259,-0.000907823,-0.007746956,-0.010030789,-0.004426953
07/19/1963,-0.005953611,-0.004107307,-0.0049744,-0.001099143,0.0017255169,-0.002574044,-0.002226048,-0.002767842,-0.001639158,-0.001894089
07/22/1963,-0.014335323,-0.009232242,-0.006000001,-0.007369435,-0.007010557,-0.005508674,-0.007272624,-0.005009838,-0.009732072,-0.006373349
07/23/1963,0.0036465413,0.0007582303,0.0014879796,0.0025657509,0.0031474498,-0.00084284,0.0029479342,-0.003948112,0.0003198225,-0.003471344
