date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0053579552,0.0090322882,0.0074355853,0.0060638561,0.0076285839,0.0052888371,0.0056455068,0.0162079437,0.0092867934,0.0080734401
07/03/1963,0.0082026551,0.008220977,0.0071870401,0.0033594808,0.0075734089,0.0056749398,0.008305052,0.0064861427,0.0092561567,0.0031696486
07/05/1963,0.0027726306,0.0073211483,0.0022147419,0.003105063,0.0042771958,0.0041370652,0.0022430713,0.0053237863,0.0077074717,0.0033512561
07/08/1963,-0.004964228,-0.004926579,-0.006934251,-0.002171872,-0.001726768,-0.00422503,-0.003459199,-0.011338567,-0.007870738,-0.011542902
07/09/1963,0.0046201097,0.001541278,0.002503606,0.0028684779,0.0040924562,0.0046404486,0.0025778806,0.0095523512,0.0069431619,0.0061785418
07/10/1963,-0.001863908,-0.003261797,-0.001890037,-0.00191125,-0.002356435,-0.002015933,-0.001326608,-0.004902216,0.0001129801,-0.000619144
07/11/1963,-0.00379161,-0.004267634,-0.000456177,0.0004832141,-0.002627712,-0.00076844,-0.000890849,-0.004311962,-0.000209975,-0.005901122
07/12/1963,-0.004785207,-0.00598649,-0.000415512,-0.000656563,-0.003963214,-0.002608397,-0.002084398,-0.002763456,0.0035333663,-0.003689199
07/15/1963,-0.005091162,-0.00447297,-0.00526665,-0.004778005,-0.006428683,-0.004889889,-0.00548262,-0.004241487,-0.008323431,-0.008980405
07/16/1963,-0.006615855,-0.001023616,-0.00089752,-0.001152675,-0.000073802,0.0019840347,-0.002021853,0.001343781,-0.00178581,0.0012076689
07/17/1963,0.0011857978,-0.002317619,-0.00508036,-0.003731036,0.0000785785,-0.004573272,-0.004487847,-0.0043814,-0.001027166,-0.002785429
07/18/1963,-0.00737055,-0.006504597,-0.003176815,-0.002296107,-0.004069952,-0.004931464,-0.007893758,-0.005161534,-0.006581339,-0.010514453
07/19/1963,-0.002640111,-0.002224852,-0.003216557,-6.560781E-6,-0.002342491,-0.003144077,-0.000461102,-0.003799757,-0.003812348,-0.000515587
07/22/1963,-0.010758228,-0.008614304,-0.005846892,-0.004933713,-0.007319411,-0.00523926,-0.005981034,-0.006784291,-0.007990516,-0.010623319
07/23/1963,-0.00483996,-0.007400481,0.0017961011,0.0003043096,-0.00483858,-0.000088568,-0.000054813,-0.00078137,0.0036013199,-0.001311744
07/24/1963,0.0021367293,0.0038289845,0.0033724536,0.0007666885,0.0045002094,0.0041344121,0.0034021537,0.0050674436,0.0093931669,0.0078868693
07/25/1963,-0.000806901,0.0031816508,-0.00291125,0.002683046,-0.00261429,0.000911357,0.000289247,0.0002479016,0.0004351409,-0.002708305
07/26/1963,0.001946184,0.0037158948,0.0026844445,0.0008473649,0.0017400937,-0.000411657,0.0008765446,0.003073648,0.0072863218,0.0107241726
07/29/1963,0.0009273607,-0.003022281,-0.000026128,0.0032537969,-0.000306504,0.0014964034,-0.000782811,0.0009736176,0.0002934891,0.0046339664
07/30/1963,0.0055232913,0.0081138349,0.006657594,0.0055157981,0.0090625992,0.0033561415,0.0057939653,0.013383912,0.0091624287,0.0166145381
07/31/1963,-0.002226142,-0.001467131,0.002011256,-0.000254172,0.0002271142,-0.000804289,-0.002944324,-0.007202582,-0.000498556,-0.004006317
08/01/1963,-0.003349731,-0.005428636,0.0020174835,0.0012281073,-0.000267466,-0.000437072,-0.000630571,-0.001533159,-0.002116994,-0.002121136
08/02/1963,0.0048144445,-0.000494738,0.0037170918,0.0022878195,0.0021926211,-0.000110273,0.0059227601,0.000412716,0.0038834602,0.0055378505
08/05/1963,0.0158868036,0.0038286772,0.0074146408,0.002130961,0.003348137,0.0070776845,0.0050013151,0.0068658871,0.0070672349,0.0075151923
08/06/1963,0.0011670659,0.0040515353,0.0057179031,0.0091926262,0.0037147878,0.0070413935,0.004216418,0.0075801797,0.0041194805,0.0056911861
08/07/1963,-0.007817163,-0.001852273,-0.003018371,-0.002150978,-0.000094362,-0.000875218,0.0010238582,-0.000352055,0.0016508991,-0.003518718
08/08/1963,0.0077267856,-0.000738645,0.0016095127,0.0011548335,0.0011371324,0.0025438871,0.0012634756,0.0012880284,0.0043835871,0.0014972134
08/09/1963,0.004308223,-0.002271945,0.0055613634,0.00653291,0.0049839771,0.0088225035,0.0097188677,0.0067367405,0.0090100894,0.0051298777
08/12/1963,0.0113729205,0.0023437447,0.0011242682,0.0026771324,0.0039189732,0.0020648074,0.006897758,0.0039857638,0.0063060183,0.0003658685
08/13/1963,-0.005337914,0.0009565528,0.0033393084,0.0017715487,0.0032537372,0.004413802,0.0008153133,0.0033003111,0.0012064615,0.0028403841
