date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,-0.000639142,-0.002367859,0.0000779188,0.001655716,0.0017464659,-0.001014399,-0.001242218,-0.001594255,-0.005442386,0.0033070274
08/02/1963,0.0037480891,0.0012912875,0.0043640907,0.0009351093,0.0046219236,0.0017072698,0.0030394799,0.0031459635,0.0058570516,0.006391102
08/05/1963,0.0016519573,0.0074391423,0.0039396274,0.0007888401,0.0072692159,0.009072442,0.0070941425,0.0078627913,0.0067208613,0.0049984662
08/06/1963,0.0073602539,0.0031402385,0.0053470154,0.0089291168,0.0064582105,0.0063259813,0.0033801317,0.00660153,0.0058866962,0.0077911633
08/07/1963,0.0015535688,-0.000717869,-0.001097287,-0.00101059,-0.003939422,-0.003366842,-0.005456465,-0.000912384,0.0025451848,-0.002679636
08/08/1963,-0.001307937,0.0018272089,0.0022808454,0.0013382112,0.0023565646,0.004203149,-0.000229237,0.0025827263,0.0013887667,-0.001653529
08/09/1963,0.0053895936,0.0068919931,0.0061343674,0.007624161,0.0034364255,0.0062050709,0.0058635886,0.0042118845,0.0058773901,0.007683699
08/12/1963,0.0020321623,0.0028118981,0.0026369368,0.0026384785,0.0016545184,0.000233353,0.0033130404,-0.002996209,0.0010750111,0.0111276346
08/13/1963,0.0055237136,0.0009785849,0.0044673665,0.0002043764,0.0016890526,0.0092906175,0.0022456105,0.0010356781,0.005297733,0.0081966638
08/14/1963,0.0001808042,-0.002206165,0.0055356983,0.0052770537,0.0026358159,0.0026468354,-0.000820995,0.0071099349,0.0028574459,0.0023257867
08/15/1963,0.004258537,0.0060789992,0.0039821079,0.005198095,0.0018910941,0.0000965379,0.013377141,0.0017469285,0.0056833568,0.0075975639
08/16/1963,-0.000933492,0.0020255835,0.0045725953,0.0009681413,0.0033424036,-0.000149425,0.0025501653,-0.000336354,0.0031517766,-0.000817657
08/19/1963,-0.001011375,-0.002452747,-0.000911864,0.0011329835,-0.002539301,0.0013597667,-0.004476752,0.0014673581,0.0007197297,-0.000959819
08/20/1963,0.0000558062,0.003232614,-0.00173669,-0.001517418,0.0004980569,-0.003731356,-0.000585933,0.0016790683,-0.000959536,-0.001621971
08/21/1963,0.0027556205,-0.00344485,0.0004965773,-0.004196792,-0.001622515,0.0013220589,-0.006354999,-0.001333338,0.0023702865,0.0000328171
08/22/1963,0.002210507,0.0001617772,0.0000414817,0.0000607301,0.0039260662,0.0058340363,0.0122762717,0.0024773162,-0.000375227,0.0055563113
08/23/1963,0.0063110019,0.0031369389,0.0020451016,0.0041432184,0.0016253166,-0.000292386,0.0131679359,0.002115449,-0.00006169,0.0012039144
08/26/1963,0.0010561287,0.0046335106,0.0016357182,0.0007161746,-0.000201952,0.0031156572,0.0031229789,0.0010621489,-0.000246034,0.0053408413
08/27/1963,-0.00254476,-0.002413455,-0.00525161,-0.005090213,-0.002594639,-0.006366802,-0.005952057,-0.001431331,0.000252631,-0.00581173
08/28/1963,0.0059122898,0.001758544,0.0074920608,0.0076775231,0.0068214325,0.008117646,0.009048031,0.0060232124,0.0058408258,0.0133651477
08/29/1963,0.0040609355,0.0052816752,0.0005074398,0.0009065019,-0.000419755,0.0018827865,0.0007872916,0.0025825151,0.0034779843,-0.000651716
08/30/1963,0.0043988073,0.0039518468,0.0046481508,0.0070881927,0.0033412523,0.0005523384,0.0093634899,0.000131167,0.0032745809,0.0061149428
09/03/1963,0.0042136765,0.0002658054,-0.00028533,0.0016552107,0.0049127554,0.0007932906,0.0054691936,0.0037548346,-7.649197E-6,0.0022501643
