date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0097761293,0.0081478301,0.0064209083,0.0070652889,0.0095171642,0.0038961635,0.0109768936,0.0061951083,0.0095490325,0.0102417959
07/03/1963,0.0067055843,0.0092506172,0.0071849039,0.0063276932,0.006856021,0.0043811372,0.0065307607,0.0069001543,0.0045350913,0.0050832745
07/05/1963,0.0071447964,0.0083868497,0.0036317115,0.0021080919,0.0025449178,0.0040551121,0.0046239966,0.0046946309,0.0037688126,0.0047219279
07/08/1963,-0.003645948,-0.009634407,-0.002764628,-0.006003689,-0.005861261,-0.004621062,-0.007414951,-0.007562963,-0.005908115,-0.007034409
07/09/1963,0.0076927138,0.0045122914,0.0022887178,0.0047260987,0.0042226805,0.0028740726,0.0075625442,0.0046164932,0.0043812018,0.004606349
07/10/1963,-0.00127509,-0.003090626,0.0002739087,-0.001959892,-0.001733899,-0.000706987,-0.003382537,-0.000994854,-0.000443503,-0.001735511
07/11/1963,-0.000556371,-0.002464116,-0.002442059,-0.002237848,-0.000728553,-0.00273679,-0.000195964,-0.002034838,-0.002419652,0.0003684208
07/12/1963,-0.003299304,0.0024648443,-0.003154818,-0.001102181,-0.001897522,-0.002557662,0.0016522456,-0.000257999,-0.00215194,-0.002225203
07/15/1963,-0.006685039,-0.009928975,-0.005946538,-0.004010841,-0.006137155,-0.005322336,-0.005116715,-0.008201355,-0.004408251,-0.007767705
07/16/1963,-0.004059013,0.0001086972,-0.003000398,-0.001424425,-0.001263726,0.0011821739,0.0004474321,0.0010161747,-0.003275848,0.000893793
07/17/1963,-0.00580457,-0.003646104,-0.0038771,-0.003028714,-0.002433086,-0.001859086,-0.004286784,-0.002098102,-0.002374881,-0.006434677
07/18/1963,-0.007670632,-0.007712531,-0.004761967,-0.005908155,-0.002771138,-0.006986186,-0.00520456,-0.006916069,-0.002267677,-0.00580141
07/19/1963,-0.001794744,-0.000944242,-0.004512403,-0.003222575,-0.001257669,0.0001760169,-0.005882416,-0.00015569,-0.002760795,-0.001274693
07/22/1963,-0.011441602,-0.006382091,-0.008936311,-0.005569723,-0.006716391,-0.007249493,-0.007490719,-0.00629834,-0.003644534,-0.006051791
07/23/1963,0.0008375912,-0.002309302,-0.000752377,0.0009637003,0.0014684718,0.0016015285,-0.001254634,-0.001920495,-0.000640262,0.0019046437
07/24/1963,0.0061191058,0.0082946062,0.0051021615,0.0024658675,0.0033275837,0.0053811137,0.0059808606,0.006533564,0.0010615378,0.0033567831
07/25/1963,-0.001711656,0.0030135981,0.0023875763,-0.002136738,-0.002036703,-0.000195809,-0.000412766,-0.00002004,0.0020910203,-0.000023226
07/26/1963,0.0013761294,0.0031631418,0.0022702854,0.0019303519,0.0039053199,0.0058955977,0.0039383078,0.0033140653,0.0020207074,0.0050355239
07/29/1963,0.0029636594,0.0029345197,-0.001109293,0.0020314591,0.0005445345,0.0018611767,-0.000058121,0.0027919021,-0.001157387,0.0034111035
07/30/1963,0.0092342469,0.0054733986,0.0090056588,0.0073421396,0.0065760969,0.0117607039,0.0118465103,0.0066735466,0.0085243542,0.0065113339
07/31/1963,-0.001068177,-0.000316755,-0.000542697,-0.003087073,0.0004460032,0.0004116711,-0.002975455,-0.002884032,-0.001508333,-0.004169987
08/01/1963,-0.002129579,-0.000226126,-0.002390923,-0.000999879,-0.001655028,0.001521657,-0.001340326,0.0016690393,0.0019413311,-0.005803415
08/02/1963,0.0013584623,0.0033826747,0.0051741656,0.0029286473,0.0025444796,0.0012769001,0.0055441956,0.0043485384,0.0023117331,0.0022527578
08/05/1963,0.0073010366,0.0031667183,0.0062443072,0.0050137461,0.0080808845,0.0035209678,0.0056246621,0.0047745189,0.0072240978,0.0084983689
08/06/1963,0.0067391021,0.0077616018,0.0030756419,0.0037360379,0.0063487719,0.0078611534,0.0041549784,0.0062966941,0.0102220092,0.0059627364
08/07/1963,-0.002952793,0.0004701148,-0.000380018,-0.004160579,-0.000861051,-0.002419327,-0.003442622,0.0009403271,-0.002390004,-0.000542126
08/08/1963,0.0028762337,0.0007920102,0.0036784075,0.0003539683,0.0017330799,0.0024814118,0.0038325966,-0.001757036,0.000064791,-0.000820408
08/09/1963,0.0124338787,0.0058932782,0.0067292554,0.0064920185,0.0034121899,0.0079817986,0.0042868084,0.0062978442,0.0077369703,0.0056545845
08/12/1963,0.0076178872,0.0007936939,0.0020312341,0.0019521417,-0.000705765,0.0031963341,0.0002251454,0.009330204,0.0079721882,0.0042714887
08/13/1963,0.0008534823,0.0016349397,-0.000521407,0.0040293226,0.005527113,0.0004031284,0.0015953963,0.0015019107,0.00782093,0.0015996015
08/14/1963,0.0011233211,0.000738998,-0.000077131,0.0005122845,0.0061473476,0.0054531417,0.002437821,0.0032074117,0.0031285701,0.0019000964
08/15/1963,0.0009987244,0.0031180691,0.0049671023,0.0090058717,0.0021771867,0.0038635501,0.0063103453,0.0034380298,0.0053444803,0.0017855534
08/16/1963,0.0019173032,-0.000911476,0.000716734,0.0027195674,0.0007759985,0.0015721668,0.002275973,0.0052995242,-0.001039579,0.0064749825
08/19/1963,0.0008541195,-0.00073972,-0.000801286,-0.002297357,0.0003645592,-0.000047649,-0.000409209,0.0020520472,-0.001647756,-0.000165373
08/20/1963,-0.000185157,0.0005075956,0.0025604277,0.0000309665,-0.000995256,-0.002130885,-0.000015341,-0.002822426,0.0005175977,0.0026109844
08/21/1963,0.002957844,-0.001935181,0.0008903152,-0.003502409,-0.000525196,-0.002749455,0.0005301739,-0.001091126,0.0012337707,0.0006246772
08/22/1963,0.0072174968,0.0065157368,0.0033359843,0.0060264981,0.0032654568,0.0005659674,0.0033822456,0.0041067937,0.0040399308,0.0069487902
08/23/1963,0.0031177098,0.0040829237,0.0011734388,0.0094200273,0.0007963372,0.0034230939,0.0022360805,0.0037304409,0.0000187016,0.0075316256
08/26/1963,0.0001224874,0.0011186977,0.0041984902,0.0030735704,0.0009255516,0.0018723654,0.0003589655,0.0006641497,0.0045852563,0.0053203509
08/27/1963,-0.005073235,0.0003328447,-0.002738773,-0.005012997,-0.005163433,-0.004677575,-0.006022862,-0.000692578,-0.004601237,-0.010185505
08/28/1963,0.0118422652,0.0058978861,0.0090132894,0.008066654,0.0053089074,0.0082197237,0.0054922029,0.0087401345,0.0124829892,0.0137636146
08/29/1963,0.005851554,0.0022759621,-0.000875969,-0.001459243,0.0019919039,0.0016383821,0.0027510438,0.005747461,0.0027580457,0.0064719036
08/30/1963,0.0053465862,0.0050282881,0.0020236912,0.006091584,0.0012401415,0.0080320188,0.0034582133,0.0057911216,0.0042069253,0.0061726477
09/03/1963,0.0043718298,0.002827,0.0008433717,0.0040098461,0.0018061717,0.0025482128,0.0000585235,0.0043894306,0.0014512796,0.0036655916
09/04/1963,-0.001606819,-0.000724865,-0.002557963,0.002376826,-0.001852302,0.0000226997,0.0020332837,0.0047824765,-0.000563513,0.0039318534
09/05/1963,0.0124980378,0.0024420521,0.0042252054,0.0059950132,0.0043033722,0.0047083292,0.0029730712,0.0069754018,0.0026317385,0.0053696223
09/06/1963,-0.010891793,-0.004535362,-0.004489482,-0.00412441,-0.000108041,0.0011495934,-0.004864565,-0.004018442,-0.003803901,0.001309641
09/09/1963,-0.003874628,-0.006018352,-0.005088217,-0.002185285,-0.002124463,-0.003508259,-0.003088006,-0.004386362,-0.004400444,-0.00464364
09/10/1963,0.0127220298,0.0062434087,0.0029424436,0.0062581503,0.0098953169,0.0011778537,0.0011778034,0.0019344883,0.0026347802,0.0052516158
09/11/1963,0.0000230912,0.001713521,0.0045913024,0.0031233952,0.0039824991,0.0029199846,0.0001089968,0.0008220894,0.0033753344,-0.001786731
09/12/1963,-0.006114725,-0.001422627,-0.000031444,-0.000934686,-0.001290762,0.0005652641,-0.003187787,0.0005420773,0.0049560734,0.0024333068
09/13/1963,0.0030608354,-0.000147383,0.0003958592,0.0036648333,-0.002108527,-0.000210829,0.0000732375,0.0013907119,0.0012158101,0.0047978644
09/16/1963,-0.004661887,-0.005078274,-0.002352008,-0.001846483,-0.001465478,0.0005082427,-0.000549295,-0.001069212,0.0011460009,0.0003246027
09/17/1963,0.000252931,-0.002446138,-0.000421788,0.0007942668,0.0006425157,0.0019704539,-0.000172088,0.000233381,0.0018055687,-0.000504581
09/18/1963,-0.007130621,-0.004076902,-0.005834443,-0.004414849,-0.003183091,-0.006020309,-0.003577573,-0.001193398,0.000261388,-0.003081337
09/19/1963,0.0131554858,0.0042100828,0.0026279849,0.0049889363,0.0059233371,0.0061442027,0.003341128,0.0037219934,0.006283297,0.0020331576
09/20/1963,0.0068548822,-0.002851657,0.0005603705,0.0002651919,0.0018297675,0.002228439,-0.002868522,-0.004700759,0.0005319096,0.0004008509
09/23/1963,-0.00981914,-0.004781919,-0.005034325,-0.00370554,-0.005084537,-0.003458825,-0.00275351,-0.004393419,-0.00934951,-0.006662289
09/24/1963,0.0055287357,0.0015488243,-0.000574637,-0.000335516,0.0105163152,0.0039834396,-0.001242328,0.0025493597,0.0018540241,-0.003820288
09/25/1963,-0.014669774,-0.007288424,-0.008798423,-0.008570345,-0.002821844,-0.0040342,-0.004178193,-0.003602389,-0.00281112,-0.008978741
09/26/1963,-0.01512897,-0.007965192,-0.009371066,-0.007937138,-0.010605859,-0.006551669,-0.002545096,-0.006229548,-0.004425848,-0.004297761
09/27/1963,0.0022936225,-0.002847142,-0.000319559,-0.001450417,0.0003211693,-0.00626828,-0.00194621,-0.0030058,-0.000145221,0.0045670956
09/30/1963,-0.003756096,-0.002529042,-0.007743987,-0.004995245,-0.004090187,-0.011405486,-0.006700593,-0.00409877,-0.002986833,-0.002915725
10/01/1963,0.0056714414,0.0056212597,0.0031529205,0.0081612771,0.0081632334,0.0078271944,-0.000117156,0.0059275117,0.008227443,0.0075323691
10/02/1963,0.0002721726,-0.001208416,0.0019061921,-0.000974573,0.0039345326,0.0004482137,0.0031092153,0.0004218885,0.0043090047,-0.002845923
10/03/1963,0.0112293296,0.0095342297,0.0048905385,0.0049123773,0.0074984457,0.0063721712,0.006385662,0.005272966,0.0075879918,0.0102546687
10/04/1963,0.0024716641,-0.001574322,0.0001042232,-0.002194259,0.0016512115,0.0017909695,-0.000015721,-0.000222554,0.0006112223,-0.000249881
10/07/1963,-0.001666564,-0.002576513,-0.002326505,-0.003055715,-0.000630506,-0.001216182,-0.00254199,-0.003069539,-0.005330657,-0.002932142
10/08/1963,0.0028477411,-0.000224487,-0.00134589,-0.00219089,-0.00146385,-0.002405771,-0.003423281,0.0008252711,0.0027490695,0.0007543252
10/09/1963,-0.010776603,-0.008219434,-0.002385479,-0.003477688,-0.004873748,-0.006834078,-0.007695353,-0.007782019,-0.008796251,-0.008457055
10/10/1963,0.00259408,0.0004451127,-0.000498336,0.0011276254,-0.000785861,0.0007543866,0.0042312566,0.0033214787,0.0013657828,0.001580673
10/11/1963,0.0013229181,0.0008349285,0.0017750851,0.0021177003,0.0017724025,-0.001517911,0.0024661183,0.0039400285,0.0003372734,0.0064000734
10/14/1963,-0.000039873,0.0012310612,-0.001318179,0.001411032,0.0014341318,0.0009347441,-0.002169181,-0.001167257,0.0011357991,0.0019542448
10/15/1963,-0.000199708,0.0029111358,-0.000975818,0.0014980699,0.0018668863,0.0022624601,0.0028421646,0.0006165655,0.0047148172,0.0016287189
10/16/1963,0.0089910167,0.0041829423,0.0046344134,0.0079963647,0.0142859769,0.0091152083,0.005225154,0.0090098091,0.0106672324,0.0087838086
10/17/1963,0.003867297,0.003794342,0.0043616458,0.0016263994,0.002410129,-0.003569782,-0.000521273,0.0042589436,0.0034410841,0.0041930311
10/18/1963,0.0030849494,0.0006593316,0.0024191355,-0.001243953,0.0014004358,0.0012311391,0.0029197772,0.0019354452,0.0001338064,0.0016657992
10/21/1963,0.0001206327,-0.002733303,0.0008828628,0.0034368633,0.000369163,-0.000379281,0.0008457167,-0.000792419,0.0004051379,-0.005136299
