date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,-0.003808564,0.0005147108,-0.002420212,0.000028153,-0.002384345,0.0017557458,0.0005520694,0.0002489575,0.0011248273,0.0022656084
08/02/1963,0.0028037603,0.0034472094,0.0043673877,0.0029396383,0.0027722169,0.00138846,0.0040432359,0.004317881,0.0056984642,0.0029267477
08/05/1963,0.0048755511,0.0022365811,0.0063619232,0.0040208788,0.0084502233,0.0025196614,0.0085613703,0.0054018371,0.0033870896,0.0071489221
08/06/1963,0.0098405024,0.0046504329,0.0017148826,0.0073032811,0.0064078176,0.0098904318,0.0039098048,0.0014509737,0.009110905,0.0090985224
08/07/1963,0.0004493928,0.0002501031,-0.004305841,-0.001882387,-0.001333624,-0.002702691,-0.002937255,-0.001710523,0.0039827245,-0.001624902
08/08/1963,-0.000538096,0.0017328264,0.0039763328,-0.001085162,0.0019925494,0.0022447861,0.0039519418,0.0009216964,-0.003063482,-0.00103397
08/09/1963,0.0068305023,0.0065499889,0.0070745483,0.0054750173,0.0036008699,0.0064044953,0.0061557477,0.0019066009,0.0085290916,0.0085804849
08/12/1963,0.0026301508,0.0010674975,0.0001712429,0.0017779671,-0.001722405,0.0024997886,0.0002860868,0.0076678022,0.0079437248,0.0082518791
08/13/1963,0.0022543944,0.0023040573,0.0014316097,0.0048931251,0.0062992917,0.0003408864,0.0029284121,0.0031168564,0.0025000237,0.0086957979
08/14/1963,0.002558727,-0.000962588,-0.000452006,0.0017262979,0.0021951575,0.0111369078,0.0029901147,0.0012998672,0.0048435388,0.0021038539
08/15/1963,0.0022878647,0.0049844316,0.0126667656,0.0034061033,0.0038803701,0.0020894118,0.0032269051,0.0076054197,0.0026874433,0.0051377224
08/16/1963,-0.002353138,0.0009127788,0.0039036975,-0.000472884,0.0020417661,-0.000394628,0.0030470062,0.0026027318,0.0049462598,-0.00130895
08/19/1963,-0.000984533,-0.001619301,-0.003791803,0.0002561085,-0.000485525,0.0017543634,-0.001240434,0.0026868607,0.001640553,-0.001335819
08/20/1963,0.0001186458,0.0016765134,0.0015001557,-0.001377225,-0.001942593,-0.001312457,-0.000040608,-0.000930859,-0.002929262,0.0009797685
08/21/1963,0.000107029,-0.002004095,-0.005734045,0.0012140788,-0.000576545,-0.003118202,-0.000135997,0.0003468835,-0.002245014,0.0013053131
08/22/1963,0.0044351268,0.0024541642,0.0085793737,0.0011100582,0.0031031328,-0.000233075,0.0034865652,0.0023524163,0.0034637045,0.0052605859
08/23/1963,0.0009888335,0.0061942436,0.0105412793,0.0046360393,-0.000387983,0.0038994303,0.0030261942,0.0036618439,0.0021009576,-0.000902973
08/26/1963,0.0023937474,0.0006673469,0.0044250692,0.0009453796,0.0013156551,0.0003210834,0.001639736,0.0041021633,-0.001652273,0.0056217516
08/27/1963,0.0023164886,-0.003846145,-0.003930797,-0.004353423,-0.005756142,-0.003039044,-0.007110267,-0.004228784,0.0013032744,-0.003735871
08/28/1963,0.005184368,0.0044063317,0.010346451,0.0088329667,0.0067327024,0.0050527419,0.0063540313,0.0053081565,0.0094974779,0.0146397501
08/29/1963,0.0000131487,0.0041030186,-0.00388746,0.0005073556,0.0019545767,0.0023127892,0.0019525431,0.0035247454,0.0077407625,0.0031572346
08/30/1963,0.0019889494,0.0057629981,0.0057170788,0.003376651,0.0007392732,0.0078563484,0.0026065846,0.0045868683,0.0074007925,0.0034861791
09/03/1963,0.003356854,0.0030183805,0.0008796012,0.0014373643,0.003933861,0.0026311025,0.0001104571,0.0027408668,0.0036873385,0.0028296158
09/04/1963,0.0019412105,-0.003398232,-0.001314642,-0.000899404,0.0031920846,-0.001519805,0.0016440619,0.0053401639,0.0035769699,-0.004414897
09/05/1963,0.0047660469,0.0022347865,0.0042929425,0.0054795671,0.004325842,0.0047748698,0.0034478751,0.0054959951,0.006745748,0.0051275287
09/06/1963,-0.004123392,-0.003340951,-0.002782986,-0.001722871,0.0043771597,-0.001559669,-0.005208568,-0.002710088,-0.003232098,-0.00080745
09/09/1963,-0.004087154,-0.002557702,-0.0030121,-0.002806638,-0.001861874,-0.003070612,-0.003322952,-0.005895701,-0.002019928,-0.003200096
09/10/1963,0.0066265738,0.0038283866,0.0056755186,0.0053507981,0.0131242085,0.0003280642,0.0011460585,0.0036602243,0.0006581305,0.0042319721
09/11/1963,-0.000478112,0.004039184,0.0020656261,0.0045567789,0.0022364467,0.0021669483,0.0009918995,0.004296492,-0.003813562,0.0026816191
09/12/1963,-0.00146221,-0.000889947,-0.000650371,0.0014452832,-0.004675184,0.0011985001,-0.003043759,-0.000378551,0.0006901999,0.0060650835
09/13/1963,-0.000327386,0.0009401622,0.0018882639,0.0005895268,-0.004192952,-0.000072752,0.0007511616,-0.001477027,0.0052967658,0.0004618601
09/16/1963,-0.004730546,-0.003128512,0.0004328632,-0.0049464,0.0002629505,0.0013712252,-0.000219843,0.0006345357,-0.000373341,0.0014420974
09/17/1963,-0.001153812,-0.000201158,-0.000623295,0.0005086337,0.0011412718,0.0030470828,-0.000130403,0.0008375293,0.0005128797,0.0003723887
09/18/1963,-0.006534777,-0.006205479,-0.003444777,-0.001378155,-0.007686418,-0.005102054,-0.003203769,-0.003571027,0.0033337423,0.0003144459
09/19/1963,0.0059713535,0.003546314,0.0052664593,0.0048116266,0.0075283157,0.0057892487,0.0030901507,0.0016513314,0.0092296423,0.004823034
09/20/1963,-0.001922704,0.0023491002,-0.000964134,-0.001640663,0.0070869678,0.0021033987,-0.002441799,-0.005463299,0.0000820666,-0.000296465
09/23/1963,-0.008388804,-0.00655059,-0.005496726,-0.001979498,-0.006289608,-0.003277514,-0.00285595,-0.002601124,-0.006096128,-0.004833587
09/24/1963,0.0029572068,0.0005286608,-0.004267528,0.0153605708,0.0045167043,0.0010094982,-0.001852902,0.0016146591,0.0001323591,-0.000603428
09/25/1963,-0.006132396,-0.008545053,-0.010566456,-0.003407899,-0.003995879,-0.003170289,-0.004251766,-0.005502799,-0.003395608,-0.002244221
09/26/1963,-0.008684116,-0.00696716,-0.009551428,-0.006813226,-0.015995831,-0.003289606,-0.002090116,-0.002661304,-0.007407646,-0.005327203
09/27/1963,-0.001803208,-0.00180474,-0.002341226,0.0003903595,-0.001505514,-0.006752425,-0.002552369,-0.004111867,-0.002131564,0.0004380736
09/30/1963,-0.003434933,-0.006343715,-0.007496658,-0.0009767,-0.004609734,-0.018047668,-0.007267301,-0.007035141,-0.000811913,-0.002139122
10/01/1963,0.0039884934,0.0030632666,0.0025190008,0.0053840452,0.0070704493,0.0146970363,0.0018465165,0.0020406421,0.0065608459,0.0093636946
10/02/1963,0.001884361,0.0008104496,0.0015218519,-0.00135577,-0.000972614,0.0051398897,0.0026807024,0.0014958636,0.0020214359,0.0062464407
10/03/1963,0.0126567051,0.0047368107,0.005498381,0.0024155755,0.0071776047,0.0047603145,0.0093677617,0.0039430841,0.0030126583,0.0080739134
10/04/1963,-0.00034711,-0.003040876,-0.000303252,-0.000065534,-0.000347492,0.0011273022,0.0024953971,-0.002267797,-0.00077986,0.0009318216
10/07/1963,-0.002566129,-0.000377019,-0.002999736,-0.001691072,-0.001118116,-0.001314181,-0.003301326,-0.000566655,-0.001870427,-0.004773903
10/08/1963,-0.002559781,0.001445515,-0.002096619,-0.001817166,-0.003970553,0.0003784293,-0.004169034,0.0006291735,0.0020033239,0.0020162713
10/09/1963,-0.010636479,-0.006901673,-0.001135666,-0.004039338,-0.002779113,-0.006520396,-0.005085079,-0.006593826,-0.00703542,-0.007285299
10/10/1963,0.0009016712,0.0004173212,-0.000763732,-0.002199129,0.0033768565,-0.003479259,0.0029162602,0.0054334127,0.0026940922,-0.000099987
10/11/1963,-0.000864974,0.0008147605,0.0012263645,0.0018328939,0.0032236289,-0.001039796,-0.002824355,0.0018985989,0.000142311,0.0006822053
10/14/1963,-0.000490141,-0.000671255,5.238468E-6,0.0009889087,0.0031917924,-0.00183507,0.0016524709,-0.00443491,-0.000721715,0.001245404
10/15/1963,0.0006966866,0.0015860543,-0.001275252,0.0032250617,0.0010349978,0.0021936975,0.0020878061,-0.000352817,0.0028343918,0.003367187
10/16/1963,0.0075172785,0.0016067305,0.0045493604,0.0026518826,0.0140652708,0.0131255028,0.0065689505,0.0052362774,0.0063797951,0.0097136354
10/17/1963,0.0008372363,0.0041257386,0.0061793338,0.0024237022,0.0025440166,-0.003339151,-0.000436061,0.0004565855,0.0070444034,-0.000540525
10/18/1963,-0.000850185,0.0010395215,0.0031769491,0.0002690901,0.0006802138,-0.000092187,5.4995494E-6,0.0006606465,0.0010748062,0.0000875685
