date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0079225541,0.0065429407,0.0098793279,0.0103329575,0.0088183845,0.0086056355,0.0035780804,0.0096482977,0.0036477157,0.0153266851
07/03/1963,0.0081483686,0.0083557455,0.0098165968,0.0075497274,0.0050816848,0.0066207519,0.0053380257,0.0084706121,0.0091040715,0.0059300711
07/05/1963,0.0023564073,0.0049714725,0.0078172102,0.0058745833,0.0048729194,0.0033719667,0.0043825521,0.0022852231,-0.000366705,0.0021583295
07/08/1963,-0.00169226,-0.007035503,-0.004508335,-0.011511709,-0.006042387,-0.006016371,-0.004605831,-0.003949532,-0.008009503,-0.008768471
07/09/1963,0.004917301,0.0015048012,0.0063184871,0.0046428185,0.0068412043,0.003805668,0.0017126209,0.0027740656,0.0053855635,0.0052366974
07/10/1963,-0.00231288,-0.000113917,-0.001393728,-0.001897802,-0.004430971,-0.002998617,-0.000860339,-0.003594891,-0.00238808,-0.007516821
07/11/1963,-0.000732648,-0.001698511,-0.000097103,-0.002930803,-0.006067724,-0.00056831,-0.002173224,-0.000506594,-0.001263463,-0.008089995
07/12/1963,-0.00430747,-0.004661543,0.0003584207,-0.001992525,-0.000457365,-0.001683983,-0.001782082,-0.005392561,0.0033765168,-0.002653734
07/15/1963,-0.009405321,-0.009480391,-0.005600292,-0.007983221,-0.006597155,-0.005585306,-0.005464528,-0.007452348,-0.005855029,-0.004732729
07/16/1963,-0.003388803,0.0011040916,-0.001735225,0.0010732306,0.0000850098,-0.000337517,-0.001026267,0.0010974213,0.0005825576,0.0037883747
07/17/1963,-0.002905173,-0.00322533,-0.002036341,-0.002075767,-0.001874477,-0.005062141,-0.003775713,-0.002363051,-0.003135221,-0.007641215
07/18/1963,-0.001649153,-0.002936924,-0.005186335,-0.00671119,-0.004950537,-0.011348754,-0.002805851,-0.002839622,-0.005744566,-0.004126074
07/19/1963,-0.007221246,-0.002154794,-0.002535445,0.000139026,0.0002280619,-0.002208109,-0.004645156,-0.002827836,-0.002617102,0.0007960309
07/22/1963,-0.010226381,-0.006238533,-0.005732599,-0.006947321,-0.00789348,-0.005618414,-0.009470194,-0.007476837,-0.010538354,-0.001066201
07/23/1963,0.0044838317,-0.00184307,0.0011117029,0.0022321474,-0.000030714,0.0023875637,0.0046387833,-0.006567517,0.0019429363,-0.00113752
07/24/1963,0.0109580805,0.008093716,0.0111409885,0.0052634166,0.0059251598,0.00164245,0.0015237921,0.0039007892,0.0010755621,0.0050290517
07/25/1963,-0.004223608,0.0016933036,-0.000254527,-0.002849711,-0.001464548,0.002530091,0.0023702468,-0.002501917,0.0038507243,-0.005738803
07/26/1963,0.0001745212,0.0036176113,0.0077826459,0.00745011,0.002531989,0.0002101653,0.0017450504,0.0012480351,0.0035210495,0.0021639335
07/29/1963,0.001974371,0.0018996488,0.0014618497,0.0026841454,0.0041503941,-0.001091063,-0.000840682,-0.000167198,0.0039616035,0.0016786867
07/30/1963,0.0059570619,0.0013915892,0.0069484246,0.0139320946,0.0053537115,0.0122213,0.0075038321,0.0117583808,0.0049526065,0.0026614197
07/31/1963,0.0011378717,0.0015505359,0.0004304563,-0.005658291,-0.002962809,-0.000981623,-0.002228897,0.0023114137,-0.002695121,-0.011373474
08/01/1963,-0.005160908,0.0012784489,-0.002227277,-0.000670611,-0.001495016,0.00115392,-0.00035526,0.0010511066,-0.00216878,-0.003955162
08/02/1963,0.0049676015,0.0043811676,0.004573358,0.0011825005,0.0044923166,0.0043621107,0.0013572591,0.0011329324,0.0062563967,0.0041857367
08/05/1963,0.0061441172,0.0025261995,0.0057563391,0.0053631437,0.0051716686,0.007643438,0.0085828659,0.0104476933,0.0069728614,0.009640954
08/06/1963,0.0097355287,0.0014642094,0.0100589429,0.0062900889,0.0069548906,0.0064906979,0.0108627596,0.0092045669,0.0047132991,0.0142637605
