date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0053475937,,,,,,,,,
07/03/1963,0,,,,,,,,,
07/05/1963,0.0053191488,,,,,,,,,
07/08/1963,-0.01058201,,,,,,,,,
07/09/1963,0.0035650623,,,,,,,,,
07/10/1963,0,,,,,,,,,
07/11/1963,-0.003552398,,,,,,,,,
07/12/1963,-0.005347594,,,,,,,,,
07/15/1963,-0.008960574,,,,,,,,,
07/16/1963,0.0018083183,,,,,,,,,
07/17/1963,-0.001805054,,,,,,,,,
07/18/1963,-0.014466546,,,,,,,,,
07/19/1963,0.0018348624,,,,,,,,,
07/22/1963,-0.010989011,,,,,,,,,
07/23/1963,0.0037037036,,,,,,,,,
07/24/1963,0.0092250919,,,,,,,,,
07/25/1963,-0.005484461,,,,,,,,,
07/26/1963,0.0165441185,,,,,,,,,
07/29/1963,0.0054249549,,,,,,,,,
07/30/1963,0.0287769791,,,,,,,,,
07/31/1963,-0.003496503,,,,,,,,,
08/01/1963,-0.001754386,,,,,,,,,
08/02/1963,0.0035149385,,,,,,,,,
08/05/1963,0.0052539404,,,,,,,,,
08/06/1963,0,,,,,,,,,
08/07/1963,-0.010452962,,,,,,,,,
08/08/1963,0.0035211267,,,,,,,,,
08/09/1963,0.0087719299,,,,,,,,,
08/12/1963,0,,,,,,,,,
08/13/1963,0.0017513135,,,,,,,,,
08/14/1963,-0.001748252,,,,,,,,,
08/15/1963,0.0192644484,,,,,,,,,
08/16/1963,0.0034364262,,,,,,,,,
08/19/1963,-0.006849315,,,,,,,,,
08/20/1963,0,,,,,,,,,
08/21/1963,-0.010344828,,,,,,,,,
08/22/1963,0.0174216032,,,,,,,,,
08/23/1963,0.0188356172,,,,,,,,,
08/26/1963,0.005042017,,,,,,,,,
08/27/1963,-0.006688963,,,,,,,,,
08/28/1963,0.0101010101,,,,,,,,,
08/29/1963,-0.005,,,,,,,,,
08/30/1963,0.0117252935,,,,,,,,,
09/03/1963,0.0049668876,,,,,,,,,
09/04/1963,0.0032948928,,,,,,,,,
09/05/1963,0.0032840723,,,,,,,,,
09/06/1963,0.0032733225,,,,,,,,,
09/09/1963,-0.001631321,,,,,,,,,
09/10/1963,0.0261437912,,,,,,,,,
09/11/1963,0.0063694268,,,,,,,,,
09/12/1963,-0.007911392,,,,,,,,,
09/13/1963,-0.007974481,,,,,,,,,
09/16/1963,0.004823151,,,,,,,,,
09/17/1963,0.0031999999,,,,,,,,,
09/18/1963,-0.007974481,,,,,,,,,
09/19/1963,0.0080385851,,,,,,,,,
09/20/1963,0.0111642741,,,,,,,,,
09/23/1963,-0.009463723,,,,,,,,,
09/24/1963,0,,,,,,,,,
09/25/1963,0,,,,,,,,,
09/26/1963,-0.022292994,,,,,,,,,
09/27/1963,-0.001628664,,,,,,,,,
09/30/1963,-0.013050571,,,,,,,,,
10/01/1963,0.0181818176,,,,,,,,,
10/02/1963,0.012987013,,,,,,,,,
10/03/1963,0.008012821,,,,,,,,,
10/04/1963,-0.001589825,,,,,,,,,
10/07/1963,-0.003184713,,,,,,,,,
10/08/1963,0.0079872208,,,,,,,,,
10/09/1963,-0.004754358,,,,,,,,,
10/10/1963,0,,,,,,,,,
10/11/1963,-0.003184713,,,,,,,,,
10/14/1963,0,,,,,,,,,
10/15/1963,-0.001597444,,,,,,,,,
10/16/1963,0.0175999999,,,,,,,,,
10/17/1963,0,,,,,,,,,
10/18/1963,-0.001572327,,,,,,,,,
10/21/1963,-0.003149606,,,,,,,,,
10/22/1963,-0.001579779,,,,,,,,,
10/23/1963,-0.004746835,,,,,,,,,
10/24/1963,0.0158982519,,,,,,,,,
10/25/1963,0.0641627535,,,,,,,,,
10/28/1963,0.0338235311,,,,,,,,,
10/29/1963,0.0184921771,,,,,,,,,
10/30/1963,-0.023743017,,,,,,,,,
10/31/1963,0.0042918455,,,,,,,,,
11/01/1963,-0.00997151,,,,,,,,,
11/04/1963,-0.020143885,,,,,,,,,
11/06/1963,-0.010279002,,,,,,,,,
11/07/1963,0.0059347181,,,,,,,,,
11/08/1963,-0.005899705,,,,,,,,,
11/11/1963,-0.003039514,,,,,,,,,
11/12/1963,-0.006097561,,,,,,,,,
11/13/1963,-0.003067485,,,,,,,,,
11/14/1963,-0.018461538,,,,,,,,,
11/15/1963,-0.029780565,,,,,,,,,
11/18/1963,0.0048465268,,,,,,,,,
11/19/1963,0.0176848881,,,,,,,,,
11/20/1963,0,,,,,,,,,
11/21/1963,-0.02685624,,,,,,,,,
11/22/1963,-0.029220778,,,,,,,,,
11/26/1963,0.058528427,,,,,,,,,
11/27/1963,-0.004739337,,,,,,,,,
11/29/1963,0.0015873016,,,,,,,,,
12/02/1963,0.0063391444,,,,,,,,,
12/03/1963,-0.006299213,,,,,,,,,
12/04/1963,0.004754358,,,,,,,,,
12/05/1963,0,,,,,,,,,
12/06/1963,-0.017350158,,,,,,,,,
12/09/1963,0.0080256825,,,,,,,,,
12/10/1963,0.0079617836,,,,,,,,,
12/11/1963,-0.012638231,,,,,,,,,
12/12/1963,-0.0016,,,,,,,,,
12/13/1963,0,,,,,,,,,
12/16/1963,0.012820513,,,,,,,,,
12/17/1963,0.030063292,,,,,,,,,
12/18/1963,-0.026113672,,,,,,,,,
12/19/1963,-0.009463723,,,,,,,,,
12/20/1963,-0.015923567,,,,,,,,,
12/23/1963,-0.009708738,,,,,,,,,
12/24/1963,0.0294117648,,,,,,,,,
12/26/1963,0,,,,,,,,,
12/27/1963,-0.011111111,,,,,,,,,
12/30/1963,0.0096308189,,,,,,,,,
12/31/1963,0,,,,,,,,,
01/02/1964,0.0206677262,,,,,,,,,
01/03/1964,-0.004672897,,,,,,,,,
01/06/1964,-0.012519562,,,,,,,,,
01/07/1964,-0.009508716,,,,,,,,,
01/08/1964,0.0111999996,,,,,,,,,
01/09/1964,0.0126582282,,,,,,,,,
01/10/1964,-0.0109375,,,,,,,,,
01/13/1964,-0.011058452,,,,,,,,,
01/14/1964,0.0047923322,,,,,,,,,
01/15/1964,0.0015898251,,,,,,,,,
01/16/1964,-0.006349206,,,,,,,,,
01/17/1964,-0.003194888,,,,,,,,,
01/20/1964,-0.004807692,,,,,,,,,
01/21/1964,0,,,,,,,,,
01/22/1964,0.0048309178,,,,,,,,,
01/23/1964,-0.003205128,,,,,,,,,
01/24/1964,0.0144694531,,,,,,,,,
01/27/1964,0,,,,,,,,,
01/28/1964,0,,,,,,,,,
01/29/1964,-0.003169572,,,,,,,,,
01/30/1964,0.0047694752,,,,,,,,,
01/31/1964,0.0126582282,,,,,,,,,
02/03/1964,-0.0109375,,,,,,,,,
02/04/1964,0.0015797789,,,,,,,,,
02/05/1964,-0.001577287,,,,,,,,,
02/06/1964,0,,,,,,,,,
02/07/1964,-0.004423381,,,,,,,,,
02/10/1964,0,,,,,,,,,
02/11/1964,0,,,,,,,,,
02/12/1964,0.0031999999,,,,,,,,,
