date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0212577508,0.0087669812,0.0050150938,0.0055370323,0.0098429087,0.0107635836,0.0083425387,0.0068601521,0.0106403532,0.0065843914
07/03/1963,0.0095276587,0.0057903801,0.0058283414,0.0125936537,0.00866573,0.0067547882,0.0073206424,0.0064409648,0.0053684211,0.0009761486
07/05/1963,0.0078734404,0.003097059,0.0040083337,0.0109576078,0.0040201063,0.0039792361,0.0032747303,0.0025215699,0.003060512,0.0033393742
07/08/1963,-0.014580274,-0.004120431,-0.007531698,-0.010344764,-0.00194802,-0.006789514,-0.005795535,-0.00321514,-0.005551796,-0.01270296
07/09/1963,0.0091939886,0.0017846627,0.0041360189,0.0056808922,0.0025745088,0.0062671653,0.0025408789,0.0004780189,0.0055954341,0.0137120608
07/10/1963,-0.006586841,-0.002508372,-0.000147872,0.0004679987,-0.002791738,-0.002622204,-0.003055773,0.0000666183,-0.002710368,0.0027564221
07/11/1963,-0.003952722,-0.002658693,-0.001745298,-0.005570886,-0.002742958,-0.00018043,-0.000755252,-0.000812074,-0.002840115,-0.000553748
07/12/1963,-0.002359546,-0.001039828,-0.000124954,0.0000754175,-0.001948698,-0.003880502,-0.00216907,-0.001752609,5.0263043E-6,0.0086574087
07/15/1963,-0.004734163,-0.010023199,-0.007417936,-0.01026225,-0.006530423,-0.003560883,-0.007156587,-0.007356584,-0.008520773,-0.005273982
07/16/1963,0.0019669456,0.0015829686,-0.003657436,-0.001710933,0.0003743053,-0.000127318,0.0014689782,-0.000727234,-0.001052008,-0.000485276
07/17/1963,-0.004956261,-0.005898455,-0.004364934,0.0005763337,-0.00046354,-0.002167186,-0.003456503,-0.004402483,-0.001394117,-0.006051166
07/18/1963,-0.008569377,-0.001286431,-0.007618734,-0.007948933,-0.004211678,-0.005382699,-0.004171654,-0.004566325,-0.001709064,-0.009483273
07/19/1963,-0.00040881,-0.001129965,-0.003393216,0.0024868029,-0.004515556,-0.002971337,-0.000638586,-0.004263081,-0.006121093,-0.00547091
07/22/1963,-0.004593656,-0.008769851,-0.009325334,-0.005546826,-0.00735589,-0.005040086,-0.006497645,-0.007690693,-0.012169029,-0.009397446
07/23/1963,-0.001645013,-0.00338057,0.0004846066,-0.000409894,-0.003088882,0.0022821326,0.0044771444,-0.001970001,0.0014646854,0.0030015737
07/24/1963,0.0046650823,0.0078266292,0.0072472776,0.0076750558,0.0094516181,0.0059207745,0.0019398967,0.0027377403,0.0057783076,0.0038477026
07/25/1963,-0.000942999,-0.000068578,-0.003371126,0.0024850789,-0.004529528,0.0014013647,-0.001244316,0.0000821179,0.0015147743,-0.004734527
07/26/1963,0.0062996784,0.0021771429,0.0084541856,0.0017848352,0.0038850015,0.0043310004,0.0030536449,0.000474882,0.0013108519,0.0056631793
07/29/1963,0.0039503831,-0.001534984,0.0029294432,0.0030629888,0.0036924476,-0.000719327,-0.000077882,0.0038249563,0.0003956801,-0.004211233
07/30/1963,0.0187358824,0.0107979269,0.0146676735,0.0060445989,0.0088533589,0.0080823042,0.0062634444,0.0067060483,0.0081564436,0.0107723826
07/31/1963,-0.014150358,-0.004467331,0.0020713256,-0.001738897,0.0033813692,-0.002615034,-0.001098683,0.0008650702,-0.001116262,-0.006491983
08/01/1963,-0.00004234,0.001631258,0.0008093597,-0.00586896,-0.000772262,-0.000620259,0.0003836113,-0.000099546,-0.004047158,-0.001760965
08/02/1963,-0.001579918,0.003429365,0.0042263598,0.0058874501,0.0039503259,0.0046680861,0.0014965283,0.0016364018,-0.000494717,0.0077575557
08/05/1963,0.0101175372,0.0035386258,0.0055744133,0.0086552011,0.0084589031,0.0053548437,0.0032540809,0.0027107471,0.008315941,0.012501505
08/06/1963,0.0067406232,0.0036853706,0.0067669056,0.0035952897,0.0092948227,0.0060322926,0.0103394532,0.0033863312,0.011795446,0.0091902568
08/07/1963,-0.00860064,0.0015279891,-0.00548664,-0.001435474,-0.002721343,0.0005097357,-0.003606815,-0.001027665,0.002522923,-0.005992989
08/08/1963,0.004097346,0.0030223929,0.0026819728,0.0047282216,-0.002345633,0.0011008845,0.002496659,0.0008899845,-0.001743574,-0.000623424
08/09/1963,0.0110491233,0.0027759201,0.0064509865,0.010943349,0.0036175501,0.0038556942,0.0075018695,0.0038279105,0.0087515831,0.0067627949
08/12/1963,0.0064053029,0.0050393308,0.0023138741,-0.001464088,-0.001131013,-0.000065888,0.0021384956,0.0018706783,0.0085003731,0.0039540861
08/13/1963,0.0078343394,0.0005970173,0.0029196703,0.0029615656,0.0048240893,0.0014080684,0.0013656184,0.0078176289,0.0012395851,0.0005777604
08/14/1963,0.0029923458,0.0044273625,-0.000097327,0.0025515603,0.0018337246,0.0024885181,0.0109574046,0.0029579902,0.0032929714,0.0032580021
08/15/1963,-0.005018061,0.0082867348,0.0083832675,0.0023048842,0.0046623528,0.0045951323,0.0027965845,0.0059897921,0.007928194,0.0073509746
08/16/1963,-0.000239225,0.0031042419,0.0022760802,0.0041738965,-0.000659555,0.0016743502,-0.000849289,0.0066218813,0.0012890717,-0.001085252
08/19/1963,0.0015510314,-0.00008223,-0.004567847,0.0046959365,-0.000912279,-0.002215527,0.0012225887,-0.003299806,-0.002234226,-0.003732808
08/20/1963,-0.003465241,0.0000721464,0.0008062241,-0.000953864,-0.00295851,-0.000155493,-0.002060315,0.001998097,-0.000220168,0.0044261335
08/21/1963,0.0030043364,-0.000368057,-0.004571062,0.0006818918,0.0017089846,-0.001843951,-0.003915451,-0.000084002,0.001812697,0.001778809
08/22/1963,0.0114217858,0.0063519747,0.0097411711,0.000755381,0.0010795149,0.0017357845,-0.001297613,0.0020555995,0.0046126474,0.0092873482
08/23/1963,-0.003413515,0.0048163847,0.0067405712,0.0012937246,0.000711382,0.005482704,0.0041664326,0.0038617793,0.0058610887,0.0116458006
08/26/1963,0.0059025387,0.0041808491,0.0023809795,0.0038884018,-0.000589238,0.0006566229,0.0006028826,0.0007643808,0.001115212,0.005004294
08/27/1963,-0.012820316,-0.009501055,-0.004604043,-0.003209078,-0.002569189,-0.001281939,-0.004128605,-0.003237983,-0.004958116,-0.006577566
08/28/1963,0.005601157,0.0065602902,0.0097056204,0.008226174,0.0074776842,0.0058163621,0.0061697076,0.0083143967,0.0115837984,0.0206537403
08/29/1963,0.0022025476,0.0064244704,-0.000794217,0.001684774,0.0005062505,0.0062598707,0.0025721747,0.003167872,0.0032442149,-0.003614111
08/30/1963,0.0038764943,0.0053400933,0.0065603993,0.0008191787,0.0040223677,0.0050388062,0.0076839929,0.0081925974,0.0039039605,-0.002268682
09/03/1963,0.0044063632,0.0058664425,0.0035248257,-0.00062011,0.004305355,0.0038068054,0.000190232,0.0012402719,0.000546469,0.0032447556
09/04/1963,0.0015214239,-0.001975291,0.0016021382,-0.001886125,-0.002149113,-0.00216573,-0.001502609,0.0017931327,0.0030056761,0.0009599503
09/05/1963,0.006413538,0.0066737972,0.0043986209,0.0095116783,0.0061981621,0.0022081597,0.0043944718,0.0068058195,0.0046916867,0.0061018029
09/06/1963,0.0062712298,-0.003854299,0.0002881937,-0.004406397,-0.002798053,-0.002120503,-0.002090146,-0.00393497,-0.007382864,-0.004878145
09/09/1963,-0.00367929,-0.00128583,-0.001838799,-0.003068351,-0.005497676,-0.004688997,-0.002324475,-0.005998049,-0.003449104,-0.003512102
09/10/1963,0.0043050858,0.0070959666,0.0125514375,0.0023894435,0.0049621471,0.0021168356,0.0050484119,0.0055475892,0.0098220137,0.0053129865
09/11/1963,-0.000490973,0.0033005599,0.0042859204,-0.001897463,0.0052698674,0.0033771884,0.0057992995,-0.000252481,0.0083756702,0.0030052206
09/12/1963,-0.002315139,-0.000753019,-0.004352808,-0.002326952,0.0049853411,0.0026129857,-0.000699315,-0.000172945,-0.000973451,-0.007804416
09/13/1963,-0.001674939,0.003891631,-0.001877164,0.0006637675,0.0036231624,0.0005003442,0.0014021756,0.0012880593,0.0010135619,-0.00128398
09/16/1963,-0.003175668,-0.004038571,-0.000035926,0.0003939392,-0.00283246,-0.000158552,-0.002570709,0.002940296,-0.004813378,0.0033456902
09/17/1963,-0.001084512,0.0029071675,0.002453548,-0.003963828,0.0024912258,0.0020381335,0.000430458,0.0002139622,-0.001309413,0.0036146623
09/18/1963,-0.006461757,-0.002781973,-0.007898307,-0.004071754,-0.004592139,-0.002357179,-0.000895562,-0.001857238,-0.007536936,-0.007027248
09/19/1963,0.009613152,0.0051475271,0.005852213,0.004963557,0.0049076325,0.007566389,0.0047422835,0.0021056543,0.0106131851,0.010178024
09/20/1963,0.0043934731,-0.002770024,0.0049033351,-0.000482158,-0.004625348,0.0009508298,-0.000526524,0.0017886034,-0.000374899,-0.000691598
09/23/1963,-0.004585054,-0.00879896,-0.004638173,-0.005264837,-0.003877052,-0.005504166,-0.001824622,-0.006157282,-0.009288197,-0.007714271
09/24/1963,0.0079673583,-0.004435928,-0.000609682,-0.002042161,-0.000533591,0.0013290403,0.019404558,0.003767083,0.0072481414,0.0098571187
