date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0080667616,,,,,,,,,
07/03/1963,0.0063781276,,,,,,,,,
07/05/1963,0.0041359155,,,,,,,,,
07/08/1963,-0.006147382,,,,,,,,,
07/09/1963,0.0046270374,,,,,,,,,
07/10/1963,-0.001687776,,,,,,,,,
07/11/1963,-0.001516243,,,,,,,,,
07/12/1963,-0.001048804,,,,,,,,,
07/15/1963,-0.006116256,,,,,,,,,
07/16/1963,-0.000579024,,,,,,,,,
07/17/1963,-0.003162882,,,,,,,,,
07/18/1963,-0.005275128,,,,,,,,,
07/19/1963,-0.002131725,,,,,,,,,
07/22/1963,-0.006861365,,,,,,,,,
07/23/1963,0.0001879634,,,,,,,,,
07/24/1963,0.0047257766,,,,,,,,,
07/25/1963,-0.000284257,,,,,,,,,
07/26/1963,0.0036599146,,,,,,,,,
07/29/1963,0.0012189359,,,,,,,,,
07/30/1963,0.0085343016,,,,,,,,,
07/31/1963,-0.001201874,,,,,,,,,
08/01/1963,-0.000665105,,,,,,,,,
08/02/1963,0.0030309299,,,,,,,,,
08/05/1963,0.0058107841,,,,,,,,,
08/06/1963,0.0060714009,,,,,,,,,
08/07/1963,-0.00177122,,,,,,,,,
08/08/1963,0.0015375411,,,,,,,,,
08/09/1963,0.006109217,,,,,,,,,
08/12/1963,0.0025215093,,,,,,,,,
08/13/1963,0.0027830049,,,,,,,,,
08/14/1963,0.0031219534,,,,,,,,,
08/15/1963,0.0044188889,,,,,,,,,
08/16/1963,0.0016379451,,,,,,,,,
08/19/1963,-0.000385685,,,,,,,,,
08/20/1963,-0.000420392,,,,,,,,,
08/21/1963,-0.000954722,,,,,,,,,
08/22/1963,0.003971313,,,,,,,,,
08/23/1963,0.0034680722,,,,,,,,,
08/26/1963,0.0019214568,,,,,,,,,
08/27/1963,-0.004279035,,,,,,,,,
08/28/1963,0.007799437,,,,,,,,,
08/29/1963,0.0018956933,,,,,,,,,
08/30/1963,0.0045087487,,,,,,,,,
09/03/1963,0.0024151607,,,,,,,,,
09/04/1963,0.0000623793,,,,,,,,,
09/05/1963,0.0049313378,,,,,,,,,
09/06/1963,-0.00257214,,,,,,,,,
09/09/1963,-0.003474945,,,,,,,,,
09/10/1963,0.005294506,,,,,,,,,
09/11/1963,0.0025522854,,,,,,,,,
09/12/1963,-0.000766514,,,,,,,,,
09/13/1963,0.0003871796,,,,,,,,,
09/16/1963,-0.001438889,,,,,,,,,
09/17/1963,0.0004686877,,,,,,,,,
09/18/1963,-0.004140233,,,,,,,,,
09/19/1963,0.0053749385,,,,,,,,,
09/20/1963,0.00053312,,,,,,,,,
09/23/1963,-0.004834894,,,,,,,,,
09/24/1963,0.0036238126,,,,,,,,,
09/25/1963,-0.005634628,,,,,,,,,
09/26/1963,-0.008010425,,,,,,,,,
09/27/1963,-0.001700714,,,,,,,,,
09/30/1963,-0.005889211,,,,,,,,,
10/01/1963,0.0066098029,,,,,,,,,
10/02/1963,0.0011572693,,,,,,,,,
10/03/1963,0.006782345,,,,,,,,,
10/04/1963,0.0001702533,,,,,,,,,
10/07/1963,-0.00215181,,,,,,,,,
10/08/1963,-0.001245098,,,,,,,,,
10/09/1963,-0.005951535,,,,,,,,,
10/10/1963,0.00095865,,,,,,,,,
10/11/1963,0.0014633477,,,,,,,,,
10/14/1963,0.0006246267,,,,,,,,,
10/15/1963,0.0017899287,,,,,,,,,
10/16/1963,0.0090107078,,,,,,,,,
10/17/1963,0.0015363581,,,,,,,,,
10/18/1963,0.0009926415,,,,,,,,,
10/21/1963,0.0004579232,,,,,,,,,
10/22/1963,-0.005304815,,,,,,,,,
10/23/1963,0.0004607857,,,,,,,,,
10/24/1963,0.003607384,,,,,,,,,
10/25/1963,0.0085996129,,,,,,,,,
10/28/1963,0.0042613895,,,,,,,,,
10/29/1963,-0.000256466,,,,,,,,,
10/30/1963,-0.007789811,,,,,,,,,
10/31/1963,0.0022743651,,,,,,,,,
11/01/1963,-0.001630946,,,,,,,,,
11/04/1963,-0.004129415,,,,,,,,,
11/06/1963,-0.007520594,,,,,,,,,
11/07/1963,0.0034168238,,,,,,,,,
11/08/1963,0.0055702894,,,,,,,,,
11/11/1963,0.0021028465,,,,,,,,,
11/12/1963,-0.003545212,,,,,,,,,
11/13/1963,0.0006888294,,,,,,,,,
11/14/1963,-0.003936356,,,,,,,,,
11/15/1963,-0.007384684,,,,,,,,,
11/18/1963,-0.007227591,,,,,,,,,
11/19/1963,0.0011548574,,,,,,,,,
11/20/1963,0.0077455888,,,,,,,,,
11/21/1963,-0.012335441,,,,,,,,,
11/22/1963,-0.028776719,,,,,,,,,
11/26/1963,0.0395479701,,,,,,,,,
11/27/1963,-0.001491191,,,,,,,,,
11/29/1963,0.0135509014,,,,,,,,,
12/02/1963,0.0054697162,,,,,,,,,
12/03/1963,-0.000404283,,,,,,,,,
12/04/1963,0.0026562972,,,,,,,,,
12/05/1963,0.0057965709,,,,,,,,,
12/06/1963,-0.003028558,,,,,,,,,
12/09/1963,-0.000925271,,,,,,,,,
12/10/1963,0.0007763166,,,,,,,,,
12/11/1963,-0.00123701,,,,,,,,,
12/12/1963,-0.000186519,,,,,,,,,
12/13/1963,0.0017073907,,,,,,,,,
12/16/1963,0.0026253599,,,,,,,,,
12/17/1963,0.0045433311,,,,,,,,,
12/18/1963,-0.001704263,,,,,,,,,
12/19/1963,-0.003191245,,,,,,,,,
12/20/1963,-0.001850179,,,,,,,,,
12/23/1963,-0.005875127,,,,,,,,,
12/24/1963,0.0024303426,,,,,,,,,
12/26/1963,0.0048665176,,,,,,,,,
12/27/1963,0.0017734335,,,,,,,,,
12/30/1963,0.0011489295,,,,,,,,,
12/31/1963,0.0057046901,,,,,,,,,
01/02/1964,0.006094019,,,,,,,,,
01/03/1964,0.0017964532,,,,,,,,,
01/06/1964,0.0023867849,,,,,,,,,
01/07/1964,0.0005494215,,,,,,,,,
01/08/1964,0.0035451186,,,,,,,,,
01/09/1964,0.0030887849,,,,,,,,,
01/10/1964,-0.000304237,,,,,,,,,
01/13/1964,-0.00081622,,,,,,,,,
01/14/1964,0.0015860706,,,,,,,,,
01/15/1964,0.0025794237,,,,,,,,,
01/16/1964,-0.00082731,,,,,,,,,
01/17/1964,-0.000057995,,,,,,,,,
01/20/1964,-0.002000148,,,,,,,,,
01/21/1964,0.0027071832,,,,,,,,,
01/22/1964,0.004894389,,,,,,,,,
