date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,-0.003119042,-0.001796156,-0.003394435,-0.000906335,-0.001890957,-0.000606524,-0.001475721,0.0014487297,-0.000864462,-0.000373969
08/02/1963,0.0033162856,0.0028575889,-0.000867738,0.0026644642,0.0022802753,0.0040191092,0.0044664485,0.0035980201,0.0039383899,0.0025792028
08/05/1963,0.0016435021,0.0052550872,0.0074710678,0.0086599632,0.0077294129,0.005191682,0.006636711,0.0054160121,0.0048106324,0.005856057
08/06/1963,0.0026249191,0.0029097106,0.0043485198,0.0075723279,0.003297913,0.0059316549,0.0057124394,0.0053282803,0.0057840396,0.0068238313
08/07/1963,-0.004008088,-0.004468155,-0.002598928,0.0011370904,-0.003082685,-0.000116672,0.0019463456,-0.0000355,0.0007622804,-0.00346242
08/08/1963,0.0025819695,0.0018518434,-0.000137505,0.0015494529,0.001404665,0.0011040326,-0.000804695,0.0000900099,0.0001021975,0.0026867422
08/09/1963,0.0116480935,0.0115335026,0.0064247807,0.0062712739,0.0053415971,0.0060245031,0.0041650854,0.0067382529,0.0074179491,0.0055686792
08/12/1963,0.0012729656,0.0094306425,0.0135813103,0.0057043329,0.0052285504,0.0015436485,0.0037467264,0.0067457606,0.001886315,0.0006992623
08/13/1963,-3.168169E-6,-0.002287064,-0.002733217,0.0035678835,-0.002367184,0.0029404734,0.0041490463,0.0024289073,0.002255352,0.0038044165
08/14/1963,0.0026214701,0.0000203588,-0.000114542,0.0025977809,0.0022285507,0.001017403,0.0032171882,0.0009342571,0.0040984971,0.0039393349
08/15/1963,0.0017799089,0.0018291333,0.0020397577,0.0031783607,0.0036816691,0.0075091424,0.0045443136,0.0026500179,0.0078677602,0.0037695638
08/16/1963,0.0044275892,0.0028520626,0.0031555293,0.0007532926,0.0051016981,-0.000366467,0.0017162272,0.0033356162,0.0016136254,0.0011673065
08/19/1963,-0.003545301,0.0029645256,0.00154937,-0.000990405,0.0003359508,0.0012584171,0.0005920442,0.00029265,0.0002697001,-0.001185406
08/20/1963,0.0012790258,-0.001809954,0.0001137571,0.0015041337,0.0006938816,0.0029005195,0.0031948047,0.0000941948,-0.001841786,-0.001499134
08/21/1963,0.0006567048,0.002329783,0.0039119715,-0.001249352,0.0030049248,-0.000084794,0.0003148894,0.0014683985,-0.001845931,-0.002311618
08/22/1963,0.0070454519,0.0125810711,0.0124550851,0.0048676076,0.0080776901,0.0039026567,0.0017745385,0.0023550393,0.0039002545,0.0033193963
08/23/1963,0.0020848382,0.005157723,0.0068266637,0.0042697277,0.0017224574,0.0040932126,0.0028156367,0.0047934744,0.0020478553,0.0035669445
08/26/1963,-0.000444411,-0.003890012,0.0079325556,0.0030448406,0.0042084347,0.0012345801,0.0020707202,0.0031887005,0.0042081418,0.0009584929
08/27/1963,-0.005368793,-0.006376419,-0.010336381,-0.006215145,-0.00592882,-0.003653427,-0.001302502,-0.001809665,-0.00562991,-0.004165475
08/28/1963,0.0139405367,0.0156099575,0.0148556158,0.0077388984,0.0073637199,0.0105874591,0.0052441527,0.0066576399,0.0102775483,0.0063413088
08/29/1963,0.0044213788,0.0038899444,0.0051536077,0.0022235589,0.0027785772,0.0018551943,0.0079751891,0.0008104616,0.0047175241,-0.000107328
08/30/1963,0.0118454164,0.0106542345,0.0100364977,0.0028219239,0.0031451066,0.0022842574,0.0048787223,0.00423063,0.0049380898,0.0041749747
09/03/1963,0.0028802789,0.0068304475,0.0060474997,-0.001804895,0.0022593868,0.0049645893,0.0012580985,0.0013580113,0.0032895172,0.0022700522
09/04/1963,0.0016240668,0.0006290706,-0.003493611,-0.000932425,-0.002616977,-0.002712504,0.0042343307,0.0022662487,-0.000793838,-0.000113479
09/05/1963,0.0073818513,0.0121291834,0.0043866654,0.0102992645,0.0018350802,0.0029046874,0.0012483127,0.0048002723,0.0055306231,0.0051317058
09/06/1963,-0.009312793,-0.00772892,-0.006962754,-0.008558535,-0.007487267,-0.005407488,-0.001466479,-0.002705475,-0.00201506,-0.000683081
09/09/1963,-0.005208798,-0.008744885,-0.001306099,-0.005712714,-0.007077839,-0.005970368,-0.004086207,-0.003787906,-0.001314479,-0.002712703
09/10/1963,0.0104273083,0.009010197,0.0059547378,0.0036514185,0.0036315039,0.008176291,0.0054225272,0.0051513037,0.0070769739,0.0044340238
09/11/1963,-0.000716739,-0.001235806,-0.001011372,0.0029376116,0.0096565112,0.0034512812,0.0032657849,0.0014396679,0.0010319505,0.0026458221
09/12/1963,-0.00311286,-0.008750067,-0.001796554,0.0048420464,-0.001055919,0.00289462,-0.002264885,-0.00127449,0.0002986952,-0.00084026
09/13/1963,0.0093023535,0.0042632487,0.0048277626,0.0013776374,0.000748335,0.0034124164,0.0022738614,-0.000584437,-0.000555497,-0.000857516
09/16/1963,-0.00197528,0.0015632157,-0.001269908,-0.00226595,-0.002914276,-0.001163717,-0.00356315,-0.001474356,-0.003569522,-0.000431781
09/17/1963,-0.004025838,-0.00183904,0.0005720014,-0.000985564,0.0010659478,0.0011764952,-0.001306736,-0.000110144,-0.000530447,0.0014684566
09/18/1963,-0.005907811,-0.000469086,-0.004165031,-0.005159516,-0.005785088,-0.003410314,-0.005648218,-0.002895276,-0.004734214,-0.00390756
09/19/1963,0.0042125048,0.0137611026,0.0053727491,0.0032905808,0.0040584735,0.00482539,0.004528064,0.0057558259,0.0046649687,0.0056207733
09/20/1963,0.0011534711,0.0036365741,0.0022363957,0.0008537479,-0.002937472,-0.001563114,0.002139546,0.0016398317,-0.000831767,0.0006671276
09/23/1963,-0.007917604,-0.008175132,-0.004008487,-0.008638684,-0.004902111,-0.007166971,-0.005241988,-0.005236567,-0.008911312,-0.00275567
09/24/1963,-0.002389659,0.0064795134,-0.001472358,0.0025488148,0.0016553465,0.0013097392,-0.001920109,-0.001074616,0.0019848052,0.0070567727
09/25/1963,-0.010918301,-0.01558312,-0.01663599,-0.007065419,-0.004982701,-0.00670896,-0.007062266,-0.007545371,-0.00811496,-0.002836163
09/26/1963,-0.011098241,-0.014722588,-0.009874916,-0.011208712,-0.006748906,-0.006218053,-0.006856401,-0.006385351,-0.006220557,-0.008478358
09/27/1963,0.0047053337,0.0055356208,0.0011557233,0.0010968331,-0.002725895,-0.003513342,-0.000476836,-0.003214177,0.0001241439,-0.002757074
09/30/1963,-0.00291372,-0.001295675,-0.003393208,-0.00712146,-0.004020654,-0.006173719,-0.002546004,-0.003456685,-0.006548077,-0.007465944
10/01/1963,0.004484572,0.0096330188,0.0070057685,0.0078885697,0.000769474,0.0045709998,0.004060342,0.0062362904,0.0053924721,0.0084141901
10/02/1963,-0.005160557,-0.008407497,0.0016418151,-0.000858598,0.0012980781,0.0025015196,0.0012663997,0.0019827205,0.0013677021,0.0017069501
10/03/1963,0.0121435633,0.0176196577,0.0143143277,0.0048797469,0.0090072059,0.0088972671,0.0075326055,0.0062061937,0.0065868431,0.0052222626
10/04/1963,-0.001033626,-0.001123137,0.0002099776,-0.001694047,0.0035225134,0.0002781103,0.0008979792,-0.000437027,-0.004096875,0.0015828755
10/07/1963,-0.000969441,-0.005783362,-0.001982634,-0.002235439,-0.006531198,-0.002038719,-0.002428061,-0.000816846,-0.001937196,-0.001760687
10/08/1963,0.000314881,-0.001558443,0.0076911065,0.0049764944,-0.0061617,-0.000286681,0.0005631669,-0.0016143,0.0001016734,-0.002615844
10/09/1963,-0.012439477,-0.011307451,-0.007520938,-0.008598034,-0.010435722,-0.005863079,-0.005872502,-0.005134111,-0.006387982,-0.004483717
10/10/1963,0.0033505174,0.0020160274,0.0015288305,0.0045175765,0.0020123175,-0.00014115,-0.000483421,0.0015483604,0.0025123273,-0.000010346
10/11/1963,0.009158609,0.0033392716,0.0040265268,0.0053708566,0.0060563339,0.002978162,0.0030911604,-0.000227489,-0.000627461,0.0004815823
10/14/1963,0.0032262581,0.0064840126,-0.003952578,0.0051477427,0.0001519171,0.0002272238,-0.000673433,0.0004153278,-0.001544131,0.001237449
10/15/1963,0.0054422096,0.0038600806,0.0000696233,0.003357038,0.0014852334,-0.000708396,0.00008398,0.0039213478,0.0009809881,0.0018912604
10/16/1963,0.0103691493,0.0101375826,0.012843327,0.0108799888,0.0069265956,0.0080358876,0.0081791339,0.0072783954,0.0068814954,0.0101453709
10/17/1963,0.0007753632,0.0032879167,0.003411246,0.0014646766,0.0052280232,0.0041806426,0.0034485743,0.0007090007,0.0017921619,0.0004488719
10/18/1963,0.0044375056,0.0075249319,0.0018711805,0.0040100756,0.0020658749,0.0034618678,-0.00035493,0.0027262033,-0.00018798,0.0001071433
10/21/1963,-0.002969063,-0.001879693,-0.000883512,0.0009419352,0.0003557151,0.0002557647,0.001591985,0.0004165257,-0.001355902,0.0013942012
10/22/1963,-0.002941371,0.0005635635,-0.007929007,-0.005377908,-0.002173346,-0.003359734,-0.003535783,-0.005562952,-0.007415105,-0.005662988
10/23/1963,0.0003743842,-0.00109655,-0.000174104,0.0000824112,0.0032583782,-0.001559928,0.0015348201,0.006177051,0.0009689573,-0.001021115
10/24/1963,0.0048322704,0.0040706048,0.0204228115,0.0005082125,0.0045050027,0.0058096363,0.0081801005,0.0034042214,0.0003449351,0.0028316425
10/25/1963,0.0012861447,0.0055962763,-0.002188386,0.001652728,0.0016020624,0.0002768547,0.0072219178,-0.000453752,0.0007303622,0.0172036059
10/28/1963,-0.008921479,0.0025278369,-0.010416838,-0.000886595,-0.004356455,-0.002098385,0.0043625577,-0.003508713,0.0015890142,0.0106856931
10/29/1963,-0.007068055,0.0027307726,-0.009195709,-0.005032139,0.0005743302,-0.002665284,0.0011850393,0.0011753648,0.0013954278,0.0000325616
10/30/1963,-0.006442656,-0.008367181,-0.004873591,-0.005320524,-0.003000992,-0.00626391,-0.007515562,-0.00514471,-0.006184291,-0.010043607
10/31/1963,0.003135941,0.0054184556,0.0042103631,-0.000830799,-0.002680559,0.0018771549,-0.001608288,-0.000663856,0.0000142852,0.0048746154
11/01/1963,0.001651999,0.004786756,-0.001409015,-0.004289283,-0.001165077,0.0011103336,-0.001027367,0.0002931669,-0.003241308,-0.002272105
11/04/1963,-0.009321338,-0.008410549,-0.010083094,-0.006795211,-0.008878503,-0.005705846,-0.005271352,-0.002682854,-0.007703173,0.0004818356
11/06/1963,-0.007273213,-0.006421589,-0.007919171,-0.00607055,-0.007303627,-0.005455986,-0.005648662,-0.007602303,-0.008708194,-0.007612655
11/07/1963,0.0032709375,0.0119407298,0.0101141907,0.0038454869,0.0032140365,0.0031198008,0.0033390596,0.0022180452,0.0032467397,0.0028768064
11/08/1963,0.0072268193,0.0215098539,0.0095855716,0.0138562212,0.012548066,0.0057566811,0.0064341737,0.0041112781,0.0001551455,0.0062196936
11/11/1963,0.004899224,0.0080337884,0.0125276288,0.0041636715,0.0085601435,0.0015983298,0.0019147914,0.0016656748,0.0017889042,0.0000332882
11/12/1963,-0.007767009,-0.006569786,-0.006338102,-0.007260755,-0.000844624,-0.004126847,-0.002277841,-0.001180961,-0.003722662,-0.003501464
11/13/1963,-0.001222109,0.0061965091,0.001712894,-0.000539313,0.0042732922,-0.001244762,-0.001887994,-0.001096224,0.0005833067,0.0014955403
11/14/1963,-0.000786382,-0.001688489,-0.012729742,-0.004045,0.0011297672,-0.004422146,-0.000435644,0.0002692926,-0.006970509,-0.004093562
11/15/1963,-0.006340267,-0.009113545,-0.006582622,-0.00676601,-0.00938508,-0.003402793,-0.005129613,-0.004601462,-0.011677681,-0.006394152
11/18/1963,-0.010345607,-0.01306402,-0.007203769,-0.009075688,-0.009204437,-0.007596583,-0.006288851,-0.007186097,-0.004306734,-0.008082697
11/19/1963,0.001628843,-0.008256215,-0.003120794,0.0011474452,-0.001152463,0.0026444683,0.0000543543,-0.001223641,0.003896825,0.001268168
11/20/1963,-0.005983295,-0.003155231,0.0002158557,-0.00340747,0.0013923137,0.0011951697,0.0011641924,0.0050730048,0.0003375245,0.0206889514
11/21/1963,-0.027339476,-0.032961031,-0.022803957,-0.015514228,-0.018895015,-0.009089286,-0.011321003,-0.011113394,-0.011599469,-0.009406505
11/22/1963,-0.060645855,-0.04755606,-0.045732453,-0.032545145,-0.046915448,-0.026372499,-0.022730061,-0.030247737,-0.02089101,-0.027027271
