date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0094354736,0.0086471534,0.008217444,0.008766731,0.0039207323,0.0056313716,0.0043766704,0.0085575786,0.0141601619,0.0073315103
07/03/1963,0.0085687715,0.0043027321,0.0083346082,0.0061734681,0.0061259951,0.0048932551,0.001919682,0.0031372153,0.0052871943,0.0080404446
07/05/1963,0.0040303821,0.0081168933,0.0026675932,0.006100911,0.0045998025,0.00199366,0.0030856228,0.0005501246,0.0045300914,0.0010255114
07/08/1963,-0.007699922,-0.009180621,-0.004970312,-0.002695461,-0.002160529,-0.003081042,-0.003219856,-0.0073218,-0.0094892,-0.006095479
07/09/1963,0.0047256861,0.0034633527,0.0058420909,0.0024901138,0.0045594001,0.0024784576,0.0051253286,0.0053916402,0.0024842228,0.0080609053
07/10/1963,-0.002895766,0.0002742983,-0.001196595,-0.003044223,-0.003057482,0.0001380468,-0.002912006,-0.003988982,-0.006669671,0.0001466543
07/11/1963,-0.003126083,-0.001120163,-0.001082581,0.0013138832,0.0006349101,-0.00188794,-0.00019627,-0.000372994,-0.006373317,-0.003521378
07/12/1963,-0.001771394,0.0001914024,-0.003355012,0.0044955646,-0.001509374,0.0004108895,0.0004699133,-0.001467807,-0.005468173,-0.001044946
07/15/1963,-0.003917735,-0.00781662,-0.007478063,-0.007619291,-0.004886979,-0.006806787,-0.003376344,-0.007984448,-0.006410488,-0.004436016
07/16/1963,-0.000392723,-0.001587867,0.0004469271,0.0021775281,-0.001910165,-0.003775882,-0.003166708,0.0004813341,0.001412118,0.0018938759
07/17/1963,-0.002941539,-0.003923355,-0.001467733,-0.004201231,-0.00131157,-0.005349789,-0.000897511,-0.002650163,-0.005340235,-0.001456491
07/18/1963,-0.006798291,-0.008901352,-0.002136373,-0.003982714,-0.002253294,-0.000729232,-0.005502262,-0.00769998,-0.005753117,-0.008483627
07/19/1963,-0.001642352,-0.000494427,-0.002130143,-0.001243535,-0.005106964,-0.00515916,0.0013829526,-0.00183274,-0.000729256,-0.006925782
07/22/1963,-0.005151784,-0.00814437,-0.006929878,-0.006375529,-0.007145169,-0.005625492,-0.007172045,-0.009924722,-0.007814531,-0.008507326
07/23/1963,-0.002661639,0.0017761758,0.0042055228,0.0009001274,0.0007275711,-0.001292861,-0.000400271,0.0032725084,0.0023976559,-0.009281268
07/24/1963,0.0045756075,0.0070024329,0.0031360685,0.0062384603,0.0026545115,0.0110254977,0.0017326409,0.0032318433,0.0057561208,0.0036605383
07/25/1963,-0.001668913,-0.001146987,-0.001949601,0.004730288,0.0026679291,0.0005044234,0.0016034513,0.0024069011,-0.002109128,-0.000052919
07/26/1963,0.0025749728,0.0068031921,0.0041537217,0.0020970766,0.0017551444,0.0000316256,0.0031091098,0.0047924141,0.0069175983,0.007391297
07/29/1963,0.0015531063,0.0030845425,-0.001187276,0.001512163,0.0023279892,0.0015786839,0.0009393048,0.0024942712,0.0006837206,0.0050488571
07/30/1963,0.0111304427,0.0151483473,0.0052093056,0.0057727083,0.0066590949,0.0055707515,0.0075378118,0.0107483324,0.0039660945,0.0059390437
07/31/1963,-0.002271367,-0.001473112,-0.001820227,-0.00031695,0.0003638437,0.0037492872,-0.000617541,-0.000912754,-0.005871,0.0016529391
08/01/1963,0.0002045911,-0.001974366,0.0011605288,0.0002292742,-0.004805151,-0.002073768,-0.002654041,-0.00089302,-0.004170714,0.0043746145
08/02/1963,0.0024599184,0.0042145286,0.0028789257,0.0037117723,0.0031020009,0.0037269864,0.0032858678,0.0019939998,0.0021657191,0.0059673753
08/05/1963,0.00702838,0.0088096717,0.0017280521,0.0062686722,0.0046733165,0.0026343324,0.0051066839,0.0080883062,0.0063778527,0.0040976086
08/06/1963,0.0077647585,0.0041498167,0.0085298698,0.0049783578,0.0058562105,0.0062997271,0.0027346922,0.0069480511,0.007163258,0.0087024326
08/07/1963,-0.002791909,-0.004736367,-0.002075021,-0.000746422,0.0026722852,0.0020806198,-0.000519227,-0.002115168,-0.00521231,-0.000835037
08/08/1963,0.0032949049,0.0022710662,0.0022013078,0.0028950537,-0.002141614,0.0000519023,0.0018205578,-0.002179618,-0.001129745,0.0017501393
08/09/1963,0.0077123846,0.0083892607,0.0046830513,0.0068457655,0.0021129005,0.0010697074,0.0049831356,0.0078933954,0.008044076,0.0052065339
08/12/1963,0.0030185014,-0.001148385,0.0015538108,0.004388736,0.0017347808,-0.000701087,0.0045947716,0.0084267251,0.006054098,0.0040037622
08/13/1963,0.0058365802,0.000832749,0.0003657757,0.0022182395,0.0026134228,0.0065657562,0.0046066476,0.0019065666,0.0006916003,0.0033525448
08/14/1963,0.0077897033,-0.001177414,0.0040969168,0.0018678194,0.0027577493,0.002136526,0.0051734689,0.0074506715,-0.000805039,0.0027687823
08/15/1963,0.0001994737,0.008172677,0.0064329804,0.0014977344,0.0037868389,0.0065790447,0.0061474523,0.0070436041,0.0053730583,0.0056775933
08/16/1963,0.0004100094,0.0024551512,0.0008761004,0.002634564,0.0028195228,0.0031692409,0.0004465245,3.1432674E-6,0.0056842095,-0.000651785
08/19/1963,0.0008935089,-0.001468372,-0.000017643,-0.001328494,0.0021689548,-0.000496057,0.0011931823,-0.003738751,-0.0003941,-0.003968069
08/20/1963,-0.001157114,0.0021435024,-0.001402154,-0.001504169,0.0018732285,0.0011581013,-0.000824188,-0.004499349,-0.001168761,-0.001100879
08/21/1963,0.002033736,-0.003797709,-0.003643834,-0.000943241,-0.001123416,0.0003314082,-0.002135544,-0.001056022,0.0002868213,0.0028773996
08/22/1963,0.0028802649,0.0073751408,-0.000188788,0.0022651398,0.0043776406,0.0053823486,0.007974132,0.0089811597,0.0038600073,0.0019129715
08/23/1963,-0.000584301,0.0087395923,0.0034489764,0.0024910419,0.003044969,0.0043302862,0.0031655178,0.004398231,0.0110703134,0.0043064756
08/26/1963,0.0013834519,0.0010744738,0.0017799548,0.0037730372,0.0008168239,0.000373793,0.0044919737,0.0044865814,0.004364051,-0.000678477
08/27/1963,-0.007413543,-0.001974061,-0.003594452,-0.003178692,-0.003532986,-0.002095426,-0.002258806,-0.006202766,-0.007779001,-0.005835735
08/28/1963,0.0069430606,0.0095120191,0.007772142,0.0038004075,0.0022436784,0.0055720329,0.0054990285,0.010832449,0.0122376616,0.0107786892
08/29/1963,0.0034181358,0.0006477964,0.0015902062,-0.001249501,0.004767553,0.0026156714,0.002715919,0.0021793226,0.0033182596,0.003099947
08/30/1963,0.0045211029,0.0040024852,0.0067616371,0.0018203333,0.0043339338,0.0038606247,0.0019604425,0.0034479064,0.0038189379,0.0073857363
09/03/1963,0.0025456919,0.0035721112,0.0009813349,0.0032116267,0.0035631575,-0.001218363,0.0008025704,0.0053770603,0.0015780838,0.0036530455
09/04/1963,-0.000312471,0.0010180035,-0.003262748,-0.00089884,0.0026609985,0.0025133828,0.0007176882,0.0020461564,-0.000393363,-0.004443385
09/05/1963,0.0075854492,0.0042675729,0.0037290846,0.0057620582,0.0025129338,0.0015658237,0.0026563392,0.006982485,0.010570233,0.0034410455
09/06/1963,-0.000264893,-0.002710507,-0.001242851,-0.004237201,-0.004078809,-0.007163428,-0.005158769,-0.000388721,0.0020056207,-0.006593971
09/09/1963,-0.003643112,-0.004654741,-0.002574273,-0.001410298,-0.00481766,-0.00230636,-0.002546681,-0.002104747,-0.000426415,-0.00493937
09/10/1963,0.0047953827,0.0080309879,0.0051347225,0.0049708126,0.0041474692,-0.000560962,0.0056504772,0.0043828342,0.0150690713,0.0045379636
09/11/1963,0.0040488995,0.0048617019,0.0026817276,0.0006690322,0.0060289798,-0.000497049,-0.001009718,0.0003846286,-0.001830071,-0.002032308
09/12/1963,0.0019689599,-0.006156839,-0.000023507,0.0023851488,0.0008931474,0.0011330017,-0.001244941,-0.003893261,-0.005501383,-0.004191319
09/13/1963,0.0018943144,-0.001643988,0.0009214729,-0.001941505,-0.00006099,0.0016538109,0.0011209241,-0.001637891,-0.002713509,-0.001496003
09/16/1963,-0.003753823,0.0012156132,-0.001561404,0.0001073235,-0.003530212,0.0001470655,0.0000249035,-0.000545414,-0.005323804,-0.001995666
09/17/1963,-0.000144308,0.0006855129,0.0019641392,-0.000232731,-0.00021203,0.0004887281,0.0002026265,0.0014981814,0.001947326,-0.002752366
09/18/1963,-0.006710818,-0.004994246,-0.00107377,-0.002683238,-0.005113572,-0.002038089,-0.003281049,-0.004881051,-0.002942436,-0.010278354
09/19/1963,0.0083719977,0.0043351708,0.0036040251,0.0057537958,0.0051173058,0.0017762905,0.0045050785,0.0101431004,0.0124313474,0.0034260757
09/20/1963,0.0017173102,0.0019142977,-0.000281675,0.0005724824,-0.00095274,-0.004876201,-0.000908733,-0.000375191,0.0008563142,-0.0000836
09/23/1963,-0.003004248,-0.006391281,-0.002864486,-0.003232555,-0.006567829,-0.004311693,-0.004719143,-0.008893806,-0.008203053,-0.007356037
