date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0061781096,0.0115569438,0.0077052677,0.0043971958,0.0062149189,0.0064174879,0.0069023205,0.0101408836,0.010656414,0.010397009
07/03/1963,0.0063798821,0.0070587672,0.00508721,0.0075564961,0.0019254643,0.0062377227,0.0087782824,0.0082377499,0.0056880149,0.0109205825
07/05/1963,0.0032005482,0.0041318639,0.0048737877,0.0071682392,0.0042036581,0.0039173723,0.0040262517,0.0014494792,0.0027721841,0.0083136413
07/08/1963,-0.003937639,-0.008622678,-0.004012857,-0.007679489,-0.006321564,-0.006533935,-0.00405924,-0.005927619,-0.010073093,-0.005362669
07/09/1963,0.0014683471,0.0036681827,0.0061753448,0.0027162453,0.0022496994,0.0056663735,0.0024192896,0.0079120162,0.0068550666,0.0081008642
07/10/1963,-0.002559201,-0.004142813,0.0002759449,-0.001791421,-0.000952599,-0.002197201,-0.000306424,-0.003602385,0.0020152363,-0.003902501
07/11/1963,-0.000634716,-0.001824417,-0.001791289,-0.001118424,-0.001462995,-0.003969507,-0.000532031,-0.001745856,-0.002142751,-0.007833939
07/12/1963,-0.003092473,-0.002011024,-0.003101494,-0.000134613,-0.002927981,0.0005941571,0.0025145048,-0.00451187,-0.000122444,0.0060201566
07/15/1963,-0.004640452,-0.004762214,-0.006578066,-0.006531166,-0.006030618,-0.006423423,-0.007885471,-0.005285005,-0.008279186,-0.008412216
07/16/1963,-0.002405914,0.0020014419,-0.002059064,-0.002620316,0.0014583389,-0.000454732,-0.004109755,0.0014085209,-0.004723269,0.0015213569
07/17/1963,-0.006221946,-0.003552479,-0.001326721,-0.002692313,-0.002465249,-0.00154521,-0.004777499,-0.000807529,-0.002842017,-0.005836248
07/18/1963,-0.008111298,-0.003352746,-0.004435175,-0.006470293,-0.008746885,-0.004299514,-0.006094622,-0.003288782,-0.001556087,-0.005999386
07/19/1963,-0.000352511,-0.001042125,0.0001586061,0.0010517092,0.0008109707,-0.001421831,-0.005164226,-0.003799306,-0.009674989,-0.005883049
07/22/1963,-0.004145148,-0.006054085,-0.00619669,-0.004624411,-0.007645616,-0.006562088,-0.011461362,-0.006167501,-0.011736056,-0.012157485
07/23/1963,-0.000480915,0.0026050978,-0.001452722,-0.000321111,0.0014436174,-0.000881096,-0.00039806,-0.001270583,0.0021619641,-0.003004606
07/24/1963,0.0036827862,0.001603348,0.0023722048,0.0061266382,0.0063379309,0.0072769738,0.0068496895,0.0057658159,0.0051730469,0.009828732
07/25/1963,-0.000561962,-0.000116344,0.0028907358,0.0024473784,-0.0012316,-0.000971138,-0.000972092,-0.000939715,-0.004740273,-0.000720441
07/26/1963,0.0010336413,0.0035785328,-0.000305057,0.0011833138,0.0081182379,0.0057751479,0.0031275489,0.0048187829,0.0038631218,0.0091826473
07/29/1963,0.000255986,0.0001853759,0.0027590944,0.0016820541,0.0032294957,0.0047225396,0.0021325665,-0.000268458,0.0023486052,0.0022944293
07/30/1963,0.0098605359,0.0072646848,0.0073972295,0.0046939546,0.0162989146,0.0047604722,0.0087360986,0.0091884764,0.0095311365,0.0094741065
07/31/1963,-0.002125009,-0.00439861,0.000135186,-0.001147415,-0.002347318,0.0014304522,0.0062450181,-0.001219204,-0.0017588,-0.006960919
08/01/1963,-0.000885286,0.0015141403,-0.004528471,0.0022459456,-0.000907548,0.0010842245,-0.000849349,0.0029020655,-0.001092875,-0.006194838
08/02/1963,0.0009813553,0.0017325589,0.0041705718,0.0041941094,0.0034855994,0.0029393058,0.0055304156,0.0015678347,0.0031926272,0.0030859295
08/05/1963,0.0098994674,0.002440268,0.0052185188,0.0046609551,0.0044451158,0.006609583,0.0067426633,0.0067902716,0.0070357971,0.0075311861
08/06/1963,0.009158221,0.0075890479,0.0034855128,0.0033186037,0.0022539621,0.0062620946,0.0089260451,0.0069806408,0.0097994813,0.0036100651
08/07/1963,-0.002831052,-0.001958546,0.0005787369,0.0000901112,-0.005986039,-0.002325388,-0.001479861,-0.001128184,-0.000331264,0.0013909258
08/08/1963,0.0015434121,0.0025687527,0.0054526179,0.0005099766,0.0014246749,0.0020368573,0.0003643863,-0.001361986,-0.002902689,0.0001562019
08/09/1963,0.0052063794,0.0094758537,0.0079950099,0.0019815666,0.0076697433,0.0021805013,0.0032046687,0.0083106605,0.0103437147,0.0049833449
