date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.004489869,0.0035835555,0.0048089465,0.0078099306,0.0049747563,0.009238558,0.0120116236,0.0101653323,0.0059113922,0.0161186751
07/03/1963,0.0092715496,0.0058099423,0.002392748,0.0068029139,0.0045413306,0.0056472588,0.0093769357,0.0082721425,0.004442892,0.0060861865
07/05/1963,0.003447579,0.0066554029,0.0038620538,0.0044916401,0.000690452,0.0029700272,0.0082989996,0.0021649953,0.0038959859,0.0057891362
07/08/1963,-0.005621813,-0.00481115,-0.0040883,-0.00548256,-0.004647546,-0.005001543,-0.01010873,-0.005080591,-0.00702608,-0.008923764
07/09/1963,0.0017218681,0.0025527095,0.0004722834,0.0022390691,0.0029218566,0.0054668415,0.0070369233,0.0082943528,0.0057593279,0.0083704978
07/10/1963,-0.00409897,-0.004594172,-0.00321722,-0.00069186,-0.001631056,-0.004704277,-0.001283889,-0.00145828,0.000526088,-0.000272813
07/11/1963,-0.003842645,-0.001842056,0.0025561276,-0.002183786,0.0005308435,-0.002666651,-0.001003783,-0.001340999,-0.00321628,-0.004707012
07/12/1963,0.0034661611,-0.001300893,-0.002600365,-0.000706905,-0.001035615,-0.002862645,0.0021912501,-0.002521249,-0.002913055,-0.000288473
07/15/1963,-0.006384964,-0.001780966,-0.004152292,-0.004710525,-0.004434723,-0.007889372,-0.007237982,-0.005556615,-0.008573955,-0.009720385
07/16/1963,-0.004523102,-0.00324548,-0.000131027,0.0010025261,-0.003540538,0.0013106704,-0.000241599,-0.00099825,-0.002013197,0.0055468662
07/17/1963,-0.007301783,-0.005630627,-0.003306932,-0.002612098,-0.00402944,-0.001903681,-0.005184202,-0.001195062,-0.001858475,-0.003306062
07/18/1963,-0.0104282,-0.002942111,-0.003684188,-0.002719097,-0.004056811,-0.002296266,-0.008646532,-0.005934176,-0.008759079,-0.004974944
07/19/1963,-0.00408782,-0.003690237,0.0000781937,0.0002302504,-0.002696234,-0.003560777,-0.002625689,-0.004181217,-0.002049981,-0.0013974
07/22/1963,-0.007763553,-0.003645242,-0.004316382,-0.005201897,-0.006693795,-0.008391292,-0.006907511,-0.008112503,-0.009262755,-0.005532832
07/23/1963,-0.001979341,-0.002220008,0.001020393,0.0028222122,-0.001562757,-0.004258529,-0.000110922,0.0006560514,0.0018209279,0.0019231328
07/24/1963,0.0077063725,0.0018678576,0.0012803455,0.0011918644,0.0029957687,0.0064624849,0.0075813168,0.0070640093,0.0062347317,0.0083835969
07/25/1963,-0.001314149,-0.000660686,0.002000963,-0.00230498,0.0003582467,-0.001109833,0.0025788383,0.0025665791,-0.003891797,-0.003306089
07/26/1963,0.0034668131,0.0029176859,0.0016243757,0.0021461776,0.0014356354,0.0028849542,0.0037169677,0.0045870343,0.009128806,0.0078448881
07/29/1963,0.0002271543,-0.001879335,0.0009794557,0.0016671119,0.0025701438,-0.000510194,0.0007287698,-0.001370836,0.0046463336,0.0046917556
07/30/1963,0.0056814363,0.0060671991,0.0021158273,0.0051270637,0.0048448761,0.0083637579,0.0132726285,0.0092188264,0.0172936892,0.0094958835
07/31/1963,0.0005224055,-0.004327062,0.0005495612,-0.000970447,0.0021698414,0.0007158204,-0.00419095,-0.001273328,-0.001851383,-0.008082705
08/01/1963,-0.001514401,-0.002471821,0.002145739,0.0001788714,-0.002083571,-0.001864313,-0.001904131,-0.000866387,-0.001673776,0.0014982679
08/02/1963,0.0018842848,0.0048668808,0.0021685529,0.0040370683,0.0035114245,0.0022825933,0.002588513,0.0029516588,0.0068389566,0.0017006629
08/05/1963,0.0015783274,0.002813824,0.0022589146,0.0047805847,0.0059998917,0.0097979977,0.0076470179,0.0072891122,0.0068806814,0.0089866034
08/06/1963,0.0001701099,0.0079672928,0.0072314159,0.0027805419,0.0060003312,0.0062074524,0.0079690643,0.0037698245,0.0067600232,0.0094162324
08/07/1963,-0.005318373,-0.000717768,-0.003895251,0.0033549341,0.0037091891,-0.004263944,-0.000439423,-0.005146113,0.0012136725,-0.00257473
08/08/1963,0.0023267275,-0.000342548,0.0023862745,0.0039321247,-0.001612445,0.0030689401,0.0005716676,0.0013924449,0.0011410036,-0.001344353
08/09/1963,0.0052003107,0.0045210171,0.0065162233,0.0081938009,0.0052360512,0.0072042966,0.0024581248,0.0079002037,0.0030493273,0.0104997739
08/12/1963,0.0043954735,0.0017504552,0.0023030408,0.0050056405,0.0027352597,0.0016624104,-0.001283232,0.0032996044,0.0052898075,0.0106457724
08/13/1963,-0.000729861,0.0017239226,0.0013279157,0.0027073362,0.0017743754,0.0050690187,0.0044727901,0.0036288813,0.0023662583,0.0010883368
08/14/1963,-0.000046228,0.0034283635,0.0040487707,0.0030876791,0.0041300808,0.0018717136,0.007046543,-0.001131849,0.0041064278,0.0007985573
08/15/1963,0.0014335533,0.0016215234,0.0039459431,0.0036345696,0.0040217632,0.0006614147,0.0050223451,0.0124225706,0.0057670632,0.0032277958
08/16/1963,0.0052184327,0.0018665617,0.0010839233,0.0041546788,0.0022336248,0.0002879539,-0.00196093,0.003418751,0.0019238254,0.0069449356
08/19/1963,-0.001000569,0.0044228104,-0.000353928,0.0000381108,-0.000661258,-0.000422702,0.0000609142,-0.003214646,-0.000846013,0.0012168156
08/20/1963,0.0008310374,0.0005359335,-0.00133799,-0.000359853,0.0009184402,-0.002008598,0.0003180456,0.0002072822,-0.000314906,0.0020167163
08/21/1963,0.0045139805,-0.001546491,-0.002240425,-0.00002899,0.0010260104,0.0002690959,-0.000815234,-0.004310664,-0.001926533,0.003190981
08/22/1963,0.0038714275,0.0065199468,-0.000405238,0.0019348863,0.0043266761,0.0049224835,0.0041845458,0.0098943711,0.0043334783,0.0060080914
08/23/1963,0.001332352,0.0005638021,0.0038570799,0.0003414593,0.0052595446,0.0001764929,0.0046744203,0.0096510488,0.000716392,0.0076627949
08/26/1963,0.0009397454,0.0021549105,-0.00056696,0.0021459995,0.0046190423,0.0027523145,0.0021392323,0.0031829454,0.0005649885,0.0033657936
08/27/1963,-0.004998058,-0.002421835,-0.004917413,-0.003510589,-0.003889454,-0.005280597,-0.002039285,-0.00553791,-0.002890887,-0.009674958
08/28/1963,0.0093271686,0.0040454653,0.0067285046,0.0073196792,0.0043363929,0.0091109159,0.0067427291,0.0101289453,0.0091705886,0.0193221323
08/29/1963,0.0087489064,0.0033480625,0.0011006924,0.0018178789,0.0043087339,0.0010560909,0.0024740569,-0.001217366,0.0022560972,0.0037369395
08/30/1963,0.0030368278,0.0046561634,0.0064582112,0.0049506014,0.0020452741,0.0001042257,0.0039269464,0.0085628681,0.0032682427,0.0082178832
09/03/1963,0.0032762754,0.0037546078,0.0021556674,0.0002153297,0.0043012637,0.0042160534,0.0014052741,0.0019660135,0.0026881327,0.001340618
09/04/1963,0.0042693528,0.0006051269,0.0012603591,-0.002455987,0.0015076194,0.0009053281,-0.000119737,0.0043729011,-0.000507409,-0.005115829
09/05/1963,0.0079033836,0.0050544317,0.0020291526,0.0067852198,0.006653394,0.0038782114,0.0028212114,0.0037769048,0.0033371294,0.0070983881
09/06/1963,-0.001649633,-0.004814522,-0.003918947,-0.000466552,0.0011022115,-0.005156806,-0.004383677,-0.005668431,-0.001538281,-0.009374461
09/09/1963,-0.007148785,-0.005770391,-0.004125959,-0.000877,-0.002526217,-0.003710348,-0.005398562,-0.005154122,-0.002807135,-0.006352105
09/10/1963,0.0075695611,0.0070791654,0.0034967807,0.0061222616,0.0023231772,0.0039290968,0.0047859502,0.0039351964,0.0075277825,0.0062749329
09/11/1963,-0.000410786,0.0001352415,0.0013875067,0.0038280991,0.0023738826,0.0005715339,0.0052253767,0.0035084752,0.0023815778,0.0025506146
09/12/1963,-0.005010297,-0.003132308,0.0022022915,0.0002398611,0.0008091504,-0.000417996,-0.001418697,0.0005800831,-0.003171016,-0.001262088
09/13/1963,0.0024623975,0.0036361729,0.0021191123,0.0006560392,-0.000279231,0.0001317025,-0.003218454,0.0029628719,-0.001846771,0.0041310429
09/16/1963,-0.003920208,0.0009937982,-0.005478212,-0.002746358,-0.003533848,-0.00234076,-0.000375914,-0.002581833,0.0024395501,0.0005926698
09/17/1963,-0.000440133,0.0001302815,-0.000920911,0.0001886709,0.0004636111,0.0020135451,-0.001316445,0.00144785,0.0007310648,0.0034945431
09/18/1963,-0.009354926,-0.001574043,-0.002688385,-0.003068453,-0.004844866,-0.001934957,-0.005517471,-0.006198245,-0.004679747,-0.003389118
09/19/1963,0.0075256338,0.0023621372,0.0039427635,0.0044085422,0.0067240821,0.0056109783,0.0042813653,0.0047613292,0.00596839,0.008827189
09/20/1963,-0.002936908,0.0011823536,-0.001716632,-0.000523994,0.0006995561,-0.00037797,-0.001843871,0.0008110273,0.0021476529,0.0066925097
09/23/1963,-0.007981927,-0.006467123,-0.005685731,-0.001549074,-0.005492647,-0.004251121,-0.005303648,-0.002699507,-0.007480394,-0.004613111
09/24/1963,-0.004089061,-0.00091665,0.0013844206,0.012406397,0.0041325573,0.0009530924,0.0010316115,0.0056987836,-0.001368769,0.0048581868
09/25/1963,-0.01109335,-0.007521579,-0.003369289,-0.00546575,-0.00556756,-0.005670668,-0.008737981,-0.007593218,-0.002109029,-0.011793949
09/26/1963,-0.005323002,-0.004887945,-0.006261204,-0.003667577,-0.012204912,-0.004949958,-0.005917151,-0.007645632,-0.010788334,-0.013828239
09/27/1963,0.0037275497,-0.003549918,0.000557334,-0.000845702,-0.004252392,0.0014914959,-0.000064047,-0.001339596,-0.00439778,0.0006794499
09/30/1963,-0.003945497,-0.00426652,-0.0007849,-0.00338405,-0.002380266,-0.006214929,-0.008014752,-0.004216623,-0.013591546,-0.004614146
10/01/1963,0.0094596273,0.0031520503,0.0052975303,0.008494379,0.0019951058,0.0028623741,0.009513073,0.0055128289,0.0117778019,0.0064095444
10/02/1963,-0.002731828,0.0016979585,0.0000148243,0.0002221678,-0.000662731,-0.000615696,0.0004886435,0.0047372805,0.0055575958,-0.005180963
10/03/1963,0.0094925842,0.006588767,0.0063197713,0.0042003473,0.0053078812,0.0070497817,0.0082925646,0.0045483467,0.0082096929,0.0152437198
10/04/1963,-0.000713427,0.0016987113,-0.002002859,-0.001945398,0.0003784407,0.0032528129,-0.000838382,0.0015205839,-0.000196659,0.0002260404
10/07/1963,0.0008766695,-0.005816093,-0.001733886,-0.002449374,-0.001727109,0.0012896537,-0.001914826,-0.001488696,-0.00501488,-0.002145885
10/08/1963,0.0027891365,-0.002968918,-0.001867429,-0.002278074,-0.003730383,-0.003279298,0.0001267846,-0.003583962,0.0038439655,0.0015329488
10/09/1963,-0.005543243,-0.004387653,-0.003293734,-0.000565278,-0.005531393,-0.005091674,-0.006784167,-0.009507206,-0.006570416,-0.013328756
10/10/1963,0.0001112888,0.0010584713,-0.000701603,0.0024948757,0.0035939832,0.0009403892,0.0004671431,-0.000948098,0.0000575092,0.0018606247
10/11/1963,0.0037332524,-0.000182945,0.0015929393,-0.00055868,0.0025925542,0.0041330883,0.0021409368,-0.001295067,0.0013730157,0.0047231683
10/14/1963,0.0001434354,-0.002188601,0.0007151462,0.0017457442,0.0015196927,0.0022684897,0.0010477011,-0.001600619,-0.000399883,0.0023548108
10/15/1963,-0.002292561,0.000473131,0.0004850885,-0.000902136,0.001618594,0.0034100753,0.0036279846,0.0029260175,0.0018900929,0.0031945655
10/16/1963,0.0074600519,0.0059086725,0.0058356739,0.0076382828,0.0017832757,0.0129086371,0.0068769272,0.0086296258,0.0146052379,0.015045002
10/17/1963,0.0042884239,0.0062653894,0.0007755235,-0.00073804,0.0019800542,0.0039483369,-0.000517591,0.0018091565,0.0016900755,0.0019509698
10/18/1963,0.0020139777,0.0038007521,0.003161501,-0.00167356,0.0007981927,0.0032665811,-0.000133184,0.0019015021,3.9132948E-6,0.0014602381
10/21/1963,-0.004141779,0.0008498287,0.0032653363,0.0041587881,-0.000303456,-0.0004245,-0.000768523,0.0010688557,-0.001099937,-0.001904748
10/22/1963,0.0007010148,-0.003701094,-0.003338445,-0.008056234,-0.003668823,-0.008123505,-0.006957925,-0.003162772,-0.003281087,-0.007585369
10/23/1963,-0.00241459,0.0001510735,0.0020387071,0.0025109692,0.0054932205,0.0008270696,-0.001182173,-0.001089623,-0.00318336,0.0009831583
10/24/1963,0.0057878178,0.0011621358,0.0018614076,-0.000140762,0.0018467957,0.001378803,0.0023603736,0.0038875429,0.0088719087,0.0126723788
10/25/1963,0.0024046444,-0.002671913,-0.000762543,0.016315279,-0.000627955,0.0039325735,0.0011664062,0.0062713316,0.0276315135,0.0061594346
10/28/1963,-0.005179783,0.001777715,-0.002144169,0.0062992796,-0.002131633,0.0069053376,0.0001565347,0.0030479546,0.0158078046,-0.000796628
10/29/1963,-0.008548873,-0.002404125,-0.002109493,-0.004834023,0.002714127,-0.000317649,-0.000672189,-0.003298875,0.0075493976,0.002275233
10/30/1963,-0.003437905,-0.002791647,-0.005268034,-0.00579034,-0.003223622,-0.009952018,-0.006354359,-0.00781296,-0.014989666,-0.007980384
10/31/1963,0.0025571502,-0.002360617,-0.000927576,0.0042629772,0.0008501699,0.0071037066,0.000702307,-0.000095926,0.0026297661,0.0030719013
11/01/1963,0.0016906806,-0.003270105,-0.000086702,-0.002078772,0.0002577889,-0.003927014,0.0008300108,0.0028578492,-0.004976246,-0.000717582
11/04/1963,-0.002766055,-0.004561404,0.0008842647,-0.00204479,-0.003352001,-0.002716548,0.0004809667,-0.001279897,-0.013113871,-0.011146842
11/06/1963,-0.002865475,-0.001184557,-0.007484102,-0.001346921,-0.007112237,-0.009179385,-0.007717068,-0.006796541,-0.009823733,-0.010828482
11/07/1963,0.0041889877,0.007812141,0.0013120618,0.0020216041,0.0017279161,0.0018836166,0.0071572909,0.0048233942,0.0021621645,0.0056337279
11/08/1963,0.0096473445,0.0035291463,0.0038872446,0.0036237148,0.0047371783,0.0083529546,0.0035556737,0.0026914047,0.0032511592,0.013290257
11/11/1963,0.0063862023,0.0007018852,0.001803731,0.0014862121,0.0000864242,0.0019079399,0.0009457294,0.0007936361,0.002126442,0.0093244549
11/12/1963,-0.003765884,-0.004601302,-0.004372682,-0.000927374,-0.0002675,-0.001990492,-0.003670112,-0.00744876,-0.004723384,-0.006355956
11/13/1963,-0.002015604,-0.002242277,-0.000061092,0.0053845234,0.0010059832,0.003510718,-0.004161848,-0.002904419,-0.000364868,0.0033789872
11/14/1963,-0.003545642,-0.003607945,-0.001234405,-0.000531511,0.0001487067,-0.00407915,-0.006041136,-0.003624678,-0.008365018,-0.004008761
11/15/1963,-0.006439135,-0.002579188,-0.00817737,-0.00116846,-0.002317842,-0.005038824,-0.010123805,-0.007839646,-0.016158896,-0.009308695
11/18/1963,-0.009109254,-0.002952765,-0.003249315,-0.005247918,-0.00662678,-0.007975757,-0.009744391,-0.010824481,-0.005075424,-0.008834748
11/19/1963,-0.000036755,-0.003045694,-0.001259108,0.0044098672,-0.000628781,-0.003107616,0.0050347765,0.0021138039,0.0067850434,0.0010102898
11/20/1963,-0.000774132,-0.003660638,-0.000983547,0.0061152212,-0.000261134,0.0213262335,0.0120492328,0.0033262858,0.0030320898,-0.001425776
11/21/1963,-0.012334754,-0.011697494,-0.004540753,-0.008589724,-0.008058412,-0.012961496,-0.008885903,-0.008176041,-0.021326908,-0.021662128
11/22/1963,-0.031838687,-0.020142576,-0.022243138,-0.02295193,-0.019973738,-0.027554424,-0.024209206,-0.039790539,-0.030425572,-0.04832508
11/26/1963,0.0323801716,0.0279720748,0.0246664234,0.0380437414,0.0233150299,0.0415246424,0.0322591903,0.0475075463,0.0470811221,0.0654813681
11/27/1963,-0.000988015,-0.001928098,-0.001342544,-0.003601313,-0.00035117,-0.002032895,-0.000302892,-0.001667051,-0.002288436,0.000983851
11/29/1963,0.0288408764,0.0149702082,0.0120531696,0.0058051918,0.0119417854,0.0138414784,0.0154812858,0.0155072198,0.0106055168,0.0203842958
12/02/1963,-0.00098333,0.0020407846,0.0041856372,0.0019376506,0.0058484082,0.0060775577,0.0077046801,0.0028821277,0.0029983528,0.0092639735
12/03/1963,-0.004751905,0.000302238,0.0008552846,0.001686235,0.0042093834,-0.000750026,-0.001064032,-0.001715018,0.0009191259,-0.004314032
12/04/1963,-0.000068243,0.0038922703,0.0030609656,0.0018260085,0.0044003481,0.0002589109,-0.000509438,0.0051319057,0.0081834348,0.0049001673
12/05/1963,-0.002809603,0.0027989907,0.0032697269,0.0059961198,0.0090561395,0.0044305786,0.0078866167,0.0062276785,0.0128701798,0.0006064471
12/06/1963,-0.002580404,0.0009184826,-0.003395858,0.0010462068,-0.001545685,0.0005968417,-0.004465244,0.0009843055,-0.003287849,-0.011224645
