date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0047350712,0.0038770985,0.0047527027,0.0084213486,0.0053676172,0.0086042937,0.0073577319,0.0115917738,0.0051060507,0.0150435345
07/03/1963,0.0037138333,0.0069543522,0.0054099376,0.0050612114,0.0047759105,0.006647378,0.0025614535,0.0097430156,0.0055704164,0.0088394003
07/05/1963,0.0040954555,0.0037719703,0.002217546,0.002508064,0.0046159736,0.007368351,0.0018401875,0.0053330407,0.0025855193,0.0046105438
07/08/1963,-0.005247576,-0.004075944,-0.003054376,-0.00504396,-0.004465224,-0.00430572,-0.005118218,-0.007947016,-0.008990438,-0.009034643
07/09/1963,0.0007187642,0.0016681299,0.0042077296,0.0023469312,0.0048893906,0.004118711,0.0028998174,0.0069908293,0.0051425504,0.0092495108
07/10/1963,-0.002345064,-0.002410752,-0.002755622,-0.001802319,-0.000955633,-0.001802724,-0.001212822,-0.003269401,-0.000273899,0.0014950886
07/11/1963,-0.001448914,0.0003530704,-0.000704692,-0.000823023,0.0029118225,-0.002933877,-0.001627937,-0.00229914,-0.002806794,-0.003362491
07/12/1963,-0.000400142,-0.002054205,-0.000701697,-0.000870788,0.0001136634,0.0013969029,-0.000436418,-0.002701399,-0.002346136,-0.000214483
07/15/1963,-0.007386685,-0.003363129,-0.003930999,-0.005527566,-0.006501385,-0.00544971,-0.005051699,-0.005727293,-0.008084954,-0.009218127
07/16/1963,-0.003964358,-0.002597949,-0.001892952,0.0016455072,-0.000406544,-0.001082256,-0.000681841,0.0002943043,-0.002490399,0.0012514759
07/17/1963,-0.008918413,-0.003527452,0.0003538263,-0.003409079,-0.004695184,-0.003225698,-0.003885042,-0.000955549,-0.003648198,-0.005226912
07/18/1963,-0.006902677,-0.005876796,-0.004165131,-0.002410771,-0.006339158,-0.002844662,-0.004486112,-0.007331566,-0.007484007,-0.00538975
07/19/1963,-0.000963304,0.0009562907,-0.00167218,0.0001469885,-0.005702168,-0.001170147,-0.002745251,-0.002153091,-0.004176247,-0.002251484
07/22/1963,-0.006444167,-0.00644081,-0.006927741,-0.005086073,-0.00662656,-0.005536575,-0.007161213,-0.006202704,-0.010630263,-0.007252236
07/23/1963,-0.003294091,0.000632342,-0.000688167,0.0025429211,0.0025789483,-0.000454144,-0.001914098,-0.000713488,0.0000298722,0.0009643711
07/24/1963,0.002105657,0.0027022412,0.0028873596,0.0010422543,0.0006479561,0.0051520525,0.0066977451,0.0073107729,0.0074075026,0.0055131639
07/25/1963,-0.000994828,-0.001712446,-0.000386291,-0.002535537,0.0009462946,0.0013072123,0.0032424676,0.0014732403,-0.003856073,-0.002204183
07/26/1963,0.001086848,0.0022110361,0.0025231398,0.0022636671,0.0005835578,0.0038162517,0.0025945556,0.0039051068,0.0082294411,0.0046317323
07/29/1963,0.0009682641,-0.000804446,0.0004940452,0.0000822182,-0.002056456,0.0033622638,0.0012469768,0.0008475568,0.004241571,0.0017833673
07/30/1963,0.0061979438,0.0049759954,0.0025404987,0.004886578,0.0074448082,0.006926303,0.0053706371,0.0109816778,0.0145901847,0.0153953808
07/31/1963,-0.001100695,-0.000159565,-0.002600706,-0.001537151,-0.001452207,0.0005017641,0.0013011655,-0.003061543,0.0006052934,-0.005743762
