date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0117747342,0.0077762091,0.0069975476,0.0062997147,0.0091520572,0.0035972905,0.0061709682,0.0069985306,0.0158033361,0.0084675218
07/03/1963,0.0096685238,0.0074784456,0.0054047751,0.0071308202,0.0067926489,0.0039695341,0.0045710895,0.0055644388,0.0059858981,0.0053414424
07/05/1963,0.004362161,0.008298321,0.0025013669,0.0001915122,0.0036113309,0.0015999244,0.0054193853,0.0050354692,0.0060067601,0.0054670026
07/08/1963,-0.004548366,-0.010361844,-0.004986895,-0.006301157,-0.004233313,-0.000812547,-0.003158975,-0.0043222,-0.012198648,-0.008630836
07/09/1963,0.007665475,0.0048099028,0.0048722486,0.0027786491,0.0038196163,0.0036399161,0.0048823498,0.0037440156,0.0047162487,0.0062361247
07/10/1963,-0.002088498,-0.001103596,0.000740408,-0.001260782,-0.003742208,-0.001751387,-0.003397312,-0.00152234,-0.004895483,-0.002604416
07/11/1963,-0.001701789,-0.002173496,-0.001930807,-0.000958828,-0.002682384,0.0006769012,-0.00014096,-0.005354096,-0.00215682,-0.002262499
07/12/1963,-0.001469852,-0.001473645,0.0017775254,-0.0008723,-0.001799426,-0.00254319,-0.002297814,-0.001062754,-0.002237586,-0.006108096
07/15/1963,-0.005658136,-0.010411028,-0.006719273,-0.006233702,-0.005910326,-0.004736516,-0.003631677,-0.004039712,-0.003580005,-0.008720014
07/16/1963,-0.000989473,-0.000812206,0.0001452875,-0.001775628,0.0018313403,-0.000700556,-0.001124596,-0.000906352,0.001437339,-0.003443379
07/17/1963,-0.000913273,-0.002399675,-0.001627081,-0.002591041,-0.002030355,-0.003997434,-0.004053726,-0.004890281,-0.005024489,-0.005169695
07/18/1963,-0.004745626,-0.008947121,-0.004948331,-0.003752155,-0.003619749,-0.003886794,-0.003462206,-0.004659722,-0.007961021,-0.003017454
07/19/1963,-0.004218982,-0.001526975,-0.002914972,-0.001555112,-0.001164172,-0.00167495,-0.001361606,-0.002076326,-0.00205047,-0.00022471
07/22/1963,-0.006844834,-0.008946355,-0.007334099,-0.008481839,-0.00594798,-0.002869278,-0.005466336,-0.005522458,-0.006250366,-0.008642319
07/23/1963,0.0021983808,-0.000101908,-0.001859588,0.0023028649,-0.001121569,-0.000636875,-0.000330504,-0.000154321,-0.000400683,-0.003940553
07/24/1963,0.0079493278,0.0100201718,0.0017788171,0.0028827283,0.0048066814,0.0017829739,0.0034353702,0.0045076326,0.0044512234,0.0042432845
07/25/1963,-0.000979658,-0.002230251,0.0035600624,-0.001598994,0.0002886542,0.0014274679,0.0008528325,-0.000877213,0.001519726,0.0003116575
07/26/1963,0.0074752379,0.0092768212,0.0025690069,0.0027206527,0.0013694508,0.0017836346,0.0010262774,-0.000199307,0.0037748173,0.0015614538
07/29/1963,0.0005971763,0.0053737162,0.0029164122,0.0001216887,0.0000797419,0.0013926786,-0.000433881,0.0023519969,0.0031967438,-0.001775178
07/30/1963,0.0087726677,0.0153730147,0.0080928612,0.0047102502,0.0070726542,0.0045564729,0.0088258266,0.0054623264,0.0137685423,0.0113533997
07/31/1963,-0.001043941,-0.00233148,0.000354615,0.001007823,0.0001865796,0.0008301662,-0.000059536,-0.00140004,-0.00783008,-0.002990329
08/01/1963,-0.002564808,-0.000105999,-0.003738952,0.0014871325,0.0009751183,0.0020120769,0.0013816148,-0.003209518,0.0005600406,-0.002272873
08/02/1963,0.0036358288,0.0033417935,0.0038900297,0.0045476549,0.0005129908,0.0041372265,0.0044541999,0.0046661934,-0.001421181,0.0016771217
08/05/1963,0.0067480788,0.0065060405,0.0070434005,0.0057395453,0.0014928234,0.00497475,0.006806964,0.0046164337,0.0084200975,0.01253522
08/06/1963,0.0091737682,0.0055714956,0.0026028169,0.004882606,0.0107377043,0.0047739953,0.0032294616,0.0063192393,0.0092907171,0.008352277
08/07/1963,-0.000587532,0.0004232686,-0.004255185,-0.002079979,-0.004572747,0.0015340629,0.0006275619,0.0027260608,-0.003974071,-0.003821277
08/08/1963,0.0006181999,-0.002209226,0.0035789772,0.0043381752,0.001817834,-0.000849295,0.0023347874,0.0007602351,0.0005500048,-0.001153503
08/09/1963,-0.00164505,0.001918034,0.006868229,0.0054027751,0.0095782856,0.0079249373,0.0064770122,0.0078402082,0.0087847165,0.0085183067
08/12/1963,-0.003146217,0.004344399,0.0011795876,0.002642394,0.0028827915,0.0007666958,0.002275134,0.0083020251,0.0039849941,0.0098411764
08/13/1963,0.0011595614,0.0046000302,0.0020123372,0.0030631941,0.0035033719,0.004934044,0.0031713357,0.000922547,0.0064083413,-0.000098718
08/14/1963,0.0008463546,-0.000051141,-0.001820116,0.0027098438,0.0054033915,0.0005148294,0.0145214419,0.0050260791,0.0046448733,0.0069605789
08/15/1963,0.0044467091,0.0056809201,0.0097566124,0.0029865477,0.0037107054,0.0020148944,0.0028744816,0.0067012198,0.0013828669,8.1094667E-6
08/16/1963,-0.001491429,0.0026281369,0.0050119523,0.0013600107,0.0006581689,0.0009373358,0.0012407377,0.0032357116,0.0000902125,0.0008846685
08/19/1963,-0.002483896,-0.000808843,-0.001506037,0.0009709494,0.0001642782,0.0002524937,0.0036199289,-0.001536308,-0.001169354,-0.001350006
08/20/1963,0.0002440851,0.0001564251,0.000437099,-0.000088273,-0.002014408,0.00098074,-0.000767174,0.0006639879,-0.003743866,0.000219454
08/21/1963,-0.001814395,0.00073182,-0.004627785,-0.000543555,-0.003011947,-0.001817487,0.0005784043,0.0010952122,0.0022926257,0.0016520447
08/22/1963,0.0048133379,0.0047027576,0.0066578514,0.0025162991,-0.00125914,0.0006071506,0.0034459186,0.0020039221,0.0112805521,0.0155451776
08/23/1963,0.0003357768,0.0043776844,0.0064299119,-0.000503738,0.0043113918,0.0041626319,0.0043452408,0.0053618257,-0.00042104,0.0055250454
