date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0090394706,0.0083702331,0.0099793263,0.0117903556,0.0058405281,0.0056230658,,,0.0089906137,0.0066313675
07/03/1963,0.0039432341,0.0090339135,0.0090496179,0.0074281678,0.0038821297,0.0042348116,,,0.0055566446,0.0098137179
07/05/1963,0.0045374459,0.0061853147,0.0035459449,0.0033984374,0.0037639686,0.0019783058,,,0.0044824042,0.0098599415
07/08/1963,-0.005972146,-0.008847105,-0.003630139,-0.008231938,-0.006682815,-0.004317241,,,-0.008250668,-0.003893624
07/09/1963,0.0069628864,0.0028941199,0.0063574064,0.0037369704,0.0041470282,0.0043883759,,,0.0061151054,0.0040409025
07/10/1963,0.0009744499,-0.001695908,-0.002887007,-0.004447046,-0.00045044,-0.001985081,,,0.0011691903,-0.001762523
07/11/1963,0.0005877684,-0.001746515,-0.001538077,-0.004190348,-0.003070854,-0.00035907,,,-0.001991552,0.0008948137
07/12/1963,0.0018005183,-0.000670315,-0.002622083,-0.002744187,-0.002924075,-0.001308034,,,-0.001493996,0.007432857
07/15/1963,-0.006228349,-0.009472571,-0.005717452,-0.003576591,-0.007991722,-0.004227768,,,-0.006077293,-0.006388607
07/16/1963,-0.00124124,0.0006034413,-0.000042252,0.0016415358,-0.000983431,-0.000857141,,,-0.004575588,-0.001480281
07/17/1963,-0.005998359,-0.002304299,-0.00027047,-0.004519715,-0.002591069,-0.004056601,,,-0.001099445,-0.004034462
07/18/1963,-0.006283458,-0.004556754,-0.004586542,-0.008143479,-0.007564047,-0.003437601,,,-0.004715726,-0.004162056
07/19/1963,-0.005342939,0.0010078231,-0.001101274,-0.000410278,-0.002566464,-0.002030299,,,-0.006326256,-0.006128199
07/22/1963,-0.006643499,-0.006663988,-0.005907911,-0.005384734,-0.009749646,-0.006516034,,,-0.007037564,-0.00871505
07/23/1963,0.0023700041,0.0027704811,-0.000390363,-0.000795635,0.0003263212,-0.002005116,,,0.0053430952,-0.002296695
07/24/1963,0.0033332788,0.0056349664,0.0055687784,0.0051877696,0.0073018487,0.0018161094,,,0.0051962084,0.0071053144
07/25/1963,0.0013579271,-0.000565232,-0.000485247,-0.000397252,-0.002287372,0.0002815474,,,-0.000585344,0.0009257784
07/26/1963,0.0022066632,0.0033121907,0.0058616171,0.0024186561,0.0074382557,0.0022796043,,,0.0010430021,0.0053073592
07/29/1963,-0.002356376,0.0012666603,-0.001582118,0.0022132504,0.0028656177,0.002391507,,,0.0023175041,0.001999379
07/30/1963,0.0090150327,0.0049000467,0.0119868866,0.0107095467,0.0155469757,0.0047945227,,,0.007314035,0.0065881951
07/31/1963,-0.000308653,-0.002845597,-0.002135698,-0.004991734,-0.001517151,0.0025099089,,,-0.002629221,0.0013823358
08/01/1963,-0.003315313,-0.001099293,-0.000576095,-0.000729152,-0.001493409,0.0005563861,,,0.0030164458,-0.003720984
08/02/1963,0.0043235776,0.0023927865,0.0043317332,0.0008821366,0.0041548897,0.0025754127,,,0.0038117694,0.0042385515
08/05/1963,0.0048879215,0.0034066889,0.0079928384,0.0086307522,0.0050013379,0.0053983211,,,0.0061710206,0.0042777044
08/06/1963,0.0057790974,0.0070314526,0.0075477031,0.0061879989,0.0053145917,0.0053827084,,,0.0072484855,0.0052079361
08/07/1963,0.0009885228,-0.003381306,-0.000859391,-0.002545095,-0.004442656,-0.001215511,,,-0.000318265,-0.000445199
08/08/1963,0.0012632992,0.0038938935,0.0009989392,0.0028098738,0.0019122324,0.0004331074,,,0.0008417,-0.000623679
08/09/1963,0.0044512027,0.0073154121,0.0042499287,0.0069110481,0.0076279485,0.0055844623,,,0.0079028878,0.0043639222
08/12/1963,-0.000508155,0.0021864353,0.0007858812,0.0040491977,0.0012132032,0.0048365098,,,0.0007650723,0.0022790691
08/13/1963,0.0008057701,-0.000745184,0.0049451572,0.0088446238,0.0036900664,0.0020150938,,,-0.000159741,0.0022310949
08/14/1963,0.0001050202,0.0035161074,0.0034029585,0.0088893445,-0.001637215,0.0040239188,,,0.0007075953,0.0017716699
08/15/1963,0.0078690809,0.005242642,0.0036972603,0.000648824,0.0101323854,0.0030552239,,,0.0050460958,0.0011056922
