date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0119843339,0.0077375838,0.0097875267,0.0129463342,0.0057339607,0.0056674039,,,0.0088890689,0.0074513229
07/03/1963,0.0051378673,0.0095876121,0.0082717934,0.0073316845,0.003779752,0.0042305478,,,0.0054904947,0.0110571117
07/05/1963,0.0036512299,0.0070171961,0.0027870713,0.0029460385,0.003546373,0.0020491788,,,0.0043366573,0.010687187
07/08/1963,-0.005646283,-0.008267667,-0.004191749,-0.008589211,-0.006559789,-0.004349626,,,-0.008038424,-0.004065231
07/09/1963,0.0050616705,0.0029308453,0.0060286968,0.0039271928,0.004158594,0.0044191521,,,0.0061090957,0.0032856197
07/10/1963,-0.002494933,-0.000985102,-0.003590349,-0.004854821,-0.00030256,-0.001995114,,,0.0012969287,-0.002670379
07/11/1963,-0.002638206,-0.00282162,-0.00001754,-0.004414534,-0.003260415,-0.00034922,,,-0.002002445,0.0006041764
07/12/1963,-0.002833209,-0.000902042,-0.002518362,-0.002763258,-0.003183263,-0.001267052,,,-0.00128012,0.0086511955
07/15/1963,-0.006699143,-0.008933402,-0.006160456,-0.003214464,-0.008265718,-0.004227307,,,-0.006047636,-0.007373987
07/16/1963,-0.000285186,0.0003906244,0.0005455235,0.0015243926,-0.000971,-0.000834908,,,-0.004851675,-0.001571729
07/17/1963,-0.005797673,-0.001686258,-0.001630055,-0.003923929,-0.003019489,-0.003913049,,,-0.001043422,-0.004171031
07/18/1963,-0.005077897,-0.004349141,-0.004914188,-0.008310755,-0.007791638,-0.003342545,,,-0.004286467,-0.003603631
07/19/1963,-0.004239153,0.0014892504,-0.002311967,0.0001065595,-0.002470203,-0.002041716,,,-0.006435339,-0.006790385
07/22/1963,-0.005626282,-0.00629493,-0.005892499,-0.005784153,-0.009786535,-0.006561429,,,-0.006865147,-0.009404927
07/23/1963,-0.000063199,0.0030166375,-0.000921901,-0.00093129,0.0004933287,-0.002042956,,,0.0057526299,-0.001834123
07/24/1963,0.0025828757,0.00562363,0.004538958,0.0062007666,0.0069946641,0.0019218015,,,0.0046543938,0.0099666585
07/25/1963,0.0046466043,-0.000603465,-0.001433514,0.0009345247,-0.002837978,0.0003745095,,,-0.000623916,0.0010997733
07/26/1963,0.0023322149,0.002992228,0.0054627526,0.0031645354,0.0073800511,0.0022936786,,,0.0011898803,0.0046041016
07/29/1963,0.0007858889,0.0014349217,-0.001661312,0.0023593366,0.0027748148,0.0023650867,,,0.0021388442,0.0032652416
07/30/1963,0.0087431537,0.0048692844,0.0122139518,0.0111122099,0.0152727085,0.0048428226,,,0.0074702038,0.0071277218
07/31/1963,0.000087659,-0.002950092,-0.001837605,-0.004960487,-0.001748857,0.0025447998,,,-0.002572195,0.0023648057
08/01/1963,-0.000562449,-0.000677631,,,,,,,,-0.000886611
08/02/1963,0.0032897875,0.0029912943,,,,,,,,0.0043258348
08/05/1963,0.0049339011,0.0058973004,,,,,,,,0.0057835931
08/06/1963,0.0040265036,0.0061720338,,,,,,,,0.0077611005
08/07/1963,0.0006406122,-0.001977463,,,,,,,,-0.000913998
08/08/1963,0.001498574,0.0018631546,,,,,,,,-0.004389017
08/09/1963,0.0071088376,0.006118386,,,,,,,,0.0030547427
08/12/1963,0.0055896832,0.0022879358,,,,,,,,0.0016003799
08/13/1963,0.001854024,0.0031238729,,,,,,,,-0.000793115
08/14/1963,0.0025912783,0.0032802266,,,,,,,,0.0002207562
08/15/1963,0.0095484707,0.0040753994,,,,,,,,0.004218887
08/16/1963,0.0052736581,0.0014086676,,,,,,,,-0.000297213
08/19/1963,-0.00047078,-0.000296634,,,,,,,,-0.00185163
08/20/1963,-0.000338932,-0.000290835,,,,,,,,-0.002865842
08/21/1963,-0.000842882,-0.001089251,,,,,,,,0.0011179086
08/22/1963,0.0057254327,0.0037837225,,,,,,,,0.0059945107
08/23/1963,0.0066928172,0.0033308753,,,,,,,,0.0018912294
08/26/1963,0.003202052,0.0019264186,,,,,,,,-0.000112392
08/27/1963,-0.008007415,-0.004197042,,,,,,,,-0.001435539
08/28/1963,0.0067943467,0.0078526972,,,,,,,,0.0073861108
08/29/1963,0.0028227968,0.0017533825,,,,,,,,0.0020613317
08/30/1963,0.0068765311,0.0044189561,,,,,,,,0.0017748437
09/03/1963,0.0023738155,0.0022550825,,,,,,,,0.0044684859
09/04/1963,-0.000925743,5.30285E-6,,,,,,,,0.0035871636
09/05/1963,0.00480035,0.0049157022,,,,,,,,0.0037073087
09/06/1963,-0.000444326,-0.002688937,,,,,,,,-0.00288291
09/09/1963,-0.000946451,-0.003414082,,,,,,,,-0.006554121
09/10/1963,0.0085829527,0.0050031761,,,,,,,,0.0052068459
09/11/1963,0.0019890628,0.0026879437,,,,,,,,0.0020238818
09/12/1963,-0.000509251,-0.00069217,,,,,,,,-0.001771945
09/13/1963,-0.000142144,0.0002867469,,,,,,,,0.0025923508
09/16/1963,-0.004060112,-0.001341648,,,,,,,,-0.001129981
09/17/1963,0.0011054875,0.0004954676,,,,,,,,-0.000800051
09/18/1963,-0.003047553,-0.004265335,,,,,,,,-0.003685509
09/19/1963,0.0066508786,0.0054397644,,,,,,,,0.0000141853
09/20/1963,0.004251856,0.0004435808,,,,,,,,-0.003622726
09/23/1963,-0.009845852,-0.004445067,,,,,,,,-0.006422216
09/24/1963,-0.000402739,0.0039525899,,,,,,,,0.0011999822
09/25/1963,-0.008438751,-0.00522976,,,,,,,,-0.008046575
09/26/1963,-0.009712328,-0.008065512,,,,,,,,-0.003004059
09/27/1963,-0.001875948,-0.001761845,,,,,,,,0.0002236249
09/30/1963,-0.004170267,-0.005960999,,,,,,,,-0.008298438
10/01/1963,0.0060779769,0.0068953452,,,,,,,,0.0035089222
10/02/1963,0.001663549,0.0012465147,,,,,,,,-0.000863249
10/03/1963,0.0071733268,0.00681658,,,,,,,,0.006221469
10/04/1963,-0.000100771,0.0002227033,,,,,,,,0.0004754825
10/07/1963,-0.000403236,-0.002152685,,,,,,,,-0.004434294
10/08/1963,0.0023511514,-0.001548322,,,,,,,,0.0000109287
10/09/1963,-0.006627747,-0.005566516,,,,,,,,-0.011729861
10/10/1963,0.0039080452,0.0007317915,,,,,,,,0.000572772
10/11/1963,0.0002057887,0.0015500147,,,,,,,,0.0008038722
10/14/1963,0.0001885891,0.0003926044,,,,,,,,0.0060656472
10/15/1963,-0.00094596,0.0019506687,,,,,,,,0.0014913465
10/16/1963,0.0084371064,0.0093647395,,,,,,,,0.0033333682
10/17/1963,0.0011205353,0.0016430087,,,,,,,,0.0006720514
10/18/1963,0.001390975,0.000897928,,,,,,,,0.0026373446
10/21/1963,0.0023325674,0.000522082,,,,,,,,-0.002001286
10/22/1963,-0.007889764,-0.005204299,,,,,,,,-0.003930477
10/23/1963,-0.0028861,0.0005702868,,,,,,,,0.0015765686
10/24/1963,0.0063567731,0.0035309356,,,,,,,,0.0031770815
10/25/1963,0.0040253692,0.0090938279,,,,,,,,0.005905986
10/28/1963,0.0040337171,0.0046238621,,,,,,,,-0.001337381
10/29/1963,-0.003073207,0.0001261216,,,,,,,,-0.002561409
10/30/1963,-0.007581439,-0.008236002,,,,,,,,0.0017479183
10/31/1963,0.0039821247,0.0022000559,,,,,,,,-0.00095571
11/01/1963,0.0002186008,-0.001732383,,,,,,,,-0.002118597
11/04/1963,-0.005825451,-0.004047919,,,,,,,,-0.002529116
11/06/1963,-0.008749439,-0.007390816,,,,,,,,-0.008065815
11/07/1963,0.0055278721,0.0033699636,,,,,,,,0.001237635
11/08/1963,0.0069352498,0.0053591395,,,,,,,,0.007446606
11/11/1963,0.0042231414,0.0017994799,,,,,,,,0.0039496312
11/12/1963,-0.000275643,-0.003504912,,,,,,,,-0.008425641
11/13/1963,0.001814513,0.0005202824,,,,,,,,0.0030161269
11/14/1963,0.000892193,-0.004435323,,,,,,,,-0.001942027
11/15/1963,-0.006591836,-0.007385698,,,,,,,,-0.010823958
11/18/1963,-0.009819214,-0.007008991,,,,,,,,-0.008380494
11/19/1963,-0.001365967,0.0013588118,,,,,,,,0.0014616544
11/20/1963,0.0014835617,0.0088151876,,,,,,,,-0.001370176
11/21/1963,-0.013270344,-0.012253608,,,,,,,,-0.010630371
11/22/1963,-0.038874402,-0.027812763,,,,,,,,-0.031753278
11/26/1963,0.0433585162,0.0393515878,,,,,,,,0.0386022244
11/27/1963,0.001324924,-0.001670684,,,,,,,,-0.00173983
11/29/1963,0.0168928186,0.0133044499,,,,,,,,0.0123472005
12/02/1963,0.0064202821,0.0056855389,,,,,,,,-0.000192839
12/03/1963,-0.003450798,-0.000051927,,,,,,,,-0.001450665
12/04/1963,0.0042664961,0.0023740814,,,,,,,,0.0051806217
12/05/1963,0.0011566571,0.0060216962,,,,,,,,0.0097086951
12/06/1963,0.0000855056,-0.003381998,,,,,,,,-0.000944825
12/09/1963,-0.001503767,-0.000767011,,,,,,,,-0.002668232
12/10/1963,-0.000294223,0.0009584864,,,,,,,,0.0012454294
12/11/1963,-0.000384861,-0.001256105,,,,,,,,-0.002865897
12/12/1963,-0.002305212,0.0000114263,,,,,,,,-0.000699655
12/13/1963,0.0037294987,0.0013683616,,,,,,,,0.0054121087
12/16/1963,0.0011426137,0.0027852744,,,,,,,,0.0015505333
12/17/1963,-0.000806088,0.0050364009,,,,,,,,0.0038903536
12/18/1963,0.0007144983,-0.001860717,,,,,,,,-0.00049216
12/19/1963,-0.008844067,-0.002819083,,,,,,,,-0.000963218
12/20/1963,-0.003154991,-0.00163396,,,,,,,,-0.003512159
12/23/1963,-0.005458495,-0.005853424,,,,,,,,-0.005485251
12/24/1963,0.0028728454,0.0024756603,,,,,,,,0.0003287351
12/26/1963,0.0039362822,0.0048291353,,,,,,,,0.0052183005
12/27/1963,0.003796495,0.001570262,,,,,,,,0.0010665284
12/30/1963,-0.001974606,0.0014908092,,,,,,,,-0.00119134
12/31/1963,0.006237537,0.0058388266,,,,,,,,0.0030926768
01/02/1964,0.0068161791,0.0055123043,0.0059336426,0.0080699119,0.005446467,0.0073847621,,,0.0020356221,0.0026422007
01/03/1964,0.0012578581,0.0026790374,-0.005065626,0.0028823264,0.0051909053,0.0036544597,,,0.0035442565,0.0071115765
01/06/1964,0.0016473751,0.000202074,0.0048035502,-0.003393249,0.0048061986,0.0043448769,,,0.0056793688,0.0022910488
01/07/1964,0.000889951,-0.006467941,-0.000505814,-0.001865655,0.0044959349,0.0028122102,,,0.0031700201,0.005944101
01/08/1964,0.0013876786,0.005935637,0.0067712924,0.0046544639,0.0009013499,0.0017550377,,,0.0031634234,-0.000049454
01/09/1964,-0.000361535,0.0022993005,0.0061328953,0.0069759953,0.0008878215,0.0015608224,,,0.0023964332,-0.000571967
01/10/1964,-0.000289775,-0.004361824,0.0029120837,-0.001735218,-0.000514255,-0.000212339,,,-0.002736559,0.0001982537
01/13/1964,-0.001399221,0.0004947444,-0.000533668,-0.003917018,-0.000544202,0.0022048807,,,-0.004889609,-0.001805304
01/14/1964,0.0028544711,0.0020713523,0.0008473746,0.0034731122,0.0002009128,0.0029072057,,,-0.000891902,0.0008331923
01/15/1964,-0.001015319,0.0016873506,0.0091278727,0.0009767943,0.0015098876,0.0010310931,,,0.0044780855,-0.001332042
01/16/1964,-0.000165441,0.0015969482,-0.003092965,-0.000975039,-0.0017052,0.0001504481,,,0.0024890461,-0.003199717
