date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0095758234,0.0069351794,0.0069162647,0.010183578,0.0051501562,0.0126952936,0.0004842064,0.0197317176,0.0125631456,0.0067639334
07/03/1963,0.0078993934,0.0074379219,0.014044301,0.0049179856,0.0118883064,0.0109674267,0.0024358744,0.0093335436,0.0077337055,0.0015609052
07/05/1963,0.0032947851,0.0024217853,0.0116043231,0.0064085413,0.0052180963,0.0025292694,0.0052175108,0.0082609725,0.0010175879,0.0053568057
07/08/1963,-0.007527589,-0.001536717,-0.012107252,-0.007580704,-0.008443688,-0.005696215,-0.002195735,-0.011486344,-0.004578365,-0.010549104
07/09/1963,0.0029475199,0.0010814019,0.0030891194,0.0053206925,0.006959119,0.0105985292,0.0003609458,0.0081657646,0.0035719756,0.0042425989
07/10/1963,-0.002462137,0.0009552416,-0.000231615,-0.00047089,-0.000808459,-0.001592247,-0.005112144,-0.004476989,-0.004816773,-0.001422915
07/11/1963,-0.000933489,-0.00263296,-0.003482143,-0.002369182,0.0030089511,0.0007423805,-0.000589686,-0.007284497,-0.004288315,-0.004421305
07/12/1963,-0.000590184,0.0018990013,0.0000960315,-0.00229113,0.0075211978,-0.004533757,0.0039530798,-0.004617201,-0.004145254,-0.005973166
07/15/1963,-0.007921116,-0.00731296,-0.01364406,-0.00627802,-0.012984499,-0.003963959,-0.007748644,-0.001057057,-0.006931386,-0.008268274
07/16/1963,0.0009256531,-0.00310168,-0.000538971,-0.003062317,-0.003133302,-0.000485095,-0.000473368,0.0023556926,0.003745277,0.0018148076
07/17/1963,-0.003008249,-0.003150108,-0.001061343,-0.003519832,-0.005159083,0.0011664837,-0.005813257,-0.002072652,0.0019160235,-0.001939692
07/18/1963,-0.001990426,-0.006546059,-0.00968438,-0.003214398,0.0005643918,-0.006062861,0.0011246923,-0.006166761,-0.004937279,-0.013006588
07/19/1963,-0.000102729,-0.002829412,0.0030802249,-0.005774591,-0.010923999,-0.003406643,0.002645373,0.0003554533,-0.007083036,0.0013831303
07/22/1963,-0.007688208,-0.011131283,-0.006622642,-0.006924236,-0.007052321,-0.0063491,-0.006529986,-0.003948225,-0.005827144,-0.008710172
07/23/1963,0.0053394002,0.003081659,0.0014040616,-0.000620847,0.0020645304,0.0029017298,-0.005515279,-0.001344054,-0.006613047,0.0028827112
07/24/1963,0.0027850108,0.0090880511,0.0143996522,0.0025032276,0.0107560367,0.0064246503,0.0026722186,0.0044802727,0.0075151873,0.0074575496
07/25/1963,-0.005148447,0.0099880427,0.0032344506,0.0019861109,-0.003357145,0.0025652014,0.0017541901,0.0010398895,-0.004548878,-0.00466299
07/26/1963,0.0049997604,0.0009092056,0.0009746585,-0.003036347,0.0083492004,0.0091923125,0.0018057931,0.003747912,0.0037501976,0.0134969509
07/29/1963,-0.000699492,-0.001336753,0.0041888534,-0.000200637,0.000015329,-0.003511728,0.0016835731,0.0051894166,0.0002274029,0.0044405565
07/30/1963,0.0043840033,0.0059931235,0.0082731141,0.0123449072,0.0019170225,0.010062204,0.0127112646,0.015467093,0.011565589,0.024309744
