date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0052292844,0.003850781,0.0065018838,0.0099241411,0.0118990561,0.0071308466,0.0065614491,0.0095022498,0.0116576177,0.0066933724
07/03/1963,0.0022761942,0.003697772,0.0031372716,0.0106090481,0.0078617429,0.0043477556,0.0030523892,0.0083770504,0.0092675564,0.0058740984
07/05/1963,0.0010546084,0.0014416667,0.0042702188,0.0058614185,0.0052029103,0.0027258123,0.0058642106,0.0024840932,0.0063773704,0.0051953814
07/08/1963,-0.001166108,-0.00329196,-0.005495038,-0.008178886,-0.00555638,-0.007151723,-0.00881785,-0.00523171,-0.007696011,-0.003958648
07/09/1963,0.0053211822,0.0022386702,0.0038041197,0.0048323506,0.0079842942,0.0005132391,0.0065713108,0.0039774642,0.0064709163,0.0021826653
07/10/1963,-0.000045206,-0.00574321,-0.001511987,-0.001054209,-0.002132425,-0.002336168,0.0009307966,-0.003643313,-0.002472218,-0.002953431
07/11/1963,0.0003413972,0.0022414062,-0.003070855,-0.001393657,0.0009062882,-0.002180027,-0.002052739,-0.002907457,-0.003821796,-0.001362842
07/12/1963,0.0005899707,0.000095407,-0.001336723,-0.002495716,0.0018443299,0.0002425993,0.0007155256,-0.001820558,-0.002526963,-0.003019802
07/15/1963,-0.002926908,-0.004553488,-0.005113839,-0.009074842,-0.010057937,-0.005638494,-0.010048544,-0.006740363,-0.002839898,-0.002884619
07/16/1963,-0.001563043,-0.000364321,0.0010439818,-0.000084054,-0.002311887,-0.004738776,-0.000592127,0.0021126179,0.000899314,-0.000861361
07/17/1963,-0.002077964,-0.003821524,-0.002285161,-0.000825974,-0.006986418,-0.004806564,-0.003481841,-0.001490796,-0.003370301,-0.003712911
07/18/1963,-0.001146298,-0.00434848,-0.004294779,-0.005319284,-0.001850289,-0.001937854,-0.012172774,-0.003313616,-0.007298692,-0.006949633
07/19/1963,-0.001037109,-0.000674983,-0.000535759,-0.001034436,-0.00743891,-0.004206119,-0.001408046,-0.002831727,-0.001012698,-0.000450366
