date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/01/1971,,,,,,,,,,0.0202312134
12/02/1971,,,,,,,,,,0.0424929187
12/03/1971,,,,,,,,,,0.0516304336
12/06/1971,,,,,,,,,,-0.012919896
12/07/1971,,,,,,,,,,0.0235602092
12/08/1971,,,,,,,,,,0.0025575447
12/09/1971,,,,,,,,,,0.0204081628
12/10/1971,,,,,,,,,,0.0225000009
12/13/1971,,,,,,,,,,-0.002444988
12/14/1971,,,,,,,,,,0.0122549022
12/15/1971,,,,,,,,,,-0.012106538
12/16/1971,,,,,,,,,,0.0245098043
12/17/1971,,,,,,,,,,0.0119617227
12/20/1971,,,,,,,,,,0.0070921984
12/21/1971,,,,,,,,,,-0.035211269
12/22/1971,,,,,,,,,,-0.01216545
12/23/1971,,,,,,,,,,0
12/27/1971,,,,,,,,,,-0.004926108
12/28/1971,,,,,,,,,,0.0099009899
12/29/1971,,,,,,,,,,0.0196078438
12/30/1971,,,,,,,,,,-0.002403846
12/31/1971,,,,,,,,,,-0.002409639
01/03/1972,,,,,-0.021333447,,,,,0
01/04/1972,,,,,-0.003051417,,,,,0.0045248871
01/05/1972,,,,,0.0376088916,,,,,-0.013513514
01/06/1972,,,,,0.0577095321,,,,,0.01369863
01/07/1972,,,,,0.0048381859,,,,,-0.009009009
01/10/1972,,,,,0.0179409463,,,,,-0.009090909
01/11/1972,,,,,-0.000363419,,,,,0
01/12/1972,,,,,0.0131794027,,,,,0
01/13/1972,,,,,-0.013007966,,,,,-0.004587156
01/14/1972,,,,,0.0282070859,,,,,-0.01843318
01/17/1972,,,,,0.0397059106,,,,,0.0140845068
01/18/1972,,,,,-0.031175202,,,,,0.013888889
01/19/1972,,,,,-0.010779714,,,,,-0.018264839
01/20/1972,,,,,-0.019665311,,,,,-0.004651163
01/21/1972,,,,,-0.002005979,,,,,0.0186915882
01/24/1972,,,,,-0.022472812,,,,,-0.027522936
01/25/1972,,,,,0.0123373225,,,,,0
01/26/1972,,,,,-0.002397666,,,,,0
01/27/1972,,,,,0.0098128301,,,,,-0.004716981
01/28/1972,,,,,0.0696136641,,,,,0.0189573467
01/31/1972,,,,,-0.011650339,,,,,-0.004651163
02/01/1972,-0.009461826,0.0040240003,-0.003673884,0.0328436078,-0.005812652,0.0010344218,-0.007489976,0.0197340376,-0.021766592,0.0095215507
02/02/1972,-0.00257019,0.0119001591,0.0027305369,0.0279293985,-0.001310691,0.0192282949,-0.004317561,0.0215464189,-0.012822684,0.0110673617
02/03/1972,-0.010229575,0.0034921717,-0.016325871,-0.001926195,0.001444035,0.012276446,0.0072041478,-0.001647238,-0.018260215,0.0101684045
02/04/1972,0.0081120057,0.0212944306,0.003698316,-0.005264057,0.0002339713,-0.004746845,0.0196116196,0.0195427696,0.0166144174,-0.009811549
02/07/1972,0.0255735622,-0.000847753,0.0033537243,0.0087227475,0.0093504386,-0.00949178,0.0077776616,0.0001396321,-0.007900535,-0.008042627
02/08/1972,0.0099157103,0.0018014576,0.0001257337,-0.009677893,-0.008187753,-0.011736106,0.0132682017,-0.008215245,0.0111349329,-0.005447385
02/09/1972,0.0080103813,0.0010544515,0.0030447319,0.0059249232,-0.005487665,0.0109592523,0.0196048439,-0.01266777,0.0089925323,0.0018580808
02/10/1972,0.0006621703,-0.023122801,0.0129918963,0.0094934835,0.0209480062,-0.009912217,-0.013127555,0.0045890049,0.0045492853,0.0204304922
02/11/1972,-0.006934513,-0.013847147,0.0034431427,-0.008416993,-0.000659802,-0.003000716,0.0001564049,-0.003353651,-0.008055018,-0.000291247
02/14/1972,-0.004221014,-0.003489307,-0.007136238,-0.007525883,-0.001536538,0.0016834676,-0.003745881,-0.002146459,-0.011437947,-0.003790004
02/15/1972,-0.00674307,0.0028787924,-0.009661638,-0.004169857,0.0050772008,0.0087556608,0.0013837968,0.0068161779,0.0117118399,0.0055116091
02/16/1972,-0.003576668,0.0062698505,-0.000713225,0.001727293,0.0017831909,0.0234475936,0.0008251867,-0.003063028,0.0079858795,0.0238121251
02/17/1972,-0.006395114,0.0056832985,0.006392232,0.0085937663,-0.009804171,-0.000807892,-0.002003652,0.0108058962,0.0351835918,0.0315597548
02/18/1972,-0.009022867,-0.001799008,0.007230338,-0.001679134,-0.019738464,-0.001948082,-0.008403101,0.0002152032,-0.006350441,-0.013403052
02/22/1972,-0.009177753,-0.000443526,0.0170088889,-0.011294169,0.0133796577,0.0038645402,-0.000606723,0.006008971,0.0011532923,-0.011500258
02/23/1972,-0.005579896,-0.00549866,-0.006666565,0.0128519447,-0.010186229,0.010863331,-0.003267266,0.010546425,-0.007444519,-0.006101416
02/24/1972,0.0116627834,0.0230741509,-0.00069698,0.0089630887,-0.008785141,-0.002935442,-0.00067752,0.0092660992,-0.003205678,0.0022307931
02/25/1972,-0.005482494,0.0018807797,0.0128513916,-0.006544188,0.0126198457,0.0115268733,0.0090996859,0.007328512,-0.013494183,0.0029012402
02/28/1972,-0.000476896,-0.017240145,0.004534654,-0.009428134,-0.000841328,0.0085781595,-0.016570106,-0.002536454,-0.004608292,0.0153283706
02/29/1972,0.0043063466,0.0026341815,0.0031431677,-0.013066852,0.0139746549,0.0281968623,0,0.0075726433,0.0136407549,0.0169996773
03/01/1972,0.0332937137,0.0027504009,-0.002840103,0.0170774654,0.0235504427,0.0058767103,0.0155979207,0.0080028059,0.0075242276,0.0017720001
03/02/1972,0.0253331353,0.0013847925,0.0072384828,0.0028952015,-0.00654421,0.0046858436,-0.004854814,-0.000303885,0.0074987195,0.0003762033
03/03/1972,0.0270916172,0.0043730735,0.0101226612,0.0071688843,-0.025818125,0.0160694517,0.0106976369,0.0087280988,-0.000103585,0.0002678427
03/06/1972,-0.005204294,0.002342948,-0.002509084,0.0019445191,0.0008175031,0.0165288278,0.0064306625,-0.002026028,-0.00287113,0.0072171802
03/07/1972,0.0031121189,0.0011608342,-0.010645154,0.0008519209,-0.005966436,-0.008679443,0.0024898697,0.0129826087,-0.000347141,0.0059654344
03/08/1972,-0.002462359,0.0022161169,-0.007869402,-0.00302475,-0.00883923,-0.002390392,0.0028594048,0.0072071223,0.000873416,0.0030389139
03/09/1972,0.0075346259,-0.000313709,0.0031386849,0.0034656375,-0.01130808,0.0084950664,-0.001693869,0.0051136621,0.0015648903,0.0045991232
03/10/1972,0.0042653985,0.0052726694,0.0004119906,-0.013429616,-0.020550259,-0.012481983,-0.000209358,-0.004725556,0.0003201205,-0.006749354
03/13/1972,-0.023657869,-0.009056148,-0.018809713,-0.007770128,0.0112327363,-0.021292568,-0.017240568,-0.010442553,-0.000456933,0.0028238519
03/14/1972,0.0053966781,0.0055588061,0.0128528891,0.0075116417,0.0030337551,-0.007621543,-0.002311111,0.0094164334,0.0039289211,-0.012294459
