date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0049371857,0.0068748166,0.0046100993,0.0093504625,0.0022510152,0.0079826827,0.0064026041,0.011233358,0.0096911998,0.0089913959
07/03/1963,0.0023250414,0.0042821958,0.0035620411,0.0021451655,0.0057027643,0.0071958179,0.006547656,0.0093218165,0.0071063486,0.0066175574
07/05/1963,0.0044093496,0.002226167,0.0014138601,0.0029571982,0.0043894145,0.0030990085,0.003900535,0.0039190473,0.0038041771,0.0073146668
07/08/1963,-0.002704413,-0.009022621,-0.002752313,-0.002184389,-0.003670444,-0.005303317,-0.003953477,-0.004519666,-0.003719868,-0.011100372
07/09/1963,0.0051436161,0.004207125,0.0081047236,0.0021267093,0.0039015704,0.0021394793,0.0019339825,0.0085952352,0.0022045864,0.0054350364
07/10/1963,-0.001327276,-0.002384607,-0.002962544,-0.002357315,-0.00385237,-0.001410167,-0.002980279,-0.00058877,-0.002675266,-0.001081974
07/11/1963,-0.000962219,-0.000574905,-0.001494744,-0.000211147,9.9614706E-6,-0.001625132,-0.002483714,0.000653589,-0.001523051,-0.002736759
07/12/1963,-0.003845514,-0.000617526,-0.002883477,-0.001866551,-0.001155046,-0.001390203,-0.000394592,0.000158819,-0.001348596,-0.000658965
07/15/1963,-0.006976001,-0.004639641,-0.002829074,-0.005672485,-0.005853767,-0.007696066,-0.010663141,-0.006947545,-0.004451985,-0.006233682
07/16/1963,0.0014418421,-0.001777765,-0.002197336,-0.001383358,0.0009968515,0.0012762925,0.0002495894,-0.002284255,0.0002940463,-0.000901569
07/17/1963,-0.00586194,-0.004936144,-0.001176218,-0.003521422,-0.004790938,-0.00262605,-0.002764496,-0.001796858,-0.003163097,-0.003012528
07/18/1963,-0.007432886,-0.00675689,-0.003148404,0.0005000571,-0.005322586,-0.002943102,-0.004336699,-0.003169486,-0.006458341,-0.008698571
07/19/1963,-0.002466658,-0.003154532,0.0003328263,-0.006312577,-0.000875367,0.0003007156,-0.000719549,-0.006629546,-0.002832874,-0.00014929
07/22/1963,-0.006436181,-0.008648494,-0.007344794,-0.00561358,-0.006361592,-0.006663935,-0.009770259,-0.006072493,-0.005072175,-0.007258943
07/23/1963,-0.002202884,-0.002908191,-0.000585643,0.0007408767,0.0028351933,0.0037605749,0.0011919891,0.0022967824,-0.000667536,-0.000432441
07/24/1963,0.0049580675,0.0055616645,0.0016949869,0.0052902961,0.0017617122,0.0022553788,0.0069527447,0.0065308285,0.0058749012,0.006237266
07/25/1963,-0.001550347,0.000530615,0.0028576194,0.0001373709,0.0032663779,-0.002077796,0.0007549534,0.0019104577,-0.002576425,-0.000924366
07/26/1963,0.0064129792,0.0058748684,0.0003973982,0.0034761274,0.0009097389,0.0028742805,-0.000224951,0.0066667275,0.0023223857,0.0059569599
07/29/1963,0.0018092798,0.001627064,0.0009152941,0.0023792697,0.0019633211,-0.00026008,0.0001123045,-0.001368161,0.0022827986,0.0029832865
