date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/02/1971,,,,,,,,,,-0.03125
08/03/1971,,,,,,,,,,-0.093841642
08/04/1971,,,,,,,,,,0.0129449842
08/05/1971,,,,,,,,,,-0.003194888
08/06/1971,,,,,,,,,,-0.022435898
08/09/1971,,,,,,,,,,-0.026229508
08/10/1971,,,,,,,,,,0.0202020202
08/11/1971,,,,,,,,,,0.0297029708
08/12/1971,,,,,,,,,,0.051282052
08/13/1971,,,,,,,,,,-0.024390243
08/16/1971,,,,,,,,,,0.0281249993
08/17/1971,,,,,,,,,,0.0030395137
08/18/1971,,,,,,,,,,0.0030303029
08/19/1971,,,,,,,,,,-0.018126888
08/20/1971,,,,,,,,,,0.0276923068
08/23/1971,,,,,,,,,,-0.011976048
08/24/1971,,,,,,,,,,0.0303030312
08/25/1971,,,,,,,,,,0.0352941193
08/26/1971,,,,,,,,,,-0.005681818
08/27/1971,,,,,,,,,,0.0085714282
08/30/1971,,,,,,,,,,-0.005665722
08/31/1971,,,,,,,,,,-0.028490029
09/01/1971,,,,,0.0120481923,,,,,-0.002932551
09/02/1971,,,,,-0.011904762,,,,,0.0058823531
09/03/1971,,,,,0.0481927693,,,,,0.023391813
09/07/1971,,,,,0.0114942528,,,,,-0.017142856
09/08/1971,,,,,0,,,,,0.0174418613
09/09/1971,,,,,0,,,,,-0.062857144
09/10/1971,,,,,0,,,,,0.0060975607
09/13/1971,,,,,-0.011363637,,,,,0
09/14/1971,,,,,-0.011494253,,,,,0.0121212117
09/15/1971,,,,,-0.023255814,,,,,0.0059880242
09/16/1971,,,,,0,,,,,0.0238095243
09/17/1971,,,,,0.0119047621,,,,,0
09/20/1971,,,,,-0.011764706,,,,,0
09/21/1971,,,,,0.0119047621,,,,,0.0058139535
09/22/1971,,,,,-0.035294119,,,,,-0.02601156
09/23/1971,,,,,0,,,,,-0.014836796
09/24/1971,,,,,-0.012195121,,,,,-0.012048192
09/27/1971,,,,,0,,,,,-0.033536587
09/28/1971,,,,,0,,,,,0.0283911675
09/29/1971,,,,,0,,,,,0.0184049085
09/30/1971,,,,,0.0123456791,,,,,-0.018072288
10/01/1971,0.0088631933,-0.002537783,-0.022470256,-0.000871412,0.0056178736,-0.001319137,0.0055969788,0.0085944164,-0.001762114,0.0442940699
10/04/1971,-0.002158477,0.0036116093,-0.0068743,-0.004113302,0.0170521561,0.0067767127,0.0036426195,-0.004673502,0.0048252426,0.0049118868
10/05/1971,-0.007071626,-0.002367215,-0.003819174,-0.008789148,0.01949636,0.0177047429,0.006895752,-0.010353282,-0.003391219,0.0013648945
10/06/1971,-0.004278484,0.006090079,0.0043257093,-0.002339738,-0.000084145,0.0015755237,0.0108613496,0.004892809,0.0029783716,0.0251138226
10/07/1971,-0.005805163,-0.003163041,0.0015586357,-0.002374202,0.0055163524,0.0094177668,-0.00403344,0.0078947555,0.0106947991,0.0144326462
10/08/1971,-0.000776364,0.0013081122,0.0054149477,-0.00269151,-0.01881364,-0.006008988,0.0007003127,-0.008904402,0.0036706884,0.0058607473
10/11/1971,0.0026703608,-0.008171686,0.0052757403,0.0037594516,0.0083484465,0.0033210239,0.0117915647,-1.312716E-6,-0.002209145,-0.010585932
10/12/1971,-0.01274285,-0.00684265,0.0096230768,0.0060241333,0.0032331023,-0.005728858,-0.003230826,-0.000613138,-0.001997049,0.0093581413
10/13/1971,-0.034668415,-0.004128914,-0.006650715,-0.002484794,0.0000515475,0.025427543,-0.025781362,-0.006792878,-0.001389425,0.0040349717
10/14/1971,-0.006526472,0.0054461022,-0.004501958,-0.009019962,-0.021456127,-0.009036156,0.0015426578,-0.003932076,-0.004786231,-0.041574718
10/15/1971,-0.014018937,-0.001405552,-0.000301285,0.0070575437,-0.022562229,-0.009479509,0.0050623153,-0.005023703,0.0015487268,-0.016928041
10/18/1971,0.0000793563,-0.006947621,-0.000780869,-0.008052241,0.0055217578,-0.013830863,0.0016342534,-0.005846155,0.0055310772,-0.03355873
10/19/1971,-0.004461055,-0.009075994,-0.001988309,-0.000185101,-0.005931453,-0.008650226,0.004974991,-0.007246501,-0.013580354,0.0001784797
10/20/1971,-0.016802724,-0.013184401,-0.004064213,0.002044093,-0.014588844,-0.003342391,-0.003308346,0.0052224174,-0.008390549,-0.02371368
10/21/1971,0.0115221514,0.005767122,-0.004079204,-0.010500919,0.0027732796,0.0030417641,-0.007591456,0.0000205117,-0.010276234,0.0358224053
10/22/1971,0.0005850528,0.0020249664,0.0016964337,0.0039722548,0.0002651553,-0.009859536,0.007064926,-0.002150657,-0.00016618,-0.021176788
10/25/1971,-0.004948017,0.0059165316,-0.001698423,-0.002887909,-0.002849759,-0.007331179,-0.017677293,-0.002449283,0.0023220635,-0.01780224
10/26/1971,-0.014022752,-0.009262042,-0.00306858,-0.006958236,0.0056971952,0.0010787167,-0.001201733,-0.018232865,-0.005094997,-0.04130946
10/27/1971,-0.025771463,-0.018540966,0.0033046191,0.0031394202,-0.0059887,-0.004867277,-0.03778272,-0.030582172,0.0006058198,-0.042673873
10/28/1971,-0.022276599,-0.006276662,-0.003399988,-0.006275586,0.0000513616,-0.001404746,0.0054072472,-0.001885505,0.0026617382,0.0383199066
10/29/1971,-0.007511579,-0.003047465,-0.001210092,-0.000283106,0.002867422,0.0028445408,-0.013349236,-0.003724553,0.0150061948,0.0212998359
11/01/1971,-0.022396156,-0.018527564,-0.015025607,-0.013844499,-0.010906751,-0.012890682,-0.014221959,-0.022507095,-0.014246206,-0.011270895
11/02/1971,0.00073875,0.0064420315,-0.000278321,0.0054870455,0.0018660032,0.0070920349,0.0030598289,0.0068782035,0.0041148241,-0.003543145
11/03/1971,0.0194356475,0.0159975447,0.013526853,0.0208959597,0.0173312536,0.0196630247,0.0133572379,0.022234581,0.0205112637,0.014306049
11/04/1971,-0.010307118,-0.006387362,0.0056215598,0.0015221984,0.0035894249,0.0010513587,-0.001815784,-0.004627743,-0.000245175,0.0031352705
11/05/1971,-0.013704299,-0.002502559,-0.003836083,-0.001234759,-0.000438914,-0.007442475,-0.002385021,-0.001553577,-0.003162571,0.0006150578
11/08/1971,-0.009889065,-0.008831324,0.0010387734,-0.000428439,-0.000446511,-0.001072118,-0.002124479,-0.000765346,0.0015178249,0.001534014
11/09/1971,-0.000523161,0.0006379987,-0.00087328,-0.001254457,-0.003330467,-0.002322416,0.0041255362,0.0001009209,0.0038992691,0.0049052556
11/10/1971,-0.020807258,-0.014138325,-0.015480632,-0.014253168,-0.011883341,-0.015349922,-0.011333292,-0.00880976,-0.007329193,-0.009125871
11/11/1971,-0.01022037,-0.018243095,-0.018285274,-0.014745826,-0.015002917,-0.009643003,-0.006193987,-0.014661801,-0.015394259,-0.016445672
11/12/1971,0.0017173847,-0.000549552,-0.005766476,-0.00231621,0.0000364842,0.0027088519,-0.006065122,0.0031039728,-0.000449006,-0.001375574
11/15/1971,-0.003113963,-0.002631944,-0.003461795,0.0021991399,-0.00606838,-0.006540521,-0.012161146,-0.002886167,-0.000167622,-0.003996909
11/16/1971,0.0112899986,0.0065300054,0.0102808914,0.0118913832,0.0071772906,0.0058096116,0.0127574462,0.0190798125,0.0119385424,0.0047348227
11/17/1971,0.0034915323,-0.001466499,-0.000681055,0.0014718075,-0.00203623,0.0025645716,-0.000199086,-0.001016785,0.0029913342,0.005349498
11/18/1971,-0.015440284,-0.008169841,-0.00773901,-0.006022653,-0.011807027,-0.007929219,-0.005420438,-0.012738058,-0.008441839,-0.004408235
11/19/1971,-0.005557979,-0.015658217,-0.005584806,0.0011449574,-0.008650413,-0.000380561,-0.006794638,-0.006226223,-0.009591512,-0.004196137
11/22/1971,-0.01513464,-0.016799693,-0.008675902,-0.010374798,-0.006818798,-0.009816797,-0.008830142,-0.009131331,-0.0064213,-0.009063887
11/23/1971,-0.010048894,-0.010360431,-0.009564022,-0.004272741,-0.013492576,-0.008709224,-0.006969703,-0.006272988,-0.004136147,-0.005948367
11/24/1971,0.0022936364,0.0041586814,0.0039995408,0.0010365493,0.0028416016,-0.002213975,-0.00230476,0.0029214783,0.0007734469,0.0033236187
11/26/1971,0.0335714173,0.0212120159,0.0179591617,0.0094358738,0.0148795874,0.018889956,0.0149959069,0.0234348653,0.0215329728,0.0159676753
11/29/1971,0.02954948,0.0253831879,0.0215031838,0.0134426474,0.0253972355,0.0191956248,0.0239459477,0.0180612859,0.0145725614,0.0194836957
11/30/1971,0.0059327637,0.0042329771,0.007293099,0.004587519,0.009738297,0.0002088242,0.0116077193,0.012678652,0.0040134615,0.0096523236
12/01/1971,0.0176901534,0.0166777209,0.0208902722,0.0132975367,0.0213114892,0.0147732443,0.0214941235,0.0180342229,0.0176024088,0.0198611364
12/02/1971,0.0001169047,0.0027651215,0.0007310122,0.0011774718,0.0064792988,0.0084704314,-0.001464744,0.0004543871,0.0036842112,0.0071284745
12/03/1971,0.0163013915,0.0162337942,0.0151310831,0.0021251577,0.0062072311,0.0186954031,0.0029025261,0.0225393997,0.0118838118,0.0133220164
12/06/1971,0.006389374,-0.001969851,-0.004054244,-0.003884571,-0.010660515,-0.005909069,0.003003017,-0.012359852,-0.000745711,-0.005685384
12/07/1971,0.013464678,0.0059622634,0.0021730408,-0.002069683,0.003868904,-0.000629521,0.0076756846,0.0087448766,0.0088585841,0.0038702795
12/08/1971,0.0068928991,0.0027464152,0.0002634067,0.0005429449,-0.001618862,-0.00176457,-0.001317076,-0.000737363,0.0044958671,0.0060815336
12/09/1971,-0.001043678,-0.000842838,-0.00118895,0.0015424849,-0.006275121,0.0006525752,0.0000164887,0.0036141957,0.0009572516,0.0006178306
12/10/1971,0.0263227525,0.0162366799,0.0078001286,0.0016034341,0.0036254454,0.0112503614,0.000985452,0.0129544122,0.0099180331,0.0119652359
12/13/1971,0.0158971655,0.0107425124,0.0023631851,0.0056989849,0.0119977244,0.0068492657,0.000465234,0.0010367372,-0.001838671,0.001709066
12/14/1971,-0.012728512,-0.006432986,-0.006285594,0.0003394838,0.0002416769,-0.004578669,-0.004798736,-0.005935906,-0.002403979,-0.002064444
12/15/1971,0.0220301066,0.0185070678,0.0071348619,0.0113491313,-0.000929654,0.0084818979,0.00965445,0.0148482588,0.0109056853,0.0069402899
12/16/1971,0.0115469128,0.0113276092,0.0111984701,0.0065793909,0.009321418,0.0139611688,0.0049257858,0.0204659348,0.0130957841,0.0108805119
12/17/1971,0.0096867437,0.0052756968,0.0037720254,0.0078705538,0.0028151691,0.0027350039,0.001867041,0.0050003504,0.0067701133,0.0074507753
12/20/1971,0.0162800167,0.0156398135,0.0136151098,0.0108814375,0.0079006827,0.0060767268,0.0165793389,0.0119035415,0.0143508313,0.0193165856
12/21/1971,0.0014102331,0.0007252065,0.0037111543,0.0015988525,0.0032182342,-0.002040684,0.0024472223,0.0075393012,0.0028117891,0.0034229017
12/22/1971,-0.005556347,-0.000509494,-0.004855192,-0.003855982,0.0024610972,-0.008758151,-0.000341473,-0.010734356,-0.008060683,-0.010155591
12/23/1971,-0.001331325,-0.000647436,-0.002615856,0.0070893341,-0.005647172,-0.007816508,-0.002165774,-0.006432774,-0.007615883,-0.007402846
12/27/1971,-0.006093252,-0.002335707,-0.005211001,0.0137793926,0.0009883766,0.010253624,0.0040765796,-0.003255334,-0.002626221,-0.003032267
12/28/1971,0.0115993132,0.0116614153,0.0112250225,0.0150204706,0.005873805,0.0124026149,0.0038490625,0.0116595994,0.0076108448,0.0051284781
12/29/1971,-0.003878088,0.0011417035,0.0049136564,-0.000431125,0.0039530976,0.0121027867,0.0088966848,-0.003770659,-0.000371221,-0.001893111
12/30/1971,-0.005978911,-0.007277491,-0.00593238,-0.004243397,-0.003899074,-0.00428311,-0.006955202,-0.007044894,-0.00058996,-0.002604507
12/31/1971,0.0074815963,0.0045203242,0.0014631183,-0.001020329,0.005179522,-0.000516814,0.0041054958,0.0054321147,0.003966101,0.0041115665
01/03/1972,0.0014074715,0.0051698011,-8.776516E-6,-0.003620497,-0.002439019,-0.004815649,-0.003664791,-0.004980261,-0.007709146,-0.006214444
01/04/1972,0.0151613571,0.0111000882,0.0039376544,0.0048446641,-0.002593507,0.0047962698,0.0032923416,0.0088625463,-0.000048977,0.0037928165
01/05/1972,0.022492262,0.016783249,0.0173968533,0.0146450103,0.0066530397,0.0164252187,0.0123623406,0.0044453402,0.0043536097,0.0061517508
01/06/1972,0.0018655605,-0.001647958,0.0078575207,0.0095520736,0.0030227319,0.0046576514,0.0060254149,0.0028360322,0.0031652995,0.0014135641
01/07/1972,0.0003799144,-0.001822966,0.0023022406,-0.000598608,0.0011111259,-0.000372706,-0.000130651,-0.000904734,-0.000978288,0.0016645865
01/10/1972,0.0023847638,0.00664547,0.0002341694,-0.001585226,0.0011899816,-0.004387348,-0.002959113,-0.000410181,-0.001248859,-0.000559256
01/11/1972,0.0048980624,0.0092215402,0.0068791221,0.0049424857,0.004161311,0.0034970469,-0.002059766,0.0056899286,-0.000278589,0.0034436549
01/12/1972,-0.009520282,0.0042694351,-0.002218962,0.0060385887,0.0000247094,-0.003057093,-0.000449456,0.0002424706,-0.003492855,-0.00114585
01/13/1972,-0.009534453,-0.010467595,-0.002861297,-0.004160233,-0.006151382,-0.008221779,-0.005971573,-0.006398692,-0.006630012,-0.004920103
01/14/1972,0.0065788885,0.0050883612,0.0030918796,0.0062318668,0.0010482941,-0.001973683,0.0036498906,0.0125099393,0.0015928865,0.0052345476
01/17/1972,0.0033279612,0.0073960926,0.0034386833,0.0022867643,0.0031891294,0.0032018177,0.0013259637,0.0034976408,0.0062734623,0.0025498131
01/18/1972,0.0116568889,0.0019804798,0.0035348606,0.0037109856,0.0064823389,0.0056350668,0.0040314707,0.0018654141,0.0071092655,0.0027782111
01/19/1972,0.0003138328,-0.002895166,-0.001913604,-0.004934263,-0.004497208,0.0002266031,-0.004919515,0.0052372526,0.0007526218,-0.001704308
01/20/1972,-0.00433237,-0.007599196,-0.001381661,-0.004438572,0.0002278081,0.0018211411,-0.005971189,0.0126852196,-0.000422586,-0.004198715
01/21/1972,0.0027594454,-0.002407947,-0.002978115,-0.008237488,-0.000324171,-0.007961902,0.0033746626,0.0054799633,-0.00211491,0.0008229201
01/24/1972,-0.014796041,-0.011060689,-0.013235153,-0.009845821,-0.008099753,-0.013076478,-0.009398266,-0.016651362,-0.00815701,-0.008132065
01/25/1972,0.0023236785,0.001477528,-0.001250102,-0.000691828,0.0032549325,0.0010414644,0.0008190564,0.0057738777,0.0014804218,0.0058278817
01/26/1972,0.0025057076,0.0018093268,0.000705365,-0.008814124,-0.006141521,-0.001472224,-0.002738002,0.0024895635,-0.003222896,0.0020626108
01/27/1972,0.0284874282,0.0186917033,0.0123578906,0.0083458703,0.0105093355,0.0110863527,0.0054890879,0.0086502127,0.0149261861,0.0130938468
01/28/1972,0.0089512071,0.0081096156,0.0114524194,0.004349049,0.0055491036,0.0032201912,0.0084659445,0.0056062301,0.0111624631,0.01136207
01/31/1972,0.000931719,-0.001718953,0.0000730628,-0.004708857,0.000672871,-0.005396805,0.0002666852,-0.000742294,0.0000757342,0.005289747
02/01/1972,0.0024929354,0.0002309708,0.0057471277,0.0022387564,0.0016736272,-0.001255028,-0.000405469,0.0043219284,0.0036665742,0.0007627063
02/02/1972,0.0145466851,0.0027378356,0.0047267767,0.0029516645,0.0042202099,0.0068818821,0.0090629217,0.0103850816,0.0068319988,0.0136098079
02/03/1972,-0.007479734,-0.007715284,-0.00337311,-0.000913777,-0.00161644,-0.002088633,0.0071801382,0.0022837602,0.0062270759,0.0022043906
02/04/1972,0.0114816789,0.013119984,0.0069199034,0.003633544,0.0057228394,0.00426613,0.0066104212,-0.003947768,0.0083825429,0.0023190731
02/07/1972,-0.004150038,-0.003307789,-0.001866889,-0.002517137,-0.005602393,0.0000170662,-0.002617478,-0.002671394,-0.003478175,-0.004751903
02/08/1972,0.004935954,-0.000996158,-0.001956612,-0.000356697,-0.000138318,0.0042148074,-0.002468966,0.007290302,0.0016213411,0.0011930108
02/09/1972,0.0048607383,0.0110781369,0.0017714843,0.0028782223,0.0037683517,0.0054688776,0.0089024306,0.0082103795,0.0096433474,0.0084819925
