date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/02/1971,,,,,0,,,,,-0.03125
08/03/1971,,,,,-0.03125,,,,,-0.093841642
08/04/1971,,,,,-0.045161292,,,,,0.0129449842
08/05/1971,,,,,0,,,,,-0.003194888
08/06/1971,,,,,0.0135135138,,,,,-0.022435898
08/09/1971,,,,,-0.026666667,,,,,-0.026229508
08/10/1971,,,,,-0.01369863,,,,,0.0202020202
08/11/1971,,,,,0,,,,,0.0297029708
08/12/1971,,,,,0.0416666679,,,,,0.051282052
08/13/1971,,,,,0,,,,,-0.024390243
08/16/1971,,,,,0.0466666669,,,,,0.0281249993
08/17/1971,,,,,0.0573248416,,,,,0.0030395137
08/18/1971,,,,,0.0722891539,,,,,0.0030303029
08/19/1971,,,,,-0.028089888,,,,,-0.018126888
08/20/1971,,,,,0.0173410401,,,,,0.0276923068
08/23/1971,,,,,0,,,,,-0.011976048
08/24/1971,,,,,0.0227272734,,,,,0.0303030312
08/25/1971,,,,,0,,,,,0.0352941193
08/26/1971,,,,,0.0222222228,,,,,-0.005681818
08/27/1971,,,,,0.0217391308,,,,,0.0085714282
08/30/1971,,,,,-0.021276595,,,,,-0.005665722
08/31/1971,,,,,0.0108695654,,,,,-0.028490029
09/01/1971,,,,-0.002932551,,,-0.010752688,,,0.0120481923
09/02/1971,,,,0.0058823531,,,0.0163043477,,,-0.011904762
09/03/1971,,,,0.023391813,,,0.0374331549,,,0.0481927693
09/07/1971,,,,-0.017142856,,,-0.020618556,,,0.0114942528
09/08/1971,,,,0.0174418613,,,-0.010526316,,,0
09/09/1971,,,,-0.062857144,,,-0.010638298,,,0
09/10/1971,,,,0.0060975607,,,-0.010752688,,,0
09/13/1971,,,,0,,,0.0326086953,,,-0.011363637
09/14/1971,,,,0.0121212117,,,-0.031578947,,,-0.011494253
09/15/1971,,,,0.0059880242,,,-0.005434783,,,-0.023255814
09/16/1971,,,,0.0238095243,,,-0.010928961,,,0
09/17/1971,,,,0,,,-0.005524862,,,0.0119047621
09/20/1971,,,,0,,,-0.011111111,,,-0.011764706
09/21/1971,,,,0.0058139535,,,0,,,0.0119047621
09/22/1971,,,,-0.02601156,,,0,,,-0.035294119
09/23/1971,,,,-0.014836796,,,0.0168539323,,,0
09/24/1971,,,,-0.012048192,,,-0.016574586,,,-0.012195121
09/27/1971,,,,-0.033536587,,,0,,,0
09/28/1971,,,,0.0283911675,,,0,,,0
09/29/1971,,,,0.0184049085,,,0.0112359552,,,0
09/30/1971,,,,-0.018072288,,,0.0222222228,,,0.0123456791
10/01/1971,-0.011358077,-0.03469863,0.0287040527,0.0339948959,0.0083549975,-0.001858787,0.0079721102,0.0058076489,0.0060696988,0.0072884593
10/04/1971,-0.002991027,-0.01587128,0.0052887062,0.0096790588,0.006666575,0.0021432141,0.0009805058,0.0171663514,-0.005311018,-0.003682111
10/05/1971,-0.006216705,0.0017510573,0.000251575,0.0025933435,0.0007829916,-0.006837345,0.0019989987,0.0196972513,0.0045968688,-0.009483575
10/06/1971,0.0056171023,-0.004958472,0.042122298,0.0269433684,0.0111691579,0.0010417351,0.0018847409,-0.000016169,-0.000734573,0.0148935318
10/07/1971,-0.008988494,0.0160884696,0.0176598484,0.0162769545,-0.00565687,0.0088077221,0.0035054742,0.0055408345,0.0101053441,0.0039750825
10/08/1971,0.0056391041,0.0100121001,-0.031368545,0.0129569834,0.0012749395,-0.004480384,0.0136320737,-0.019156977,-0.005342137,-0.016173678
10/11/1971,-0.004505531,0.0010199137,-0.035384201,-0.003788455,0.0059656136,0.0026125146,-0.0079192,0.0083898757,-0.010577176,0.0000994966
10/12/1971,0.0003541556,0.0056831548,0.0007959968,0.0034245094,0.0036245934,-0.003383452,0.0050081071,0.0028180164,0.0073691272,0.0028691697
10/13/1971,-0.013815848,0.0008317867,-0.01231369,0.0177329933,-0.012210485,-0.001547714,-0.008133091,-0.000085644,-0.006000116,0.0025327788
10/14/1971,-0.007130319,-0.005490389,-0.016334255,-0.030522165,-0.005654999,-0.006762457,-0.002887823,-0.022183821,-0.003061132,-0.01001538
10/15/1971,-0.010845377,-0.008997482,-0.016454377,-0.011944998,0.0021082624,0.0056586827,-0.001102584,-0.022879889,0.0037021503,-0.012244185
10/18/1971,0.0057236867,-0.003848909,0.0137229291,-0.025616321,-0.009529914,-0.000737197,-0.003946547,0.0057486313,-0.003714658,-0.010150898
10/19/1971,-0.019642547,-0.003052626,0.0184874422,-0.007390851,0.0046660467,-0.008008369,-0.015147964,-0.005734851,-0.004471319,-0.013602653
10/20/1971,-0.012504471,-0.007149406,-0.029711819,-0.016229473,-0.00867935,-0.005617342,-0.003985059,-0.014429701,-0.018410921,0.0040054347
10/21/1971,0.0129606259,-0.007097956,-0.008162796,0.0254818176,0.0065836328,-0.010066855,-0.003091525,0.0029341536,-0.002348217,0.0023901667
10/22/1971,-0.007846129,0.0078726536,-0.029193953,-0.010579929,-0.002606577,-0.002945566,0.0047074983,0.0000638972,-0.005527422,-0.000723536
10/25/1971,0.0034212133,-0.006121912,-0.018230505,-0.011840353,-0.007978177,0.0039223344,-0.003380883,-0.002871598,-0.000664425,-0.007235788
10/26/1971,-0.01266359,-0.006444179,-0.042666489,-0.030213883,-0.007506869,-0.003070237,-0.010130152,0.0058333249,-0.007278595,-0.019286324
10/27/1971,-0.017872981,0.0030548637,-0.017523734,-0.027459289,-0.020010684,0.0087606895,-0.033382974,-0.005890013,-0.007949189,-0.051876996
10/28/1971,-0.022490136,-0.008355922,0.018112091,0.0280240959,0.0065709426,0.0000103399,0.0101697551,-0.000026828,-0.000728523,0.0033264521
10/29/1971,-0.009026684,0.0056163617,0.0225374741,0.0102645824,-0.002190862,0.0082141251,0.0133674847,0.0028966082,-0.001340357,0.0008551809
11/01/1971,-0.016328028,-0.022007029,-0.015607406,-0.016221602,-0.011232075,-0.011838557,-0.014382234,-0.009921445,-0.013389836,-0.029975362
11/02/1971,-0.008672759,0.0082534644,0.0054670855,0.0029943651,0.0026546361,-0.002953384,0.0052514834,0.0057660272,-0.004439669,0.0076165959
11/03/1971,0.0209233432,0.0250103598,0.0206132147,0.0196315706,0.0153708687,0.0191190921,0.0111658479,0.0156915659,0.0130074132,0.023092706
11/04/1971,-0.008229048,-0.003979577,-0.001329088,0.0043104868,0.0017160949,0.0010878971,-0.000805841,0.0032491098,0.0031616345,-0.005656402
11/05/1971,-0.00501173,-0.001655607,0.0009726784,-0.004965693,-0.001439668,-0.005924772,-0.003917334,-0.004476774,-0.008639422,-0.001263587
11/08/1971,-0.006442795,-0.003641868,-0.000015789,0.0009867859,0.0013176211,-0.004640447,0.0011696477,0.0012313559,-0.000224716,0.002341882
11/09/1971,-0.006024653,0.0026018215,0.0007926481,0.0009753528,0.0027683289,-0.004788522,0.0005121046,0.0000375598,-0.003191962,0.0001205562
