date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.010786354,0.0055585912,0.0072710148,0.0088541983,0.0133431376,0.0076629418,0.0067625181,0.0079043425,0.0051206913,0.0076162561
07/03/1963,0.0052967221,0.0066557193,0.0094090634,0.0049902307,0.0085664389,0.0071814499,0.0026277279,0.0109691383,0.006965268,0.0022890185
07/05/1963,0.0024924738,0.0041611576,0.0064335319,0.0027096853,0.0044807642,0.0025676984,0.0024488468,0.0108696302,0.0014660028,0.0044029221
07/08/1963,-0.006620807,-0.001534106,-0.001689507,-0.006152446,-0.008118223,-0.004939187,-0.003511083,-0.012264172,-0.007904943,-0.010142778
07/09/1963,0.0055224535,0.0051596513,0.0028052285,0.0026473122,0.0093847852,0.0023581273,0.0035028416,0.0068031246,0.0015918717,0.0045973766
07/10/1963,-0.00327279,-0.001440114,-0.002240707,-0.002876574,-0.002512501,-0.001791474,-0.002068269,-0.000615011,-0.001560063,-0.00213786
07/11/1963,-0.004093637,-0.001971472,0.0004029989,-0.001644061,-0.00290861,-0.000779472,-0.000458421,-0.003160343,-0.000819649,-0.004083327
07/12/1963,-0.003176224,-0.00038663,0.004000001,-0.000637721,-0.004459296,-0.003142011,-0.000021899,-0.000664571,-0.001080956,-0.003450663
07/15/1963,-0.008959637,-0.004624638,-0.00852203,-0.003379242,-0.001748361,-0.006399689,-0.00619027,-0.011299456,-0.005136437,-0.00855872
07/16/1963,-0.000883214,-0.001306008,-0.00220844,-0.001730937,0.0005753469,0.001234074,-0.00092499,-0.000686484,-0.00411896,0.0012755657
07/17/1963,-0.00848749,-0.003643287,-0.004685247,-0.004257478,-0.001457028,-0.002179636,-0.00333391,-0.000047682,-0.004632899,-0.002346278
07/18/1963,-0.00116369,-0.004796685,-0.003422463,-0.004014294,-0.005157837,-0.003448026,-0.002391253,-0.006422182,-0.007367383,-0.011309341
07/19/1963,-0.003591708,-0.000439647,-0.006227459,-0.000825013,-0.002698889,-0.000117491,-0.001527386,-0.002364529,-0.001965315,-0.001328767
07/22/1963,-0.005865742,-0.010431238,-0.008008547,-0.004252112,-0.005728351,-0.007459276,-0.004050071,-0.006627682,-0.009509948,-0.009077092
07/23/1963,-0.00430578,0.0016309906,0.0015110214,-0.001403846,-0.000689073,0.001009709,-0.00045169,-0.000668125,-0.000203161,0.0032340255
07/24/1963,0.0016867369,0.0028804244,0.0092412885,0.0065317569,0.0048778283,0.0027068212,0.0006177493,0.0084988824,0.0023923414,0.0083727559
07/25/1963,0.0010445258,-0.002189402,0.0013344841,0.0007976418,0.002907176,-0.003112124,0.0016686191,-0.00085694,-0.000945036,-0.002538557
07/26/1963,0.0050513658,0.0017998232,0.0035435031,0.0033691979,0.0048307875,0.0017057168,0.0018884118,0.0040885474,0.0017420565,0.0102831924
07/29/1963,-0.000965804,0.0052477111,0.0009066114,0.0021751611,0.0003891247,-0.000045852,0.0034036991,0.0024610715,0.0015072465,0.0023172646
07/30/1963,0.0074695597,0.0049623883,0.0075453726,0.0061135391,0.0111613625,0.0062032184,0.0062424428,0.0095710582,0.0078950807,0.0181929873
07/31/1963,-0.00663701,-0.001062197,0.0008763527,0.0010987203,-0.006055847,-0.000389665,-0.000500135,-0.002108332,0.0032520731,-0.002186129
08/01/1963,-0.001487284,0.0010591076,-0.00209117,0.0009382593,-0.001572181,0.000957188,-0.003898917,-0.001672322,0.0021842265,0.001384997
08/02/1963,0.0045468234,0.0030934998,0.0031515886,0.0027026873,0.0061546647,0.0013083451,0.003863998,0.006062182,0.0010522843,0.0028156291
08/05/1963,0.0046827139,0.0077896741,0.006616445,0.0041947291,0.0046249448,0.0043115512,0.0088146642,0.0037793038,0.0086950575,0.0108293026
08/06/1963,0.0087485847,0.003728239,0.0097013564,0.0035529389,0.0059116383,0.007862262,0.0019002852,0.0048976243,0.0058211375,0.0106504882
08/07/1963,-0.001393144,-0.001577536,0.0012778051,0.0008669117,-0.001977619,-0.006431208,-0.000518201,0.0021586976,0.0017686189,-0.000888958
08/08/1963,0.0009552511,0.002848317,0.0006806763,0.0017117845,-0.00281762,0.0031569082,0.0033004295,0.0005628927,-0.00032674,0.0014875117
08/09/1963,0.0076377297,0.0054326825,0.001548397,0.0084510074,0.0088476411,0.0073756149,0.0069245389,0.0065614682,0.0033713088,0.0063823492
08/12/1963,0.0005646143,0.0044532409,-0.000483264,0.0019193023,0.0030854048,0.0026461985,-0.00003936,0.0043889273,0.004782495,0.00650467
08/13/1963,-0.005663914,0.0044712917,0.0007474878,0.0040993758,0.003211848,0.005195927,0.0003139631,0.0012274662,0.0048154726,0.0045879722
08/14/1963,-0.000424784,0.0034071797,0.0033877431,0.0041323052,0.0009995622,0.0028588599,-0.00131325,0.0053546582,0.0122816928,0.0031130477
