date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0065731726,0.0086595937,0.0154712682,0.0054704613,0.0054917398,0.0079344981,0.0093880566,0.0075467732,0.0045170935,0.0092130898
07/03/1963,0.0024864556,0.006631146,0.0098697851,0.0065691474,0.0102667839,0.0072276084,0.0009862013,0.0069758498,0.0075876021,0.004202124
07/05/1963,0.0051876975,0.0036479313,0.0061603488,0.0031943202,0.005808759,0.0032117585,0.0051686497,0.0038131347,0.0038686287,0.0032230014
07/08/1963,-0.009126286,-0.007541513,-0.009194552,-0.00013812,-0.00808937,-0.005851326,-0.006025447,-0.00320815,-0.004919501,-0.005166971
07/09/1963,0.0044974469,0.0005978586,0.0086621045,0.0018113879,0.0035938849,0.0033035512,0.0028526168,0.0050000681,0.0064046274,0.0042292726
07/10/1963,-0.001406248,-0.001593739,-0.003545324,-0.00053235,-0.002725137,-0.001503016,-0.002992074,-0.001314495,-0.001675076,-0.004312528
07/11/1963,-0.003134422,-0.002902223,-0.003587774,0.0003592368,-0.003131838,-0.001024035,-0.001245644,0.000920303,-0.000604462,-0.003542991
07/12/1963,-0.004676495,-0.000525618,-0.004090136,-0.004286382,-0.00054002,-0.000332336,-0.001162563,0.0023862833,-0.002682123,-0.002225867
07/15/1963,-0.009785384,-0.008562818,-0.002651485,-0.002432195,-0.010567122,-0.007722807,-0.004084247,-0.006424941,-0.005567539,-0.006184305
07/16/1963,0.001214107,-0.003204587,0.0020054544,-0.000500839,-0.000474986,0.0014322712,-0.001303212,-0.002136243,-0.000111584,-0.002655142
07/17/1963,-0.003280068,-0.003118177,-0.002896584,-0.000232556,-0.000828484,-0.001518123,-0.00453847,-0.00358356,-0.00401021,-0.007028654
07/18/1963,-0.011917738,-0.00590033,-0.005455027,-0.006025514,-0.006610697,-0.001141582,-0.005433501,-0.003645158,-0.007610161,-0.006444519
07/19/1963,0.0008804253,-0.004353531,-0.001802314,-0.00015514,0.0003182797,0.0005949319,-0.001343066,-0.004857055,-0.001712859,-0.006018984
07/22/1963,-0.009218785,-0.012012678,-0.003505172,-0.00369273,-0.006389202,-0.006453195,-0.006250823,-0.00673502,-0.008641834,-0.008053954
