date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/02/1973,0.0021785185,0.0290244913,0.0046153626,0.002340949,0.0216273553,0.0028656358,0.014437537,-0.006747205,0.0138216782,0.009297368
01/03/1973,0.0211538344,-0.005379247,-0.0047175,-0.00615471,0.0050416172,0.0030037934,0.0067079554,-0.00016851,0.0040668692,0.0140074895
01/04/1973,0.0052952094,-0.018960694,0.000810119,-0.003374483,-0.004197937,0.0152179227,0.0007969344,-0.005578118,0.0038013973,-0.006227111
01/05/1973,-0.000218938,0.000719206,0.011186461,-0.003414725,0.0124785552,0.0072163345,-0.001932897,0.0010874174,0.0134270233,0.0033482083
01/08/1973,-0.004457241,-0.018187698,0.0085960901,0.0035973437,-0.000603612,0.0022040346,-0.004865307,0.000190117,0.0028532313,0.0041381028
01/09/1973,0.0076823537,-0.002782061,-0.001725226,-0.00295754,0.0078048957,-0.001249547,0.0022420962,-0.001669727,-0.001767091,-0.005689028
01/10/1973,0.0066983603,-0.009016595,0.0040911939,-0.0152103,-0.005385643,0.0010814778,4.3344662E-6,-0.008863176,-0.009331849,0.0005198492
01/11/1973,0.0047800629,0.0087123202,0.0059896694,0.0047491886,0.0012112275,0.0183483983,0.0057587609,0.0040681812,0.0101130551,0.0050911163
01/12/1973,-0.013407611,-0.030285643,-0.024842263,-0.012446307,-0.017751206,-0.020452374,-0.013412143,0.0002754732,0.0061726219,-0.001170548
01/15/1973,-0.013315166,-0.002112854,-0.019008675,-0.010519939,-0.025480715,-0.002225859,-0.013021047,-0.000513162,0.0061972567,-0.008156207
01/16/1973,-0.010665427,0.0010396287,0.0036195488,0.0038413125,0.0144148842,-0.004725703,-0.008235244,-0.011125338,-0.000677926,-0.002647561
01/17/1973,0.0108311388,0.0228160325,0.0057253,0.0107594966,0.0052033344,0.0015370608,0.0172552317,0.0061453011,0.0017488227,0.0035375914
01/18/1973,-0.000468353,0.0112245623,-0.001912285,0.0063593033,0.0005745376,-0.002705735,0.0074973272,0.0073602641,0.0077970419,0.0027082598
01/19/1973,-0.003039313,0.0174793438,-0.00299036,-0.007632567,-0.00292834,-0.005700911,0.0018722001,0.0070995283,0.0174566529,0.0032148079
01/22/1973,-0.010992379,-0.02361016,-0.001781851,-0.008243108,-0.002861442,-0.005651883,0.0077795703,-0.002015844,-0.004394301,-0.007260498
01/23/1973,-0.02618224,-0.025298153,-0.002804504,-0.000818168,0.006636863,-0.003207006,0.0068850499,0.0077521853,0.0100769618,-0.005838245
