date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.022819349,0.0117740862,0.0076471733,0.0114703732,0.0035115166,0.0061342176,0.0070006888,0.0124311958,0.0059115291,0.006946295
07/03/1963,0.0084551204,0.0057112904,0.0092186219,0.0054534596,0.0043953138,0.0047746166,0.0097681678,0.0061904617,0.0042374219,0.0065671862
07/05/1963,0.0083455896,0.0061733625,0.0068278216,-8.227071E-6,0.0036921373,0.0022667497,0.0049785011,0.0058094058,0.0042069743,0.0036504144
07/08/1963,-0.013949456,-0.010906631,-0.007104092,-0.008128464,-0.004146515,-0.006962518,-0.002374692,-0.009212998,-0.002475201,-0.006065023
07/09/1963,0.0126978922,0.0064395267,0.007196643,0.0037983163,0.005567617,0.0059434046,0.0033697399,0.0077984131,0.0020913016,0.0038709905
07/10/1963,-0.000348775,-0.000467382,-0.002130289,-0.0046274,-0.002697712,-0.000471138,-0.001876364,-0.00322306,-0.00176773,-0.001092798
07/11/1963,-0.005686332,-0.001834826,-0.004167836,-0.003514995,-0.002557497,0.0002101766,-0.001086522,-0.004086077,0.0001179923,-0.00081748
07/12/1963,-0.003266268,-0.005820705,-0.000115193,0.0000396608,-0.003209304,-0.003987072,-0.000206509,-0.004009669,0.0029950965,-0.000816917
07/15/1963,-0.012581951,-0.011361224,-0.009751079,-0.008761767,-0.006177118,-0.004001449,-0.007052102,-0.002935391,-0.006181193,-0.005723944
07/16/1963,0.0048850922,0.0032378406,0.0003529328,-0.000623125,-0.0022006,-0.001668662,-0.001710593,0.0008597239,-0.002353761,-0.000631164
07/17/1963,-0.007041215,-0.007444042,-0.0031184,-0.00391383,-0.004539819,-0.00234682,-0.004639654,-0.004581476,-0.003099937,-0.00196425
07/18/1963,-0.007680185,-0.008074474,-0.007089955,-0.007771584,-0.003879962,-0.005553537,-0.003120166,-0.005179578,-0.002842649,-0.005724722
07/19/1963,0.0005540859,-0.004944396,-0.004516481,-0.003753904,-0.003078036,-0.000968666,-0.002656425,-0.002274201,-0.002854404,-0.001492303
07/22/1963,-0.005456025,-0.010829569,-0.01052583,-0.009499007,-0.006958586,-0.009500474,-0.007730453,-0.006201159,-0.006478381,-0.006007555
07/23/1963,-0.0006728,-0.003701857,-0.001560206,0.0025800896,-0.002767367,-0.002553715,-0.000341848,-0.002453292,0.0020116613,0.00114345
07/24/1963,0.0082201769,0.0073987571,0.0066314948,0.0060761408,0.004164316,0.0014150306,0.0063656784,0.0023586414,0.005482174,0.0046188844
07/25/1963,-0.005059403,-0.002802474,0.0003622347,0.0028644401,-0.000138632,0.0025656579,-3.769421E-6,-0.000397482,0.0031737991,-0.001494131
07/26/1963,0.0075709348,0.0058900008,0.0036456924,0.003951529,0.0042890108,0.0002673919,0.0021470534,0.001002125,0.0024468181,0.0048457932
07/29/1963,0.003816334,-0.004472747,0.0004119306,0.002415119,0.0021480015,0.0007196957,0.0021471269,0.0004421201,0.0018639559,0.0012227917
07/30/1963,0.0175862195,0.0104689881,0.0134840894,0.0080277077,0.0081548643,0.0043704316,0.0072963255,0.0092272561,0.0066276198,0.0086865383
07/31/1963,-0.015456943,-0.004743392,-0.004062952,-0.004615446,-0.001681285,0.0008874132,-0.000623496,-0.004671834,0.0017464403,0.000189835
08/01/1963,-0.000886283,-0.002583491,-0.002507339,-0.002003628,-0.002699526,0.0033182688,-0.002767675,-0.00035299,0.0001370124,-0.000447358
08/02/1963,-0.000593441,0.0027741634,0.0020833304,0.0025286728,0.0031312272,0.005162224,0.0024263217,0.0001902041,0.0050112507,0.0033716826
08/05/1963,0.0141124055,0.0075679098,0.0081850427,0.0061931838,0.0074305784,0.0066708502,0.0072406655,0.0074084888,0.0024949714,0.0050860119
08/06/1963,0.0066611465,0.0017510881,0.0066815312,0.0061962172,0.007843828,0.0061245354,0.0051371965,0.0088321468,0.005780624,0.0056190274
08/07/1963,-0.007161605,-0.003399598,-0.002847883,-0.002348477,-0.001056448,-0.001388483,-0.000130887,-0.001138401,0.0021509472,-0.002822291
