date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0089907957,0.0062061004,0.0081973734,0.0054565783,0.0059433194,0.0047331143,0.0087408071,0.0033350508,0.0058379038,0.0038941564
07/03/1963,0.0065607844,0.0061490883,0.0066026807,0.0052907092,0.0078589961,0.0040622873,0.005039155,0.0061643076,0.0059656237,0.0041616882
07/05/1963,0.0046993334,0.0030156834,0.0028009696,0.0028334825,0.0035686428,0.0032752298,0.0042274424,0.0015984467,0.0047848196,0.0036776822
07/08/1963,-0.007026707,-0.00431521,-0.003743126,-0.003211636,-0.006182159,-0.005994338,-0.008592666,-0.005787282,-0.00227145,-0.004632915
07/09/1963,0.0042955354,0.0054971353,0.0050002687,0.0052992107,0.0031032418,0.0067055343,0.0061788121,0.0056644566,0.0057924767,0.0041814424
07/10/1963,-0.001607791,-0.002638099,-0.001777944,-0.001615412,-0.002424912,-0.003312665,0.0016657794,0.0011480345,-0.000538668,0.0013843337
07/11/1963,-0.001716604,-0.001529673,-0.000288797,-0.001918723,-0.001817702,-0.002529861,0.0022922225,-0.00275158,-0.000176905,0.0008489469
07/12/1963,-0.0007336,-0.00147751,-0.0028529,-0.002819763,-0.001461944,-0.000769501,-0.000801795,-0.000723533,0.0012765425,0.0019932184
07/15/1963,-0.006216201,-0.005198481,-0.00642021,-0.007233074,-0.006832769,-0.00598097,-0.006520066,-0.007880911,-0.005023305,-0.002218935
07/16/1963,-0.000373134,0.0009889765,-0.003726557,-0.000814336,-0.001409891,-0.00249132,-0.001557803,-0.002790829,-0.001296384,0.0010370862
07/17/1963,-0.0030173,-0.003777774,-0.003006475,-0.002191315,-0.004610793,-0.003083151,-0.004071018,-0.002082145,-0.006022901,-0.002619364
07/18/1963,-0.005680088,-0.004332716,-0.004490033,-0.004486061,-0.007181627,-0.004380342,-0.002580456,-0.003414881,-0.002305419,-0.006401544
07/19/1963,-0.001527797,-0.003438195,-0.003088105,-0.00300376,-0.002413919,-0.005906571,-0.000500512,-0.002786503,-0.003147182,-0.004889159
07/22/1963,-0.006527455,-0.006717882,-0.008205295,-0.007364127,-0.007259921,-0.005388346,-0.010982542,-0.011269862,-0.008864661,-0.006152263
07/23/1963,0.001264297,-0.000551753,-0.003983154,-0.00282795,-0.003573504,-0.000028328,-0.002528881,0.0005044173,-0.000304313,-0.000346955
07/24/1963,0.00523679,0.0048026117,0.0027705078,0.0037669474,0.0014560243,0.0037938955,0.0050610262,0.0025702326,0.0040307124,0.003278357
07/25/1963,-0.000800166,0.0005517727,-0.000070751,0.00180092,0.0010131769,0.0024093596,0.0007796313,0.0006678146,-0.001227109,0.0006738947
07/26/1963,0.004399696,0.001758053,0.00426829,0.0011502229,0.002151227,0.0012456723,0.0017122063,0.0022541173,0.0029258954,0.001834078
07/29/1963,0.0015228515,0.0024836067,-0.000926349,-0.000059944,0.000644131,0.00012335,-0.000925173,-0.001724246,-0.001740912,0.000162929
07/30/1963,0.0098932877,0.0066769939,0.006117422,0.006080628,0.0049594544,0.0060808933,0.0045280703,0.0050531032,0.0049295874,0.0038621882
07/31/1963,-0.001067819,-0.001915504,-0.001747801,-0.00084659,-0.001793511,0.0007862778,-0.000906012,8.714438E-6,-0.001606803,-0.000491901
08/01/1963,-0.000567384,-0.000334234,0.0007246395,-0.001659911,-0.002340856,0.0018432431,-0.004791641,-0.004708761,-0.00237541,-0.003557294
08/02/1963,0.0033592655,0.0033173839,0.0021576161,0.0015052535,0.0008543051,0.0029091482,0.0007522494,0.0016327344,0.0040317972,0.0009625905
08/05/1963,0.0061169618,0.007028158,0.0053778541,0.0048722419,0.0042290618,0.0014952199,0.0050012877,0.003529947,-0.000674662,0.0014881881
08/06/1963,0.0074274429,0.003350943,0.0042009624,0.0034829028,0.0043521325,0.0048913344,0.0039691736,0.0020268028,0.0027670091,-0.00105266
08/07/1963,-0.002776139,0.0014469356,-0.000174011,-0.001002014,0.0002759599,0.0005492705,-0.002447889,-0.000771286,-0.004275226,-0.000668225
08/08/1963,0.0021041125,0.0005122563,0.0008000915,0.0001005018,-0.000637879,0.0037665597,-0.00269569,-0.000747281,0.0020617376,0.0000607314
08/09/1963,0.0063155904,0.0056783166,0.0054806006,0.0058762006,0.0083002961,0.0044524139,0.0048453297,0.0053138203,0.0051152035,0.0055637495
08/12/1963,0.0013109699,0.0058280392,0.0034672466,0.00602913,0.0022791762,0.0063455482,0.0042395211,0.0066376133,0.0037605391,0.000446937
08/13/1963,0.0036774746,0.0018296009,0.0012995691,0.0020423967,-0.000348985,-0.00037028,0.0005640694,-0.001207145,-0.001518916,0.0017792818
08/14/1963,0.0035097691,0.002559064,0.0010189439,0.0038413911,0.0032144003,0.0032378763,0.0026049175,0.00167832,-0.000299125,0.0017325255
08/15/1963,0.0046425986,0.0047234157,0.0043488214,0.0029548535,0.0031153322,0.0024181136,0.0044593081,0.0036976748,0.0016712931,0.0032981542
08/16/1963,0.0010853115,0.0026509109,0.0042007722,0.0019745469,-0.000601422,0.0030501038,0.002447608,0.0039912835,0.0032014006,-0.000312332
08/19/1963,-0.000667046,0.0008751708,-0.000861195,0.0016376808,0.0010660537,-0.000574487,-0.001064706,-0.000293445,-0.002939297,-0.002385284
08/20/1963,-0.000579183,0.0007269853,-0.00128174,-0.0001905,0.0005704776,-0.001270801,0.0021102828,-0.002619107,0.0000474966,-0.001130436
08/21/1963,-0.00189611,-0.000317281,0.0002410942,0.0030129503,0.0003134967,-0.000083125,0.0055343317,0.0030339647,0.0006927293,0.0009560574
08/22/1963,0.0035590081,0.0040007059,0.0047122612,0.0052848532,0.0054080285,0.0060869056,0.0063750172,0.0059013578,0.0036000097,0.004845099
08/23/1963,0.0035405256,0.0020917184,0.0046820695,0.0029348362,0.0044479922,0.0051461203,0.0045885118,0.0023171071,0.0044701827,0.0029057564
08/26/1963,0.0021855167,0.0011027281,0.003176559,-0.000239752,0.0001597327,0.0022772859,0.0010091579,0.0021607271,0.0022170373,0.0019621538
08/27/1963,-0.004832476,-0.002521059,-0.003181882,-0.003511913,-0.005164654,-0.003895984,-0.005194335,-0.002473063,-0.003637716,-0.002183581
08/28/1963,0.0080211221,0.005491952,0.0080141532,0.0081576711,0.009335178,0.0094596677,0.0100625288,0.0089604347,0.0080930375,0.0066534483
08/29/1963,0.0014815249,0.0028817248,0.0028347857,0.0017415512,0.0025204949,0.002311722,0.0044404606,0.0042071294,0.0016435166,0.0012334528
08/30/1963,0.0046830523,0.0035067879,0.0045064985,0.005051385,0.0025343184,0.0050138401,0.0072707069,0.004758452,0.0057127768,0.004004573
09/03/1963,0.0023634154,0.0020827096,0.001428112,0.0032567094,0.0031188441,0.0025306817,0.0040001858,0.005417906,0.003782635,0.0035932663
09/04/1963,-0.000084493,0.0002488846,0.0001579917,-0.00009088,0.0017042173,0.0010834965,0.0003240952,0.0021754835,-0.001856025,0.0000333959
09/05/1963,0.0056978928,0.0033979504,0.0041761174,0.0027059853,0.0026847513,0.0058556262,0.0036683392,0.0018277474,0.0031058793,0.0018376589
09/06/1963,-0.001617309,-0.005183075,-0.004618504,-0.004661858,-0.003457832,-0.003071989,-0.004331705,-0.004139607,-0.004011492,0.0006453904
09/09/1963,-0.002920184,-0.003086944,-0.006160332,-0.004050593,-0.003872726,-0.007664509,-0.005393171,-0.006808192,-0.004280494,-0.004788993
09/10/1963,0.0054477299,0.005262027,0.0048969687,0.0043966426,0.0063154042,0.0052644472,0.0042361526,0.0054303539,0.0044803069,0.0021864437
09/11/1963,0.0034353288,0.0007370384,0.0013218234,0.0003400727,0.0019232856,0.0013923952,0.000022183,0.002634716,0.0007253794,0.0002056706
09/12/1963,-0.000749856,-0.000823035,-0.00116425,-0.000483981,-0.000610744,-0.001378343,-0.000921183,-0.000595328,0.0000866649,0.0004047502
09/13/1963,-0.000445217,0.001800545,0.0012986942,-0.000385919,0.0028103413,0.0039090036,0.0028650768,0.0017947317,0.0069978465,0.005679489
09/16/1963,-0.001673924,-0.002040062,0.001199206,-0.001267136,-0.004363887,0.0017907044,-0.001993583,-0.000441255,0.0004651081,0.0020514187
09/17/1963,0.0007608548,0.0000204506,0.0000471595,0.0003912072,-0.000737997,-0.001471531,0.000490132,0.0010710106,-0.000576105,-0.000232478
09/18/1963,-0.004169726,-0.003958473,-0.00490863,-0.003423758,-0.004716501,-0.003646327,-0.005590944,-0.001487068,-0.004877335,-0.001842165
09/19/1963,0.0058547248,0.0057627589,0.0048083536,0.0026669575,0.0049701172,0.0024263984,0.0027845308,0.0029044678,0.002907496,0.0025579403
09/20/1963,0.0008063071,0.0002464233,0.0007382411,-0.002211796,-0.000234844,-0.000455655,0.0026792367,-0.001035135,0.0003581056,-0.000550247
09/23/1963,-0.004098566,-0.006591047,-0.005206672,-0.006852843,-0.006792428,-0.005208884,-0.008512481,-0.007186685,-0.00542803,-0.002171219
09/24/1963,0.0051558017,0.0006484533,0.0025389108,-0.000160254,0.0010257367,-0.001589189,0.002464662,-0.000013938,-0.002182279,-0.001640337
09/25/1963,-0.00511025,-0.005553033,-0.007237872,-0.006784423,-0.005810876,-0.007806284,-0.010426096,-0.007909492,-0.008507131,-0.006346466
09/26/1963,-0.008702107,-0.007302567,-0.006570681,-0.007713755,-0.00581927,-0.003375099,-0.005483745,-0.008351117,-0.007211624,-0.002205816
09/27/1963,-0.002534611,-0.000961238,0.0010694576,-0.001659357,0.0008172956,0.0006802763,0.001222625,-0.00053453,-0.000487346,0.0027146231
09/30/1963,-0.006695476,-0.004858781,-0.004367339,-0.003138618,-0.005449831,-0.005982508,-0.00313293,-0.002668582,-0.002608112,-0.001809156
10/01/1963,0.0076667939,0.0054256733,0.0039040587,0.003541059,0.0043050586,0.0061314122,0.0041830148,0.0053424595,0.0037788099,0.003166861
10/02/1963,0.0015066177,0.0029667309,-0.001183523,-0.00247724,-0.000477161,-0.000703119,0.0006148984,0.0009151973,0.0009338473,-0.002321276
10/03/1963,0.0065009071,0.00841441,0.0058435415,0.0088324216,0.0062621289,0.0044701791,0.0106800247,0.0060304322,0.0060436184,0.0046987563
10/04/1963,0.0003089753,-0.000069425,-0.001643153,0.0008258053,0.0001650771,0.0014615637,0.0019217169,0.0005476147,-0.002103847,0.002195631
10/07/1963,-0.002476768,-0.001985443,-0.001552087,-0.001261538,-0.000868571,-0.000792342,0.0001925822,-0.000570275,-0.001509152,-0.001913639
10/08/1963,-0.001920831,0.0001079769,-0.002322287,0.0005234622,0.0034224014,0.0026619392,0.0000728688,-0.000706864,-0.001181821,0.0011259871
10/09/1963,-0.006070733,-0.006018358,-0.006255044,-0.004652198,-0.006002074,-0.007343311,-0.005250301,-0.003691847,-0.003991605,-0.003385648
10/10/1963,0.0012687699,-0.000295276,0.000694949,-0.000318532,0.001797941,-0.001566835,0.0048436711,0.0044702779,-0.000723164,-0.001832166
10/11/1963,0.000563723,0.0024211092,0.0009770897,0.0056795694,0.0032912929,0.0037155104,0.0060957942,0.0049383329,0.0041572178,0.0064027326
10/14/1963,0.0006979362,0.0010536265,-0.000361849,-0.000098932,0.000237201,-0.000728547,0.0012142071,0.0034608447,0.0009118796,-0.000911339
10/15/1963,0.0019376525,0.0025143081,0.0003870393,0.0013524462,0.0028815159,-0.000734781,0.0002591895,-0.000596981,-0.000353308,0.0016294495
10/16/1963,0.0101488324,0.0077327807,0.0067728251,0.0063665334,0.0042771014,0.0082267308,0.0052657735,0.010039318,0.0041066431,0.0034568859
10/17/1963,0.0008158628,0.0025534268,0.0038343579,0.0028169843,0.0054599792,0.0024074134,0.0016069927,0.0019045003,0.0015479074,0.003833859
10/18/1963,0.0003125049,0.002566993,0.0016346836,0.0011877601,0.0051830429,0.0009562401,0.00290976,0.0036239486,0.0045973344,0.0003759165
10/21/1963,0.0009732239,0.0007436488,-0.000729829,-0.000544764,-0.000632523,-0.005035006,0.0005496374,-0.001076911,-0.002038786,-0.001439201
10/22/1963,-0.006356815,-0.003003122,-0.001688678,-0.003771902,-0.005021693,-0.004299244,-0.004660911,-0.005744571,-0.003666534,-0.004221458
10/23/1963,0.0007508251,-0.000930823,0.0012095097,0.0004471447,0.0021876119,0.0005116462,-0.003742335,-0.00147606,-0.001009758,0.0004063806
10/24/1963,0.003776559,0.0042272062,0.0019200201,0.0034680807,0.0003786906,0.0055023474,0.0041382864,0.0044390368,0.0014986635,0.0034257952
10/25/1963,0.0126712418,-0.000948022,0.001851324,0.0032932285,0.0001924314,0.0032485537,0.0047051232,0.0011865618,-0.000385107,0.0023419079
10/28/1963,0.0074577765,-0.001027104,-0.000021539,-0.001951598,-0.005480739,-0.004152744,-0.003953795,-0.001295132,-0.003497156,-0.005310553
10/29/1963,0.0008087568,-0.001108035,-0.002448795,-0.004211228,-0.004215734,-0.00394887,-0.00005152,-0.001624986,-0.001453087,-0.002154755
10/30/1963,-0.009345205,-0.006119795,-0.003637819,-0.004085943,-0.002221306,-0.003367955,-0.005819328,-0.004839786,-0.003480014,-0.004488436
10/31/1963,0.0028274986,0.0003073599,0.0018763978,0.0009771922,0.0014528118,0.0024415586,0.0024739498,0.002548209,0.0014017597,-0.000361921
11/01/1963,-0.002775171,0.0007631541,0.0003628597,-0.000103987,0.0007694021,0.0002617132,0.0007490791,0.0026068326,-0.000053419,0.0002489313
11/04/1963,-0.004312904,-0.004718147,-0.002605613,-0.002924385,-0.004127095,0.0000388266,-0.005948557,-0.004056734,-0.003700798,-0.00589322
11/06/1963,-0.008364558,-0.005471832,-0.006106125,-0.006921315,-0.005160025,-0.004248218,-0.007020119,-0.007337748,-0.00488116,-0.007463586
11/07/1963,0.0030293029,0.0052007993,0.0043084429,0.0033691358,0.0032311008,0.0018986035,0.0054346143,0.0027982297,0.0004347026,0.0023225421
11/08/1963,0.0054912717,0.0058953741,0.0061687078,0.00648167,0.0018282189,0.007875063,0.0038602615,0.0057213861,0.005014411,0.0067358293
11/11/1963,0.0010436521,0.0033714781,0.0050678992,0.0039140329,0.005562446,0.0015128393,0.0038021693,0.0073577104,0.006751144,0.0044751202
11/12/1963,-0.003746058,-0.003820111,-0.003814708,-0.003063478,-0.002158966,-0.003172632,0.0002251438,-0.000105993,-0.000463118,-0.00244091
11/13/1963,0.0009391674,-0.000037935,-0.000419053,0.0004379995,0.0019960358,0.0003375014,0.0010743872,0.0002720427,0.0014567633,0.0005119269
11/14/1963,-0.005218194,-0.0018353,-0.001164026,0.0008351412,-0.002950815,-0.003043216,-0.004216659,-0.0011114,-0.002190639,0.0023409565
11/15/1963,-0.009015439,-0.00479947,-0.002543275,-0.002774414,-0.006914586,-0.004642387,-0.007455147,-0.003012791,-0.004398113,-0.003374282
11/18/1963,-0.007342832,-0.00656563,-0.007302506,-0.007952625,-0.006380209,-0.006380632,-0.007087507,-0.007906005,-0.006390067,-0.005975636
11/19/1963,0.0015371853,0.0020764802,-0.000375388,-0.000896076,0.0000250539,0.0009173323,-0.000879311,-0.001904689,-0.001907449,-0.00165877
11/20/1963,0.0126546928,-0.000395411,-0.001754367,-0.001401691,-0.002456406,-0.001111986,-0.002510795,-0.00224092,-0.005764157,-0.005676037
11/21/1963,-0.012752342,-0.01168643,-0.009895872,-0.010790077,-0.010977198,-0.013294268,-0.01409447,-0.013809853,-0.011543892,-0.012342796
11/22/1963,-0.029315878,-0.025185402,-0.023567459,-0.030144478,-0.027872459,-0.032697623,-0.039046676,-0.032899141,-0.037335698,-0.029502651
11/26/1963,0.0434246734,0.0349092272,0.025815941,0.037888349,0.0271688598,0.0293792149,0.0403009055,0.0318710571,0.0299981124,0.0178169976
11/27/1963,-0.001942962,-0.002015823,0.0001246426,-0.003371371,0.0012997937,0.0011696078,0.0030670291,0.0009480857,0.0022257496,0.0042018849
11/29/1963,0.0131539758,0.0126118817,0.0155334639,0.017436969,0.0106281373,0.0135350287,0.016317892,0.0191910832,0.0151366853,0.0165522557
12/02/1963,0.0069174784,0.0035177328,0.0024059938,0.0000447425,0.0035308203,0.0027928368,0.0031393014,0.0032555036,0.0022367301,-0.00139082
12/03/1963,-0.000604619,0.0019178118,-0.001119869,0.0008044779,-0.002861188,-0.001699578,0.0022679059,-0.003235102,-0.002973403,-0.003463698
12/04/1963,0.0018255865,0.0034398085,0.0066021221,0.0035450164,0.005289968,0.0038064546,0.0046365045,0.0035191354,0.002384703,0.0019172123
12/05/1963,0.0068550873,0.0060785862,0.0041622142,0.0036780911,0.0031806962,0.0003406194,-0.000156503,-0.000042696,-0.004948875,-0.000021069
12/06/1963,-0.004162483,-0.000950051,0.0005146805,-0.001190694,-0.001435838,0.0002136761,-0.003497777,-0.003838911,-0.000333607,0.0003520942
