date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0087177492,0.0084247306,0.0095874272,0.0075765992,0.0058188709,0.0059627055,0.0065099217,0.0071709273,0.0146036413,0.0057966221
07/03/1963,0.0061042982,0.0066581987,0.0061876495,0.0070588264,0.0051702293,0.0047540831,0.0070437108,0.0133540169,0.0055322371,0.0053031293
07/05/1963,0.0046758163,0.007410363,0.0055293403,0.003109356,0.0021016646,0.0029075198,0.0007718957,0.004025214,0.0064511308,0.0017139563
07/08/1963,-0.00744601,-0.006531851,-0.003908721,-0.00640751,-0.002880919,-0.006566408,-0.002843416,-0.00580299,-0.012050138,-0.001646389
07/09/1963,0.004540609,0.0019633153,0.0023155241,0.0067899644,0.0039779461,0.0051425286,0.0066268712,0.0023456423,0.0041538432,0.0036950896
07/10/1963,-0.001410926,-0.000150746,-0.003892605,-0.001698926,-0.000197292,-0.004025429,-0.001848336,-0.004567632,-0.004290214,-0.001298486
07/11/1963,-0.000940429,-0.002596672,0.0007022463,-0.000981482,-0.004170484,-0.001100502,-0.00039164,-0.005970099,-0.005143129,-0.003251721
07/12/1963,0.0004869417,0.000313604,0.0009120013,-0.004335266,-0.000098008,-0.004167809,-0.001853398,0.0005680478,-0.002568999,-0.000040493
07/15/1963,-0.004622989,-0.005709899,-0.005920645,-0.007294487,-0.008854028,-0.006559684,-0.007506587,-0.007880291,-0.008082137,-0.008260509
07/16/1963,0.0000222599,-0.000109053,-0.001812206,-0.000571757,-0.001181827,-0.001177994,0.0004175609,-0.00315654,0.0030264852,-0.001359078
07/17/1963,-0.002906719,-0.000274157,-0.005373588,-0.002274424,-0.001640408,-0.003698915,-0.004358615,-0.004506581,-0.00524965,-0.004951303
07/18/1963,-0.00419816,-0.005022332,-0.002492403,-0.008574293,-0.00306367,-0.006592124,-0.004080777,-0.006055994,-0.008354518,-0.005363459
07/19/1963,-0.000293089,0.0000969337,-0.004962661,-0.002251884,-0.0033547,-0.000356044,-0.005741029,-0.005703527,-0.002464811,0.0008561319
07/22/1963,-0.006239067,-0.004187249,-0.006517232,-0.007458174,-0.008593308,-0.010002195,-0.009740237,-0.009252265,-0.006661059,-0.005457976
07/23/1963,0.0016542069,-0.001488578,-0.001272037,0.0023920847,-0.00056258,0.0001951769,0.002968954,-0.001013289,0.0012187861,-0.000408713
07/24/1963,0.0021001464,0.0055864622,0.0056510301,0.007423375,0.0088875238,0.0042840591,0.0033535265,0.0037394479,0.0074643253,-0.000202066
07/25/1963,-0.001062181,0.0030321441,-0.002490274,-0.000288938,0.0009592993,0.0012505829,-0.002053096,-0.001199044,-0.000430102,0.0010375548
07/26/1963,0.0032754214,0.0033406109,0.0024416295,0.006744263,0.0034493811,0.0023595268,-0.001120279,0.0019353303,0.0055498006,0.0053962256
07/29/1963,0.000448737,0.0055353322,0.0007119458,0.0011537415,0.0006310501,-0.000615447,0.0014569693,0.0034301878,0.0008214756,0.002496739
07/30/1963,0.0083436151,0.0043650245,0.0102581722,0.0141829388,0.0077770816,0.0061933385,0.0056542972,0.0090575907,0.0051611063,0.006349053
07/31/1963,-0.00264147,0.0015421005,0.0009261905,-0.001778686,-0.000492452,-0.001298119,0.0012179921,-0.002444062,-0.006613299,-0.002636535
08/01/1963,0.0002673972,-0.002689327,-0.001070695,-0.000302165,-0.000670311,-0.002069854,-0.000081264,-0.000932065,-0.001615274,-0.002202042
08/02/1963,0.0022937264,0.0031441155,0.0032967941,0.0039679632,0.0070160325,0.0014075393,0.0017020178,0.0005861273,0.0036733077,0.0027947684
08/05/1963,0.0050953943,0.0047627458,0.0048784591,0.0062945407,0.0092785184,0.0081537125,0.0043678613,0.0008340359,0.0088069165,-0.001090797
08/06/1963,0.007412908,0.0043883967,0.0084107513,0.0052606361,0.0082204048,0.0084733343,0.0034866574,0.0017270108,0.008076299,0.0004753014
08/07/1963,-0.003983016,0.0006317611,-0.000244241,-0.00251776,0.0004123529,-0.002459916,0.0007134367,-0.003165435,-0.00759288,-0.001165476
08/08/1963,0.0042001112,0.0030661692,-0.000489972,0.001172866,0.0012618369,-0.00355291,0.0001566633,0.0010473527,0.0021917996,-0.001251186
08/09/1963,0.0075211507,0.0079399147,0.0060256534,0.0044903227,0.0033035895,0.0071774531,0.0050612976,0.005432613,0.0083824418,0.0021760114
08/12/1963,0.0021610471,-0.000181893,0.0028457639,0.0010025783,-0.000991202,0.0074949585,0.0060163221,0.0068039187,0.0067162636,0.0032437934
08/13/1963,0.0022161785,0.000421994,0.0041850688,0.0034842328,0.0049995728,0.0022352304,0.0040324289,-0.001373058,0.0040105768,0.0019705615
08/14/1963,0.0046352505,-0.00165573,0.0031685313,0.0039443226,0.0044990176,0.0106153185,0.0043713923,0.001534517,-0.001395962,0.0048709575
08/15/1963,0.002794835,0.0050782071,0.001348408,0.008143244,0.007697571,0.004538958,0.0039333019,0.0027570943,0.006226739,0.0022789556
08/16/1963,0.000844745,0.0023427784,0.0028540856,-0.000025466,0.0015838309,0.00035477,0.0067772262,0.0030799123,0.0068336871,0.0011122192
08/19/1963,0.0015386492,0.0028592923,-0.002354154,-0.002020079,-0.000836531,-0.003304931,-0.002888502,0.000779573,-0.001533215,0.001919619
08/20/1963,-0.002111755,0.001849115,0.000504385,0.0011468325,-0.000700447,-0.001832635,-0.001932961,-0.004808143,-0.000681296,0.0002203149
08/21/1963,-0.001300514,-0.000010611,-0.000382403,-0.003715559,-0.001257012,-0.001843669,0.001366379,0.0019986139,0.0014091316,0.0046116438
08/22/1963,0.0016504605,-0.00007724,0.0015005841,0.0071270666,0.0057111472,0.011810912,0.0039521056,0.0097197149,0.0059944475,0.0002571436
08/23/1963,0.0016295017,-0.001582271,0.0029237283,0.0078679899,0.0055388481,0.0050840408,0.0051486179,0.0038566316,0.011088865,0.0051710018
08/26/1963,0.0021074631,-0.000018614,-0.000946271,0.0037215804,0.0016424977,0.0030826475,-0.00019471,0.0000604136,0.0067876191,0.0039482693
08/27/1963,-0.005146478,-0.000599774,-0.003205275,-0.004946751,-0.003769941,-0.007131956,-0.004327112,-0.00141755,-0.009279474,-0.00303101
08/28/1963,0.006805547,0.006980483,0.0066137987,0.0073259352,0.0079941689,0.0106729881,0.0046388116,0.0044298058,0.012284643,0.008501192
08/29/1963,0.0000133705,0.0034955549,0.0029764948,0.0011382572,0.0030634893,0.0041079811,0.005303455,0.0068759221,0.0034573566,0.0034517754
08/30/1963,0.004559191,-0.000527123,0.0051320868,0.0058829064,0.0035839911,0.0067680784,0.0045619555,0.0062644971,0.0068911718,0.0041660932
09/03/1963,0.001304763,-0.002950998,0.0030605045,0.0042925162,0.0030917393,0.0067987934,0.003099331,0.0041128404,0.0030941859,0.0053837553
09/04/1963,-0.002409839,0.0029429497,-0.005391816,0.0036689083,-0.001137394,0.0022677538,0.0019061334,-0.001323538,-0.003236599,0.0008551892
09/05/1963,0.0066207901,0.0044227995,0.0045875687,0.0032536471,0.0049163099,0.007695605,0.0037984165,0.0025005935,0.0088827616,-0.00166003
09/06/1963,0.0000351899,-0.007171593,-0.001969109,-0.002141187,-0.002998177,-0.003812571,-0.002350439,-0.003990473,0.0019457257,-0.005703825
09/09/1963,-0.002669166,-0.003268201,-0.004261536,-0.003288466,-0.004317911,-0.003551992,0.0021868675,-0.003877591,-0.003828431,-0.003968661
09/10/1963,0.0028403642,0.0017972793,0.0050287073,0.0095903224,0.0049545016,0.0110144385,0.0058976399,0.0020502807,0.0134204589,0.0014318677
09/11/1963,0.0015771664,0.0031750355,0.0029850818,0.0047703364,0.0024502259,0.0028663502,0.0040539519,0.0018187704,-0.000515943,-0.002173293
09/12/1963,-0.001372422,-0.001126651,0.0030144334,-0.001150704,0.001985023,-0.002155075,-0.00090255,-0.005966958,-0.009694091,-0.00458456
09/13/1963,-0.000643162,0.0000447357,-0.000202401,-0.000077703,0.0043941335,-0.000121189,-0.001054437,0.000315177,-0.000842579,0.0029395409
09/16/1963,-0.001170306,-0.000511378,-0.005064698,-0.000625464,-0.000081876,-0.004353511,0.0003832332,0.001075114,-0.000637304,0.0021602754
09/17/1963,-0.000707929,-0.00345109,0.0014006342,0.0032333854,0.0041847495,-0.000822215,-0.002574502,0.0010059357,0.004643202,-0.002099188
09/18/1963,-0.003957749,-0.003452048,-0.003464327,-0.004711167,-0.004359845,-0.00749264,-0.001601816,-0.001711624,-0.004283643,-0.005085439
09/19/1963,0.0049677389,0.0022384382,0.0071614441,0.0065654942,0.0065409769,0.0078213392,0.005121203,0.0069537213,0.010834397,-0.001590752
09/20/1963,-0.000149926,-0.002063147,-0.004048841,0.00452259,0.00015411,0.0021696232,0.0007852868,0.0020714134,0.0014177573,-0.002908672
09/23/1963,-0.001528628,-0.004680603,-0.004141699,-0.006202066,-0.003681332,-0.008346488,-0.005893067,-0.013694432,-0.00857975,-0.007422587
09/24/1963,0.0110187118,0.0001640513,-0.00110458,0.0027866106,-0.002357764,0.0037094969,0.0035366496,0.0004350631,0.0096062028,-0.003207037
09/25/1963,-0.006079035,-0.005024009,-0.004558535,-0.002673696,-0.008781387,-0.010677247,-0.007387551,-0.006050717,-0.011779386,-0.005137789
09/26/1963,-0.00532544,-0.003594723,-0.010012185,-0.0117052,-0.009523857,-0.01199869,-0.007750882,-0.006701879,-0.015655516,-0.001028278
09/27/1963,-0.002320545,-0.000374279,-0.001453162,-0.002688419,-0.005078351,0.0000707994,-0.001519023,0.0051785174,0.000452621,0.0008670293
09/30/1963,-0.002086316,-0.007021295,-0.005636965,-0.011926626,-0.007138854,-0.006181067,-0.004402341,-0.005144608,-0.003941981,-0.00159701
10/01/1963,0.0052307047,0.0010739572,0.0059814402,0.0122155788,0.0040808462,0.0093469319,0.0060074834,0.0096814521,0.0143515005,0.008372655
10/02/1963,0.0000198052,0.0023004186,-0.000737407,0.0039737191,0.0041549746,-0.000409939,0.0021879401,-0.001040716,0.0002064823,0.0023763278
10/03/1963,0.0047156107,0.0033763971,0.0049688543,0.0052176416,0.0131458364,0.0159540234,0.0105040797,0.0157259114,0.0149778866,0.0046859121
10/04/1963,-0.002178103,0.0024532034,0.0038488955,-0.000177948,0.0021778518,-0.000182238,0.0025999426,0.0013083513,-0.002626175,-0.003826157
