date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0100345446,0.0050733537,0.0099952994,0.0071365501,0.0060164985,0.0083312902,0.0035634317,0.0065047283,0.0083928404,0.0193231547
07/03/1963,0.0134626495,0.0044339353,0.007941128,0.0049515742,0.0062285536,0.0061781199,0.0071163561,0.0043159755,0.0036171026,0.0072965559
07/05/1963,0.0118586965,0.0019150791,0.0037966598,0.0023786243,0.0069018863,0.002038266,0.0040796181,0.0023504371,0.0031852433,0.0068686749
07/08/1963,-0.010392481,-0.004117299,-0.00465582,-0.004906192,-0.004050258,-0.005293727,-0.005368961,-0.007049657,-0.00604603,-0.012928323
07/09/1963,0.0072828239,0.004490013,0.0068638778,0.002612809,0.0050711373,0.0023004618,0.0028287912,0.0045056206,0.0050245368,0.007919542
07/10/1963,-0.001330108,-0.000286616,-0.001104185,-0.003149336,-0.001414882,-0.001987222,-0.000126416,-0.001969293,-0.002278906,-0.003593545
07/11/1963,-0.003350665,0.0001870407,-0.001970211,-0.002715549,0.0012498834,0.0002456189,-0.002207761,-0.002959759,-0.001223191,-0.003722873
07/12/1963,0.0010047532,0.000211497,-0.002252729,-0.00151697,0.004960052,-0.001897798,-0.002714866,-0.002356298,-0.002843269,-0.002520152
07/15/1963,-0.011910181,-0.005535653,-0.004591339,-0.005142413,-0.00638052,-0.005622636,-0.004800821,-0.007793297,-0.00827789,-0.00282019
07/16/1963,-0.002880946,-0.001396153,-0.001735046,-0.000268377,-0.000344863,0.0011302915,-0.003919106,0.001184601,-0.002081436,0.0030124018
07/17/1963,-0.003350223,-0.004202744,-0.000293626,-0.003114691,-0.004365308,-0.003517811,-0.003899385,-0.001336052,-0.004651514,-0.00501865
07/18/1963,-0.009558791,-0.004444302,-0.003340916,-0.007325829,-0.00422095,-0.002980697,-0.005091152,-0.007853946,-0.003873521,-0.005853703
07/19/1963,-0.000417255,-0.003422601,-0.003697453,-0.002419269,-0.003503633,0.0004196396,-0.003484514,-0.001617178,-0.000926384,-0.002479407
07/22/1963,-0.009340841,-0.005647268,-0.006113069,-0.007021603,-0.007695259,-0.006302218,-0.007895002,-0.008251606,-0.006046217,-0.003608272
07/23/1963,-0.001490851,-0.000506623,0.0006529928,0.0005080656,0.0016855513,0.0024993524,-0.001003159,-0.001132932,-0.001104086,-0.000403781
07/24/1963,0.0102930503,0.0042589424,0.0053699049,0.0061388626,0.0054774673,-0.000423615,0.0045322006,0.0074071397,0.001505262,0.0050749201
07/25/1963,0.00128029,0.0011584208,-0.000063508,0.000860049,-0.000684849,-0.001145353,-0.000808659,-0.002237462,0.0002969697,0.0009711484
07/26/1963,0.0039461124,0.0015789813,0.0060578883,0.0019292217,0.0023945979,0.0028294141,0.0001198153,0.0082277536,0.0034246128,0.0045651974
07/29/1963,0.0036405828,0.0006216256,0.0006692565,0.0010992962,0.0003439457,-0.000012106,0.0016002866,0.0028058369,-0.000025806,0.0022438061
07/30/1963,0.0103219743,0.0053825129,0.0071886292,0.0073501281,0.0066052477,0.0061850738,0.0047385985,0.0158912012,0.0065173454,0.0156434243
07/31/1963,-0.002843019,0.0002834191,-0.001429728,-0.000229498,-0.000276255,-0.000066331,0.0039962621,-0.001747782,-0.002509871,-0.010766594
08/01/1963,-0.003596153,-0.000528983,-0.003615547,0.0006335872,-0.000342338,0.0021138019,0.0020060458,0.0030071947,-0.001568053,-0.006255634
08/02/1963,0.0038435523,0.00471988,0.0036060938,0.0045849172,0.00087123,0.0010561094,0.0055495737,0.0031800222,0.0021371289,-0.00026282
08/05/1963,0.0073110353,0.0043324225,0.0079039658,0.0038320188,0.0026204474,0.0069947761,0.0071113468,0.0075872658,0.0061944728,0.0088730768
08/06/1963,0.0090341,0.004999648,0.0038732569,0.0008149365,0.0091294066,0.0051207606,0.0054943576,0.0097330707,0.0105043269,0.0044475357
08/07/1963,-0.001698577,-0.000621531,-0.001694246,0.0009821611,-0.003971492,-0.001136871,-0.003013035,-0.001087897,0.0001639872,-0.003207425
08/08/1963,0.0024516844,0.001731522,0.0025813975,0.0007680202,0.0028333084,-0.000699708,0.0018435679,-0.000178826,-0.000719447,-0.000464975
08/09/1963,0.0114601304,0.0054626532,0.0041984761,0.0025490144,0.0085787472,0.0064729969,0.0061233545,0.0057002558,0.0041248254,0.0067310049
08/12/1963,0.0048296417,-0.001350229,-0.001107726,0.0051691245,0.002733524,0.0022698105,0.0055047795,0.0053019165,0.0045840439,0.0072372397
08/13/1963,-0.000507602,0.0016067655,0.0016021032,0.00154685,0.0049097946,0.0053614894,0.0038039242,0.0025209398,0.003550908,-0.000140412
08/14/1963,0.0012719862,-0.000116379,-0.000816245,0.0045326396,0.0045426974,0.0102404573,0.0068981282,0.0009799857,0.0004357658,0.0028517431
08/15/1963,-0.000162306,0.0054228668,0.0084441144,0.0063150019,0.0031230177,0.0003909676,0.0022063033,0.0055900562,0.0071098271,0.0016739122
08/16/1963,-0.000335194,-0.000619464,0.0015895588,0.0043248605,0.0014496995,0.0003409353,0.0017876732,0.0028219014,0.0034348519,0.0055960976
08/19/1963,-0.000037015,-0.001134143,-0.001173768,0.0022549987,0.0002820382,-0.000516915,-0.001987423,0.0008094536,-0.000371462,-0.002561719
08/20/1963,0.0001071461,0.0014008344,0.0003098965,0.0018562199,-0.002911096,-6.782407E-6,-0.002010618,-0.001675268,-0.000341705,0.0034798825
08/21/1963,-0.000827312,-0.00117959,-0.003353842,0.0013435025,-0.002975799,0.0009595209,0.0022301991,-0.000278016,-0.000220291,0.0000565224
08/22/1963,0.0071754396,0.0035071356,0.005815874,0.0023232951,0.0021950462,0.0014916675,0.0052174433,0.0043670963,0.0032226224,0.0077620707
08/23/1963,0.0018534982,0.0033028746,0.0054611016,0.0041549484,0.0018545347,0.0048295802,0.0016136057,0.000705071,0.0054364955,0.0080878904
08/26/1963,0.0010360869,0.0016310299,0.0021998034,0.0040117245,0.0017613966,0.0005747274,0.0017509032,0.0004910575,0.0035478197,0.0035202368
08/27/1963,-0.000351072,-0.001105668,-0.002461565,-0.003722511,-0.0060477,-0.00711659,-0.005914499,-0.004149498,-0.005099966,-0.010407068
08/28/1963,0.0097132844,0.0085443034,0.0071511777,0.0021337357,0.0064147742,0.0086417517,0.0084254807,0.0128753387,0.0096301988,0.0134950609
08/29/1963,0.0007314421,0.0011776189,0.0002292464,0.0010456478,0.0012301492,0.0021203254,-0.000567745,0.0082122336,0.0097901117,0.0067856114
08/30/1963,0.003707937,0.0035394639,0.003687174,0.0023004138,0.0072508567,0.0041258437,0.0041654071,0.0054921232,0.0037730392,0.0062290956
09/03/1963,0.0034082912,0.0007811876,0.0045724652,0.003298184,0.0007687868,0.002041042,0.0025125585,0.0029294428,0.0012472092,0.0035899071
09/04/1963,-0.002448889,0.0004979331,-0.000796885,0.0022331502,-0.003098734,0.0004341423,-0.000291254,0.0035653834,0.0038509445,0.0004021534
09/05/1963,0.0108935524,0.0061802963,0.0023956882,0.006015335,0.0026383068,0.0050992459,0.0044286746,0.0031332423,0.0068486372,0.0049415577
09/06/1963,-0.013302812,-0.002865642,-0.003727893,-0.000352867,-0.002368311,-0.002769449,-0.000601894,-0.003016951,-0.002149785,-0.00156179
09/09/1963,-0.00664266,-0.004697417,-0.003905402,-0.001907658,-0.003210983,-0.003476501,-0.002596753,-0.006492307,-0.000630394,-0.005019998
09/10/1963,0.0108591919,0.009651146,0.0072472782,0.0119305468,0.0025529293,0.0030490063,-0.000360392,0.0033003515,-0.000147204,0.0035947687
09/11/1963,-0.000512987,0.0047947969,0.006364271,0.0043675611,0.0026091875,0.0033264521,-0.000412989,0.0031850032,-0.002693866,0.0003556925
09/12/1963,-0.002916853,-0.000407027,-0.003490529,-0.002371595,-0.001356964,0.0013597873,-0.000186209,0.0014051444,0.0020684194,0.003684922
09/13/1963,0.0056994234,-0.001640119,0.0015357578,-0.002079156,0.0010836418,0.0020723687,-0.00101545,-0.000388901,0.0032590481,0.0033022306
09/16/1963,-0.003846514,-0.005518501,-0.000879729,-0.00260695,-0.000944678,-0.002199034,0.0019229885,0.0006069683,-0.003900883,-0.000601713
09/17/1963,-0.0000953,-0.001250236,-0.001586889,0.0012928163,0.0008051362,0.0015816982,0.0004206684,0.0008738597,0.003917378,-0.00358422
09/18/1963,-0.003435574,-0.007813275,-0.007722544,-0.005268478,-0.000123833,-0.006209275,-0.003549493,-0.002796282,-0.001061655,-0.001268576
09/19/1963,0.0104264779,0.0088879626,0.0034917142,0.0051496963,0.0033423671,0.0062049812,0.0055124088,0.0034291405,0.0053988878,0.0023819314
09/20/1963,0.0052388152,0.0018459954,0.0005062356,0.0033128119,-0.002329871,0.0001719913,-0.000092124,-0.003822523,0.000286055,0.0000235787
09/23/1963,-0.006005547,-0.007071083,-0.006465318,-0.006395025,-0.003007615,-0.003092332,-0.00388507,-0.00351265,-0.004203003,-0.008280719
09/24/1963,0.0037903098,0.0013604536,-0.001879347,0.0020917602,0.0144774506,-0.000121281,0.0038774267,0.0034916513,-0.003500246,-0.002993913
09/25/1963,-0.013584289,-0.009500538,-0.00764721,-0.006514335,-0.002380684,-0.003396027,-0.00482552,-0.003286967,-0.005047658,-0.005002373
09/26/1963,-0.015097904,-0.009915162,-0.007113353,-0.012547771,-0.005200871,-0.00685366,-0.006208548,-0.003623881,-0.005470634,-0.004873328
09/27/1963,-0.002318656,-0.000039725,-0.001902766,0.000173105,-0.001128808,-0.000708096,-0.005671135,-0.002819811,-0.00078756,0.0019337772
09/30/1963,-0.004040198,-0.004941888,-0.004876808,-0.007614026,-0.003042607,-0.005901762,-0.009796225,-0.004513657,-0.001519852,-0.003467545
10/01/1963,0.0063350891,0.0092764862,0.0064081697,0.0072733924,0.0043177751,0.0071709903,0.0089473586,-0.000182312,0.0085189545,0.0060920406
10/02/1963,0.0003343444,-0.000333769,0.0034225797,-0.00233707,-0.001132212,0.0020393193,-0.000060225,0.0055237493,0.0010624846,0.0002351202
10/03/1963,0.0101028319,0.0067780521,0.0082108279,0.0091332484,0.002924398,0.0064772934,0.0027566342,0.0067319444,0.0100473854,0.0091637073
10/04/1963,-0.0013883,-0.001637867,0.0014445553,-0.004666957,-0.000264508,-0.000267492,0.0018021112,0.0037535483,0.0007714094,0.0008700213
10/07/1963,-0.002010158,-0.003375917,0.0021312208,-0.002781069,-0.006517581,-0.002754094,0.0008605714,-0.005497238,-0.005400258,-0.002670618
10/08/1963,0.003327187,-0.003034115,-0.000018277,0.000040146,-0.000350282,-0.003598442,-0.000299335,-0.007220872,0.0033772724,0.0001318252
10/09/1963,-0.009768331,-0.003400255,-0.003273563,-0.004744843,-0.007310298,-0.004377959,-0.007803617,-0.010641352,-0.006471053,-0.010985252
10/10/1963,0.001386564,0.0027594235,0.0015553197,0.0001397202,-0.001636588,-0.000514266,-0.000036157,0.0020766047,0.00073293,0.0031351635
10/11/1963,0.001021311,0.0010227584,0.0015703097,0.0033079049,0.0026829478,0.0008220964,0.0005107972,-0.001525283,0.0048106395,0.005724059
10/14/1963,-0.000205661,0.001088528,0.0028488929,0.0012714929,-0.00036378,-0.000561058,-0.001109357,-0.000033874,-0.001969127,0.0043148889
10/15/1963,0.000428143,0.0001072245,0.0010687227,-0.001079663,0.0034260717,0.0048586359,0.0013217599,0.0033496807,0.0031974084,0.0030608413
10/16/1963,0.0061741073,0.0104693017,0.0101028718,0.0051942367,0.0079208902,0.0082581285,0.0091468902,0.0069752385,0.0160309445,0.0092627396
10/17/1963,0.0054312168,0.0022869722,0.0012262862,0.0028356082,0.0027444931,0.0001620123,-0.002534444,0.0005296553,0.0039292786,0.0044204908
10/18/1963,0.002474426,-0.001753032,0.0002739254,0.0017116772,0.0006928349,0.0006779517,0.0051086616,0.000970189,0.0016500386,0.0012234548
10/21/1963,-0.000612307,-0.000031849,0.0009874397,0.0028088271,0.0005501414,0.0017664151,0.0003130532,-0.000937982,0.0005764725,-0.003305553
10/22/1963,-0.005745393,-0.00953735,-0.006864581,-0.003941888,-0.006050166,-0.003290649,-0.001339486,-0.002523937,-0.004320641,-0.004372373
10/23/1963,-0.001719769,0.0032152736,-0.002362359,-0.000263269,0.0013107558,0.0047341067,-0.000552618,-0.00229536,0.0004154636,0.0033243343
10/24/1963,0.0063850485,-0.000897136,0.0053337902,0.0007212696,0.0051471231,0.0033806184,0.0041663698,0.0029014026,0.0074416165,0.0062827455
10/25/1963,0.0003666417,0.0139756554,0.0220431423,0.0008702346,0.0043565034,0.0013338399,0.0058170888,0.0023617232,0.0044750614,0.004181703
10/28/1963,-0.003577405,0.0060944473,0.012990036,0.0056500323,0.0050013295,-0.000181362,0.005512266,-0.004513708,-0.003625614,-0.00175019
10/29/1963,-0.003063126,-0.002468791,0.0022463758,0.0040219224,0.0007132578,0.0012212148,-0.003059123,0.0012659978,-0.002741559,-0.00637735
10/30/1963,-0.004152873,-0.009607631,-0.011326589,-0.007962578,-0.006372905,-0.005522521,-0.008339717,-0.002758974,-0.00757048,-0.006747657
10/31/1963,0.0024611452,0.0027129291,0.0047577471,0.0029019855,0.0006678918,0.0029627173,0.0003944699,-0.002560645,0.0034587902,0.0030243337
11/01/1963,-0.00585457,-0.003642456,-0.002939289,-0.004249153,0.0022018044,0.001889466,-0.002977407,0.0018682508,0.0018655962,0.0026115766
11/04/1963,-0.018761724,-0.00702736,0.0006294733,-0.001373151,-0.001502627,-0.003408531,-0.000890947,-0.005941658,-0.001337409,-0.003313459
11/06/1963,-0.010861291,-0.007456996,-0.008608304,-0.002913392,-0.004482776,-0.006519469,-0.008632886,-0.006041445,-0.012466594,-0.003713075
11/07/1963,0.0040646711,0.0053203066,0.0008631896,0.0016727483,0.0015689716,0.0034636034,0.0003899089,0.0064422632,0.0080711533,0.0104581512
11/08/1963,0.0049075782,0.0080220666,0.0084993341,0.005418763,0.003352825,0.0036948125,0.0023774697,0.0047183883,0.0062532425,0.0050741529
11/11/1963,0.0054526387,0.004346877,0.000543614,0.0003978057,0.0017741622,-0.000511639,0.0026696053,0.0004660235,0.0002877387,0.0066775791
11/12/1963,-0.005869008,-0.001459903,-0.003364404,-0.002861464,-0.003775372,-0.003761395,-0.005421694,-0.002538897,-0.001474028,-0.00534581
11/13/1963,0.0021620559,0.0008917982,0.0011222852,0.0027140808,-0.000623234,-0.000299369,0.0010279584,0.0005411375,-0.002389825,0.0001729234
11/14/1963,-0.011909137,-0.002353404,-0.006369215,-0.000788151,-0.000721919,-0.001686875,-0.00287848,-0.000302422,-0.00357086,-0.005123788
11/15/1963,-0.021929895,-0.004316053,-0.008668917,-0.002466293,-0.004365544,-0.003044266,-0.00835094,-0.00716992,-0.001968098,-0.00528723
11/18/1963,-0.004653563,-0.007048678,-0.008451761,-0.005871202,-0.005806974,-0.005783663,-0.009231656,-0.005700358,-0.010636411,-0.008160949
11/19/1963,0.0058867616,-0.00524863,0.0012562733,0.0041646151,0.0006097832,-0.000303309,0.0020879141,0.0018049209,0.000452143,0.0014201197
11/20/1963,0.000238876,0.0001806073,0.0316328582,0.007112274,0.001055774,-0.001975502,0.0027657042,0.0025090992,0.0063012974,-0.000573577
11/21/1963,-0.030560842,-0.014491991,-0.013497817,-0.013002216,-0.008278682,-0.006303739,-0.005760121,-0.005649865,-0.007407564,-0.011007454
11/22/1963,-0.0341525,-0.025457548,-0.03611959,-0.02678241,-0.023956302,-0.028970324,-0.030446076,-0.024003009,-0.01993465,-0.029036363
11/26/1963,0.0618535295,0.0326036342,0.0505686108,0.042637207,0.0354024415,0.0306279834,0.0366150907,0.0223469628,0.0254310738,0.0367052124
11/27/1963,-0.002056241,0.0025543041,-0.002392177,-0.000200816,-0.002736872,-0.001150863,-0.001137903,-0.000898012,-0.004620562,-0.002779022
11/29/1963,0.0134626697,0.0163248751,0.0160407971,0.0073431049,0.0136827647,0.009447236,0.0099598016,0.0143348329,0.0147947786,0.0180706062
12/02/1963,0.0071307689,0.0059561996,0.005798218,0.0058736723,0.0021574396,0.0087746649,0.0042976302,0.009075093,-0.002469705,0.0045503684
12/03/1963,0.0086380217,-0.00004057,-0.001868924,-0.00003002,0.0003210819,-0.002478585,-0.002533641,0.0006539261,0.0002962878,-0.004512453
12/04/1963,0.005810336,0.0007217689,0.0034268446,0.0024455285,0.004541666,-0.001914793,0.0027474949,0.003051276,0.003213369,0.0061305997
12/05/1963,0.0117089319,0.0034554308,0.0095836025,0.0027383435,0.0036808995,0.0077535786,0.0059584102,0.0062670978,0.0048776026,0.0031107771
12/06/1963,-0.005494848,-0.004366005,0.0004238465,-0.001978248,-0.001156927,-0.003332428,-0.001763147,0.0009229227,0.0003439062,-0.013770252
12/09/1963,-0.003346985,0.0026931268,-0.004264155,0.0003712736,-0.00271024,-0.003769511,-0.001412651,0.0009071907,-0.003370084,0.0051112732
12/10/1963,-0.001072353,-0.002110912,0.0014162758,0.0004269774,0.0037937542,0.0020331573,-0.00233556,0.0010972144,0.0011478263,0.0041864839
12/11/1963,-0.007704716,-0.000170002,-0.000258923,-0.000184037,0.0003723238,-0.000121079,0.0017941934,-0.000586068,0.0013278788,-0.008993578
12/12/1963,-0.000152814,0.0003276043,0.0001918513,0.0007195854,-0.001532365,-0.001066973,0.0008139152,-0.001280591,0.0028129737,-0.001844127
12/13/1963,0.0005911415,-0.000395539,0.0030466394,0.0028051513,0.0032020812,0.0003360133,-0.000198952,0.0036528873,0.0046257841,0.0011520437
12/16/1963,-0.002528011,0.0001096849,0.0108358363,0.0021868435,-0.000933889,0.0022512536,0.0025598495,-0.001020528,0.0034920091,0.0081891815
12/17/1963,0.0002701739,0.0006332086,0.0039220795,0.003595153,0.0031521986,0.0041546286,0.0016287928,0.0052142243,0.0041979526,0.022692035
12/18/1963,-0.00209658,-0.0039733,0.0050116532,0.0027339672,-0.001788977,-0.000764843,-0.001216447,0.0013951327,0.00030868,-0.018322333
12/19/1963,-0.005979693,-0.001731053,-0.002228194,-0.001662019,-0.003085764,-0.002493381,-0.003009411,-0.004850835,-0.000209488,-0.008806391
12/20/1963,0.0022408545,-0.003618317,0.0028916895,-0.003264836,-0.001200922,-0.000064102,-0.003467305,0.0012860512,-0.00151108,-0.012483333
12/23/1963,-0.005877801,-0.003763044,-0.006075926,-0.007904987,-0.006715953,-0.005002203,-0.004072322,-0.004666705,-0.00668086,-0.008871132
12/24/1963,-0.002249795,0.0020788776,-0.007000951,0.0059091425,-0.000233427,0.0004253384,0.0053279829,-0.000655851,0.0057317852,0.0211605327
12/26/1963,0.0090464822,0.0029038792,0.0060843158,0.0052586542,0.0053523413,0.0072723639,0.0044179362,0.0010188155,0.0060828203,0.0012884609
12/27/1963,0.0035708127,0.0015576545,0.0015551892,0.0024110699,0.0035615758,0.002717576,0.0037433372,0.0039857007,-0.000352715,-0.006692893
12/30/1963,-0.001048436,0.0039647594,0.0000499372,0.0003036909,-0.001175787,0.0049681604,-0.000454628,-0.001180291,-0.003192655,0.0045749832
12/31/1963,0.0068745214,0.0040120103,0.0062793197,0.003778019,0.0032830839,0.0099757431,0.0083693936,0.0048937195,0.0075895234,0.0028612936
01/02/1964,0.0044983655,0.0008592032,0.0059684508,0.0033652079,0.002025247,0.0091124542,0.0110414555,0.0106726804,0.0134638991,0.0166157539
01/03/1964,-0.001926406,0.0035507384,-0.001456963,0.0006292702,0.004172328,-0.001469456,0.0055089799,0.0017698209,0.0117693549,0.0074613369
01/06/1964,0.0017946496,0.0011909716,0.0044353579,0.0048794658,0.0034727573,0.0013931202,0.0043063637,0.0023307753,-0.000261519,0.000809242
01/07/1964,-0.002580228,0.0041714012,0.0010917897,0.0001489501,0.0025687289,-0.00073432,0.0002306308,0.0000369935,-0.000554136,-0.004272826
01/08/1964,0.0004207058,0.0004968696,0.0028917902,0.0007804444,0.0039563467,0.0075801857,0.0047648678,0.0080069077,0.0005427438,0.0063470933
01/09/1964,0.0013037234,0.0016435302,0.0077909883,-0.000029063,0.0036546291,0.003973406,0.0036247227,0.0030569722,0.0013804912,-0.000551332
01/10/1964,0.0013934859,-0.001048136,0.0054258765,0.0023987407,-0.001871584,-0.003461025,-0.000323632,-0.005482045,0.0002061023,0.0003439066
01/13/1964,0.0062429776,-0.004694975,0.0020456874,-0.000318733,0.0016042451,-0.003241858,0.0023504826,-0.006432343,-0.003009989,0.0000886209
01/14/1964,0.0083781581,-0.001894255,0.0003764999,0.0028447323,0.0047679517,0.0017641985,0.0033115178,0.0069752259,-0.001058403,-0.010656129
01/15/1964,0.0034703554,0.0017268372,0.0143415642,0.0013355053,-0.00101065,0.0029495423,-0.002858183,-0.004163641,0.0016253594,-0.000387162
01/16/1964,-0.004383538,-0.000621694,-0.004703833,0.008414906,-0.001663285,-0.000820977,-0.001428934,0.0011856245,0.0001715729,-0.001520531
01/17/1964,-0.001928634,-0.002893503,0.0011211008,0.0013505661,-0.001905746,0.0024014958,-0.002686933,0.0046903173,0.0025098672,0.0028613751
01/20/1964,-0.009370315,-0.00362057,-0.000869215,-0.003428457,-0.002545937,0.0062806535,-0.001942099,-0.009983974,-0.005522737,-0.006200321
01/21/1964,0.000583467,0.0064620258,-0.005471598,0.0066340434,0.0016232252,0.0012244183,0.007832653,0.0050514061,0.0032318624,0.0017515549
01/22/1964,0.0049706284,0.0053212327,0.0070635478,0.0023799901,0.0104038698,0.0027861503,0.0055274416,-0.001546723,0.0038401801,0.0018219868
01/23/1964,0.0037988223,0.0043275446,0.0019300382,0.0026158086,-0.001928733,-0.003737725,0.0009270356,0.0036606483,0.0013594973,-0.000557237
01/24/1964,0.0002382427,0.0001265435,-0.001369113,-0.002003603,-0.000646011,0.0050188438,-0.000615531,0.0008475206,-0.00035378,-0.002347365
01/27/1964,-0.008480184,0.0050377121,-0.002804026,-0.002309162,0.0000468098,-0.001268263,0.0038289682,-0.006020152,-0.006398509,-0.003371677
01/28/1964,-0.00281264,0.0047711571,-0.004166035,0.0000724807,0.0026367387,-0.001605283,0.0008096086,0.0018087651,-0.002846788,-0.003097299
