date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/01/1973,,0.0076335878,-0.009174312,,0.0080645159,0,,0.0097465888,0.0144927539,-0.014423077
10/02/1973,,0.0833333358,0,,0,-0.027027028,,0.0115830116,0.042857144,0.0048780488
10/03/1973,,-0.020979021,0.0092592593,,-0.004,-0.027777778,,-0.007328244,0.0410958901,0.004854369
10/04/1973,,-0.021428572,-0.036697246,,-0.008032128,0.021428572,,-0.003861004,0.0526315793,-0.012077294
10/05/1973,,-0.00729927,-0.00952381,,0,0.0279720277,,-0.005813953,0.03125,0.0024449879
10/08/1973,,-0.007352941,0.009615385,,0.0040485831,0.0340136066,,0.0058479533,-0.018181818,0.0024390244
10/09/1973,,-0.044444446,0.0190476198,,0,0.0526315793,,0.0058139535,0.0679012313,-0.00486618
10/10/1973,,-0.015503876,0,,-0.008064516,-0.0125,,-0.001926782,-0.063583814,-0.007334963
10/11/1973,,-0.007874016,-0.028037382,,0,0.0569620244,,0,0.0679012313,0.0024630541
10/12/1973,,0,0.0192307699,,-0.00406504,0.0179640725,,-0.011583012,-0.01734104,0.0024570024
10/15/1973,,-0.031746034,0.0188679248,,-0.004081632,0.0352941193,,0,-0.029411765,-0.024509804
10/16/1973,,0.0163934417,0.0046296297,,0.0040983604,-0.022727273,,0.01171875,-0.012121212,-0.002512563
10/17/1973,,-0.024193548,-0.013824885,,-0.004081632,0.0058139535,,0.0038610038,-0.012269938,-0.002518892
10/18/1973,,0.0082644625,-0.009345794,,-0.012295082,-0.01734104,,0,-0.00621118,-0.01010101
10/19/1973,,-0.008196721,-0.018867925,,0.0041493778,0.0058823531,,-0.005769231,0.0125000002,0.0025510204
10/22/1973,,-0.024793388,0,,0.0041322312,-0.087719299,,-0.015473888,-0.024691358,-0.002544529
10/23/1973,,0.0084745763,-0.009615385,,-0.004115226,0.1025641039,,0.0019646366,0.0126582282,-0.010204081
10/24/1973,,0.0084033618,-0.029126214,,0.0041322312,-0.017441861,,0.0078431377,0,0.0128865978
10/25/1973,,-0.016666668,0,,0,0.0059171598,,0.0058365758,0.0187500007,0.0101781171
10/26/1973,,-0.025423728,-0.01,,0.0082304524,-0.011764706,,0.0174081232,0.0429447852,0
10/29/1973,,0.1043478251,-0.02020202,,0.0040816325,-0.011904762,,-0.005703422,0.0470588244,-0.005037783
10/30/1973,,0.0078740157,0,,-0.008130081,-0.030120483,,-0.013384321,-0.016853932,-0.012658228
10/31/1973,,-0.0078125,0,,0.0040983604,-0.018633541,,-0.015503876,-0.039999999,-0.005128205
11/01/1973,-0.00063044,0.0024734249,-0.020981735,-0.001998557,-0.015452249,-0.009843279,-0.007523123,0.0008917235,-0.005782632,0.0028102719
11/02/1973,-0.013516224,-0.000254011,-0.02152506,0.0014954088,-0.00165714,-0.01251885,-0.003287896,-0.006058784,-0.009237987,-0.001703558
