date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0040339921,0.0063921678,0.0129871944,0.0046265861,0.0074359171,0.0075235952,0.0072364173,0.0089125943,0.0118014634,0.0113964004
07/03/1963,0.0063534126,0.0071266886,0.0066026177,0.0049631216,0.0071500695,0.0043573022,0.007352213,0.0078504759,0.006761672,0.0075770311
07/05/1963,0.0067595681,0.0022599984,0.0045700534,0.0003457519,0.0106057538,0.0042009623,0.0021646492,0.004726027,0.0031895765,0.0045539659
07/08/1963,-0.005030658,-0.004784235,-0.008816685,-0.000861877,-0.008965731,-0.006754751,-0.00350947,-0.005945236,-0.006123596,-0.010343224
07/09/1963,0.0022551556,0.0026959527,0.0032487424,0.0023607235,0.0066548765,0.0039314405,0.0106758027,0.00706308,0.0030096163,0.0090517424
07/10/1963,-0.002259219,-0.002196137,-0.003345049,-0.00349302,0.0024684063,-0.001157502,-0.001743682,-0.000829499,-0.002638314,-0.003467248
07/11/1963,-0.003353721,-0.000852993,-0.001760599,0.0008827471,-0.000410124,-0.002950868,0.0000448224,0.0015461789,-0.003499105,-0.007446393
07/12/1963,-0.000849479,-0.001439955,-0.002103106,-0.001965976,0.0045683859,-0.002958304,-0.004343943,0.0047270295,-0.000725934,-0.002438376
07/15/1963,-0.00388986,-0.005164419,-0.005099222,-0.002385852,-0.01250464,-0.008194399,-0.002993833,-0.011293535,-0.009283138,-0.006688322
07/16/1963,-0.001572986,-0.002617626,0.0015133981,0.0007000881,-0.001077391,0.0003673472,-0.001257144,-0.0032566,-0.002031376,0.0025694125
07/17/1963,-0.005249821,-0.002405453,-0.003294392,-0.003363398,-0.002197545,-0.00301003,-0.000263509,-0.003001223,-0.003324671,-0.004001033
07/18/1963,-0.006483051,-0.003187166,-0.001702201,-0.007504397,-0.009754938,-0.007786091,-0.004244011,-0.000694857,-0.007358841,-0.00681712
07/19/1963,-0.000366122,-0.004889947,-0.000146618,-3.183864E-6,0.0006775624,-0.002289796,-0.001895177,-0.00842143,-0.003597369,-0.003179541
07/22/1963,-0.002936783,-0.006345562,-0.005602193,-0.006036939,-0.009095669,-0.008515033,-0.006399668,-0.008269611,-0.013214795,-0.005312618
07/23/1963,-0.00039956,-0.003906484,0.0015118871,0.0024515481,0.0030103336,0.0005117465,0.0020428723,0.0019118776,0.0043595012,-0.00330332
07/24/1963,0.001558697,0.0027142893,0.0033522186,0.0018661935,0.0083482452,0.0088042205,0.0044246018,0.0070518515,0.0111678244,0.0061222453
07/25/1963,-0.001762466,-0.000219769,-0.002644107,0.0042937225,0.0026695239,-0.001607014,0.0028598331,-0.001738133,0.0021493587,-0.005681209
07/26/1963,0.001742664,0.0016604215,0.0042062957,-0.000918804,0.0021296917,0.0088863253,0.0055921757,0.0051916676,0.0061774729,0.0055165434
07/29/1963,0.0026988056,-0.000162659,0.0010671791,0.0046239657,-0.000358874,0.0038036673,-0.002669717,0.003997442,-0.000125307,0.0042910143
07/30/1963,0.0060172268,0.0076839755,0.0085168912,0.004641518,0.0107056842,0.0181893167,0.0074374656,0.0068043147,0.0096072714,0.0074236389
07/31/1963,-0.001683261,0.0029493971,-0.004582709,0.0023934916,-0.002152833,-0.002268994,0.0004821775,-0.001924036,0.0003563449,-0.00405444
08/01/1963,0.0023917121,-0.002055656,0.0013001498,-0.00178816,-0.00163751,-0.001776769,-0.004515365,-0.00192576,-0.003427661,0.0003199389
08/02/1963,0.0040678439,0.0023304944,0.0013526423,0.0044657352,0.0027993602,0.0038441789,0.0061239051,0.0025122592,0.0026097269,0.0055366035
08/05/1963,0.0053221156,0.0051069406,0.0016221992,0.0100263383,0.0060898794,0.0049501436,0.0054041066,0.0099137704,0.0058958885,0.0105138029
08/06/1963,0.0062813473,0.0062058018,0.0095069368,0.0032278335,0.002029621,0.0069827143,0.0097839304,0.0050402973,0.004658652,0.0136681888
08/07/1963,-0.003346707,-0.001454482,-0.002245506,-0.001692518,-0.005381113,-0.000387062,-0.001265306,-0.000161823,-0.002225574,-0.002000991
08/08/1963,0.0023549546,0.0040663914,0.0017103569,0.0037328647,0.00161836,0.0002126613,-0.000668933,-0.000679985,0.0002412355,-0.002263483
