date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0040681243,0.0080211237,0.0048593058,0.0057060428,0.0106660981,0.0173999411,0.0047053205,0.0111319801,0.0122388973,0.0095440656
07/03/1963,0.0036985274,0.0052899318,0.0094078653,0.0066823662,0.0065144543,0.0075151702,0.0070261093,0.0086796932,0.0054112305,0.0042925637
07/05/1963,0.0016071397,0.0029978646,0.0092776111,0.004498799,0.0030410067,0.0050382837,0.0054399905,0.0042154362,0.0048049673,0.0043344228
07/08/1963,-0.000347922,-0.006254717,-0.011051849,-0.002849176,-0.006234411,-0.01146866,-0.006843279,-0.001407572,-0.006201684,-0.008534472
07/09/1963,0.0028856209,0.0012222105,0.0044844365,0.0019388958,0.0096990542,0.0084925491,0.0054433461,0.0054514945,0.003804944,0.0060954686
07/10/1963,-0.003366061,-0.001983885,0.0001827835,-0.002372601,-0.000602637,-0.00452334,-0.001044026,-0.000271732,-0.005363608,-0.000215655
07/11/1963,0.0010086714,-0.001028059,-0.002281847,-0.000919297,-0.000035016,-0.004019207,-0.00082449,-0.002534284,-0.005510473,-0.005872738
07/12/1963,-0.00093062,0.0000152591,-0.000443039,-0.003011595,-0.000773027,-0.002163308,-0.000234549,-0.001354145,-0.001237892,-0.002963146
07/15/1963,-0.004160411,-0.005426571,-0.008863612,-0.006276354,-0.005025982,-0.005404199,-0.008368067,-0.007506981,-0.008759148,-0.005760828
07/16/1963,-0.001302395,-0.000896291,-0.001471297,-0.000124414,-0.001895941,0.0027964668,-0.000562618,-0.000983031,-0.001515189,0.002560005
07/17/1963,-0.003819703,-0.004206299,-0.000278104,-0.001519434,-0.002296372,-0.003271148,-0.003405035,-0.003528385,-0.002040973,-0.005349932
07/18/1963,-0.000952127,-0.002631372,-0.007245058,-0.00534971,-0.004850374,-0.004847587,-0.010024338,-0.002195267,-0.007471691,-0.006750126
07/19/1963,-0.001112306,-0.000721389,0.0008308932,-0.002121821,-0.00524508,-0.001600691,-0.003308768,-0.003368023,-0.001783854,0.0003289204
07/22/1963,-0.002908171,-0.006719921,-0.006979311,-0.005251597,-0.008569583,-0.004823371,-0.00889379,-0.008968668,-0.011437708,-0.001290334
07/23/1963,-0.000866209,0.0015072152,-0.003109542,0.0013120483,0.0033653459,-0.003041525,0.0024250879,-0.000820817,0.0022921288,0.003654408
07/24/1963,0.0005651835,0.001462955,0.0075107587,0.003773069,0.0065799993,0.0036583844,0.0085501242,0.0131043357,0.0062031455,0.0014333144
07/25/1963,0.0052551415,-0.002873781,0.0043354734,-0.002058769,0.0005999502,0.0013107586,-0.002777542,-0.001280931,0.0042074103,-0.003682552
07/26/1963,0.0013388306,0.0038355711,0.0031097845,0.0007883186,0.0050530392,0.0010460978,0.0091759323,0.0035376206,0.004952316,0.0034260013
07/29/1963,0.0028303117,0.0014548118,0.0022001542,0.0008226895,-0.004109512,0.0012838477,0.003427128,0.0068519036,0.0004162732,0.0033971348
07/30/1963,0.0033615382,0.004801765,0.0075833762,0.007344223,0.0117965217,0.0157751745,0.0157217114,0.0065521269,0.010235261,0.0070451529
07/31/1963,0.0005321757,0.0021687398,-0.00173111,-0.000226115,-0.002964485,-0.007841707,-0.001278456,-0.001316453,-0.001321161,-0.004156025
08/01/1963,-0.001194813,0.0013058058,-0.001856078,-0.001387102,-0.000665104,-0.001766898,-0.000526176,-0.003241172,-0.001056415,-0.001951447
08/02/1963,0.0027900686,0.0023269181,0.0044728538,0.0065584837,0.0027075179,0.0027605832,0.0026191112,0.0025902246,0.0053409743,0.0036090486
08/05/1963,0.0013343478,0.0032868632,0.0054894289,0.0054408394,0.008713161,0.0054251233,0.007746987,0.0104787607,0.0070005359,0.0081184454
08/06/1963,0.001964568,0.0083226267,0.0041420184,0.0034532011,0.0096401178,0.0056028958,0.0054649904,0.0077441775,0.0069133631,0.008434138
08/07/1963,0.0022132939,-0.003690738,-0.002412891,0.0007460906,-0.002666378,-0.005528905,-0.000878352,0.0014866761,-0.000780018,-0.00515688
08/08/1963,0.0039105825,0.001937374,0.0020492019,0.0028389816,0.0012953953,0.0005188531,0.0017789312,-0.00036848,0.0001024818,0.0019254274
08/09/1963,0.0039223605,0.0070194015,0.0049043024,0.0083537252,0.0033805873,0.0101805759,0.0060908164,0.0016950591,0.0062144646,0.0091534378
08/12/1963,0.0020160914,0.0021624165,0.0008760698,0.0062423665,-0.000981681,0.002833377,0.0025891202,-0.000434261,0.0043897707,0.0057465889
08/13/1963,0.0002890729,0.000900913,0.0037397176,0.0014832077,0.0067732906,0.0015735636,0.0041169324,0.0052962632,0.0053433154,0.0015966372
08/14/1963,0.0008918516,0.0035061718,0.0013287124,0.0034304626,0.002764122,0.0031295394,0.014097561,0.0028730414,0.005207261,0.0006867933
