date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,0.0046972372,0.0071769426,0.0099900881,0.0118551092,0.0084983541,0.0049522285,0.0021080043,0.0107114511,0.0061469813,0.0156631648
07/03/1963,0.0020483,0.0074580951,0.0059293563,0.0088563058,0.0069088887,0.0062011967,0.0070843527,0.0068958884,0.0051629072,0.0050017184
07/05/1963,0.0017763185,0.0046210074,0.0033429183,0.0087520072,0.0036670588,0.004169462,0.0030434294,0.0039952421,0.0056590598,0.005168976
07/08/1963,0.0009680459,-0.008422136,-0.007440842,-0.009505694,-0.004233236,-0.003020369,0.0001537339,-0.009345169,-0.003648985,-0.007242396
07/09/1963,0.0021285789,0.0026078092,0.0074065969,0.0057300093,0.0048931857,0.003069189,0.0052372208,0.0042686435,0.0045926899,0.002618993
07/10/1963,-0.002178477,-0.00129146,-0.00088713,-0.001218697,-0.003345847,-0.004991205,-0.003050486,-0.00258036,0.0006874123,-0.005182252
07/11/1963,0.0021127077,-0.001699434,-0.000644535,-0.004301052,9.3841973E-6,-0.001588195,-0.002654627,-0.004932397,-0.004190775,-0.003535115
07/12/1963,-0.000752413,0.0000432029,-0.001877025,-0.001706449,0.0005438917,-0.003381753,-0.003348429,-0.00025905,0.0017316031,-0.001331115
07/15/1963,-0.003944815,-0.006865895,-0.008355211,-0.003454471,-0.005811561,-0.006353392,-0.008302104,-0.007309592,-0.005092901,-0.006209131
07/16/1963,-0.000806476,-0.001670831,0.0004585326,0.0003903057,-0.000803297,0.0007340121,-0.004156211,0.0012552127,-0.000874915,-0.000019468
07/17/1963,-0.002178873,-0.003535098,-0.001529865,-0.003513353,-0.004047405,-0.003035652,-0.003938993,-0.004497783,-0.002987871,-0.000950643
07/18/1963,-0.00140243,-0.003580534,-0.007494957,-0.005581693,-0.006286654,-0.005994288,-0.001572382,-0.007804117,-0.003625451,-0.006696632
07/19/1963,-0.000542339,0.0000975537,-0.004524866,-0.001382,-0.003626902,0.0010041693,-0.004998492,-0.001185146,-0.002488877,-0.001634238
07/22/1963,-0.004457368,-0.007012408,-0.007791606,-0.00422833,-0.006739009,-0.005030853,-0.012594836,-0.010385146,-0.005476618,-0.007123203
07/23/1963,-0.000447022,0.0011742581,0.0008791421,0.0019497213,-0.000532113,-0.001874395,0.0006841593,0.0032789705,-0.000074067,0.0009228048
07/24/1963,0.0001452001,0.0037228912,0.0064150944,0.0052582033,0.0056384919,0.0071929894,0.0109688175,0.0043415467,0.0024245272,0.0045836921
07/25/1963,0.0054559138,-0.001366177,-0.002450055,-0.000190125,0.0029597511,-0.001611928,-0.002242122,0.0015866889,0.0004042242,0.001915134
07/26/1963,0.0006584728,0.0037456445,0.0080651301,0.002864892,0.0028748837,0.0009790604,0.0007313816,0.0030399014,0.0015532914,0.0035240204
07/29/1963,0.0022916141,0.0018880872,-0.00022723,0.0008394574,0.0038340723,0.0014614733,0.0016037753,0.0021307238,0.0018112671,0.001559227
